"region","region_type","year","dwelling_count","funds_allotted"
"CAPE BRETON REGIONAL","Regional Municipality","2017","47516","32241.88"
"HALIFAX REGIONAL","Regional Municipality","2017","193846","131533.81"
"QUEENS","Regional Municipality","2017","6880","4668.41"
"AMHERST","Town","2017","4786","3247.53"
"ANNAPOLIS ROYAL","Town","2017","367","1000.00"
"ANTIGONISH","Town","2017","2766","1876.86"
"BERWICK","Town","2017","1082","1000.00"
"BRIDGEWATER","Town","2017","4397","2983.58"
"CLARK'S HARBOUR","Town","2017","416","1000.00"
"DIGBY","Town","2017","1154","1000.00"
"KENTVILLE","Town","2017","3024","2051.93"
"LOCKEPORT","Town","2017","334","1000.00"
"LUNENBURG","Town","2017","1293","1000.00"
"MAHONE BAY","Town","2017","607","1000.00"
"MIDDLETON","Town","2017","1029","1000.00"
"MULGRAVE","Town","2017","363","1000.00"
"NEW GLASGOW","Town","2017","4795","3235.64"
"OXFORD","Town","2017","614","1000.00"
"PICTOU","Town","2017","1660","1126.39"
"PORT HAWKESBURY","Town","2017","1568","1063.96"
"SHELBURNE","Town","2017","952","1000.00"
"STELLARTON","Town","2017","2118","1437.16"
"STEWIACKE","Town","2017","685","1000.00"
"TRENTON","Town","2017","1184","1000.00"
"TRURO","Town","2017","6697","4544.24"
"WESTVILLE","Town","2017","1728","1172.53"
"WINDSOR","Town","2017","1766","1198.32"
"WOLFVILLE","Town","2017","2731","1853.11"
"YARMOUTH","Town","2017","3503","2376.95"
"ANNAPOLIS","Rural Municipality","2017","10645","7223.14"
"ANTIGONISH","Rural Municipality","2017","7481","5076.22"
"ARGYLE","Rural Municipality","2017","4214","2859.40"
"BARRINGTON","Rural Municipality","2017","3678","2495.70"
"CHESTER","Rural Municipality","2017","7026","4767.48"
"CLARE","Rural Municipality","2017","4950","3358.81"
"COLCHESTER","Rural Municipality","2017","17830","12098.51"
"CUMBERLAND","Rural Municipality","2017","13368","9070.83"
"DIGBY","Rural Municipality","2017","4500","3053.47"
"GUYSBOROUGH","Rural Municipality","2017","3714","2520.13"
"EAST HANTS","Rural Municipality","2017","9978","6770.55"
"WEST HANTS","Rural Municipality","2017","7517","5100.64"
"INVERNESS","Rural Municipality","2017","8522","5782.59"
