"institution","credential","civic_address","city","province","postal_code","website","location1"
"CBBC Career College","College diploma","315 Jamieson Street","Sydney","NS","B1N 3B1","https://www.cbbccareercollege.ca/","POINT (-60.18009 46.160358)"
"CBBC Career College","College diploma","45 Alderney Dr Unit 100","Dartmouth","NS","B2Y 2N6","https://www.cbbccareercollege.ca/","POINT (-63.569365 44.665168)"
"Island Career Academy","College diploma","721 Alexandra Street","Sydney","NS","B1S 2H4","http://www.islandcareeracademy.ca","POINT (-60.201844 46.109043)"
"Jane Norman College","College diploma","Suite #1 60 Lorne Street","Truro","NS","B2N 3K3","http://www.janenorman.ca","POINT (-63.279615 45.367908)"
"Mount Saint Vincent University","Bachelor's degree","166 Bedford Highway","Halifax","NS","B3M 2J6","http://www.msvu.ca","POINT (-63.644385 44.672888)"
"Nova Scotia College of Early Childhood Education","College diploma","6208 Quinpool Road 2nd Floor","Halifax","NS","B3L 1A3","http://www.nscece.ca","POINT (-63.595939 44.645828)"
"Nova Scotia Community College, Akerley Campus","College diploma","21 Woodlawn Rd.","Dartmouth","NS","B2W 2R7","http://www.nscc.ca","POINT (-63.528798 44.683371)"
"Nova Scotia Community College, Burridge Campus","College diploma","372 Pleasant Street","Yarmouth","NS","B5A 2L2","http://www.nscc.ca","POINT (-66.103728 43.852343)"
"Nova Scotia Community College, Cumberland Campus","College diploma","1 Main Street","Springhill","NS","B0M 1X0","http://www.nscc.ca","POINT (-64.061718 45.647319)"
"Nova Scotia Community College, e-Campus","College diploma","1240 Grand Lake Road","Sydney","NS","B1P 6J7","http://www.nscc.ca","POINT (-60.094851 46.171076)"
"Nova Scotia Community College, Kingstec Campus","College diploma","236 Belcher Street","Kentville","NS","B4N 0A6","http://www.nscc.ca","POINT (-64.48196 45.084772)"
"Nova Scotia Community College, Marconi Campus","College diploma","1240 Grand Lake Road","Sydney","NS","B1P 6J7","http://www.nscc.ca","POINT (-60.094851 46.171076)"
"Universite Saint-Anne","College diploma","1695 Route 1","Church Point","NS","B0W 1M0","https://www.usainteanne.ca/","POINT (-66.115301 44.332953)"
