"waterbody","station","lease","latitude","longitude","deployment_period","timestamp","sensor","depth","variable","value","units","mooring"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T17:48:00.000","aquaMeasure-680322","1.3","Salinity","31.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T17:58:00.000","aquaMeasure-680322","1.3","Salinity","31.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T18:08:00.000","aquaMeasure-680322","1.3","Salinity","31.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T18:18:00.000","aquaMeasure-680322","1.3","Salinity","31.8","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T18:28:00.000","aquaMeasure-680322","1.3","Salinity","31.9","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T18:38:00.000","aquaMeasure-680322","1.3","Salinity","31.6","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T18:48:00.000","aquaMeasure-680322","1.3","Salinity","30.6","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T18:58:00.000","aquaMeasure-680322","1.3","Salinity","31.1","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T19:08:00.000","aquaMeasure-680322","1.3","Salinity","31.1","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T19:18:00.000","aquaMeasure-680322","1.3","Salinity","31.3","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T19:28:00.000","aquaMeasure-680322","1.3","Salinity","31.3","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T19:38:00.000","aquaMeasure-680322","1.3","Salinity","31.2","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T19:48:00.000","aquaMeasure-680322","1.3","Salinity","31.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T19:58:00.000","aquaMeasure-680322","1.3","Salinity","31.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T20:08:00.000","aquaMeasure-680322","1.3","Salinity","31.3","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T20:18:00.000","aquaMeasure-680322","1.3","Salinity","31.3","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T20:28:00.000","aquaMeasure-680322","1.3","Salinity","31.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T20:38:00.000","aquaMeasure-680322","1.3","Salinity","31.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T20:48:00.000","aquaMeasure-680322","1.3","Salinity","31.4","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T20:58:00.000","aquaMeasure-680322","1.3","Salinity","31.7","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T21:08:00.000","aquaMeasure-680322","1.3","Salinity","31.7","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T21:18:00.000","aquaMeasure-680322","1.3","Salinity","31.6","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T21:28:00.000","aquaMeasure-680322","1.3","Salinity","31.7","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T21:38:00.000","aquaMeasure-680322","1.3","Salinity","31.7","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T21:48:00.000","aquaMeasure-680322","1.3","Salinity","31.7","practical salinity units","float"
"Annapolis Basin","5005","5005","44.634167","-65.711933","2021-May-14 to 2021-Jun-18","2021-05-14T21:58:00.000","aquaMeasure-680322","1.3","Salinity","31.6","practical salinity units","float"
