"waterbody","station","lease","latitude","longitude","deployment_period","timestamp","sensor","depth","variable","value","units","mooring"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T17:09:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T17:19:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T17:29:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T17:40:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T17:50:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T18:00:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T18:10:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T18:20:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T18:30:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T18:40:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T18:51:00.000","aquaMeasure-670380","2","Temperature","1.39","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T19:01:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T19:11:00.000","aquaMeasure-670380","2","Temperature","1.39","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T19:21:00.000","aquaMeasure-670380","2","Temperature","1.39","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T19:31:00.000","aquaMeasure-670380","2","Temperature","1.41","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T19:41:00.000","aquaMeasure-670380","2","Temperature","1.41","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T19:52:00.000","aquaMeasure-670380","2","Temperature","1.41","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T20:02:00.000","aquaMeasure-670380","2","Temperature","1.41","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T20:12:00.000","aquaMeasure-670380","2","Temperature","1.41","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T20:22:00.000","aquaMeasure-670380","2","Temperature","1.39","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T20:32:00.000","aquaMeasure-670380","2","Temperature","1.39","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T20:42:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T20:52:00.000","aquaMeasure-670380","2","Temperature","1.39","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T21:03:00.000","aquaMeasure-670380","2","Temperature","1.39","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T21:13:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T21:23:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T21:33:00.000","aquaMeasure-670380","2","Temperature","1.41","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T21:43:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T21:53:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T22:03:00.000","aquaMeasure-670380","2","Temperature","1.39","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T22:14:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T22:24:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T22:34:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T22:44:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T22:54:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T23:04:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T23:14:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T23:25:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T23:35:00.000","aquaMeasure-670380","2","Temperature","1.39","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T23:45:00.000","aquaMeasure-670380","2","Temperature","1.39","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-02-28T23:55:00.000","aquaMeasure-670380","2","Temperature","1.39","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T00:05:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T00:15:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T00:25:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T00:36:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T00:46:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T00:56:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T01:06:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T01:16:00.000","aquaMeasure-670380","2","Temperature","1.37","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T01:26:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T01:37:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T01:47:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T01:57:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T02:07:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T02:17:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T02:27:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T02:37:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T02:48:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T02:58:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T03:08:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T03:18:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T03:28:00.000","aquaMeasure-670380","2","Temperature","1.35","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T03:38:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T03:49:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T03:59:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T04:09:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T04:19:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T04:29:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T04:39:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T04:49:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T05:00:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T05:10:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T05:20:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T05:30:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T05:40:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
"Beaver Harbour","Beaver Point","NA","44.87761","-62.39922","2018-Feb-28 to 2018-Sep-13","2018-03-01T05:50:00.000","aquaMeasure-670380","2","Temperature","1.33","degrees Celsius","fixed"
