"license_number","business_name","business_address_1","business_address_2","business_city","business_state","business_postal_code","business_county","business_country","last_name_of_designated","first_name_of_designated","middle_initial_of_designated","suffix_of_designated","license_issue_date","license_effective_term","license_expiration_date","georeference"
"AMC-19-0130","Arivs, LLC","1930 N Arboleda Ste 117",,"Mesa","AZ","85213-3214",,"US","Caffrey","Bryan",,,"2019-05-23T00:00:00.000","2021-05-23T00:00:00.000","2023-05-23T00:00:00.000","POINT (-111.762038 33.450396)"
"AMC-21-0688","Karis Management Group, LLC","7422 Carmel Executive Park Dr Ste 109",,"Charlotte","NC","28226-8421",,"US","Niebuhr","Colin",,,"2021-01-27T00:00:00.000","2021-01-27T00:00:00.000","2023-01-27T00:00:00.000","POINT (-80.844349 35.088881)"
"AMC-19-0251","Nationwide Valuation Solutions","77 Milford Dr # 278",,"Hudson","OH","44236-2781",,"US","Harpley","Jeremy","S",,"2019-08-12T00:00:00.000","2021-08-12T00:00:00.000","2023-08-12T00:00:00.000","POINT (-81.448409 41.237678)"
"AMC-19-0001","Northeastern Appraisal Associates Residential, Inc.","616 N French Rd Ste 100",,"Amherst","NY","14228-2125","Erie","US","Vacanti","Robert","L",,"2019-04-23T00:00:00.000","2021-04-23T00:00:00.000","2023-04-23T00:00:00.000","POINT (-78.801281 43.034707)"
"AMC-19-0184","APPRAISAL LINKS INC","4 VILLAGE CT",,"HAZLET","NY","07730",,"US","PISANI","ANTHONY",,,"2019-06-20T00:00:00.000","2021-06-20T00:00:00.000","2023-06-20T00:00:00.000","POINT (-74.174152 40.415976)"
"AMC-19-0263","U.S. REAL ESTATE SERVICES INC","27442 Portola Pkwy Ste 300",,"Foothill Ranch","CA","92610-2822",,"US","GUENTHER","KEITH","F",,"2019-09-06T00:00:00.000","2021-09-06T00:00:00.000","2023-09-06T00:00:00.000","POINT (-117.652029 33.671016)"
"AMC-19-0008","Valuation Services AMC","575 Corporate Dr Ste 3102",,"Mahwah","NJ","07430-2330",,"US","Finley","Jeffrey",,,"2019-04-26T00:00:00.000","2021-04-26T00:00:00.000","2023-04-26T00:00:00.000","POINT (-74.157951 41.084668)"
"AMC-19-0294","Suntender Valuations, Inc","5776 Stoneridge Mall Rd Ste 325",,"Pleasanton","CA","94588-2864",,"US","Peinado","Ricardo",,"JR","2019-11-08T00:00:00.000","2021-11-08T00:00:00.000","2023-11-08T00:00:00.000","POINT (-121.930679 37.692873)"
"AMC-19-0023","Valligent","3017 Douglas Blvd Ste 300",,"Roseville","CA","95661-3850",,"US","Wickham","Jeffrey","J",,"2019-04-26T00:00:00.000","2021-04-26T00:00:00.000","2023-04-26T00:00:00.000","POINT (-121.23192 38.744078)"
"AMC-19-0108","CORPORATE SETTLEMENT SOLUTIONS LLC","440 E Front St",,"Traverse City","MI","49686-2614",,"US","JELINEK","JEROME",,,"2019-05-16T00:00:00.000","2021-05-16T00:00:00.000","2023-05-16T00:00:00.000","POINT (-85.613761 44.764093)"
"AMC-21-0746","LAS Home Value","500 W Main St Ste 107",,"Babylon","NY","11702-3028","Suffolk","US","Lauritano","Thomas",,,"2021-03-22T00:00:00.000","2021-03-22T00:00:00.000","2023-03-22T00:00:00.000","POINT (-73.338699 40.689214)"
"AMC-22-0996","ASTRO APPRAISAL MANAGEMENT COMPANY LLC","18851 NE 29th Ave Ste 700",,"Aventura","FL","33180-2845",,"US","Josue","Astrel",,,"2021-12-17T00:00:00.000","2021-12-17T00:00:00.000","2023-12-17T00:00:00.000","POINT (-80.142597 25.949867)"
"AMC-19-0089","Heartland Valuation Service LLC","2139 Tapo St Ste 221",,"Simi Valley","CA","93063-3477",,"US","Giancola","Michael",,,"2019-05-10T00:00:00.000","2021-05-10T00:00:00.000","2023-05-10T00:00:00.000","POINT (-118.709009 34.273927)"
"AMC-19-0049","MyAMC, LLC","14285 Midway Rd","Midway Atrium II, Floor 4, Ste 400","Addison","TX","75001-3622",,"US","Bobbitt","Robert","S",,"2019-05-01T00:00:00.000","2021-09-01T00:00:00.000","2023-08-31T00:00:00.000","POINT (-96.83901 32.943922)"
"AMC-19-0182","Voxtur Valuation, LLC","5404 Cypress Center Dr Ste 300",,"Tampa","FL","33609-1023",,"US","Waltenbaugh","William","C",,"2019-05-08T00:00:00.000","2021-05-08T00:00:00.000","2023-05-08T00:00:00.000","POINT (-82.535507 27.950368)"
"AMC-19-0048","INTERNATIONAL VALUATION GROUP LLC","600 W BROADWAY","STE 2650","SAN DIEGO","CA","92101-3315",,"US","BOROWSKI","KERI","A",,"2019-05-01T00:00:00.000","2021-05-01T00:00:00.000","2023-05-01T00:00:00.000","POINT (-117.168754 32.71576)"
"AMC-19-0136","REAL ESTATE VALUATION PARTNERS LLC","THREE SUGAR CREEK","STE 100","SUGAR LAND","TX","77478",,"US","FALL","WILLIAM",,,"2019-05-15T00:00:00.000","2021-05-15T00:00:00.000","2023-05-15T00:00:00.000",
"AMC-19-0135","DARTAPPRAISAL.COM INC","2600 WEST BIG BEAVER","STE 540","TROY","MI","48084",,"US","CASE","DARTON","W",,"2019-04-30T00:00:00.000","2021-04-30T00:00:00.000","2023-04-30T00:00:00.000","POINT (-83.179855 42.561555)"
"AMC-19-0249","FINANCIAL ASSET SERVICES, INC.","17752 Mitchell N Ste A",,"Irvine","CA","92614-6802",,"US","Seminoff","Stacy","A",,"2019-08-13T00:00:00.000","2021-08-13T00:00:00.000","2023-08-13T00:00:00.000","POINT (-117.861105 33.694654)"
"AMC-20-0334","Kairos Appraisal Services LLC","3500 188TH ST SW","SUITE 465","LYNNWOOD","WA","98037-6750",,"US","Allard","Paul","T",,"2020-01-22T00:00:00.000","2022-01-22T00:00:00.000","2024-01-22T00:00:00.000","POINT (-122.279691 47.828196)"
"AMC-22-1044","Halo Appraisal Management L.L.C","51 Commerce St",,"Springfield","NJ","07081-3014",,"US","Yacoub","Mary","H",,"2022-02-04T00:00:00.000","2022-02-04T00:00:00.000","2024-02-04T00:00:00.000","POINT (-74.319747 40.687605)"
"AMC-19-0193","SETTLEMENTONE VALUATION LLC","7999 Knue Rd Ste 160","STE 300","Indianapolis","IN","46250-1995",,"US","HURST","THOMAS","R",,"2019-04-30T00:00:00.000","2021-06-30T00:00:00.000","2023-06-29T00:00:00.000","POINT (-86.060183 39.899505)"
"AMC-19-0175","Nationwide Property & Appraisal Services LLC","10 Foster Ave Ste 3C",,"Gibbsboro","NJ","08026-1162",,"US","Hernberg","Ryan",,,"2019-05-13T00:00:00.000","2021-05-13T00:00:00.000","2023-05-12T00:00:00.000","POINT (-74.964583 39.836956)"
"AMC-19-0210","ACT Appraisal, Inc.","1141 E Main St Ste 102",,"East Dundee","IL","60118-2440",,"US","Franks","Erika","M",,"2019-07-15T00:00:00.000","2021-07-15T00:00:00.000","2023-07-15T00:00:00.000","POINT (-88.242166 42.086876)"
"AMC-22-0992","BNLAPPRAISAL LLC","1 Preshburg Blvd Unit 105",,"Monroe","NY","10950-3067","Orange","US","lefkowitz","Chaim",,,"2021-10-27T00:00:00.000","2021-10-27T00:00:00.000","2023-10-27T00:00:00.000","POINT (-74.173918 41.337628)"
"AMC-19-0111","the private asset & management group, llc","793 Center St 487",,"Lewiston","NY","14092-1705","Niagara","US","klein","sandra",,,"2019-05-17T00:00:00.000","2021-05-17T00:00:00.000","2023-05-16T00:00:00.000","POINT (-79.036237 43.172443)"
"AMC-19-0167","NATIONS VALUATION SERVICES INC","3700 CORPORATE DRIVE","SUITE 100","COLUMBUS","NY","43231",,"US","SCOTT","MATTHEW","A",,"2019-06-06T00:00:00.000","2021-06-06T00:00:00.000","2023-06-06T00:00:00.000","POINT (-82.920405 40.079026)"
"AMC-19-0060","Appraisal Process Systems, Inc","257 Stonehill Rd",,"Freehold","NY","07728-8517",,"US","Piserchia","Frank","P",,"2019-05-03T00:00:00.000","2021-05-03T00:00:00.000","2023-05-03T00:00:00.000","POINT (-74.29427 40.209092)"
"AMC-19-0228","Oxford AMC LLC","2740 State Route 10 Ste 204",,"Morris Plains","NJ","07950-1258",,"US","Denman","George","R",,"2019-08-12T00:00:00.000","2021-08-12T00:00:00.000","2023-08-12T00:00:00.000","POINT (-74.487656 40.8579)"
"AMC-19-0317","Lenders Allies, LLC","3030 N Rocky Point Dr W Ste 150",,"Tampa","NY","33607-7200",,"US","Danehy","Robert","M",,"2019-11-23T00:00:00.000","2021-11-23T00:00:00.000","2023-11-23T00:00:00.000","POINT (-82.568928 27.968817)"
"AMC-19-0239","AmeriMac Appraisal Management LLC","102 W Main St Unit 507",,"New Albany","OH","43054-9166",,"US","Roteff","Taylor",,,"2019-06-11T00:00:00.000","2021-06-11T00:00:00.000","2023-06-11T00:00:00.000","POINT (-82.811567 40.081502)"
"AMC-21-0929","ValueSafe Appraisals, Inc.","2312 E 63rd St",,"Brooklyn","NY","11234-6316","Kings","US","Sorkin","Oleg",,,"2021-08-17T00:00:00.000","2021-08-17T00:00:00.000","2023-08-17T00:00:00.000","POINT (-73.909792 40.612698)"
"AMC-19-0206","MORTGAGE INFORMATION SERVICES INC","4877 GALAXY PARKWAY","SUITE I","CLEVELAND","NY","44128",,"US","BORTOLOTTO","DAVID",,,"2019-05-17T00:00:00.000","2021-05-17T00:00:00.000","2023-05-17T00:00:00.000","POINT (-81.501526 41.427328)"
