"facility_name","registration_number","county","street_address","city","state","zip_code","contact_name","phone_number","extension","website","georeference"
"AAA Computer Repair","01196","Onondaga","8112 Portobello Way","Liverpool","NY","13090","Bryon Haacke","315-664-2048",,"http://www.aaa-computerrepair.com/","POINT (-76.226936 43.166074)"
"Arrow Scrap Corporation","00611","Suffolk","83 Kean Street","West Babylon","NY","11704","Don Galindo","631-491-3061",,"https://www.arrowscrap.com/","POINT (-73.380052 40.73722)"
"Computer Connection of CNY Inc.","00947","Herkimer","11206 Cosby Manor Road","Utica","NY","13502","Mike Buffa","315-724-2209",,"http://www.ccnytech.com/","POINT (-75.145989 43.110854)"
"Revivn PBC","01225","Kings","63 Flushing Ave, Unit 231","Brooklyn","NY","11205","Jack Simon","347-762-8193",,"https://www.revivn.com/","POINT (-73.975172 40.698116)"
"eWorks ESI AHRC Nassau","00411","Nassau","230 Hanse Avenue","Freeport","NY","11520","Linda Fogarty","516-821-0733",,"http://www.eworksesi.org","POINT (-73.571081 40.6456)"
"Ombligo Inc.","00120","Kings","4014 1st Avenue, 5th Floor SW, Unit 16","Brooklyn","NY","11232","Michael Epp","718-384-0796",,"http://www.ombligo.com","POINT (-74.013582 40.655788)"
"Geodis Global Solutions USA Inc.","00026","Broome","1701 North Street","Endicott","NY","13760","Maria R. Balchikonis","732-570-6408",,,"POINT (-76.046096 42.105145)"
"EdeeCircle, Inc.","01288","Broome","2335 US Route 11","Kirkwood","NY","13795","Anuj Thakral","570-500-2565",,"http://www.edeecircle.com","POINT (-75.763964 42.006242)"
"E-Scrap of Syracuse","01192","Onondaga","1759 Route 11","Tully","NY","13159","Joe D'Agostino","315-382-7885",,,"POINT (-76.115135 42.857735)"
"The Computer Shop","01211","Broome","118 West Main Street","Endicott","NY","13760","Jason McGonnigal","607-484-9033",,"https://www.tcsny.it/","POINT (-76.066084 42.095155)"
"Legal Shred","01218","Suffolk","1014 Grand Boulevard","Deer Park","NY","11729","Sean Fredricks","844-747-3300",,"https://legalshred.com/","POINT (-73.297212 40.760886)"
"Advanced Technology Recycling","01060","Erie","200 Fire Tower Drive","Tonawanda","NY","14150","Barb Ehresman","716-693-7779",,"https://www.atrecycle.com/","POINT (-78.908445 42.991758)"
"At-E Processing","01247","Columbia","1 Industrial Tract","Hudson","NY","12534","Daniel Schudel","315-305-1088",,"https://www.at-eprocessing.com/","POINT (-73.76137 42.24739)"
