"state_fips","county_fips","county","industry","industry_title","year","reporting_units","average_employment","average_annual_wages","total_wages","average_weekly_wages"
"36","000","Statewide Total","00","All Industries","2000","526836","8471190","45357","384230525920","872.26"
"36","000","Statewide Total","01","Agriculture, Mining & Unclassified","2000","18287","76375","26361","2013343521","506.95"
"36","000","Statewide Total","03","Construction","2000","42305","327198","43803","14332275544","842.37"
"36","000","Statewide Total","04","Manufacturing","2000","24419","874146","51450","44975229085","989.43"
"36","000","Statewide Total","05","Transportation & Public Utilities","2000","19983","564432","48417","27328232938","931.10"
"36","000","Statewide Total","06","Wholesale Trade","2000","46695","447728","52447","23482062872","1008.60"
"36","000","Statewide Total","07","Retail Trade","2000","106171","1292426","20557","26568733760","395.33"
"36","000","Statewide Total","08","Finance,  Insurance & Real Estate","2000","57655","767093","110901","85071613237","2132.72"
"36","000","Statewide Total","09","Services","2000","207633","3603076","38526","138812061052","740.88"
"36","000","Statewide Total","10","Public Administration","2000","3536","517914","41760","21627942329","803.07"
"36","000","Statewide Total","00","All Industries","1999","524123","8292305","42179","349760831890","811.13"
"36","000","Statewide Total","01","Agriculture, Mining & Unclassified","1999","13994","68487","25416","1740697196","488.78"
"36","000","Statewide Total","03","Construction","1999","42011","309443","41241","12761688479","793.09"
"36","000","Statewide Total","04","Manufacturing","1999","25315","890692","47890","42655151812","920.96"
"36","000","Statewide Total","05","Transportation & Public Utilities","1999","20040","552324","46270","25556212957","889.81"
"36","000","Statewide Total","06","Wholesale Trade","1999","47677","444156","50719","22527238299","975.37"
"36","000","Statewide Total","07","Retail Trade","1999","106533","1261996","19505","24615229600","375.10"
"36","000","Statewide Total","08","Finance,  Insurance & Real Estate","1999","57644","764838","93631","71612590838","1800.60"
"36","000","Statewide Total","09","Services","1999","207231","3491490","36558","127643060928","703.04"
"36","000","Statewide Total","10","Public Administration","1999","3526","508112","40605","20631740240","780.86"
"36","000","Statewide Total","00","All Industries","1998","510750","8092384","40705","329399741042","782.79"
"36","000","Statewide Total","01","Agriculture, Mining & Unclassified","1998","22627","73419","24356","1788217567","468.39"
"36","000","Statewide Total","03","Construction","1998","39505","282475","40093","11325273973","771.02"
"36","000","Statewide Total","04","Manufacturing","1998","25217","911750","46387","42293457054","892.06"
"36","000","Statewide Total","05","Transportation & Public Utilities","1998","19209","544202","44777","24367736937","861.10"
"36","000","Statewide Total","06","Wholesale Trade","1998","46339","435615","49031","21358706717","942.91"
"36","000","Statewide Total","07","Retail Trade","1998","103186","1224555","18652","22840140841","358.69"
"36","000","Statewide Total","08","Finance,  Insurance & Real Estate","1998","55248","757509","88837","67294631552","1708.40"
"36","000","Statewide Total","09","Services","1998","195799","3361869","35198","118329981911","676.88"
"36","000","Statewide Total","10","Public Administration","1998","3464","500291","39547","19785255390","760.53"
"36","000","Statewide Total","00","All Industries","1997","505087","7902044","38636","305299946329","742.99"
"36","000","Statewide Total","01","Agriculture, Mining & Unclassified","1997","18828","74332","24080","1789904722","463.08"
"36","000","Statewide Total","03","Construction","1997","39573","263043","38001","9996009396","730.80"
"36","000","Statewide Total","04","Manufacturing","1997","25712","919314","43886","40344969619","843.96"
"36","000","Statewide Total","05","Transportation & Public Utilities","1997","19388","538584","42545","22914184728","818.18"
"36","000","Statewide Total","06","Wholesale Trade","1997","46637","428001","46494","19899330830","894.11"
"36","000","Statewide Total","07","Retail Trade","1997","104832","1209037","17653","21343682108","339.49"
"36","000","Statewide Total","08","Finance,  Insurance & Real Estate","1997","54342","743483","81681","60728746770","1570.80"
"36","000","Statewide Total","09","Services","1997","192153","3227743","33733","108880635652","648.71"
"36","000","Statewide Total","10","Public Administration","1997","3471","497792","38944","19385967894","748.92"
"36","000","Statewide Total","00","All Industries","1996","497072","7793008","36816","286907081380","708.00"
"36","000","Statewide Total","01","Agriculture, Mining & Unclassified","1996","16969","73785","23159","1708755278","445.36"
"36","000","Statewide Total","03","Construction","1996","39537","252593","36887","9317485554","709.37"
"36","000","Statewide Total","04","Manufacturing","1996","25781","921196","41832","38535222900","804.46"
"36","000","Statewide Total","05","Transportation & Public Utilities","1996","19615","535597","41990","22489702988","807.50"
"36","000","Statewide Total","06","Wholesale Trade","1996","46389","423976","44171","18727381729","849.44"
"36","000","Statewide Total","07","Retail Trade","1996","105023","1191924","16884","20124173341","324.69"
"36","000","Statewide Total","08","Finance,  Insurance & Real Estate","1996","53422","742088","73714","54702391396","1417.58"
"36","000","Statewide Total","09","Services","1996","186749","3150213","32509","102409645887","625.17"
"36","000","Statewide Total","10","Public Administration","1996","3440","500932","37682","18876324025","724.66"
"36","000","Statewide Total","00","All Industries","1995","490265","7737431","34936","270312476146","671.84"
"36","000","Statewide Total","01","Agriculture, Mining & Unclassified","1995","14974","66616","22138","1474726361","425.73"
"36","000","Statewide Total","03","Construction","1995","39764","249709","35641","8899963709","685.41"
"36","000","Statewide Total","04","Manufacturing","1995","26052","939540","39577","37184506338","761.10"
"36","000","Statewide Total","05","Transportation & Public Utilities","1995","19349","534735","40184","21487832385","772.77"
"36","000","Statewide Total","06","Wholesale Trade","1995","46662","426343","42536","18134696431","817.99"
"36","000","Statewide Total","07","Retail Trade","1995","105116","1183926","16427","19448000389","315.90"
"36","000","Statewide Total","08","Finance,  Insurance & Real Estate","1995","52543","745840","64639","48210310144","1243.06"
"36","000","Statewide Total","09","Services","1995","182207","3093854","31445","97285779480","604.71"
"36","000","Statewide Total","10","Public Administration","1995","3443","496180","36624","18172026782","704.30"
"36","000","Statewide Total","00","All Industries","1994","482597","7697383","33439","257394182725","643.06"
