"reg","county","name","feature","descriptn","primtveset","tentsite_s","leanto","picnctbl_s","privy","trail_s","equestr","scenicovlk","interpmtrl","wlviewplat","huntgblind","fshpieretc","boatlaunch","loadngdock","handlaunch","beach","flshtoilet","shower","url","data_type","land_unit","facility","status","setlmt","inspected","inspectdby","dateinspc","passinspc","accessible","notes","directions","kmlnotes","point_x","point_y","location"
"4","ALBANY","Albany Pine Bush Discovery Center","INTERPRETIVE SITE","Outdoor and indoor exhibits - facility managed by Albany Pine Bush Preserve Commission","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","http://www.dec.ny.gov/outdoor/55677.html#access","Destination Point",,"-APB Preserve Commission-","Existing","N","Y","Dylan Walrath","2009-05-19T00:00:00.000","Y","Y",,,"Description: Outdoor and indoor exhibits; facility managed by Albany Pine Bush Preserve Commission.","-73.8649119836","42.7192576492","(42.7192576492, -73.8649119836)"
"4","ALBANY","Bethlehem Boat Launch Site","BOATING",,"N","N","N","N","Y","N","N","N","N","N","N","N","Y","Y","N","N","N","N","http://www.dec.ny.gov/outdoor/23912.html#access","Destination Point",,"HUDSON RIVER ACCESS AT BETHLEHEM","Existing","N","Y","Carole Fraser","2009-06-01T00:00:00.000","Y","Y",,,,"-73.7591739873","42.5475476237","(42.5475476237, -73.7591739873)"
"4","ALBANY","Five Rivers Environmental Education Center","INTERPRETIVE SITE",,"N","N","N","Y","N","Y","N","Y","Y","Y","N","N","N","N","N","N","Y","N","http://www.dec.ny.gov/education/1835.html#Accessibility","Destination Point",,"FIVE RIVERS ENVIRONMENTAL EDUCATION CENTER","Existing/Compl","N","Y","Carole Fraser","2008-10-25T00:00:00.000","Y","Y",,,,"-73.8896791954","42.608900365","(42.608900365, -73.8896791954)"
"9","ALLEGANY","Allen Lake","FISHING",,"N","N","N","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","http://www.dec.ny.gov/lands/63250.html#Access_for_People_with_Disabilities","Destination Point","ALLEGANY 23","ALLEN LAKE STATE FOREST","Existing","N","Y","Matt Perkins",,"Y","Y",,"Traveling west from Allen Center on Muckle Road - turn right - at a dirt road (Vincent Hill Road)  to enter from the south.","Directions: Traveling west from Allen Center on Muckle Road - turn right - at a dirt road (Vincent Hill Road)  to enter from the south.","-78.0703146513","42.3825539151","(42.3825539151, -78.0703146513)"
"9","ALLEGANY","Genesee River at Wellsville","FISHING",,"N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","http://www.dec.ny.gov/outdoor/75678.html","Destination Point",,,"Existing","N","N","R9 Access Coord",,"N","Y","Exact location unknown/approximated",,"Note: Exact location approximated.","-77.9465597435","42.1167353595","(42.1167353595, -77.9465597435)"
"7","BROOME","Whitney Point Boat Launch Site","BOATING",,"N","N","N","N","N","N","N","N","N","?","N","N","Y","Y","N","N","Y","N","http://www.dec.ny.gov/outdoor/23910.html#access","Destination Point",,"WHITNEY POINT","Existing","N","Y","Russ Davall","2009-06-01T00:00:00.000","Y","Y","Needs designated parking and restroom. Needs curb cuts in picnic area.","Off Route 26 - 1 mile north of Whitney Point","Directions: Off Route 26.","-75.9712059155","42.3511958129","(42.3511958129, -75.9712059155)"
"9","CATTARAUGUS","Zoar Valley Gorge Overlook Trail","HIKING TRAIL",,"Y","N","N","N","Y","Y","N","Y","N","Y","N","N","N","N","N","N","N","N","http://www.dec.ny.gov/lands/36931.html#access","Destination Point","CATTARAUGUS-ERIE 1","ZOAR VALLEY MUA","Existing/Compl","N","Y","Matt Perkins/Theresa",,"Y","Y",,,,"-78.897134008","42.4253768523","(42.4253768523, -78.897134008)"
"9","CHAUTAUQUA","Cassadaga Lake","FISHING",,"N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","http://www.dec.ny.gov/outdoor/26964.html#access","Destination Point",,,"Existing","N","N","R9 Access Coord",,"N","Y",,,,"-79.3285913049","42.3457942153","(42.3457942153, -79.3285913049)"
"9","CHAUTAUQUA","Chautauqua Lake FWMA Fishing and Hunting Platform","FISHING","Accessible waterfowl hunting blind and observation/fishing deck","N","N","N","N","N","N","N","N","N","Y","Y","Y","N","N","N","N","N","N","http://www.dec.ny.gov/outdoor/34038.html#chautauqua","Destination Point","CHAUTAUQUA WEST","TOM'S POINT WMA","Completed","N","Y","Matt Perkins","2010-10-13T00:00:00.000","Y","Y",,,"Description: Accessible waterfowl hunting blind and observation/fishing deck.","-79.4029413881","42.1462611239","(42.1462611239, -79.4029413881)"
"9","CHAUTAUQUA","Hannum Road Day Use Area at Chautauqua Gorge SF","PICNIC SITE","A new - universally accessible picnic shelter - complete with fire ring - picnic table - trash bin - two","Y","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N","N","http://www.dec.ny.gov/lands/42257.html#Accessible_Features","Destination Point","CHAUTAUQUA 5","CHAUTAUQUA GORGE STATE FOREST","Complete","N","Y","Theresa Laurie","2009-07-01T00:00:00.000","Y","Y",,"From Mayville - take Route 430 west to Hannum Road (right turn). Proceed all the way to the end of the road (will turn into a dirt road).","Description: Accessible picnic shelter. Directions: From Mayville - take Rte 430 west to Hannum Rd (right turn). Proceed all the way to the end (will turn into a dirt road).","-79.5802760284","42.2398881778","(42.2398881778, -79.5802760284)"
