"agency","street_address","city","state","zip","url","phone","phone_extension","crisis_shelter","tilp","interim_family","supported_residence","group_residence","georeference"
"Ali Forney Center","224 West 35th Street","New York","NY","10001","http://aliforneycenter.org","(212)222-3427",,"Y","Y","N","N","Y","POINT (-73.991146 40.752106)"
"Chautauqua Opportunities, Inc.","17 W. Courtney Street","Dunkirk","NY","14048","http://www.chautopp.com","(716)366-3333 ext(1111)",,"Y","Y","N","Y","Y","POINT (-79.321484 42.48054)"
"Equinox, Inc.","500 Central Avenue","Albany","NY","12206","http://www.equinoxinc.org","(518)435-9931 ext(240)",,"N","Y","N","Y","Y","POINT (-73.778383 42.669911000000006)"
"Oswego County Opportunities, Inc.","Hillside Commons; 9 Fourth Avenue","Oswego","NY","13126","http://www.oco.org","(315)342-7532",,"Y","Y","Y","Y","N",
"The Learning Web, Inc.","515 West Seneca Street","Ithaca","NY","14850","http://www.learning-web.org/","(607)275-0122",,"N","Y","N","Y","N","POINT (-76.507194 42.440143)"
"Pinnacle Community Services, Inc.","1522 Main Street","Niagara Falls","NY","14305","https://www.pinnaclecs.org/","(716)285-6984",,"Y","N","N","N","N","POINT (-79.052424 43.103416)"
"Good Shepherd Services","305 7th Ave","New York","NY","10001","http://www.goodshepherds.org/","(212)381-0255",,"N","Y","N","Y","N","POINT (-73.99368300000002 40.74676)"
"IMEINU, Inc.","3815 Ave P","Brooklyn","NY","11234",,"(917)685-7214",,"N","Y","N","N","Y","POINT (-73.936677 40.617532)"
"SAFE Inc., of Schenectady","1344 Albany Street","Schenectady","NY","12304","http://www.safeincofschenectady.org","(518)374-0166",,"Y","N","N","N","N","POINT (-73.922974 42.795267)"
"CAPTAIN Community Human Services, Inc.","5 Municipal Plaza","Clifton Park","NY","12065","http://www.captaincares.org/","(518)371-1185",,"Y","N","N","N","N","POINT (-73.786347 42.863307)"
"Compass House","1451 Main St.","Buffalo","NY","14209","http://www.compasshouse.org/","(716)886-1351 ext(123)",,"Y","N","N","N","N","POINT (-78.865293 42.913087)"
