"campground","county","url","y","x","location"
"Ausable Point Campground","CLINTON","http://www.dec.ny.gov/outdoor/24452.html","44.570662","-73.430416","(44.570662, -73.430416)"
"Taylor Pond Campground","CLINTON","http://www.dec.ny.gov/outdoor/24498.html","44.494307","-73.828578","(44.494307, -73.828578)"
"Bear Spring Mountain Campground","DELAWARE","http://www.dec.ny.gov/outdoor/24454.html","42.119063","-75.068586","(42.119063, -75.068586)"
"Little Pond Campground","DELAWARE","http://www.dec.ny.gov/outdoor/24478.html","42.034308","-74.741032","(42.034308, -74.741032)"
"Crown Point Campground","ESSEX","http://www.dec.ny.gov/outdoor/24461.html","44.02605","-73.421172","(44.02605, -73.421172)"
"Lake Harris Campground","ESSEX","http://www.dec.ny.gov/outdoor/24469.html","43.979393","-74.133351","(43.979393, -74.133351)"
"Lincoln Pond Campground","ESSEX","http://www.dec.ny.gov/outdoor/24477.html","44.137906","-73.578797","(44.137906, -73.578797)"
"Meadowbrook Campground","ESSEX","http://www.dec.ny.gov/outdoor/24482.html","44.29639","-74.081217","(44.29639, -74.081217)"
"Paradox Lake Campground","ESSEX","http://www.dec.ny.gov/outdoor/24488.html","43.888763","-73.681417","(43.888763, -73.681417)"
"Putnam Pond Campground","ESSEX","http://www.dec.ny.gov/outdoor/24492.html","43.841207","-73.573533","(43.841207, -73.573533)"
"Sharp Bridge Campground","ESSEX","http://www.dec.ny.gov/outdoor/24497.html","44.042406","-73.671944","(44.042406, -73.671944)"
"Wilmington Notch Campground","ESSEX","http://www.dec.ny.gov/outdoor/24500.html","44.349386","-73.863022","(44.349386, -73.863022)"
"Buck Pond Campground","FRANKLIN","http://www.dec.ny.gov/outdoor/24457.html","44.501034","-74.112157","(44.501034, -74.112157)"
"Fish Creek Pond Campground","FRANKLIN","http://www.dec.ny.gov/outdoor/24466.html","44.299762","-74.369329","(44.299762, -74.369329)"
"Meacham Lake Campground","FRANKLIN","http://www.dec.ny.gov/outdoor/24481.html","44.578315","-74.286018","(44.578315, -74.286018)"
"Rollins Pond Campground","FRANKLIN","http://www.dec.ny.gov/outdoor/24494.html","44.306115","-74.404067","(44.306115, -74.404067)"
"Saranac Lake Islands Campground","FRANKLIN","http://www.dec.ny.gov/outdoor/24496.html","44.287407","-74.186551","(44.287407, -74.186551)"
"Caroga Lake Campground","FULTON","http://www.dec.ny.gov/outdoor/24458.html","43.124012","-74.471252","(43.124012, -74.471252)"
"Northampton Beach Campground","FULTON","http://www.dec.ny.gov/outdoor/24486.html","43.183891","-74.176576","(43.183891, -74.176576)"
"Devil'S Tombstone Campground","GREENE","http://www.dec.ny.gov/outdoor/24462.html","42.152974","-74.206624","(42.152974, -74.206624)"
"North/South Lake Campground","GREENE","http://www.dec.ny.gov/outdoor/24487.html","42.198397","-74.044961","(42.198397, -74.044961)"
"Brown Tract Pond Campground","HAMILTON","http://www.dec.ny.gov/outdoor/24456.html","43.809152","-74.701188","(43.809152, -74.701188)"
"Eighth Lake Campground","HAMILTON","http://www.dec.ny.gov/outdoor/24465.html","43.764273","-74.709992","(43.764273, -74.709992)"
"Forked Lake Campground","HAMILTON","http://www.dec.ny.gov/outdoor/24467.html","43.908561","-74.53502","(43.908561, -74.53502)"
"Golden Beach Campground","HAMILTON","http://www.dec.ny.gov/outdoor/24468.html","43.808106","-74.601659","(43.808106, -74.601659)"
"Indian Lake Islands Campground","HAMILTON","http://www.dec.ny.gov/outdoor/24471.html","43.64828","-74.388577","(43.64828, -74.388577)"
"Lake Durant Campground","HAMILTON","http://www.dec.ny.gov/outdoor/24473.html","43.836349","-74.395049","(43.836349, -74.395049)"
"Lake Eaton Campground","HAMILTON","http://www.dec.ny.gov/outdoor/24464.html","43.98883","-74.461964","(43.98883, -74.461964)"
"Lewey Lake Campground","HAMILTON","http://www.dec.ny.gov/outdoor/24475.html","43.655755","-74.386678","(43.655755, -74.386678)"
"Limekiln Lake Campground","HAMILTON","http://www.dec.ny.gov/outdoor/24476.html","43.720064","-74.804826","(43.720064, -74.804826)"
"Little Sand Point Campground","HAMILTON","http://www.dec.ny.gov/outdoor/24479.html","43.414236","-74.555059","(43.414236, -74.555059)"
"Moffitt Beach Campground","HAMILTON","http://www.dec.ny.gov/outdoor/24483.html","43.490116","-74.410399","(43.490116, -74.410399)"
"Poplar Point Campground","HAMILTON","http://www.dec.ny.gov/outdoor/24491.html","43.428646","-74.541481","(43.428646, -74.541481)"
"Sacandaga Campground","HAMILTON","http://www.dec.ny.gov/outdoor/24495.html","43.357606","-74.284456","(43.357606, -74.284456)"
"Tioga Point Campground","HAMILTON","http://www.dec.ny.gov/outdoor/24499.html","43.844389","-74.631119","(43.844389, -74.631119)"
"Point Comfort Campground","HAMILTON, FULTON, HERKIMER","http://www.dec.ny.gov/outdoor/24489.html","43.401759","-74.575983","(43.401759, -74.575983)"
"Alger Island Campground","HERKIMER","http://www.dec.ny.gov/outdoor/24451.html","43.745784","-74.874585","(43.745784, -74.874585)"
"Nicks Lake Campground","HERKIMER","http://www.dec.ny.gov/outdoor/24485.html","43.685045","-74.97958","(43.685045, -74.97958)"
"Cranberry Lake Campground","ST LAWRENCE","http://www.dec.ny.gov/outdoor/24460.html","44.195805","-74.82649","(44.195805, -74.82649)"
"Beaverkill Campground","SULLIVAN","http://www.dec.ny.gov/outdoor/24455.html","41.977219","-74.839592","(41.977219, -74.839592)"
"Mongaup Pond Campground","SULLIVAN","http://www.dec.ny.gov/outdoor/24484.html","41.964619","-74.686534","(41.964619, -74.686534)"
"Kenneth L. Wilson Campground","ULSTER","http://www.dec.ny.gov/outdoor/24472.html","42.025082","-74.217026","(42.025082, -74.217026)"
"Woodland Valley Campground","ULSTER","http://www.dec.ny.gov/outdoor/24501.html","42.035049","-74.3595","(42.035049, -74.3595)"
"Eagle Point Campground","WARREN","http://www.dec.ny.gov/outdoor/24463.html","43.747823","-73.795196","(43.747823, -73.795196)"
"Hearthstone Point Campground","WARREN","http://www.dec.ny.gov/outdoor/24470.html","43.455204","-73.697195","(43.455204, -73.697195)"
"Lake George Battleground Campground","WARREN","http://www.dec.ny.gov/outdoor/24453.html","43.416346","-73.70927","(43.416346, -73.70927)"
"Lake George Islands Campground","WARREN","http://www.dec.ny.gov/outdoor/24474.html","43.587823","-73.56741","(43.587823, -73.56741)"
"Luzerne Campground","WARREN","http://www.dec.ny.gov/outdoor/24480.html","43.36032","-73.816673","(43.36032, -73.816673)"
"Rogers Rock Campground","WARREN","http://www.dec.ny.gov/outdoor/24493.html","43.799164","-73.475481","(43.799164, -73.475481)"
"Scaroon Manor Campground","WARREN","http://www.dec.ny.gov/outdoor/72082.html","43.767804","-73.788039","(43.767804, -73.788039)"
