"company_name","county","town","api_well_number","well_name","well_status","well_type_code","surface_longitude","surface_latitude","verified_location","region","georeference"
"Corona Typewriter","Albany","Knox","31001010720000","Finch 1","UN","NL","-74.126810","42.490290","NO","4","POINT (-74.12681 42.49029)"
"Belmont Quadrangle Drilling","Albany","New Scotland","31001010730000","Hilton James 1","UN","NL","-73.907680","42.644800","NO","4","POINT (-73.90768 42.6448)"
"Penn United","Allegany","Allen","31003000860000","Sheldon Arthur 1","UN","GD","-78.035880","42.391710","NO","9","POINT (-78.03588 42.39171)"
"Kerr & Kaufman","Allegany","Allen","31003000870000","Smith J S 1","UM","GD","-78.013270","42.421280","NO","9","POINT (-78.01327 42.42128)"
"Parsons Bros","Allegany","Allen","31003039690000","Siegl Bros 1","UM","GD","-78.049600","42.399140","NO","9","POINT (-78.0496 42.39914)"
"Cabot, G.L.","Allegany","Alma","31003004640000","Empire Rogers 1 525","UL","GD","-77.991060","42.001260","YES","9","POINT (-77.99106 42.00126)"
"Thornton Co.","Allegany","Alma","31003043810000","Fassett C L Oliphant 63t","UN","OW","-77.965260","42.060850","NO","9","POINT (-77.96526 42.06085)"
"Bradley Producing Corp.","Allegany","Alma","31003046410000","Lot 91, District 2133","UM","NL","-78.017400","42.035110","NO","9","POINT (-78.0174 42.03511)"
"Bradley Producing Corp.","Allegany","Alma","31003050250000","Lot 91 29-91","UN","OD","-78.019370","42.037700","NO","9","POINT (-78.01937 42.0377)"
"Unknown","Allegany","Alma","31003050790000","Lot 78 17","UN","NL",,,"NO","9",
"Love, Leon H.","Allegany","Alma","31003518500000","Keller,Bob 21","UL","IW","-77.958100","42.066180","YES","9","POINT (-77.9581 42.06618)"
"Case Oil Corp.","Allegany","Alma","31003553180000","Adrian 0117","UL","IW","-78.053593","42.077831","YES","9","POINT (-78.053593 42.077831)"
"Case Oil Corp.","Allegany","Alma","31003553190000","Adrian 137","UL","OD","-78.052973","42.077384","YES","9","POINT (-78.052973 42.077384)"
"Case Oil Corp.","Allegany","Alma","31003553200000","Adrian 099","UL","IW","-78.052333","42.077824","YES","9","POINT (-78.052333 42.077824)"
