"fiscal_year","request","dp_department","dv_division","bb_dp_dept","department_name","bb_sa_sort","service_area","or_org_number","org_number_and_name","fd_fund_number","fund_fund_numer","fund_number","fund_name","fund_number_and_name","fund_fund_number_and_name","pj_project","project_name","pg_program_number","program_number_and_name","order_account_category","category_name","expenditure_type","rev_or_exp","acct_number_and_name","ac_account_number","value"
"2015-2016","Existing","DP900 - Non Departmental and Port","DV902 - Employee Fringe Benefits","DP23 - Non-Departmental","Non-Departmental","DP2302","Fiscal Management","OR_90271","90271 - Overhead: Recovery and Taken","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000021","1000021 - DP900 Administrative Project","PG_IP51","IP51 - FISCAL MANAGEMENT","21 - Recoveries","Recoveries","Non-Personnel Expenditures","Expense","62214 - Overhead: Central Service Reimbursement","AC_62214","-19982989.86"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV301 - Public Works Director and Administration","DP21 - Oakland Public Works","Oakland Public Works","DV2100","Administration","OR_30111","30111 - Director's Office","FD_7760","Fund 7760","7760","Grant Clearing","7760 - Grant Clearing","Fund 7760 - Grant Clearing","PJ_1001288","1001288 - PWA OVERHEAD CLEARING","PG_AD01","AD01 - ADMINISTRATION-TO BE ALLOCATED","21 - Recoveries","Recoveries","Non-Personnel Expenditures","Expense","62213 - Overhead: Departmental Reimbursement","AC_62213","-9813141.02"
"2015-2016","Existing","DP900 - Non Departmental and Port","DV901 - Non-Departmental","DP23 - Non-Departmental","Non-Departmental","DP2302","Fiscal Management","OR_90121","90121 - Audit Adjustments: Unidentified","FD_1150","Fund 1150","1150","Worker's Compensation Insurance Claims","1150 - Worker's Compensation Insurance Claims","Fund 1150 - Worker's Compensation Insurance Claims","PJ_1000021","1000021 - DP900 Administrative Project","PG_IP51","IP51 - FISCAL MANAGEMENT","21 - Recoveries","Recoveries","Non-Personnel Expenditures","Expense","62236 - City Accounting Recoveries","AC_62236","-5882934.23"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2102","Design & Construction ","OR_30211","30211 - Engineering and Construction: Admin","FD_7760","Fund 7760","7760","Grant Clearing","7760 - Grant Clearing","Fund 7760 - Grant Clearing","PJ_1000689","1000689 - PWA DESIGN - ADMINSTRATION","PG_AD01","AD01 - ADMINISTRATION-TO BE ALLOCATED","21 - Recoveries","Recoveries","Non-Personnel Expenditures","Expense","62215 - Overhead: Division Reimbursement","AC_62215","-3368851.5"
"2015-2016","Existing","DP840 - Planning and Building Department","DV842 - City Planning and Zoning","DP20 - Planning & Building","Planning & Building","DV2004","General Plan, Zoning Update & Strategic Analysis","OR_84211","84211 - Planning","FD_5656","Fund 5656","5656","Coliseum: TA Bonds Series 2006B-T (Taxable)","5656 - Coliseum: TA Bonds Series 2006B-T (Taxable)","Fund 5656 - Coliseum: TA Bonds Series 2006B-T (Taxable)","PJ_1000165","1000165 - COLISM SPEC PN 5656-P452510","PG_SC09","SC09 - GENERAL PLAN, ZONING UPDATE & STRATEGIC ANALYSIS","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-1529948.47"
"2015-2016","Existing","DP080 - Finance Department","DV087 - Treasury Division","DP09 - Finance Department","Finance Department","DV0904","Treasury","OR_08721","08721 - Treasury: Operations","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000007","1000007 - DP080 Administrative Project","PG_IP59","IP59 - FINANCIAL MANAGEMENT","21 - Recoveries","Recoveries","Non-Personnel Expenditures","Expense","62236 - City Accounting Recoveries","AC_62236","-1402420.91"
"2015-2016","Existing","DP940 - Capital Improvement Projects","DV940 - Capital Improvement Projects: Not Public Works","DP24 - Capital Improvement Projects","Capital Improvement Projects","DV2400","Capital Improvement Projects","OR_94879","94879 - CIP Oakland Army Base","FD_2129","Fund 2129","2129","Trade Corridor Improvement Fund (TCIF) State Grant","2129 - Trade Corridor Improvement Fund (TCIF) State Grant","Fund 2129 - Trade Corridor Improvement Fund (TCIF) State Grant","PJ_1001336","1001336 - TCIF OHIT 2129-C470010","PG_SC07","SC07 - OARB-BAY BRIDGE GATEWAY","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-1266855.24"
"2015-2016","Existing","DP940 - Capital Improvement Projects","DV940 - Capital Improvement Projects: Not Public Works","DP24 - Capital Improvement Projects","Capital Improvement Projects","DV2400","Capital Improvement Projects","OR_94859","94859 - CIP Coliseum","FD_5656","Fund 5656","5656","Coliseum: TA Bonds Series 2006B-T (Taxable)","5656 - Coliseum: TA Bonds Series 2006B-T (Taxable)","Fund 5656 - Coliseum: TA Bonds Series 2006B-T (Taxable)","PJ_1000165","1000165 - COLISM SPEC PN 5656-P452510","PG_SC12","SC12 - COLISEUM","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-1160824"
"2015-2016","Existing","DP750 - Human Services Department","DV781 - Administration Division","DP17 - Human Services","Human Services","DV1700","Administration","OR_78111","78111 - Department of Human Services: Administration","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000017","1000017 - DP780 Administrative Project","PG_NB27","NB27 - COMMUNITY & PROGRAM DEVELOPMENT","21 - Recoveries","Recoveries","Non-Personnel Expenditures","Expense","62213 - Overhead: Departmental Reimbursement","AC_62213","-1147839.24"
"2015-2016","Existing","DP200 - Fire Department","DV204 - Fire: Operations","DP14 - Fire Department","Fire Department","DV1401","Field Operations","OR_20411","20411 - Emergency / Suppression: Shift A","FD_2124","Fund 2124","2124","Federal Emergency Management Agency (FEMA)","2124 - Federal Emergency Management Agency (FEMA)","Fund 2124 - Federal Emergency Management Agency (FEMA)","PJ_1000581","1000581 - SAFER GRANT 2012 G407030","PG_PS17","PS17 - FIRE SUPPRESSION/FIELD OPERATIONS","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-548032.7"
