"grant_period","grant_number","recipient","project_title","amount","abstract","county","oregon_congressional_district","library_type"
"2021-2022","21-03-2A","University of Oregon Libraries","Equitable Access to All Oregon Culture Keepers","49912.00","Improve public access to documentation of Oregon's underserved ""culture keepers"" by publishing finding aids and catalog records for survey collections, updating these to our online Roster and formally assessing its usability for community libraries, museums, and schools.","Lane","4","academic"
"2021-2022","21-04-1A","University of Oregon Libraries","A Hidden Population Revealed: The Archive of Pineros y Campesinos Unidos del Noroeste (PCUN)","83726.00","Provide preservation and access to the archive of the Pineros y Campesinos Unidos del Noroeste/Northwest Treeplanters and Farmworkers United (PCUN), Oregon's largest farm workers union founded by and for Latinx populations.","Lane","4","academic"
"2021-2022","21-05-2M","Curry Public Library District","Coastline Network Catalog Standardization","30000.00","Hire a consultant to establish cataloging policies and provide staff training to the Coastline Library Network, in order to create a clean, efficient, user friendly catalog.","Curry","4","public"
"2021-2022","21-05-2M","Lincoln County Library District","Feasibility Study for a Lincoln County Library District (LCLD) Shared Integrated Library System","30000.00","Discover the most cost-effective, inclusive option for a shared ILS between libraries in Lincoln County in preparation for establishing a unified system for Lincoln County libraries that will provide excellent library services for Lincoln County Library District citizens.","Lincoln","5","public"
"2021-2022","21-01-5S","Lane County/Lane County Law Library","Educating and Empowering Lane County Renters: Developing Authoritative Legal Information for Tenants","31284.00","Work with community partners to establish a central hub for authoritative, comprehensive, and current legal information on landlord/tenant law targeted specifically to Lane County renters.","Lane","4","special"
"2021-2022","21-02-1P","Hood River County Library District","Bookmobile Project","74972.00","Expand impact and outreach efforts to engage Latinx community members, seniors, and low-income community members in rural Hood River County.","Hood River","2","public"
"2021-2022","21-07-3M","Libraries of Eastern Oregon","Equity, Diversity, and Inclusion in Action: Implementation Tools for Rural and Small Libraries","139660.00","Engage library staff in small and rural libraries, particularly in eastern Oregon but including southern Oregon, in learning, developing, and implementing skills and best practices that will be critical to introducing lasting and successful EDI initiatives in small, rural, and conservative communities.","Baker, Crook, Gilliam, Grant, Harney, Hood River, Lake, Malheur, Morrow, Sherman, Umatilla, Union, Wallowa, Wasco, Wheeler","2","public"
"2020-2021","20-09-1A","Lewis & Clark College","Vietnamese Portland: History, Community, Memory","55185.00","The Watzek Library is creating a collection that documents the experiences of the Vietnamese-American population of the Portland metropolitan area. Alongside continuing the collecting work that we have undertaken in the past two years with LSTA support, this year the project will put a new emphasis on creating access to the collection, disseminating information about the collection, and spurring curiosity in the stories that we are now able to share.","Multnomah","1","academic"
"2020-2021","20-05-5M","Linn-Benton Community College","Linn Benton Community Literacy Partnership","87235.30","In year one, the project set up partnerships between LBCC, the Linn Libraries Consortium, the GED Network, and local non-profit organizations and began to provide tutoring for Linn County residents with low literacy in English. In the second year, this project will expand by recruiting and tutoring more students, expanding services to Benton County and acquiring/creating materials for literacy tutoring in Spanish.","Linn; Benton","4","academic"
"2020-2021","20-07-4A","Pacific University","Revealing the Library’s Hidden Curriculum","18073.80","Project partners will work with a transparent design expert to convene an in-person train-the-trainer workshop for 20 Oregon librarians, with participants drawn from both 2-year and 4-year private and public institutions across the state. Participating librarians will have the opportunity to revise or create instructional materials informed by transparent principles, and will be expected to contribute these materials to an open repository of instruction content that will be created and hosted by Pacific University. Participants will also be expected to share the training through mini-workshops held at their own institutions, which will be open to all librarians in their particular region of Oregon, to help academic libraries across the state prepare to work with more diverse student populations.","Washington","1","academic"
