"reference_no_","status","date_open","date_closed","respondent","address_1","address_2","city","state","zip","contactflagonaddr1","business_type","complaint_description","closing_description","location_by_zip","geo_data_location"
"FF6490-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","ROGERS TOWING & TRANSPORT LLC*","PO BOX 669",,"VENETA","OR","97487",,"Towing (motor vehicles)","Failed to fulfill contract","DOJ has No Jurisdiction","
,  97487
(43.976298, -123.396551)",
"FF6482-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","SWEETHEART SCAM VICTIM",,,,,,,"Private Party Elder Fraud","Elder Financial Exploitation","Information Only",,
"FF6494-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","SPECIALIZED LOAN SERVICING, LLC*","8742 LUCENT BLVD SUITE 300",,"HIGHLANDS RANCH","CO","80163",,"Credit/Lending: Mortgage Loan Servicing","Acted unconscionably during collection activity","Referred Complainant Elsewhere","
,  80163
(39.54, -104.94)",
"FF6484-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","THE GUN BROKER","14981 SE 82ND DR",,"CLACKAMAS","OR","97015",,"Recreation: Sporting goods stores","Failure to disclose terms or honor terms of gift certificate or gift card","Company Out of Business","
,  97015
(45.417556, -122.538225)",
"FF6501-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","DEPARTMENT OF HUMAN SERVICES*","OFFICE OF THE DIRECTOR","500 SUMMER ST. NE, E-15","SALEM","OR","97301",,"General Government","General allegation of unlawful conduct","DOJ has No Jurisdiction","
,  97301
(44.948512, -123.006732)",
"FF6470-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","CHILDRENS SAFETY BUREAU",,,,,,,"Community Service/Charity: Fundraising for Charitable purposes","General allegation of unlawful conduct","Referred Complainant Elsewhere",,
"FF6508-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","BYTEDANCE TECHNOLOGY CO",,,,,,,"Not Assigned","Private Class Action","Class Action Fairness Act Notice",,
"FF6474-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","CAR WRAP SCAM",,,,,,,"Fraudulent Entity","General allegation of unlawful conduct","Information Only",,
"FF6487-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","ADVANCED PAIN CARE","MARK GREENBERG","638 N MAIN ST, STE A","ASHLAND","OR","97520",,"Health: Offices of Physicians (exc Mental Health)","General allegation of unlawful conduct","Referred Complainant Elsewhere","
,  97520
(42.143069, -122.566304)",
"FF6499-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","AT&T MOBILITY LLC*","OFFICE OF THE PRESIDENT","308 S AKARD ST, RM 1110","DALLAS","TX","75202",,"Telecommunications: Cellular & Other Wireless","Inaccurately calculated a bill or debt, a portion of which the complainant does owe","Referred Complainant Elsewhere","
,  75202
(32.779989, -96.803609)",
"FF6519-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","LANDRY'S INC DATA BREACH","1510 W LOOP SOUTH",,"HOUSTON","TX","77027",,"Gambling: Casinos (except Hotel Casinos)","Lost or mishandled consumer's personal data","Information Only","
,  77027
(29.738512, -95.447309)",
"FF6506-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","VITALRECORDSCERTIFICATES.COM",,,,"OR",,,"Publishers: Database and Directory","Failed to deliver any goods or services","Referred Complainant Elsewhere",,
"FF6503-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","BURT DEGRAW",,,,,,,"Private Party Elder Fraud","Elder Financial Exploitation","Private Lawsuit (Elder Abuse)",,
"FF6477-19","Closed","2019-12-31T00:00:00.000","2019-12-31T00:00:00.000","SCAM CALLER",,,,,,,"Fraudulent Entity","False or misleading representation of source by caller ID spoofing","Information Only",,
