"fiscal_year","department","acct_name","amount","vendor_name","state","gl_acct"
"2021","177-OREGON STATE LOTTERY","Contract Payments","13790.14","DEPT OF ADMIN SERVICES ENTERPRISE","OR","77020"
"2021","177-OREGON STATE LOTTERY","Other Services and Supplies","35.00","CITY OF MCMINNVILLE","OR","83030"
"2021","177-OREGON STATE LOTTERY","Minor Spare Parts","2860.28","ROSE CITY LABEL","OR","87010"
"2021","177-OREGON STATE LOTTERY","Prepaid Expenses","21508.50","PREMIER WIRELESS SOLUTIONS","CA","16010"
"2021","177-OREGON STATE LOTTERY","Repairs & Maintenance","312.00","SURF THRU INC","CA","81020"
"2021","177-OREGON STATE LOTTERY","In-State Travel","165.00","DAVENPORT, CAROLYN","OR","71010"
"2021","177-OREGON STATE LOTTERY","Network Communication","851.63","CHARTER COMMUNICATIONS HOLDINGS LLC","MO","74060"
"2021","177-OREGON STATE LOTTERY","Research","37700.00","C + R RESEARCH","IL","84500"
"2021","177-OREGON STATE LOTTERY","Rent","80361.36","MCGRAW HOLDINGS LLC","OR","79010"
"2021","177-OREGON STATE LOTTERY","Janitorial Supplies","287.06","STAPLES BUSINESS ADVANTAGE","MA","80050"
"2021","177-OREGON STATE LOTTERY","Prepaid Expenses","44800.00","GAMING STANDARDS ASSOCIATION","CA","16010"
"2021","177-OREGON STATE LOTTERY","POP/Brochures","3121.34","SALEM PRINTING & BLUEPRINT INC","OR","84110"
"2021","177-OREGON STATE LOTTERY","Other Services and Supplies","114.95","SANSOM, ZACHARY","OR","83030"
"2021","177-OREGON STATE LOTTERY","Other Services and Supplies","29.00","CLYDES KEY  LOCK  & SAFE","OR","83030"
"2021","177-OREGON STATE LOTTERY","Building Maintenance - General","5312.52","PACIFIC OFFICE SOLUTIONS, LLC.","WA","80010"
"2021","177-OREGON STATE LOTTERY","Software Purchases","32524.18","ACCESSDATA GROUP INC","UT","76070"
"2021","177-OREGON STATE LOTTERY","Shipping","37343.83","COLUMBIA CORRUGATED BOX COMPANY INC","OR","72010"
"2021","177-OREGON STATE LOTTERY","Research","-35000.00","IGT GLOBAL SOLUTIONS CORPORATION","OR","84500"
"2021","177-OREGON STATE LOTTERY","Repairs & Maintenance","35.92","MCCOY FREIGHTLINER","OR","81020"
"2021","177-OREGON STATE LOTTERY","Minor Spare Parts","2132.25","CDW LLC","VA","87010"
"2021","177-OREGON STATE LOTTERY","Merchandise / Display","31935.60","PACIFIC NORTHWEST DOOR & HARDWARE INC","OR","88050"
"2021","177-OREGON STATE LOTTERY","Prepaid Expenses","39197.74","PRESIDIO NETWORKED SOLUTIONS GROUP, LLC","VA","16010"
"2021","177-OREGON STATE LOTTERY","Professional Development","1353.57","SECRETARY OF STATE/BUSINESS SERVICE","OR","78030"
"2021","177-OREGON STATE LOTTERY","In-State Travel","533.37","WOLFE, ORA ELI","OR","71010"
"2021","177-OREGON STATE LOTTERY","Repairs & Maintenance","1685.24","LITHIA CHEVROLET CADILLAC OF BEND","OR","81020"
"2021","177-OREGON STATE LOTTERY","In-State Travel","861.00","MULLINS, ROBERT","OR","71010"
"2021","177-OREGON STATE LOTTERY","Computer Software - Traditional","54119.40","GAMING LABORATORIES INT'L LLC","NJ","19040"
"2021","177-OREGON STATE LOTTERY","In-State Travel","1980.00","GUNDERSON, RON","OR","71010"
"2021","177-OREGON STATE LOTTERY","Software Purchases","222266.61","SHI INTERNATIONAL CORP","NJ","76070"
"2021","177-OREGON STATE LOTTERY","Central Gaming System","431538.75","VANTIV","OH","66020"
"2021","177-OREGON STATE LOTTERY","Central Gaming System","3040.00","SENDGRID INC","CO","66020"
"2021","177-OREGON STATE LOTTERY","Central Gaming System","926513.69","SIGHTLINE INTERACTIVE LLC","NV","66020"
"2021","177-OREGON STATE LOTTERY","Central Gaming System","553276.74","TRUSTLY","OR","66020"
"2021","177-OREGON STATE LOTTERY","Software Purchases","1795.08","ROADMUNK, INC","ON","76070"
"2021","177-OREGON STATE LOTTERY","Sign & Advertising Display","24385.82","CASCADE GRAPHICS","OR","88065"
"2021","177-OREGON STATE LOTTERY","Shipping","1436.77","GARTEN  SERVICES INC","OR","72010"
"2021","177-OREGON STATE LOTTERY","Security Services","435.25","HID GLOBAL CORPORATION","TX","83025"
"2021","177-OREGON STATE LOTTERY","Minor Spare Parts","50404.97","SCIENTIFIC GAMES","NV","87010"
"2021","177-OREGON STATE LOTTERY","Minor Spare Parts","92.24","PACIFIC PACKAGING & SHIPPING SUPPLY","OR","87010"
"2021","177-OREGON STATE LOTTERY","Minor Spare Parts","607671.79","INTERNATIONAL GAME TECHNOLOGY","NV","87010"
"2021","177-OREGON STATE LOTTERY","Minor Spare Parts","2535.76","GAMESMAN LTD","WE","87010"
"2021","177-OREGON STATE LOTTERY","Rent","97185.05","PACIFIC NW PROPERTIES, LP","OR","79010"
"2021","177-OREGON STATE LOTTERY","Recruiting","2000.00","PARTNERS IN DIVERSITY","OR","78015"
"2021","177-OREGON STATE LOTTERY","Print Media","695652.48","POLLINATE, INC.","OR","84060"
"2021","177-OREGON STATE LOTTERY","Agency Fees","10500.00","BRIGHTWATER ENTERTAINMENT INC","OR","85010"
"2021","177-OREGON STATE LOTTERY","Contract Payments","324965.60","FORRESTER RESEARCH INC","MA","77020"
"2021","177-OREGON STATE LOTTERY","Janitorial Services","2300.00","SHINING ENTERPRISES INC","OR","80040"
"2021","177-OREGON STATE LOTTERY","Prepaid Expenses","9999.99","LOGMEIN USA, INC.","MA","16010"
"2021","177-OREGON STATE LOTTERY","Contract Payments","32500.00","IGT GLOBAL SOLUTIONS CORPORATION","OR","77020"
"2021","177-OREGON STATE LOTTERY","Prepaid Expenses","10000.00","GAMTALK","QC","16010"
"2021","177-OREGON STATE LOTTERY","In-State Travel","82.50","WELLS, KEITH","OR","71010"
"2021","177-OREGON STATE LOTTERY","Prepaid Expenses","7000.00","CRITICAL MENTION","NY","16010"
"2021","177-OREGON STATE LOTTERY","Contract Payments","3900.00","INFO-TECH RESEARCH GROUP INC","NV","77020"
"2021","177-OREGON STATE LOTTERY","Prepaid Expenses","1416.00","A STORAGE PLACE OF KEIZER","OR","16010"
"2021","177-OREGON STATE LOTTERY","In-State Travel","1457.50","LINKEL, DAVID","OR","71010"
"2021","177-OREGON STATE LOTTERY","Out-of-State Travel","259.36","CENTURYLINK","CO","71030"
"2021","177-OREGON STATE LOTTERY","Contract Payments","8100.00","LASERFICHE","CA","77020"
"2021","177-OREGON STATE LOTTERY","Other Services and Supplies","324.47","SMARTSHEET, INC.","WA","83030"
"2021","177-OREGON STATE LOTTERY","In-State Travel","1234.50","FUGATE, RANDALL W.","OR","71010"
"2021","177-OREGON STATE LOTTERY","Other Services and Supplies","27.00","DEPT OF TRANSPORTATION","OR","83030"
"2021","177-OREGON STATE LOTTERY","Other Services and Supplies","119.99","COOK, BILL","OR","83030"
"2021","177-OREGON STATE LOTTERY","Contract Payments","100.00","OCCUPATIONAL SAFETY, HEALTH, AND WELLNESS, LLC.","OR","77020"
"2021","177-OREGON STATE LOTTERY","Contract Payments","539.14","OFFICE DEPOT INC","FL","77020"
"2021","177-OREGON STATE LOTTERY","Contract Payments","25750.00","ONENECK IT SOLUTIONS, LLC.","WI","77020"
"2021","177-OREGON STATE LOTTERY","Contract Payments","352.32","SILVERSKY INC","CT","77020"
"2021","177-OREGON STATE LOTTERY","Contract Payments","0.00","SPECTRA SYSTEMS CORPORATION","RI","77020"
"2021","177-OREGON STATE LOTTERY","Contract Payments","0.00","TEAMLOGIC IT 63704","OR","77020"
"2021","177-OREGON STATE LOTTERY","Contracts Payable - Short-term","45828.14","iCIMS, INC.","NJ","28000"
"2021","177-OREGON STATE LOTTERY","Agency Fees","5625.00","CONSTANCE R. JONES","NV","85010"
"2021","177-OREGON STATE LOTTERY","Network Communication","20281.01","COMCAST","OR","74060"
"2021","177-OREGON STATE LOTTERY","Sign & Advertising Display Parts","42780.00","IMAGE MARKETING COMPANY","CA","88070"
"2021","177-OREGON STATE LOTTERY","Network Communication","450.00","AMERICAN REGISTRY FOR INTERNET NUMBERS, LTD","VA","74060"
"2021","177-OREGON STATE LOTTERY","Contract Payments","323130.00","MCA CONNECT, LLC","CO","77020"
"2021","177-OREGON STATE LOTTERY","Miscellaneous Income","-209.63","COLUMBIA CORRUGATED BOX COMPANY INC","OR","45010"
"2021","177-OREGON STATE LOTTERY","Security Services","326.00","PACIFIC ALARM SYSTEMS","OR","83025"
"2021","177-OREGON STATE LOTTERY","Misc Small Parts & Tools","700.73","CRAFTSMAN LABEL INC","OR","83050"
"2021","177-OREGON STATE LOTTERY","Secretary of State Charges","118247.75","SECRETARY OF STATE AUDITS DIVISION","OR","75030"
"2021","177-OREGON STATE LOTTERY","Research","43420.00","PACIFIC MARKET RESEARCH, LLC","WA","84500"
"2021","177-OREGON STATE LOTTERY","Repairs & Maintenance","593.00","VALLEY PRESSURE WASHING","OR","81020"
"2021","177-OREGON STATE LOTTERY","Repairs & Maintenance","2937.76","SAFELITE AUTO GLASS","OR","81020"
"2021","177-OREGON STATE LOTTERY","Repairs & Maintenance","250.70","PENDLETON QUICKY LUBE","OR","81020"
"2021","177-OREGON STATE LOTTERY","Repairs & Maintenance","288.00","MILL STREET LLC","OR","81020"
"2021","177-OREGON STATE LOTTERY","Minor Spare Parts","35127.24","IGT CANADA SOLUTIONS ULC","NB","87010"
"2021","177-OREGON STATE LOTTERY","Repairs & Maintenance","181.13","DEPT OF ADMIN SERVICES ENTERPRISE ASSET MANAGEMENT","OR","81020"
"2021","177-OREGON STATE LOTTERY","Minor Spare Parts","10831.14","CPI CRANE PAYMENT INNOVATIONS INC","PA","87010"
"2021","177-OREGON STATE LOTTERY","Contract Payments","39862.24","IMARCSGROUP.COM LLC","FL","77020"
"2021","177-OREGON STATE LOTTERY","Minor Spare Parts","3838722.02","ARISTOCRAT TECHNOLOGIES INC","NV","87010"
"2021","177-OREGON STATE LOTTERY","Recycling & Disposal","573.10","ENVIRONMENTAL PROTECTION SVCS OF OREGON","OR","83070"
"2021","177-OREGON STATE LOTTERY","Merchandise / Display","8232.88","TAKE-A-TICKET","OR","88050"
