"county","project_name","address","city","management","contact_phone","total_units","single_room_occupancy","studio","_1_bedroom","_2_bedrooms","_3_bedrooms","_4_bedrooms"
"Marion","Creekside Duplexes","1080 Washington St","Aumsville","Marion County Housing Authority","503-798-4170","8",,,,,"8",
"Marion","Marie Manor","3681 Casteel St","Hubbard","Russ & Joan Kercher","858-232-2848","4",,,,"3","1",
"Marion","Pacific Arms Apts","2959 A St","Hubbard","Bodan Investments","503-981-1741","4",,,"3","1",,
"Marion","Evergreen Park Court","426 Union St","Jefferson","Marion County Housing Authority","503-798-4170","12",,,,"6","6",
"Marion","Hazel Court","549 E Hazel St","Jefferson","St Vincent de Paul of Lane County","541-687-5820","16",,,,,,
"Marion","Apple Blossom Apts","139 Apple Blossom Ave N","Keizer","Catholic Community Services","503-566-2804","12",,,,"8","4",
"Marion","Chemawa Village","831 Chemawa Rd N","Keizer","Catholic Community Services","503-566-2804","12",,,,"12",,
"Marion","Cottonwood Apts","801 Chemawa Rd N","Keizer","Pelton Project","541-760-7851","5",,,"5",,,
"Marion","Cascade Valley Apts","455 W Marquam St","Mt. Angel","Viridian Management","503-845-6041","40",,,"16","24",,
"Marion","Edelweiss Village Apts","150 N Garfield St","Mt. Angel","Marion County Housing Authority","503-798-4170","28",,,"28",,,
"Marion","Sheridan Senior Estates","185 S Sheridan St","Mt. Angel","Marion County Housing Authority","503-798-4170","14",,,"14",,,
"Marion","Spruce Terrace","830 N Pershing St","Mt. Angel","St. Vincent de Paul of Lane County","541-687-5820","34",,,"2","18","14",
"Marion","Alphabet House","3300 Portland Rd NE","Salem","The Alphabet House","503-391-5321","5",,"5",,,,
"Marion","Bluffs at Ratcliff","3202 Bluff Ave SE","Salem","Taylor Real Estate & Management","503-393-9127","20",,,"20",,,
"Marion","Briarwood Manor","643 Manbrin NE Dr","Salem","Cambridge Real Estate Services","541-905-6848","10",,,"10",,,
"Marion","Campus Court Apts","4169 Campus Lp NE","Salem","Signature Real Estate","503-767-4543","47",,,,,,
"Marion","Capitol Plaza Apts","1165 Chemeketa St NE","Salem","M. Duane Rawlins","503-363-4707","35",,,"35",,,
"Marion","Colonia Libertad","2911 Saddle Club Ct SE","Salem","Evolve Property Management","503-315-2288",,,,,,,
"Marion","Cornerstone Apts.","3350 Portland Rd NE","Salem","Shelter Management Inc.","503-585-6176","180",,"12","25","95","48",
"Marion","East State Street","4170 State St","Salem","Catholic Community Services","503-362-3031","5","5",,,,,
"Marion","Englewood East","3140 Tess Ave NE","Salem","Salem Housing Authority","503-373-3805","50",,,"47","3",,
"Marion","Englewood West Apts","1068 Park Ave NE","Salem","Salem Housing Authority","503-373-3805","54",,,"54",,,
"Marion","Fischer Court I","1810 32nd Pl NE","Salem","Fischer Court Apartments","503-584-1126","49",,"24","23","2",,
"Marion","Fischer Court II","3312 Sunnyview Ave NE","Salem","Fischer Court Apartments","503-584-1126","16",,,,,,
"Marion","Fisher/Sizemore","1905 Sizemore Dr NE","Salem","Spruce Villa Inc.","503-586-2312","12",,,,"12",,
"Marion","Four Oaks","1083 23rd St NE","Salem","St Vincent de Paul of Lane County","541-687-5820","24",,,,,,
"Marion","Grant Apts","1355 4th St NE","Salem","Catholic Community Services","503-566-2804","6",,,,"6",,
"Marion","Highland Cottages","1230 Highland Ave NE","Salem","Catholic Community Services","503-566-2804","9",,,"8",,,"1"
"Marion","Highland Manor","1217 Highland Ave NE","Salem","Richard B Lefor","503-364-5851","16",,,"16",,,
"Marion","Highland Manor Annex","1237 Highland Ave NE","Salem","Richard B Lefor","503-364-5851","4","4",,,,,
"Marion","Highland Station","1262 Highland Ave NE","Salem","Catholic Community Services","503-566-2804","16",,,,"10","6",
"Marion","Jason Lee Manor","1551 Center St NE","Salem","Concepts in Community Living","503-585-6511","75",,,,,,
"Marion","Lee Street Apts","2585 Lee St SE","Salem","Catholic Community Services","503-362-3031","8",,,"8",,,
"Marion","Liberty Road Apts","4550 Liberty Rd NE","Salem","Catholic Community Services","503-566-2804",,,,,,,
"Marion","Marilyn Street Apts","1250 Marilyn St SE","Salem","Catholic Community Services","503-362-3031","4",,,,"4",,
"Marion","Mill Creek Meadows","200 25th St NE","Salem","Catholic Community Services","503-362-3031","31",,"1","22","8",,
"Marion","Oakhill Apts","3837 12th St SE","Salem","Cascade Management Inc.","503-363-8633","56",,,"30","21","5",
"Marion","Orchard Park Apts","4100 Kacey Cir NE","Salem","Cascade Management Inc.","503-393-2000","224",,,"64","96","64",
"Marion","Parkway Apts","3143 7th Pl NE","Salem","Salem Housing Authority","503-390-8008","124",,,,"78","32","14"
"Marion","Providence Place","3524 Fisher Rd NE","Salem","Salem Housing Authority","503-363-9640","67",,,"66","1",,
"Marion","Renaissance Place Apts","1725 Evergreen Ave NE","Salem","Catholic Community Services","503-362-3031","28",,,"20","8",,
"Marion","River Park Apts","2981 River Rd N","Salem","Catholic Community Services","503-566-2804","10",,,"3","7",,
"Marion","Robert Lindsey Tower Apts","370 Church St SE","Salem","Salem Housing Authority","503-587-4807","62",,,"40","22",,
"Marion","Salem Manor","4085 Market St NE","Salem","Income Property Management","503-362-6391","64",,,"24","25","15",
"Marion","Southfair Apts","1903 Fairgrounds Rd NE","Salem","Salem Housing Authority","503-390-8008","38",,,,,,
"Marion","Southview Terrace Apts","375 Fairview Ave SE","Salem","Salem Housing Authority","503-373-3814","60",,,"12","48",,
"Marion","Statesman Mill Creek","539 Statesman NE","Salem","Catholic Community Services","503-566-2804","12",,,"6","6",,
"Marion","Stoneridge Apts","3864 Sunnyview Rd NE","Salem","707 Property Management","503-370-9276","140",,,"18","122",,
"Marion","Sunnyside Village","4810 Sunnyside Rd SE","Salem",,"503-363-0781","58",,"58",,,,
"Marion","Sunnyslope Manor","1000 Cunningham Ln S","Salem","Cascade Management Inc.","503-364-5065","50",,,"28","18","4",
"Marion","The Grotto","4300 Rickey St SE","Salem","Sunny Oaks Inc.","503-362-5107","8",,,"4","4",,
"Marion","University House","2416 State St","Salem","Salem Self Help Housing","503-588-8821","3",,,"3",,,
"Marion","Viking Village","3424 Fairhaven Ave NE","Salem","Cascade Management Inc.","503-585-2627","87",,"9","50","24","4",
"Marion","Village East Apts","108 Village East Wy SE","Salem","Shelter Management Inc.","503-375-9700","112",,,,"80","32",
"Marion","Wallerwood Apts","1134 Waller St SE","Salem","St. Vincent de Paul of Lane County","541-687-5820","22",,,"22",,,
"Marion","White Oaks Apts","2579 Lee St SE","Salem","Catholic Community Services","503-362-3031",,,,,,,
"Marion","Winter Street Apts","2029 Winter St SE","Salem","Catholic Community Services","503-362-3031","12",,,"12",,,
"Marion","Colonia Jardines","1335 S. Water St","Silverton","Evolve Property Management","503-874-4604","20",,,,,,
"Marion","Silverton Manor Apts","992 N 2nd St","Silverton","Guardian Real Estate Services","503-873-4186","39",,,"20","16","3",
"Marion","Silvertowne Apts","1080 N 2nd St","Silverton","OR Housing & Associated Services","503-873-6978","40",,,"35","5",,
"Marion","Silvertowne II","1115 Mill St","Silverton","OR Housing & Associated Services","503-873-6978","46",,,"40","6",,
"Marion","Twilight Court","811 S Water St","Silverton","Twighlight Courts","503-873-3339","29",,"29",,,,
"Marion","Hollister Apts","315 W Hollister","Stayton","Signature Real Estate","503-767-4543","20",,,,"20",,
"Marion","Oak Park Village","1011 N 10th Ave","Stayton","Marion County Housing Authority","503-798-4170","32",,,"32",,,
"Marion","Stayton Manor","660 W Ida St","Stayton","Marion County Housing Authority","503-373-4470","32",,,"21","11",,
"Marion","Westside Apts","965 Gardner Rd","Stayton","Evolve Property Management","503-979-0009","24",,,"16","8",,
"Marion","Wolf Ridge","1301 E Santiam St","Stayton","St. Vincent de Paul of Lane County","541-687-5820","51",,,,"27","24",
"Marion","Summerset Village","345 E Starr","Sublimity","Evolve Property Management","503-979-0009","24",,,,,,
"Marion","Burnwood Manor","601 Young St","Woodburn","Guardian Real Estate Services","503-802-3600","28",,,,"20","8",
"Marion","Colonia Unidad","1750 Park Ave","Woodburn","Evolve Property Management","503-902-0849","44",,,,,,
"Marion","Esperanza Court","160 W. Cleveland St","Woodburn","Evolve Property Management","503-902-0849","12",,,,"12",,
"Marion","Farmdale","1319 W Lincoln","Woodburn","Housing Authority of Marion County","503-798-4170","44",,,,"11","25","8"
"Marion","Lincoln Apts","1200 E Lincoln","Woodburn","Shelter Management Inc.","503-585-6176","16",,,,,,
"Marion","Nuevo Amanecer","1274 N. Fifth St","Woodburn","Evolve Property Management","503-902-0849","90",,,,"23","51","16"
"Marion","Park Avenue Apts","1469 Park Ave","Woodburn","Northwest Real Estate Capital Corp.","503-981-3388","26",,,,"14","12",
