"holiday","day","date"
"New Years Day","Tuesday","2013-01-01T00:00:00.000"
"Martin Luther King Day","Monday","2013-01-21T00:00:00.000"
"President's Day","Monday","2013-02-18T00:00:00.000"
"Memorial Day","Monday","2013-05-27T00:00:00.000"
"Independence Day","Thursday","2013-07-04T00:00:00.000"
"Victory Day","Monday","2013-08-12T00:00:00.000"
"Labor Day","Monday","2013-09-02T00:00:00.000"
"Columbus Day","Monday","2013-10-14T00:00:00.000"
"Veteran's Day","Monday","2013-11-11T00:00:00.000"
"Thanksgiving Day","Thursday","2013-11-28T00:00:00.000"
"Day after Thanksgiving","Friday","2013-11-29T00:00:00.000"
"Christmas Day","Wednesday","2013-12-25T00:00:00.000"
