"record","title","date_issued","expires","name_of_food_truck_cart","corporation_business_or"
"19-2589","Mobile Food Establishment Permit","2019-11-14T16:35:00.000","2019-12-31T05:00:00.000","Blount Soup Truck","Blount Fine Foods"
"19-2600","Mobile Food Establishment Permit","2019-11-08T19:17:00.000","2019-12-31T05:00:00.000","Fermatha Pawoh Seafood","Fermatha K Willie"
"19-2280","Mobile Food Establishment Permit","2019-11-08T17:56:00.000","2019-12-31T05:00:00.000","Mr. Mirano","Mr. Mirano LLC"
"19-2521","Mobile Food Establishment Permit","2019-11-06T18:11:00.000","2019-12-31T05:00:00.000","Union Burrito","Proud Mary's DBA Union Burrito"
"19-2457","Mobile Food Establishment Permit","2019-10-28T16:37:00.000","2019-12-31T05:00:00.000","Folklore Latino","Justo Rodriguez"
"19-1946","Mobile Food Establishment Permit","2019-10-25T18:32:00.000","2019-12-31T05:00:00.000","Sazon Bandit","Tanairi garcia"
"19-2378","Mobile Food Establishment Permit","2019-10-04T17:16:00.000","2019-12-31T05:00:00.000","Delicius Point","Karina Pena"
"19-2389","Mobile Food Establishment Permit","2019-10-02T18:12:00.000","2019-12-31T05:00:00.000","Rhodedogs","Rhodedogs"
"19-2299","Mobile Food Establishment Permit","2019-10-01T13:19:00.000","2019-12-31T05:00:00.000","Oatmeal Cafe","Courtney Dietz"
"19-2288","Mobile Food Establishment Permit","2019-09-27T18:27:00.000","2019-12-31T05:00:00.000","Rolling Thaiâ€™d","Rolling cold dba Rolling thaid"
"19-1944","Mobile Food Establishment Permit","2019-09-26T20:14:00.000","2019-12-31T05:00:00.000","Butterbang","Butterbang, LLC"
"19-2191","Mobile Food Establishment Permit","2019-09-06T13:50:00.000","2019-12-31T05:00:00.000","Nui's Delicious Dogs","Owner"
"19-2126","Mobile Food Establishment Permit","2019-08-28T17:02:00.000","2019-12-31T05:00:00.000","Stank dogs catering","Stank dogs catering"
"19-2073","Mobile Food Establishment Permit","2019-08-21T19:55:00.000","2019-12-31T05:00:00.000","Bau Healthy Food","Maria Lopes"
"19-2043","Mobile Food Establishment Permit","2019-08-16T18:58:00.000","2019-12-31T05:00:00.000","Tizzy K's Cereal Ice Cream","Tizzy K's Cereal Ice Cream"
"19-1951","Mobile Food Establishment Permit","2019-08-09T19:32:00.000","2019-12-31T05:00:00.000","Kijavi Juice","Kijavi Juice Co. LLC"
"19-1336","Mobile Food Establishment Permit","2019-08-08T17:04:00.000","2019-12-31T05:00:00.000","DE COLITA CHIMI","EDDILUZ ROMERO DBA DE COLITA CHIMI"
"19-1968","Mobile Food Establishment Permit","2019-08-08T15:46:00.000","2019-12-31T05:00:00.000","La Reyna del sabor","Elizabeth Franco"
"19-807","Mobile Food Establishment Permit","2019-08-02T19:27:00.000","2019-12-31T05:00:00.000","Pit Stop rn","Rami Gerges"
"19-1906","Mobile Food Establishment Permit","2019-08-01T15:18:00.000","2019-12-31T05:00:00.000","edy star ice cream","edy star ice cream"
"19-1203","Mobile Food Establishment Permit","2019-07-31T16:44:00.000","2019-12-31T05:00:00.000","Summers Delight","Summers Delight"
"19-1837","Mobile Food Establishment Permit","2019-07-31T14:52:00.000","2019-12-31T05:00:00.000","leo ice cream","leopoldo herrera"
"19-1873","Mobile Food Establishment Permit","2019-07-31T13:06:00.000","2019-12-31T05:00:00.000","myrollingcafe","Instyle33LLC"
"19-1866","Mobile Food Establishment Permit","2019-07-29T17:44:00.000","2019-12-31T05:00:00.000","Ice Cream truck","Party Ice cream"
"19-1871","Mobile Food Establishment Permit","2019-07-26T19:52:00.000","2019-12-31T05:00:00.000","New England Frozen Lemonade","N E F L INC"
"19-1871","Mobile Food Establishment Permit","2019-07-26T19:38:00.000","2019-12-31T05:00:00.000","New England Frozen Lemonade","N E F L INC"
"19-1871","Mobile Food Establishment Permit","2019-07-26T19:37:00.000","2019-12-31T05:00:00.000","New England Frozen Lemonade","N E F L INC"
"19-995","Mobile Food Establishment Permit","2019-07-26T16:49:00.000","2019-12-31T05:00:00.000","Dinora's Catering","Dinora Villatoro"
"19-1855","Mobile Food Establishment Permit","2019-07-25T15:02:00.000","2019-12-31T05:00:00.000","CT/GRILL","CRAIG CUSTIS"
"19-770","Mobile Food Establishment Permit","2019-07-24T19:46:00.000","2019-12-31T05:00:00.000","Buddah Belly","Buddah Belly LLC."
"19-747","Mobile Food Establishment Permit","2019-07-24T19:34:00.000","2019-12-31T05:00:00.000","Presto Strange o","Jessica Case"
"19-1185","Mobile Food Establishment Permit","2019-07-24T15:27:00.000","2019-12-31T05:00:00.000",,
"19-1662","Mobile Food Establishment Permit","2019-07-18T15:27:00.000","2019-12-31T05:00:00.000","The Ish, LLC","The Ish, LLC"
"19-1618","Mobile Food Establishment Permit","2019-07-18T15:21:00.000","2019-12-31T05:00:00.000","camille's hotdog cart","carmille stokes"
"19-1466","Mobile Food Establishment Permit","2019-07-15T14:55:00.000","2019-12-31T05:00:00.000","Thai Food on Wheels","Chanfong Louangxai"
"19-1690","Mobile Food Establishment Permit","2019-07-08T13:41:00.000","2019-12-31T05:00:00.000","Ice Goddess","Ice Goddess LLC"
"19-1693","Mobile Food Establishment Permit","2019-07-03T18:47:00.000","2019-12-31T05:00:00.000","Saly Super Snack","Dary Jacquez"
"19-1657","Mobile Food Establishment Permit","2019-06-28T20:10:00.000","2019-12-31T05:00:00.000","La Pate Creperie","La Pate LLC"
"19-1641","Mobile Food Establishment Permit","2019-06-28T18:11:00.000","2019-12-31T05:00:00.000","Velocity Coffee","Jordan Fetherolf"
"19-1648","Mobile Food Establishment Permit","2019-06-28T14:38:00.000","2019-12-31T05:00:00.000","Lis & Liz helados","lis & loz helados"
"19-1119","Mobile Food Establishment Permit","2019-06-28T12:42:00.000","2019-12-31T05:00:00.000","D & M Hot Dogs and Sausages","D & M Hot Dogs and Sausages"
"19-1575","Mobile Food Establishment Permit","2019-06-26T15:13:00.000","2019-12-31T05:00:00.000","Dora Ice cream Truck","Rafael Romero"
"19-1619","Mobile Food Establishment Permit","2019-06-25T16:40:00.000","2019-12-31T05:00:00.000","Carlos Helado","Carlos Herrera"
"19-1428","Mobile Food Establishment Permit","2019-06-23T14:01:00.000","2019-12-31T05:00:00.000","Kay's Ice Cream","RCK LLC"
"19-1592","Mobile Food Establishment Permit","2019-06-21T19:27:00.000","2019-12-31T05:00:00.000","NicoBellas","Nicobellas Family Restaurant"
"19-1587","Mobile Food Establishment Permit","2019-06-21T15:47:00.000","2019-12-31T05:00:00.000","The Nutty Bavarian","Chris Reynolds"
"19-1327","Mobile Food Establishment Permit","2019-06-21T15:36:00.000","2019-12-31T05:00:00.000","La Guaguita Del Sabor","La Guaguita Del Sabor"
"19-1423","Mobile Food Establishment Permit","2019-06-21T14:32:00.000","2019-12-31T05:00:00.000","Mooseman's Kettle Corn","Derek Ardito"
"19-1573","Mobile Food Establishment Permit","2019-06-20T20:05:00.000","2019-12-31T05:00:00.000","Frenchy's Popcorn","Frenchy's Popcorn, Inc."
"19-1550","Mobile Food Establishment Permit","2019-06-19T19:03:00.000","2019-12-31T05:00:00.000","Los Compadres 2","Nathaniel Jimenez"
"19-1329","Mobile Food Establishment Permit","2019-06-17T19:05:00.000","2019-12-31T05:00:00.000","ellimoncito","teresa laredo"
"19-1313","Mobile Food Establishment Permit","2019-06-17T18:46:00.000","2019-12-31T05:00:00.000","Sweet Smokin Pits","Richard Clune"
"19-1313","Mobile Food Establishment Permit","2019-06-17T18:37:00.000","2019-12-31T05:00:00.000","Sweet Smokin Pits","Richard Clune"
"19-1539","Mobile Food Establishment Permit","2019-06-14T16:43:00.000","2019-12-31T05:00:00.000","Oasisi Ice Cream","Sidia Aldana"
"19-1529","Mobile Food Establishment Permit","2019-06-13T14:19:00.000","2019-12-31T05:00:00.000","4FIVE6","Jose Rivera"
"19-1517","Mobile Food Establishment Permit","2019-06-11T20:09:00.000","2019-12-31T05:00:00.000","Frozen Passion","Joel Novas"
"19-1503","Mobile Food Establishment Permit","2019-06-11T17:40:00.000","2019-12-31T05:00:00.000","Cultro","Cultro LLC"
"19-1090","Mobile Food Establishment Permit","2019-06-10T19:42:00.000","2019-12-31T05:00:00.000","Fully Rooted - cart","Angelo Mollis"
"19-1121","Mobile Food Establishment Permit","2019-06-10T16:22:00.000","2019-12-31T05:00:00.000","Mindfulmalas juice + tea","SAIJEM LLC"
"19-1505","Mobile Food Establishment Permit","2019-06-10T14:35:00.000","2019-12-31T05:00:00.000","The Perfect Sweet","Tracy Woodard"
"19-1494","Mobile Food Establishment Permit","2019-06-07T20:02:00.000","2019-12-31T05:00:00.000","Palagis","Palagis Ice Cream"
"19-1493","Mobile Food Establishment Permit","2019-06-07T19:59:00.000","2019-12-31T05:00:00.000","Alejandro Arteaga","Palagis Ice Cream"
"19-1491","Mobile Food Establishment Permit","2019-06-07T19:57:00.000","2019-12-31T05:00:00.000","Palagis","Palagis Ice Cream"
"19-1280","Mobile Food Establishment Permit","2019-06-07T18:58:00.000","2019-12-31T05:00:00.000","NOT VAILD","Dany Ortiz"
"19-1502","Mobile Food Establishment Permit","2019-06-07T17:40:00.000","2019-12-31T05:00:00.000","Kow Kow","Kow Kow Hospitality LLC"
"19-1280","Mobile Food Establishment Permit","2019-06-07T17:22:00.000","2019-12-31T05:00:00.000","NOT VAILD","Dany Ortiz"
"19-1501","Mobile Food Establishment Permit","2019-06-07T17:15:00.000","2019-12-31T05:00:00.000","Matunuck Oyster Bar","Matunuck Oyster Bar"
"19-1498","Mobile Food Establishment Permit","2019-06-07T16:07:00.000","2019-12-31T05:00:00.000","La Parada del Chimi","La Parada del Chimi and Ormi Super Chimi LLC"
"19-1297","Mobile Food Establishment Permit","2019-06-07T16:02:00.000","2019-12-31T05:00:00.000","The Burgundian: Coffee and Waffles","The Burgundian LLC"
"19-1090","Mobile Food Establishment Permit","2019-06-07T15:28:00.000","2019-12-31T05:00:00.000","Fully Rooted - cart","Angelo Mollis"
"19-1495","Mobile Food Establishment Permit","2019-06-07T15:04:00.000","2019-12-31T05:00:00.000","The Malted Barley","Sea Coast Investment Corp"
"19-1487","Mobile Food Establishment Permit","2019-06-07T14:55:00.000","2019-12-31T05:00:00.000","Matilda 1","Matilda llc"
"19-1486","Mobile Food Establishment Permit","2019-06-07T13:41:00.000","2019-12-31T05:00:00.000","KRAEV","KRAEV LLC"
"19-1490","Mobile Food Establishment Permit","2019-06-07T13:29:00.000","2019-12-31T05:00:00.000","Rhode Island Kona LLC Kona Ice of Warwick/Eg","Rhode island Kona LLC Kona ice of Warwick/EG"
"19-1303","Mobile Food Establishment Permit","2019-06-07T12:32:00.000","2019-12-31T05:00:00.000","Lotus pepper LLC","Lotus pepper LLC"
"19-1114","Mobile Food Establishment Permit","2019-06-06T20:49:00.000","2019-12-31T05:00:00.000","Portu-Galo","Levi Medina"
"19-1484","Mobile Food Establishment Permit","2019-06-06T20:19:00.000","2019-12-31T05:00:00.000","Chow Fun Food Group","Bang Bar inc"
"19-1407","Mobile Food Establishment Permit","2019-06-06T19:32:00.000","2019-12-31T05:00:00.000","La Mami Food","La Mami food"
"19-1482","Mobile Food Establishment Permit","2019-06-06T18:06:00.000","2019-12-31T05:00:00.000","Friskie Fries","Friskie Fries"
"19-1472","Mobile Food Establishment Permit","2019-06-06T17:07:00.000","2019-12-31T05:00:00.000","Dave's Coffee","Dave's Coffee LLC"
"19-1481","Mobile Food Establishment Permit","2019-06-06T16:18:00.000","2019-12-31T05:00:00.000","Fancheezical","Nathan Brown"
"19-1477","Mobile Food Establishment Permit","2019-06-06T12:46:00.000","2019-12-31T05:00:00.000","Haven Brothers Mobile","Haven Brothers Mobile LLC"
"19-1480","Mobile Food Establishment Permit","2019-06-05T19:42:00.000","2019-12-31T05:00:00.000","Jerry's food concessions","Jim Appel"
"19-1455","Mobile Food Establishment Permit","2019-06-05T14:15:00.000","2019-12-31T05:00:00.000","Shuckin' Truck","Shuckin' Truck LLC"
"19-1406","Mobile Food Establishment Permit","2019-06-05T12:23:00.000","2019-12-31T05:00:00.000","Hometown Poke","Copper Todd LLC"
"19-1405","Mobile Food Establishment Permit","2019-06-04T19:05:00.000","2019-12-31T05:00:00.000","kettle korn express","Kettle corn express"
"19-1298","Mobile Food Establishment Permit","2019-06-04T18:02:00.000","2019-12-31T05:00:00.000","Cocina Caribena","Alicia Cruz"
"19-875","Mobile Food Establishment Permit","2019-06-03T19:51:00.000","2019-12-31T05:00:00.000","'The Hummingbird Syndicate'","The Hummingbird Syndicate Inc"
"19-1440","Mobile Food Establishment Permit","2019-05-31T18:03:00.000","2019-12-31T05:00:00.000","johnny chimi place","Ramon morales"
"19-1412","Mobile Food Establishment Permit","2019-05-31T16:45:00.000","2019-12-31T05:00:00.000","UMelt","Umelt Weybosset Inc."
"19-1182","Mobile Food Establishment Permit","2019-05-31T15:53:00.000","2019-12-31T05:00:00.000","Like No Udder, LLC","Karen Krinsky"
"19-1434","Mobile Food Establishment Permit","2019-05-31T15:16:00.000","2019-12-31T05:00:00.000","Munchies Food Truck","Munchies Food truck LLC"
"19-1399","Mobile Food Establishment Permit","2019-05-29T13:25:00.000","2019-12-31T05:00:00.000","Wally's Hot Dog Cart","Wally's Hot Dog Cart LLC"
"19-999","Mobile Food Establishment Permit","2019-05-29T13:23:00.000","2019-12-31T05:00:00.000","Birds Nest","Jhon Tierney"
"19-1395","Mobile Food Establishment Permit","2019-05-28T15:24:00.000","2019-12-31T17:00:00.000","Almonte Ice Cream","Freddy Almonte"
"19-1361","Mobile Food Establishment Permit","2019-05-23T15:50:00.000","2019-12-31T05:00:00.000","Bonnie Ice Cream","Individual"
"19-1361","Mobile Food Establishment Permit","2019-05-23T15:47:00.000","2019-12-31T17:00:00.000","Bonnie Ice Cream","Individual"
"19-1223","Mobile Food Establishment Permit","2019-05-22T19:46:00.000","2019-12-31T05:00:00.000","Ana's Ice Cream","Ana's Ice Cream"
"19-1325","Mobile Food Establishment Permit","2019-05-22T17:29:00.000","2019-12-31T05:00:00.000","Binge BBQ","Binge BBQ, LLC"
"19-1328","Mobile Food Establishment Permit","2019-05-22T14:45:00.000","2019-12-31T05:00:00.000","JA Patty RI Catering & Events","JA Patty LLC"
"19-1310","Mobile Food Establishment Permit","2019-05-21T19:55:00.000","2019-12-31T05:00:00.000","Julio's Gourmet","Kayri M Quinonez"
"19-1323","Mobile Food Establishment Permit","2019-05-21T19:11:00.000","2019-12-31T17:00:00.000","Cart 5","rosa m cuevas"
"19-1321","Mobile Food Establishment Permit","2019-05-21T19:10:00.000","2019-12-31T17:00:00.000","Cart 3","rosa m cuevas"
"19-1322","Mobile Food Establishment Permit","2019-05-21T19:10:00.000","2019-12-31T17:00:00.000","Cart 4","rosa m cuevas"
"19-1319","Mobile Food Establishment Permit","2019-05-21T19:08:00.000","2019-12-31T17:00:00.000","Cart 1","rosa m cuevas"
"19-1320","Mobile Food Establishment Permit","2019-05-21T19:08:00.000","2019-12-31T17:00:00.000","Cart 2","rosa m cuevas"
"19-1299","Mobile Food Establishment Permit","2019-05-21T18:39:00.000","2019-12-31T05:00:00.000","Forclore Latino","Justo Rodriguez"
"19-1169","Mobile Food Establishment Permit","2019-05-21T16:45:00.000","2019-12-31T05:00:00.000","Chanelles","Teofila Martinez"
"19-1307","Mobile Food Establishment Permit","2019-05-20T20:32:00.000","2019-12-31T05:00:00.000","Incredabowl","The Incredabowl Food Company"
"19-602","Mobile Food Establishment Permit","2019-05-20T12:37:00.000","2019-12-31T05:00:00.000","Off the menu","Ocean House"
"19-1289","Mobile Food Establishment Permit","2019-05-17T17:57:00.000","2019-12-31T05:00:00.000","Asadero","Asadero LLC"
"19-1281","Mobile Food Establishment Permit","2019-05-17T14:29:00.000","2019-12-31T05:00:00.000","Muzzled Hotdog","Yeisha Marrero"
"19-1147","Mobile Food Establishment Permit","2019-05-16T21:13:00.000","2019-12-31T05:00:00.000","HG80","Baby Duck LLC"
"19-1006","Mobile Food Establishment Permit","2019-05-16T19:32:00.000","2019-12-31T05:00:00.000","GottaQ Grills","Michael Strout"
"19-877","Mobile Food Establishment Permit","2019-05-15T17:10:00.000","2019-12-31T05:00:00.000","Fugo Inc.","Fugo Inc."
"19-1188","Mobile Food Establishment Permit","2019-05-15T13:47:00.000","2019-12-31T05:00:00.000","Pat's Pastured","Pat's Pastured LLC"
"19-1009","Mobile Food Establishment Permit","2019-05-14T18:39:00.000","2019-12-31T05:00:00.000","Rhody Roots","Fork in the Road LLC"
