"licnum","tradename","add1","citycounty","st","postalcode","ctycnty","estabdesc","privdesc","statusdesc","wine_beereffectdate","wine_beerexpirdate","mixbevstatusdesc","mixbeveffdate","mixbevexpirdate","origdate"
"28","THE COUNTRY CLUB OF VIRGINIA","6031 SAINT ANDREWS LN","RICHMOND","VA","23226-3210","Richmond City","Club - National","Wine & Beer On & Off Premises & Keg Permit","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000","1948-07-01T00:00:00.000"
"67","ROWLAND FINE DINING","2132 W MAIN ST","RICHMOND","VA","23220-4528","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2019-01-01T00:00:00.000","2019-12-31T00:00:00.000","Active","2019-01-01T00:00:00.000","2019-12-31T00:00:00.000","1998-01-16T00:00:00.000"
"957","THE TUCKAHOE WOMANS CLUB","4215 DOVER RD","RICHMOND","VA","23221-3267","Richmond City","Club - National","Wine & Beer On Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1954-12-14T00:00:00.000"
"1025","CIVITAN WORKSHOP","1901 WESTWOOD AVE","RICHMOND","VA","23227-4347","Richmond City","Out of Bond Permit","Out of Bond Certificate of Approval","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1992-11-01T00:00:00.000"
"1526","KUBA KUBA","1601 PARK AVE","RICHMOND","VA","23220-2908","Richmond City","Restaurant","Wine & Beer On & Off Premises","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000",,,,"1998-06-05T00:00:00.000"
"2057","IPANEMA CAFE","917 W GRACE ST","RICHMOND","VA","23220-4109","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","1998-09-29T00:00:00.000"
"2655","BEARS HIDEAWAY RESTAURANT","5267 HULL STREET RD","RICHMOND","VA","23224-2423","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-03-02T00:00:00.000","2019-02-28T00:00:00.000","Active","2018-03-02T00:00:00.000","2019-02-28T00:00:00.000","1998-12-01T00:00:00.000"
"3103","ACCA TEMPLE SHRINE AAONMS","1712 BELLEVUE AVE","RICHMOND","VA","23227","Richmond City","Club - National","Wine & Beer On Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1950-01-10T00:00:00.000"
"3321","PICCOLA ITALY PIZZA & SUBS","1100 W MAIN ST","RICHMOND","VA","23220-4810","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","Voluntary  Surrendered","2015-05-07T00:00:00.000","2015-08-31T00:00:00.000","1999-01-07T00:00:00.000"
"3599","O TOOLES GAY 90S RESTAURANT","4800 FOREST HILL AVE","RICHMOND","VA","23225-3144","Richmond City","Restaurant","Wine & Beer On & Off Premises & Keg Permit","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000","1966-10-14T00:00:00.000"
"3605","PEGASUS RESTAURANT","5604 PATTERSON AVE","RICHMOND","VA","23226","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","1998-09-01T00:00:00.000"
"4944","CHIOCCAS","425 N BELMONT AVE","RICHMOND","VA","23221-2416","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-04-01T00:00:00.000","2019-03-31T00:00:00.000","Active","2018-04-01T00:00:00.000","2019-03-31T00:00:00.000","1953-10-13T00:00:00.000"
"5259","SODEXHO MANAGEMENT INC","701 E BRYD ST","RICHMOND","VA","23219","Richmond City","Caterers Establishment","Annual Caterers License","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1999-06-11T00:00:00.000"
"5423","MOCHA TEMPLE # 7","611 N 2ND ST","RICHMOND","VA","23219-1311","Richmond City","Club - National","Wine & Beer On Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1964-11-05T00:00:00.000"
"5526","PALANI DRIVE","401 LIBBIE AVE STE 1","RICHMOND","VA","23226-2661","Richmond City","Restaurant","Wine & Beer On Premises","Active","2019-01-01T00:00:00.000","2019-12-31T00:00:00.000","Active","2019-01-01T00:00:00.000","2019-12-31T00:00:00.000","1999-01-13T00:00:00.000"
"5565","JACK RABBIT CONVENIENCE LLC","3415 HULL ST","RICHMOND","VA","23224-3452","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2019-01-01T00:00:00.000","2019-12-31T00:00:00.000",,,,"1999-01-21T00:00:00.000"
"5799","CLUB 533","700 N 3RD ST","RICHMOND","VA","23219","Richmond City","Club - National","Beer On Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1999-02-24T00:00:00.000"
"5816","SINE IRISH PUB","1327 E CARY ST","RICHMOND","VA","23219","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-05-01T00:00:00.000","2019-04-30T00:00:00.000","Active","2018-05-01T00:00:00.000","2019-04-30T00:00:00.000","1999-05-05T00:00:00.000"
"6109","BAKERS CRUST BREAD MARKET","3553 W CARY ST","RICHMOND","VA","23221","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-05-01T00:00:00.000","2019-04-30T00:00:00.000","Active","2018-05-01T00:00:00.000","2019-04-30T00:00:00.000","1999-05-28T00:00:00.000"
"6514","SONGS MARKET","1400 MECHANICSVILLE TPKE","RICHMOND","VA","23223","Richmond City","Grocery Store","Wine & Beer Off Premises","Active","2018-05-01T00:00:00.000","2019-04-30T00:00:00.000",,,,"1999-05-17T00:00:00.000"
"6623","THE CANAL CLUB","1545 E CARY ST","RICHMOND","VA","23219","Richmond City","Restaurant","Wine & Beer On & Off Premises & Keg Permit","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","2000-03-01T00:00:00.000"
"6714","BAJA BEAN CO REST & CANTINA","1520 W MAIN ST","RICHMOND","VA","23220-4687","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000","Active","2018-06-01T00:00:00.000","2019-05-31T00:00:00.000","1999-05-28T00:00:00.000"
"7181","B & S FOOD MART","3610 E BROAD ROCK RD","RICHMOND","VA","23224-3426","Richmond City","Convenience Grocery Store","Wine & Beer Off Premises","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000",,,,"1999-09-02T00:00:00.000"
"7448","GALAXY DINER","3109 W CARY ST","RICHMOND","VA","23221-3503","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","Active","2018-09-01T00:00:00.000","2019-08-31T00:00:00.000","1999-09-27T00:00:00.000"
"8600","ORIGINAL DEVILS CLUB","16 E MARSHALL ST","RICHMOND","VA","23219-1744","Richmond City","Club - National","Wine & Beer On Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"1953-10-06T00:00:00.000"
"9148","WILLOW OAKS COUNTRY CLUB","6228 FOREST HILL AVE","RICHMOND","VA","23225-1834","Richmond City","Club - National","Wine & Beer On & Off Premises","Active","2018-09-26T00:00:00.000","2019-08-31T00:00:00.000","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000","1957-12-20T00:00:00.000"
"9261","LADY N AWLINS","2329 W MAIN ST","RICHMOND","VA","23220-4434","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","Active","2018-03-01T00:00:00.000","2019-02-28T00:00:00.000","2000-03-01T00:00:00.000"
"9816","FOOD LION 1156","5620 HULL STREET RD","RICHMOND","VA","23224-2840","Richmond City","Grocery Store","Wine & Beer Off Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"2000-07-01T00:00:00.000"
"9887","FOOD LION 1240","6815 FOREST HILL AVE","RICHMOND","VA","23225-1603","Richmond City","Gourmet Shop","Wine & Beer Off Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"2000-07-01T00:00:00.000"
"9890","SAM MILLERS WAREHOUSE","1208 E CARY ST","RICHMOND","VA","23219-4116","Richmond City","Restaurant","Wine & Beer On Premises","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000","Active","2018-08-01T00:00:00.000","2019-07-31T00:00:00.000","1974-07-26T00:00:00.000"
"9903","FOOD LION 1318","6490 JAHNKE RD","RICHMOND","VA","23225","Richmond City","Gourmet Shop","Wine & Beer Off Premises","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"2000-07-01T00:00:00.000"
"10788","KROGER # 504","3507 W CARY ST","RICHMOND","VA","23221-2728","Richmond City","Gourmet Shop","Wine & Beer Off Premises & Keg Permit","Active","2018-07-01T00:00:00.000","2019-06-30T00:00:00.000",,,,"2000-08-01T00:00:00.000"
