"report_number","offense_id","offense_start_datetime","offense_end_datetime","report_datetime","group_a_b","crime_against_category","offense_parent_group","offense","offense_code","precinct","sector","beat","mcpp","_100_block_address","longitude","latitude"
"2020-044620","12605873663","2020-02-05T10:10:00.000",,"2020-02-05T11:24:31.000","A","SOCIETY","DRUG/NARCOTIC OFFENSES","Drug/Narcotic Violations","35A","W","Q","Q1","MAGNOLIA","32XX BLOCK OF 23RD AVE W","-122.385973723","47.649387230"
"2020-044452","12605598696","2020-02-03T08:00:00.000","2020-02-04T08:00:00.000","2020-02-05T10:06:28.000","A","PROPERTY","LARCENY-THEFT","Theft of Motor Vehicle Parts or Accessories","23G","N","J","J3","ROOSEVELT/RAVENNA","63XX BLOCK OF 5TH AVE NE","-122.323399063","47.675117890"
"2020-044465","12605567653","2020-02-02T20:30:00.000","2020-02-02T21:30:00.000","2020-02-05T09:39:33.000","A","PROPERTY","ROBBERY","Robbery","120","N","U","U3","ROOSEVELT/RAVENNA","26TH AVE NE / NE BLAKELEY ST","-122.299552180","47.666384070"
"2020-044225","12605174036","2020-02-05T01:17:00.000","2020-02-05T02:21:00.000","2020-02-05T03:30:55.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","W","Q","Q1","MAGNOLIA","22XX BLOCK OF W RAYE ST","-122.384864805","47.642927340"
"2020-044076","12605081469","2020-02-05T00:51:21.000",,"2020-02-05T00:51:31.000","B","SOCIETY","DRIVING UNDER THE INFLUENCE","Driving Under the Influence","90D","N","B","B2","BALLARD SOUTH","NW 46TH ST / 8TH AVE NW","-122.366195342","47.662193080"
"2020-044142","12605077150","2020-02-04T22:59:00.000",,"2020-02-05T00:45:08.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","W","M","M1","DOWNTOWN COMMERCIAL","14XX BLOCK OF 2ND AVE","-122.338449515","47.608788660"
"2020-044104","12605029468","2020-02-04T20:30:00.000","2020-02-04T20:45:00.000","2020-02-04T23:31:52.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","N","J","J3","PHINNEY RIDGE","71XX BLOCK OF GREENWOOD AVE N","-122.355309065","47.680526950"
"2020-043988","12604995759","2020-02-04T19:58:00.000",,"2020-02-04T22:46:19.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","SW","F","F2","ROXHILL/WESTWOOD/ARBOR HEIGHTS","26XX BLOCK OF SW BARTON ST","-122.367311993","47.521027580"
"2020-043928","12604963106","2020-02-04T19:01:00.000",,"2020-02-04T21:59:07.000","B","SOCIETY","DRIVING UNDER THE INFLUENCE","Driving Under the Influence","90D","N","L","L2","NORTHGATE","15TH AVE NE / NE 95TH ST","-122.312077769","47.697616170"
"2020-044065","12605008517","2020-02-04T21:00:00.000","2020-02-04T21:15:00.000","2020-02-04T21:47:32.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","E","E","E2","CAPITOL HILL","15XX BLOCK OF 12TH AVE","-122.316845012","47.614683850"
"2020-044038","12604928711","2020-02-04T20:57:00.000",,"2020-02-04T21:20:35.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","E","E","E2","CAPITOL HILL","15XX BLOCK OF BROADWAY","-122.320789514","47.614655490"
"2020-043971","12604927228","2019-02-04T00:00:00.000","2020-02-04T08:00:00.000","2020-02-04T21:18:52.000","A","PROPERTY","FRAUD OFFENSES","Wire Fraud","26E","N","U","U2","UNIVERSITY","45XX BLOCK OF 7TH AVE NE","-122.320720106","47.662473360"
"2020-043805","12604929082","2020-01-30T19:30:00.000",,"2020-02-04T21:14:00.000","A","PROPERTY","LARCENY-THEFT","Theft From Building","23D","S","R","R3","COLUMBIA CITY",,"0.000000000","0.000000000"
"2020-043805","12605193820","2020-01-30T19:30:00.000",,"2020-02-04T21:14:00.000","A","PERSON","KIDNAPPING/ABDUCTION","Kidnapping/Abduction","100","S","R","R3","COLUMBIA CITY",,"0.000000000","0.000000000"
"2020-043518","12604909238","2020-02-04T07:30:00.000","2020-02-04T10:00:00.000","2020-02-04T20:59:01.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","S","R","R1","NORTH BEACON HILL","19XX BLOCK OF 13TH AVE S","-122.315976829","47.585955900"
"2020-044000","12604889529","2020-02-04T20:10:00.000","2020-02-04T20:39:00.000","2020-02-04T20:30:24.000","A","PROPERTY","COUNTERFEITING/FORGERY","Counterfeiting/Forgery","250","E","E","E1","CAPITOL HILL","1XX BLOCK OF BROADWAY E","-122.320863694","47.619323640"
"2020-043979","12604874045","2020-02-04T19:30:00.000",,"2020-02-04T20:13:42.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","E","E","E2","FIRST HILL","E SPRING ST / 12TH AVE","-122.316778894","47.611562670"
"2020-043804","12604760012","2020-01-31T11:00:00.000","2020-02-04T16:00:00.000","2020-02-04T18:04:43.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","S","O","O3","GEORGETOWN","67XX BLOCK OF CORSON AVE S","-122.322909032","47.542940560"
"2020-043679","12604768348","2020-02-04T15:28:00.000",,"2020-02-04T17:53:30.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","N","U","U2","UNIVERSITY","45XX BLOCK OF UNIVERSITY WAY NE","-122.313115709","47.662180580"
"2020-043813","12604748428","2020-02-03T08:00:00.000","2020-02-04T16:30:00.000","2020-02-04T17:51:43.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q3","QUEEN ANNE","5XX BLOCK OF 4TH AVE W","-122.361938917","47.623949540"
"2020-043790","12604733588","2020-02-04T16:40:00.000","2020-02-04T16:44:00.000","2020-02-04T17:24:12.000","A","PROPERTY","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY","Destruction/Damage/Vandalism of Property","290","S","O","O2","SODO","S SPOKANE ST / 2ND AVE S","-122.332006684","47.571406270"
"2020-043631","12604680236","2020-02-04T15:00:00.000",,"2020-02-04T16:48:31.000","A","SOCIETY","DRUG/NARCOTIC OFFENSES","Drug/Narcotic Violations","35A","W","K","K2","DOWNTOWN COMMERCIAL","4XX BLOCK OF 3RD AVE","-122.330510332","47.601885910"
"2020-043743","12604667448","2020-02-03T21:00:00.000","2020-02-04T07:45:00.000","2020-02-04T16:33:19.000","A","PROPERTY","LARCENY-THEFT","All Other Larceny","23H","W","Q","Q3","QUEEN ANNE","1XX BLOCK OF DENNY WAY","-122.353751129","47.618595520"
"2020-043577","12604662310","2020-01-29T18:00:00.000","2020-01-30T06:00:00.000","2020-02-04T16:28:43.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","W","Q","Q2","QUEEN ANNE","13XX BLOCK OF 4TH AVE W","-122.361804774","47.630894400"
"2020-043658","12604701795","2020-02-02T00:00:00.000","2020-02-04T00:00:00.000","2020-02-04T16:06:13.000","A","SOCIETY","PORNOGRAPHY/OBSCENE MATERIAL","Pornography/Obscene Material","370","E","C","C3","CENTRAL AREA/SQUIRE PARK","11XX BLOCK OF 18TH AVE","-122.308863594","47.612218990"
"2020-043658","12604629255","2020-01-04T00:00:00.000","2020-02-04T00:00:00.000","2020-02-04T16:06:13.000","A","PROPERTY","EXTORTION/BLACKMAIL","Extortion/Blackmail","210","E","C","C3","CENTRAL AREA/SQUIRE PARK","11XX BLOCK OF 18TH AVE","-122.308863594","47.612218990"
"2020-043283","12604504697","2020-02-04T11:20:00.000","2020-02-04T11:50:00.000","2020-02-04T14:33:37.000","A","PROPERTY","LARCENY-THEFT","Shoplifting","23C","N","N","N2","NORTHGATE","116XX BLOCK OF AURORA AVE N","-122.344834268","47.713547980"
"2020-043315","12604473206","2020-02-03T00:00:00.000","2020-02-04T11:40:00.000","2020-02-04T14:09:55.000","A","PROPERTY","LARCENY-THEFT","Theft From Motor Vehicle","23F","S","R","R1","MID BEACON HILL","13XX BLOCK OF S PEARL ST","-122.314783435","47.556386510"
