"project_type","blklot","nameaddr","entitled","beststat","bestdate","units","unitsnet","affordable","affordablenet","section415","aff_target","tenure_type","caseno","descript","dbidesc","total_gsf","net_gsf","cie_exist","cie","cienet","med_exist","med","mednet","mips_exist","mips","mipsnet","pdr_exist","pdr","pdrnet","ret_exist","ret","retnet","restaurant","restaurantnet","visit_exist","visit","visitnet","hotel_room_exist","hotel_room_prop","hotel_room_net","planner","sponsor","contact","contactph","pd","supedist","pda","neighborhood","nhood_1990","year","qtr","year_qtr","latitude","longitude","geocoded_column",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md"
"Resident","1423028","266 11TH AV","true","BP APPROVED","2018-05-31T00:00:00.000","3","1","0","0",,,,,,"PROPOSED A NEW UNIT @ EXISTING 1/F.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,"1 - Richmond","1",,"Inner Richmond","Inner Richmond","2019","Q1","2019_Q1","37.7833409","-122.4694872","POINT (-122.4694872 37.7833409)","5","8","4","11"
"Resident","2630018","1169 STANYAN ST","true","CONSTRUCTION","2018-03-08T00:00:00.000","2","2","0","0",,,,,,"New construction of two residential units, 3 STORIES.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","GCABRERO",,,,"14 - Inner Sunset","5",,"Inner Sunset","Inner Sunset","2019","Q1","2019_Q1","37.76287312","-122.4525531","POINT (-122.4525531 37.76287312)","110","7","11","14"
"Resident","3640079","3040 24TH ST","true","BP ISSUED","2017-03-13T00:00:00.000","1","1","0","0",,,,,,"TO ERECT 3-STORIES, NO BASEMENT, MIXED-USE NEW BUILDING.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CTOWNES",,,,"8 - Mission","9","Eastern Neighborhoods","Mission","Mission","2019","Q1","2019_Q1","37.75276529","-122.4127746","POINT (-122.4127746 37.75276529)","53","3","2","20"
"Resident","6534029","1225 DOLORES ST","true","CONSTRUCTION","2018-08-17T00:00:00.000","3","3","0","0",,,,,,"TO ERECT 4 STORIES, SINGLE FAMILY DWELLING.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","MSMITH",,,,"8 - Mission","8","Mission-San Jose Corridor","Mission","Mission","2019","Q1","2019_Q1","37.74983703","-122.4245398","POINT (-122.4245398 37.74983703)","52","3","5","20"
"Medical","8711007","MISSION BAY BLOCK 23A","true","CONSTRUCTION",,"0","0","0","0",,,,,,,"274000","274000","0","274000","274000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,"9 - South of Market","6","Mission Bay","Mission Bay","South of Market","2019","Q1","2019_Q1","37.76922782","-122.3922884","POINT (-122.3922884 37.76922782)","34","1","10","4"
"Resident","2613020","2317 15TH ST","true","BP APPROVED","2018-11-15T00:00:00.000","2","1","0","0",,,,"2010.0832","Off-street parking variance to create new 2nd unit at basement level without providing required off-street parking space.","CONVERT EMPTY SPACE UNDER BUILDING TO 2ND UNIT. 1 BEDROOM, 1 LIVING ROOM / KITCHEN. 1 BATHROOM.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","APUTRA","Ahmad Larizadeh","Ahmad Larizadeh","415.716.9099","6 - Buena Vista","8","Mission-San Jose Corridor","Castro/Upper Market","Castro/Upper Market","2019","Q1","2019_Q1","37.76545627","-122.436188","POINT (-122.436188 37.76545627)","113","7","5","5"
"Mixres","4266035","2799 24TH ST","false","PL FILED","2015-06-18T00:00:00.000","7","7","0","0",,,,"2014.1258","Existing laundrymat building will be demolished.  New 8-unit 5-story mixed use residential building will be constructed.  First floor level (street level) will contain 2 commercial spaces and the residential lobby with a bicycle storage.  Four stories above will contain residential units only.  The building will be served by a full height elevator and 2 common stairways.  The rooftop will be used as common open space.","TO ERECT 5 STORIES, NO BASEMENT, TYPE I-B ON 1ST STORY WITH TYPE V-B,     7 UNITS RESIDENTIAL & COMMERCIAL BUILDING.","2056","-269","0","0","0","0","0","0","0","0","0","0","0","0","0","2056","-269","0","0","0","0","0","0","0","0","AA CONV",,,,"8 - Mission","9","Eastern Neighborhoods","Mission","Mission","2019","Q1","2019_Q1","37.75264806","-122.4080221","POINT (-122.4080221 37.75264806)","53","3","2","20"
"Resident","1416003","225 17TH AV","true","CONSTRUCTION","2017-03-22T00:00:00.000","2","1","0","0",,,,,,"2-STORY VERTICAL ADDITION & HORIZONTAL ADDITION AT FRONT.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","SYOUNG",,,,"1 - Richmond","1",,"Outer Richmond","Inner Richmond","2019","Q1","2019_Q1","37.78378307","-122.476734","POINT (-122.476734 37.78378307)","5","8","4","29"
"PDR","4829007","1560 WALLACE AV","true","BP APPROVED","2014-02-28T00:00:00.000","0","0","0","0",,,,,,"ERECT 1 STORY, TYPE 5, WAREHOUSE BUILDING.","5000","5000","0","0","0","0","0","0","0","0","0","0","5000","5000","0","0","0","0","0","0","0","0","0","0","0","JMILLER",,,,"10 - South Bayshore","10","Bayview/Hunters Point Shipyard/Candlestick Point","Bayview Hunters Point","Bayview","2019","Q1","2019_Q1","37.72732455","-122.3903049","POINT (-122.3903049 37.72732455)","86","2","9","1"
"CIE","1771041","1555 IRVING ST","true","BP APPROVED","2017-01-06T00:00:00.000","0","0","0","0",,,,"2015-006386PRJ","Request for Conditional Use Authorization for a Change of Use from a store to a school for grades 9-12. The proposed work includes interior tenant improvements to the ground floor of 1555 and to both levels of 1601.","CHANGE OF USE FROM BEAUTY SCHOOL TO PRIVATE HIGH SCHOOL(LARGE INST'L USE). 2015-006386CUA & 2015-006386VAR. DEMO (E) INT. WALLS, ADD (N) WALLS, PROVIDE ACC. RESTRMS, 2(N) STAIRS & ELEVATOR. ACC. FRONT DRS. CONSTRUCT (N) ROOF DECK. PROVIDE 6 CLASS-2 BIKE P","9416","2718","6698","9416","2718","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","CCLARKE",,,,"14 - Inner Sunset","5",,"Inner Sunset","Inner Sunset","2019","Q1","2019_Q1","37.7634316","-122.474748","POINT (-122.474748 37.7634316)","109","10","11","14"
