"organization_group_code","job_family_code","job_code","year_type","year","organization_group","department_code","department","union_code","union","job_family","job","employee_identifier","salaries","overtime","other_salaries","total_salary","retirement","health_and_dental","other_benefits","total_benefits","total_compensation"
"01","1000","1021","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Information Systems","IS Administrator 1","37730","57534.65","0.00","0.00","57534.65","11253.16","11961.34","4532.63","27747.13","85281.78"
"01","1000","1023","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Information Systems","IS Administrator 3","26574","57678.50","0.00","0.00","57678.50","10284.88","7176.80","4755.14","22216.82","79895.32"
"01","1000","1031","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Information Systems","IS Trainer-Assistant","8148","63532.93","0.00","0.00","63532.93","12495.83","12918.24","4702.71","30116.78","93649.71"
"01","1000","1054","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Information Systems","IS Business Analyst-Principal","27436","101274.51","0.00","-7058.59","94215.92","19644.45","12918.24","7458.76","40021.45","134237.37"
"01","1000","1062","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Information Systems","IS Programmer Analyst","37730","5084.00","0.00","0.00","5084.00","1083.90","956.91","387.50","2428.31","7512.31"
"01","1000","1064","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Information Systems","IS Prg Analyst-Principal","36223","34456.00","0.00","0.00","34456.00","7346.00","3827.63","2579.95","13753.58","48209.58"
"01","1000","1070","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Information Systems","IS Project Director","51426","139889.00","0.00","0.00","139889.00","26799.23","12918.24","9791.54","49509.01","189398.01"
"01","1000","1094","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Information Systems","IT Operations Support Admin IV","26574","46572.00","0.00","0.00","46572.00","9929.16","5741.44","3822.28","19492.88","66064.88"
"01","1200","1232","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Personnel","Training Officer","37983","84681.53","0.00","0.00","84681.53","16661.84","12918.24","6838.44","36418.52","121100.05"
"01","1600","1654","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Payroll, Billing & Accounting","Accountant III","16858","10611.01","0.00","0.00","10611.01","1879.20","1435.36","827.09","4141.65","14752.66"
"01","1600","1654","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Payroll, Billing & Accounting","Accountant III","32693","43171.50","0.00","0.00","43171.50","9061.62","6698.35","3502.18","19262.15","62433.65"
"01","1600","1654","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Payroll, Billing & Accounting","Accountant III","43501","3155.01","0.00","0.00","3155.01","574.53","0.00","218.78","793.31","3948.32"
"01","1600","1657","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Payroll, Billing & Accounting","Accountant IV","16858","10611.00","0.00","0.00","10611.00","1879.20","1435.36","804.35","4118.91","14729.91"
"01","1800","1823","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Budget, Admn & Stats Analysis","Senior Administrative Analyst","21653","38491.83","0.00","0.00","38491.83","8161.75","6028.51","3094.21","17284.47","55776.30"
"01","1800","1823","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Budget, Admn & Stats Analysis","Senior Administrative Analyst","34205","54645.50","0.00","0.00","54645.50","10473.72","8612.16","4389.44","23475.32","78120.82"
"01","1800","1823","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Budget, Admn & Stats Analysis","Senior Administrative Analyst","35965","91826.22","0.00","0.00","91826.22","18072.56","12918.24","7811.62","38802.42","130628.64"
"01","1800","1823","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Budget, Admn & Stats Analysis","Senior Administrative Analyst","39039","77486.52","0.00","0.00","77486.52","14861.12","10047.52","6402.01","31310.65","108797.17"
"01","1800","1823","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Budget, Admn & Stats Analysis","Senior Administrative Analyst","45754","40380.11","0.00","0.00","40380.11","7872.99","5262.99","3227.20","16363.18","56743.29"
"01","1800","1823","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Budget, Admn & Stats Analysis","Senior Administrative Analyst","46770","88016.50","0.00","0.00","88016.50","17332.00","12918.24","6760.28","37010.52","125027.02"
"01","1800","1823","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Budget, Admn & Stats Analysis","Senior Administrative Analyst","48264","91540.61","0.00","0.00","91540.61","18011.68","12918.24","7268.43","38198.35","129738.96"
"01","1800","1824","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Budget, Admn & Stats Analysis","Pr Administrative Analyst","33068","101787.06","0.00","0.00","101787.06","20042.02","12918.24","7988.47","40948.73","142735.79"
"01","1800","1824","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Budget, Admn & Stats Analysis","Pr Administrative Analyst","45754","3503.00","0.00","0.00","3503.00","637.90","478.45","299.49","1415.84","4918.84"
"01","1800","1824","Calendar","2013","Public Protection","ADP","ADP Adult Probation","021","Prof & Tech Engineers - Miscellaneous, Local 21","Budget, Admn & Stats Analysis","Pr Administrative Analyst","5021","104022.86","0.00","0.00","104022.86","20458.35","12918.24","7878.74","41255.33","145278.19"
"01","1200","1244","Calendar","2013","Public Protection","ADP","ADP Adult Probation","022","Prof & Tech Engineers - Personnel, Local 21","Personnel","Senior Personnel Analyst","20957","104250.50","0.00","0.00","104250.50","20214.04","12918.24","8498.47","41630.75","145881.25"
"01","1200","1246","Calendar","2013","Public Protection","ADP","ADP Adult Probation","022","Prof & Tech Engineers - Personnel, Local 21","Personnel","Principal Personnel Analyst","17388","133022.51","0.00","0.00","133022.51","25483.48","12918.24","9759.01","48160.73","181183.24"
"01","1400","1454","Calendar","2013","Public Protection","ADP","ADP Adult Probation","022","Prof & Tech Engineers - Personnel, Local 21","Clerical, Secretarial & Steno","Executive Secretary 3","19930","67071.60","0.00","2077.06","69148.66","12973.88","10744.27","5439.34","29157.49","98306.15"
"01","0900","0923","Calendar","2013","Public Protection","ADP","ADP Adult Probation","351","Municipal Executive Association - Miscellaneous","Management","Manager II","1815","145343.93","0.00","0.00","145343.93","27869.24","12918.24","12335.56","53123.04","198466.97"
"01","0900","0923","Calendar","2013","Public Protection","ADP","ADP Adult Probation","351","Municipal Executive Association - Miscellaneous","Management","Manager II","3034","123825.66","0.00","0.00","123825.66","23728.23","12918.24","9480.88","46127.35","169953.01"
"01","0900","0932","Calendar","2013","Public Protection","ADP","ADP Adult Probation","351","Municipal Executive Association - Miscellaneous","Management","Manager IV","43208","155934.26","0.00","0.00","155934.26","29873.14","0.00","18500.13","48373.27","204307.53"
"01","0900","8435","Calendar","2013","Public Protection","ADP","ADP Adult Probation","351","Municipal Executive Association - Miscellaneous","Management","Div Director, Adult Probation","14308","122302.25","0.00","0.00","122302.25","21538.39","12918.24","10318.94","44775.57","167077.82"
"01","0900","8435","Calendar","2013","Public Protection","ADP","ADP Adult Probation","351","Municipal Executive Association - Miscellaneous","Management","Div Director, Adult Probation","15189","122302.27","0.00","0.00","122302.27","21538.37","12918.24","10890.91","45347.52","167649.79"
"01","0900","8435","Calendar","2013","Public Protection","ADP","ADP Adult Probation","351","Municipal Executive Association - Miscellaneous","Management","Div Director, Adult Probation","17353","122302.26","0.00","0.00","122302.26","21538.37","12918.24","10493.35","44949.96","167252.22"
"01","0900","8435","Calendar","2013","Public Protection","ADP","ADP Adult Probation","351","Municipal Executive Association - Miscellaneous","Management","Div Director, Adult Probation","30068","122302.24","0.00","0.00","122302.24","21538.36","12918.24","10811.11","45267.71","167569.95"
"01","0900","8436","Calendar","2013","Public Protection","ADP","ADP Adult Probation","351","Municipal Executive Association - Miscellaneous","Management","Chief Adult Probation Officer","43952","209697.02","0.00","0.00","209697.02","36944.94","12918.24","12228.03","62091.21","271788.23"
"01","8400","8438","Calendar","2013","Public Protection","ADP","ADP Adult Probation","351","Municipal Executive Association - Miscellaneous","Probation & Parole","Chief Deputy Adlt Probation Of","5635","69257.89","0.00","0.00","69257.89","0.00","6653.49","5361.94","12015.43","81273.32"
"01","8400","8592","Calendar","2013","Public Protection","ADP","ADP Adult Probation","351","Municipal Executive Association - Miscellaneous","Probation & Parole","Chief Dep Adlt Prob Of (SFERS)","41629","162953.50","0.00","0.00","162953.50","31217.66","12918.24","2608.57","46744.47","209697.97"
"01","8400","8444","Calendar","2013","Public Protection","ADP","ADP Adult Probation","651","Deputy Probation Officers' Association","Probation & Parole","Deputy Probation Officer","10922","93300.65","0.00","0.00","93300.65","16454.93","12537.33","1585.09","30577.35","123878.00"
"01","8400","8444","Calendar","2013","Public Protection","ADP","ADP Adult Probation","651","Deputy Probation Officers' Association","Probation & Parole","Deputy Probation Officer","10988","66139.71","0.00","0.00","66139.71","11647.69","12918.24","1099.15","25665.08","91804.79"
"01","8400","8444","Calendar","2013","Public Protection","ADP","ADP Adult Probation","651","Deputy Probation Officers' Association","Probation & Parole","Deputy Probation Officer","11294","96595.64","0.00","0.00","96595.64","17020.61","12918.25","1600.19","31539.05","128134.69"
"01","8400","8444","Calendar","2013","Public Protection","ADP","ADP Adult Probation","651","Deputy Probation Officers' Association","Probation & Parole","Deputy Probation Officer","12948","76487.01","0.00","0.00","76487.01","13469.78","12918.25","1300.28","27688.31","104175.32"
"01","8400","8444","Calendar","2013","Public Protection","ADP","ADP Adult Probation","651","Deputy Probation Officers' Association","Probation & Parole","Deputy Probation Officer","12968","92562.17","0.00","0.00","92562.17","16322.99","12437.88","1467.33","30228.20","122790.37"
"01","8400","8444","Calendar","2013","Public Protection","ADP","ADP Adult Probation","651","Deputy Probation Officers' Association","Probation & Parole","Deputy Probation Officer","1307","96152.53","0.00","0.00","96152.53","16940.51","12918.24","1633.57","31492.32","127644.85"
"01","8400","8444","Calendar","2013","Public Protection","ADP","ADP Adult Probation","651","Deputy Probation Officers' Association","Probation & Parole","Deputy Probation Officer","13679","5985.32","0.00","0.00","5985.32","0.00","799.91","463.38","1263.29","7248.61"
