Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count,Zip Codes
AUGGIE,CAT,DOMESTIC SH,WHITE,Neutered,SMALL,08/13/2009,K17-025619,CA03,A362429,10/09/2017,11/05/2017,27,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.486997, -122.749134)",1,26076
TIPPY,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,10/13/2009,K17-025618,CA03,A362428,10/09/2017,11/05/2017,27,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.486997, -122.749134)",1,26076
*DAISY,CAT,DOMESTIC SH,CALICO,Spayed,SMALL,12/11/2013,K17-025644,CA02,A362453,10/10/2017,12/16/2017,67,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1,26080
MISS KITTY,CAT,DOMESTIC SH,CALICO,Spayed,SMALL,05/19/2008,K17-025677,CA03,A362471,10/10/2017,10/17/2017,7,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,UNKNOWN,PENDING,*WINDSOR,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1,26080
OLLIE,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,10/10/2012,K17-025625,SMM,A362435,10/10/2017,10/12/2017,2,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,TREATABLE/REHAB,SANTA ROSA,COUNTY,95401,"95401(38.446019, -122.766748)",1,26075
,CAT,BENGAL,BRN TABBY,Neutered,SMALL,,K17-025655,RECEIVING,A362459,10/10/2017,10/10/2017,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541541, -122.809202)",1,31428
TIGGER,CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,10/10/2013,K17-025621,CS05,A362431,10/10/2017,10/12/2017,2,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1,26076
,CAT,DOMESTIC SH,WHITE,Female,SMALL,,K17-025649,TX,A362455,10/10/2017,10/13/2017,3,STRAY,OVER THE COUNTER,EUTHANIZE,INJ SEVERE,UNKNOWN,UNTREATABLE,COUNTY,COUNTY,95404,"95404(38.458384, -122.675588)",1,26080
MOBY,CAT,HIMALAYAN,SEAL PT,Neutered,SMALL,10/10/2004,K17-025631,CS05,A362439,10/10/2017,10/11/2017,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1,26080
,CAT,SIAMESE,SEAL PT,Unknown,KITTN,,K17-025657,CS06,A362461,10/10/2017,10/13/2017,3,STRAY,COMM CAT,EUTHANIZE,ILL SEVERE,UNKNOWN,UNTREATABLE,COUNTY,,,,1,
