"taxpayer_number","taxpayer_name","taxpayer_address","taxpayer_city","taxpayer_state","taxpayer_zip","taxpayer_county","location_number","location_name","location_address","location_city","location_state","location_zip","location_county","inside_outside_city_limits_code_y_n","tabc_permit_number","responsibility_begin_date_yyyymmdd","responsibility_end_date_yyyymmdd","obligation_end_date_yyyymmdd","liquor_receipts","wine_receipts","beer_receipts","cover_charge_receipts","total_receipts"
"17525849851","POCKETS RESTAURANTS, INC.","432 S MAIN ST","GRAPEVINE","TX","76051","220","1","POCKETS RESTAURANT & SPORTS CLUB","210 S INDUSTRIAL BLVD","EULESS","TX","76040","220","Y","MB255570","1995-06-21T00:00:00.000",,"2018-03-31T00:00:00.000","36226","188","26785","0","63199"
"32005855963","SAVERIO ALFIERI","300 N MAIN ST","EULESS","TX","76039","220","3","SAVIANO'S PIZZA","300 N MAIN ST","EULESS","TX","76039","220","Y","MB626286","2006-04-27T00:00:00.000","2018-10-11T00:00:00.000","2018-03-31T00:00:00.000","0","0","0","0","0"
"32056431128","LAZY DOG TEXAS OPS, LLC","3337 SUSAN ST STE 100","COSTA MESA","CA","92626","0","2","LAZY DOG RESTAURANT","2521 STATE HIGHWAY 121","EULESS","TX","76039","220","Y","MB961992","2016-10-24T00:00:00.000",,"2018-03-31T00:00:00.000","65426","33579","65372","0","164377"
"17560046447","CITY OF EULESS","201 N ECTOR DR","EULESS","TX","76039","220","10","EULESS PARKS AND LEISURE SERVICES DEPARTMENT","1400 TEXAS STAR PKWY","EULESS","TX","76040","220","Y","MB412883","1997-05-21T00:00:00.000",,"2018-03-31T00:00:00.000","8098","2590","17782","0","28470"
"32011664201","CHIVADA KIM STARACE","1201 AIRPORT FWY STE 100","EULESS","TX","76040","220","1","THAI PAPAYA GARDEN LLC","1201 AIRPORT FWY STE 100","EULESS","TX","76040","220","Y","MB548433","2003-12-01T00:00:00.000",,"2018-03-31T00:00:00.000","0","0","771","0","771"
"17521936322","300, INC.","7313 BELL CREEK RD","MECHANICSVLLE","VA","23111","0","10","BOWLERO EULESS","1901 AIRPORT FWY W","EULESS","TX","76040","220","Y","MB436527","1998-08-10T00:00:00.000",,"2018-03-31T00:00:00.000","21741","541","26050","0","48332"
"32034058225","GIACOMO, LLC.","103 PINION DR","EULESS","TX","76039","220","4","ANTICA PIZZERIA","200 WESTPARK WAY","EULESS","TX","76040","220","Y","MB762316","2013-10-11T00:00:00.000","2019-02-01T00:00:00.000","2018-03-31T00:00:00.000","0","0","0","0","0"
"17519330587","CHILI'S BEVERAGE COMPANY, INC.","3000 OLYMPUS BLVD C/O TAX DEPARTMENT","COPPELL","TX","75019","57","285","CHILI'S BAR & GRILL","2810 HIGHWAY 121","EULESS","TX","76039","220","Y","MB645680","2006-11-22T00:00:00.000",,"2018-03-31T00:00:00.000","22925","2877","16686","0","42488"
"17426162909","CABANA BEVERAGES, INC.","1077 CENTRAL PKWY S STE 600","SAN ANTONIO","TX","78232","15","198","CABANA BEVERAGES, INC.","101 S INDUSTRIAL BLVD","EULESS","TX","76040","220","Y","MB782193","2011-08-11T00:00:00.000",,"2018-03-31T00:00:00.000","2038","0","696","0","2734"
"17522391758","ROSA'S CAFES, INC.","5000 OVERTON PLZ STE 300","FORT WORTH","TX","76109","220","45","ROSA'S CAFE & TORTILLA FACTORY #39","2711 STATE HIGHWAY 121","EULESS","TX","76039","220","Y","MB828988","2013-01-16T00:00:00.000",,"2018-03-31T00:00:00.000","2284","0","1463","0","3747"
"32042913015","IT'Z FEC EULESS, L.L.C.","5310 HARVEST HILL RD STE 200","DALLAS","TX","75230","57","1","IT'Z FAMILY FOOD & FUN","1201 AIRPORT FWY","EULESS","TX","76040","220","Y","MB790965","2011-11-28T00:00:00.000",,"2018-03-31T00:00:00.000","12258","176","6739","0","19173"
"32033345862","CHERNETSKAYA, INC.","1509 W EULESS BLVD","EULESS","TX","76040","220","1","MARINAS RESTAURANT & CLUB","1509 W EULESS BLVD","EULESS","TX","76040","220","Y","MB671769","2007-09-20T00:00:00.000",,"2018-03-31T00:00:00.000","14882","0","8174","0","23056"
"32020197292","MICHAELS' TOBACCO, LLC","1301 W GLADE RD STE 180","EULESS","TX","76039","220","1","MICHAELS TOBACCO OF EULESS","1301 W GLADE RD STE 180","EULESS","TX","76039","220","Y","MB642111","2006-10-13T00:00:00.000",,"2018-03-31T00:00:00.000","7636","139","2390","0","10165"
"12604779665","REGTX ENTERTAINMENT, LLC","506 RENEE DR","EULESS","TX","76040","220","1","THE DEN","316 S INDUSTRIAL BLVD","EULESS","TX","76040","220","Y","MB677263","2007-11-20T00:00:00.000",,"2018-03-31T00:00:00.000","15703","240","11152","0","27095"
"17529608782","DE LAVA INC.","3001 STATE HIGHWAY 121 STE 234","EULESS","TX","76039","220","1","LAVA ASIAN GRILL","3001 STATE HIGHWAY 121 STE 234","EULESS","TX","76039","220","Y","MB519297","2002-07-19T00:00:00.000",,"2018-03-31T00:00:00.000","1184","5244","4681","0","11109"
"17524461674","OUTBACK BEVERAGES OF TEXAS, LLC","2202 N WEST SHORE BLVD STE 500","TAMPA","FL","33607","0","70","OUTBACK STEAK HOUSE #4455","2601 STATE HIGHWAY 121","EULESS","TX","76039","220","Y","MB235056","2017-10-16T00:00:00.000",,"2018-03-31T00:00:00.000","18695","15410","13867","0","47972"
"32057311089","HP BEVERAGE DALLAS DFW AIRPORT, LLC","71 S WACKER DR ATTN NEAL PEKALA 14TH FLO","CHICAGO","IL","60606","0","1","HP BEVERAGE DALLAS DFW AIRPORT, LLC","2350 GLOBAL DR","EULESS","TX","75261","220","Y","MB928355","2015-12-02T00:00:00.000",,"2018-03-31T00:00:00.000","9885","4307","6389","0","20581"
"32058108500","ZONE 4 ENTERPRISES LLC","511 ESSEX PL","EULESS","TX","76039","220","1","OFFICE ON TRINITY","12977 TRINITY BLVD STE 108","EULESS","TX","76040","220","Y","MB930518","2015-12-28T00:00:00.000",,"2018-03-31T00:00:00.000","29280","206","19371","0","48857"
"12734071637","TEXAS CINEMA INVESTMENTS LLC","14951 DALLAS PKWY STE 300","DALLAS","TX","75254","57","2","TEXAS CINEMA INVESTMENTS LLC","2601 BRAZOS BLVD","EULESS","TX","76039","220","Y","MB988933","2017-07-20T00:00:00.000",,"2018-03-31T00:00:00.000","9011","3447","5874","0","18332"
"17606492068","RCI ENTERTAINMENT (FORT WORTH), INC.","10737 CUTTEN RD","HOUSTON","TX","77066","101","2","CABARET EAST","12325 CALLOWAY CEMETERY RD","EULESS","TX","76040","220","Y","MB537885","2010-11-09T00:00:00.000",,"2018-03-31T00:00:00.000","115418","5691","27397","0","148506"
"32014877040","PHOENIX PARAGON MGMT., LLC","13930 TRINITY BLVD","EULESS","TX","76040","220","1","ROB'S BILLIARDS & SPORTS BAR","13930 TRINITY BLVD","EULESS","TX","76040","220","Y","MB566374","2004-10-15T00:00:00.000",,"2018-03-31T00:00:00.000","25353","248","16668","0","42269"
"32041452684","CARTMILL VENTURES I, LLC","2738 SE LOOP 820","FORT WORTH","TX","76140","220","1","FUZZY'S TACO SHOP","1363 W EULESS BLVD","EULESS","TX","76040","220","Y","MB753093","2010-07-21T00:00:00.000",,"2018-03-31T00:00:00.000","13108","178","11303","0","24589"
"32046869924","BLUE SKY SPORTS CENTER OF EULESS, LLC","7801 MAIN ST","THE COLONY","TX","75056","61","1","BLUE SKY SPORTS CENTER OF EULESS, LLC","100 MIDWAY DR E","EULESS","TX","76039","220","Y","MB811797","2012-06-26T00:00:00.000",,"2018-03-31T00:00:00.000","0","0","0","0","0"
"17526178011","DANB TEXAS, INC.","1221 S BELT LINE RD STE 500","COPPELL","TX","75019","57","18","DAVE & BUSTER'S","2525 RIO GRANDE BLVD","EULESS","TX","76039","220","Y","MB262350","2015-04-02T00:00:00.000",,"2018-03-31T00:00:00.000","58091","3207","39480","0","100778"
"17519621233","SANDIFER BROTHERS, INC.","1700 N BEACH ST","HALTOM CITY","TX","76111","220","2","EULESS YACHT CLUB","200 DICKEY DR","EULESS","TX","76040","220","Y","MB154156","1993-12-01T00:00:00.000",,"2018-03-31T00:00:00.000","19226","573","11749","0","31548"
"32055989514","KEN'S PUB INCORPORATED","13500 TRINITY BLVD","EULESS","TX","76040","220","1","LEGACY AFRICA BAR & GRILL","13500 TRINITY BLVD","EULESS","TX","76040","220","Y","MB905702","2015-04-24T00:00:00.000","2021-04-23T00:00:00.000","2018-03-31T00:00:00.000","3400","99","3156","0","6655"
"18610980122","BUTCH LEE MANAGEMENT, INC.","760 E PIPELINE RD STE D","HURST","TX","76053","220","3","STILETTO'S CABARET","3929 S HIGHWAY 157","EULESS","TX","76040","220","Y","MB614777","2005-11-22T00:00:00.000","2019-07-31T00:00:00.000","2018-03-31T00:00:00.000","31680","0","21101","0","52781"
"32051332263","EULESS CHB, INC.","100 N CENTRAL EXPY STE 1000","RICHARDSON","TX","75080","57","1","CHOP HOUSE BURGER","2720 STATE HIGHWAY 121","EULESS","TX","76039","220","Y","MB862414","2014-01-29T00:00:00.000","2021-07-21T00:00:00.000","2018-03-31T00:00:00.000","0","400","1380","0","1780"
"17560046447","CITY OF EULESS","201 N ECTOR DR","EULESS","TX","76039","220","9","EULESS PARKS AND LEISURE SERVICES DEPARTMENT","1375 W EULESS BLVD","EULESS","TX","76040","220","Y","MB439578","1998-09-30T00:00:00.000","2021-07-27T00:00:00.000","2018-03-31T00:00:00.000","877","0","17585","0","18462"
"17429444858","CHIPOTLE TEXAS, L.L.C.","500 NEIL AVE # 400","COLUMBUS","OH","43215","0","129","CHIPOTLE MEXICAN GRILL","3010 STATE HIGHWAY 121","EULESS","TX","76039","220","Y","MB829469","2013-01-24T00:00:00.000",,"2018-03-31T00:00:00.000","240","0","244","0","484"
