"fiscal_year","region","gender","race_ethnicity","age_group","chidlren_waiting_on_adoption_31_august","average_months_since_termination_of_parental_rights"
"2021","1-Lubbock","Female","African American","Birth to 5 Years Old","1","0.258064516129032"
"2021","1-Lubbock","Female","African American","6-12 Years Old","1","34.258064516129"
"2021","1-Lubbock","Female","African American","6-12 Years Old","2","44.5161290322581"
"2021","1-Lubbock","Female","African American","6-12 Years Old","1","2.67741935483871"
"2021","1-Lubbock","Female","African American","13-17 Years Old","5","51.0709677419355"
"2021","1-Lubbock","Female","African American","13-17 Years Old","4","44.7258064516129"
"2021","1-Lubbock","Female","African American","13-17 Years Old","2","19.5806451612903"
"2021","1-Lubbock","Female","African American","Birth to 5 Years Old","2","1.11290322580645"
"2021","1-Lubbock","Female","African American","Birth to 5 Years Old","1","20.6129032258065"
"2021","1-Lubbock","Female","African American","Birth to 5 Years Old","2","0.548387096774194"
"2021","1-Lubbock","Female","African American","6-12 Years Old","1","1.12903225806452"
"2021","1-Lubbock","Female","African American","6-12 Years Old","1","0"
"2021","1-Lubbock","Female","Anglo","Birth to 5 Years Old","1","2.41935483870968"
"2021","1-Lubbock","Female","Anglo","Birth to 5 Years Old","4","4.32258064516129"
"2021","1-Lubbock","Female","Anglo","6-12 Years Old","4","12.5"
"2021","1-Lubbock","Female","Anglo","6-12 Years Old","1","14.1935483870968"
"2021","1-Lubbock","Female","Anglo","6-12 Years Old","5","6.32903225806452"
"2021","1-Lubbock","Female","Anglo","13-17 Years Old","5","22.1935483870968"
"2021","1-Lubbock","Female","Anglo","13-17 Years Old","4","15.0645161290323"
"2021","1-Lubbock","Female","Anglo","13-17 Years Old","4","22.1048387096774"
"2021","1-Lubbock","Female","Anglo","13-17 Years Old","7","25.5207373271889"
"2021","1-Lubbock","Female","Anglo","13-17 Years Old","2","7.54838709677419"
"2021","1-Lubbock","Female","Anglo","Birth to 5 Years Old","1","1.7741935483871"
"2021","1-Lubbock","Female","Anglo","Birth to 5 Years Old","6","5.31182795698925"
"2021","1-Lubbock","Female","Anglo","Birth to 5 Years Old","2","5.09677419354839"
"2021","1-Lubbock","Female","Anglo","Birth to 5 Years Old","2","4.24193548387097"
"2021","1-Lubbock","Female","Anglo","6-12 Years Old","2","7.83870967741935"
"2021","1-Lubbock","Female","Anglo","6-12 Years Old","1","2.93548387096774"
"2021","1-Lubbock","Female","Anglo","6-12 Years Old","5","13.658064516129"
"2021","1-Lubbock","Female","Anglo","6-12 Years Old","4","8.68548387096774"
"2021","1-Lubbock","Female","Asian","13-17 Years Old","1","5.25806451612903"
"2021","1-Lubbock","Female","Asian","6-12 Years Old","1","11.9032258064516"
"2021","1-Lubbock","Female","Hispanic","Birth to 5 Years Old","3","4.09677419354839"
"2021","1-Lubbock","Female","Hispanic","Birth to 5 Years Old","16","4.71975806451613"
"2021","1-Lubbock","Female","Hispanic","6-12 Years Old","4","10.1612903225806"
"2021","1-Lubbock","Female","Hispanic","6-12 Years Old","11","16.1935483870968"
"2021","1-Lubbock","Female","Hispanic","6-12 Years Old","6","31.2258064516129"
"2021","1-Lubbock","Female","Hispanic","13-17 Years Old","7","8.30414746543779"
"2021","1-Lubbock","Female","Hispanic","13-17 Years Old","12","32.7822580645161"
"2021","1-Lubbock","Female","Hispanic","13-17 Years Old","7","21.7741935483871"
"2021","1-Lubbock","Female","Hispanic","13-17 Years Old","6","32.2311827956989"
"2021","1-Lubbock","Female","Hispanic","13-17 Years Old","5","26.3290322580645"
"2021","1-Lubbock","Female","Hispanic","Birth to 5 Years Old","9","7.70609318996416"
"2021","1-Lubbock","Female","Hispanic","Birth to 5 Years Old","5","11.4709677419355"
"2021","1-Lubbock","Female","Hispanic","Birth to 5 Years Old","2","8.11290322580645"
"2021","1-Lubbock","Female","Hispanic","Birth to 5 Years Old","4","9.00806451612903"
"2021","1-Lubbock","Female","Hispanic","6-12 Years Old","6","12.1505376344086"
"2021","1-Lubbock","Female","Hispanic","6-12 Years Old","6","9.02150537634409"
"2021","1-Lubbock","Female","Hispanic","6-12 Years Old","7","6.33640552995392"
"2021","1-Lubbock","Female","Hispanic","6-12 Years Old","7","11.7741935483871"
"2021","1-Lubbock","Female","Other","Birth to 5 Years Old","2","9.53225806451613"
"2021","1-Lubbock","Female","Other","6-12 Years Old","1","9.45161290322581"
"2021","1-Lubbock","Female","Other","6-12 Years Old","2","12.6290322580645"
"2021","1-Lubbock","Female","Other","13-17 Years Old","1","5.87096774193548"
"2021","1-Lubbock","Female","Other","13-17 Years Old","1","18.1290322580645"
"2021","1-Lubbock","Female","Other","13-17 Years Old","1","39.9354838709677"
"2021","1-Lubbock","Female","Other","Birth to 5 Years Old","1","3.54838709677419"
"2021","1-Lubbock","Female","Other","6-12 Years Old","1","4.12903225806452"
"2021","1-Lubbock","Female","Other","6-12 Years Old","1","33.4838709677419"
"2021","1-Lubbock","Female","Other","6-12 Years Old","1","7.64516129032258"
"2021","1-Lubbock","Female","Unknown","13-17 Years Old","1","11.0967741935484"
"2021","1-Lubbock","Male","African American","Birth to 5 Years Old","2","1.17741935483871"
"2021","1-Lubbock","Male","African American","Birth to 5 Years Old","6","5.52150537634409"
"2021","1-Lubbock","Male","African American","6-12 Years Old","2","32.8064516129032"
"2021","1-Lubbock","Male","African American","6-12 Years Old","2","40.1129032258065"
"2021","1-Lubbock","Male","African American","13-17 Years Old","3","54.0967741935484"
"2021","1-Lubbock","Male","African American","13-17 Years Old","1","1.51612903225806"
"2021","1-Lubbock","Male","African American","13-17 Years Old","1","133.483870967742"
"2021","1-Lubbock","Male","African American","13-17 Years Old","4","31.8870967741935"
"2021","1-Lubbock","Male","African American","Birth to 5 Years Old","3","4.61290322580645"
"2021","1-Lubbock","Male","African American","Birth to 5 Years Old","2","9.95161290322581"
"2021","1-Lubbock","Male","African American","Birth to 5 Years Old","1","20.6129032258065"
"2021","1-Lubbock","Male","African American","Birth to 5 Years Old","1","23.3548387096774"
"2021","1-Lubbock","Male","African American","6-12 Years Old","2","8"
"2021","1-Lubbock","Male","African American","6-12 Years Old","3","11.0537634408602"
"2021","1-Lubbock","Male","African American","6-12 Years Old","3","16.9139784946237"
"2021","1-Lubbock","Male","African American","6-12 Years Old","1","18.1290322580645"
"2021","1-Lubbock","Male","Anglo","Birth to 5 Years Old","2","1.41935483870968"
"2021","1-Lubbock","Male","Anglo","Birth to 5 Years Old","11","4.80645161290323"
"2021","1-Lubbock","Male","Anglo","6-12 Years Old","7","24.7695852534562"
"2021","1-Lubbock","Male","Anglo","6-12 Years Old","3","5.17204301075269"
"2021","1-Lubbock","Male","Anglo","6-12 Years Old","5","22.1161290322581"
"2021","1-Lubbock","Male","Anglo","13-17 Years Old","5","35.8709677419355"
"2021","1-Lubbock","Male","Anglo","13-17 Years Old","2","44.0645161290323"
"2021","1-Lubbock","Male","Anglo","13-17 Years Old","5","38.7483870967742"
"2021","1-Lubbock","Male","Anglo","13-17 Years Old","7","50.0829493087558"
"2021","1-Lubbock","Male","Anglo","13-17 Years Old","2","33.1612903225806"
"2021","1-Lubbock","Male","Anglo","Birth to 5 Years Old","3","7.55913978494624"
"2021","1-Lubbock","Male","Anglo","Birth to 5 Years Old","4","12.5483870967742"
"2021","1-Lubbock","Male","Anglo","Birth to 5 Years Old","3","6.16129032258065"
"2021","1-Lubbock","Male","Anglo","Birth to 5 Years Old","3","11.8602150537634"
"2021","1-Lubbock","Male","Anglo","6-12 Years Old","3","2.62365591397849"
"2021","1-Lubbock","Male","Anglo","6-12 Years Old","2","14.0806451612903"
