"fiscal_year","region","client_age_group","client_race_ethnicity","client_gender","clients","service_stage"
"2021","1-Lubbock","18-64 with Disability","African American","Female","80","92"
"2021","1-Lubbock","18-64 with Disability","African American","Male","58","59"
"2021","1-Lubbock","18-64 with Disability","African American","Unknown","3","3"
"2021","1-Lubbock","18-64 with Disability","Anglo","Female","168","176"
"2021","1-Lubbock","18-64 with Disability","Anglo","Male","180","183"
"2021","1-Lubbock","18-64 with Disability","Asian","Male","2","2"
"2021","1-Lubbock","18-64 with Disability","Hispanic","Female","106","113"
"2021","1-Lubbock","18-64 with Disability","Hispanic","Male","123","129"
"2021","1-Lubbock","18-64 with Disability","Hispanic","Unknown","1","1"
"2021","1-Lubbock","18-64 with Disability","Native American","Female","1","1"
"2021","1-Lubbock","18-64 with Disability","Native American","Male","1","1"
"2021","1-Lubbock","18-64 with Disability","Other","Female","32","33"
"2021","1-Lubbock","18-64 with Disability","Other","Male","19","20"
"2021","1-Lubbock","18-64 with Disability","Other","Unknown","1","1"
"2021","1-Lubbock","65 and Older","African American","Female","116","126"
"2021","1-Lubbock","65 and Older","African American","Male","65","70"
"2021","1-Lubbock","65 and Older","African American","Unknown","2","2"
"2021","1-Lubbock","65 and Older","Anglo","Female","489","498"
"2021","1-Lubbock","65 and Older","Anglo","Male","375","389"
"2021","1-Lubbock","65 and Older","Anglo","Unknown","5","5"
"2021","1-Lubbock","65 and Older","Asian","Female","3","3"
"2021","1-Lubbock","65 and Older","Asian","Male","3","3"
"2021","1-Lubbock","65 and Older","Hispanic","Female","295","313"
"2021","1-Lubbock","65 and Older","Hispanic","Male","197","215"
"2021","1-Lubbock","65 and Older","Hispanic","Unknown","1","1"
"2021","1-Lubbock","65 and Older","Native American","Female","1","1"
"2021","1-Lubbock","65 and Older","Other","Female","64","68"
"2021","1-Lubbock","65 and Older","Other","Male","30","33"
"2021","1-Lubbock","65 and Older","Other","Unknown","2","2"
"2021","1-Lubbock","Unknown",,"Unknown","1","1"
"2021","2-Abilene","18-64 with Disability","African American","Female","52","54"
"2021","2-Abilene","18-64 with Disability","African American","Male","53","56"
"2021","2-Abilene","18-64 with Disability","African American","Unknown","2","2"
"2021","2-Abilene","18-64 with Disability","Anglo","Female","290","298"
"2021","2-Abilene","18-64 with Disability","Anglo","Male","245","248"
"2021","2-Abilene","18-64 with Disability","Anglo","Unknown","1","1"
"2021","2-Abilene","18-64 with Disability","Hispanic","Female","48","49"
"2021","2-Abilene","18-64 with Disability","Hispanic","Male","50","50"
"2021","2-Abilene","18-64 with Disability","Native American","Female","1","1"
"2021","2-Abilene","18-64 with Disability","Native American","Male","1","1"
"2021","2-Abilene","18-64 with Disability","Other","Female","48","48"
"2021","2-Abilene","18-64 with Disability","Other","Male","26","29"
"2021","2-Abilene","18-64 with Disability","Other","Unknown","1","1"
"2021","2-Abilene","65 and Older","African American","Female","109","112"
"2021","2-Abilene","65 and Older","African American","Male","75","78"
"2021","2-Abilene","65 and Older","Anglo","Female","646","668"
"2021","2-Abilene","65 and Older","Anglo","Male","439","444"
"2021","2-Abilene","65 and Older","Anglo","Unknown","1","1"
"2021","2-Abilene","65 and Older","Asian","Female","1","1"
"2021","2-Abilene","65 and Older","Hispanic","Female","95","95"
"2021","2-Abilene","65 and Older","Hispanic","Male","100","101"
"2021","2-Abilene","65 and Older","Hispanic","Unknown","3","3"
"2021","2-Abilene","65 and Older","Native American","Female","2","2"
"2021","2-Abilene","65 and Older","Native American","Male","2","2"
"2021","2-Abilene","65 and Older","Other","Female","66","66"
"2021","2-Abilene","65 and Older","Other","Male","26","26"
"2021","2-Abilene","65 and Older","Other","Unknown","3","3"
"2021","3-Arlington","18-64 with Disability","African American","Female","263","264"
"2021","3-Arlington","18-64 with Disability","African American","Male","209","214"
"2021","3-Arlington","18-64 with Disability","African American","Unknown","1","1"
"2021","3-Arlington","18-64 with Disability","Anglo","Female","330","335"
"2021","3-Arlington","18-64 with Disability","Anglo","Male","335","340"
"2021","3-Arlington","18-64 with Disability","Asian","Female","4","4"
"2021","3-Arlington","18-64 with Disability","Asian","Male","1","1"
"2021","3-Arlington","18-64 with Disability","Hispanic","Female","68","68"
"2021","3-Arlington","18-64 with Disability","Hispanic","Male","82","82"
"2021","3-Arlington","18-64 with Disability","Hispanic","Unknown","1","1"
"2021","3-Arlington","18-64 with Disability","Native American","Female","3","3"
"2021","3-Arlington","18-64 with Disability","Native American","Male","1","1"
"2021","3-Arlington","18-64 with Disability","Other","Female","56","56"
"2021","3-Arlington","18-64 with Disability","Other","Male","51","52"
"2021","3-Arlington","65 and Older","African American","Female","701","712"
"2021","3-Arlington","65 and Older","African American","Male","483","491"
"2021","3-Arlington","65 and Older","African American","Unknown","9","9"
"2021","3-Arlington","65 and Older","Anglo","Female","1993","2023"
"2021","3-Arlington","65 and Older","Anglo","Male","1359","1379"
"2021","3-Arlington","65 and Older","Anglo","Unknown","20","20"
"2021","3-Arlington","65 and Older","Asian","Female","38","38"
"2021","3-Arlington","65 and Older","Asian","Male","29","29"
"2021","3-Arlington","65 and Older","Hispanic","Female","279","283"
"2021","3-Arlington","65 and Older","Hispanic","Male","211","213"
"2021","3-Arlington","65 and Older","Hispanic","Unknown","4","4"
"2021","3-Arlington","65 and Older","Native American","Female","1","1"
"2021","3-Arlington","65 and Older","Native American","Male","2","2"
"2021","3-Arlington","65 and Older","Other","Female","251","251"
"2021","3-Arlington","65 and Older","Other","Male","194","194"
"2021","3-Arlington","65 and Older","Other","Unknown","7","7"
"2021","3-Arlington","Unknown","Anglo","Male","1","1"
"2021","3-Arlington","Unknown",,"Unknown","1","1"
"2021","4-Tyler","18-64 with Disability","African American","Female","74","77"
"2021","4-Tyler","18-64 with Disability","African American","Male","73","73"
"2021","4-Tyler","18-64 with Disability","Anglo","Female","209","212"
"2021","4-Tyler","18-64 with Disability","Anglo","Male","162","167"
"2021","4-Tyler","18-64 with Disability","Asian","Male","1","1"
"2021","4-Tyler","18-64 with Disability","Hispanic","Female","8","8"
"2021","4-Tyler","18-64 with Disability","Hispanic","Male","9","10"
"2021","4-Tyler","18-64 with Disability","Other","Female","10","10"
"2021","4-Tyler","18-64 with Disability","Other","Male","9","9"
"2021","4-Tyler","65 and Older","African American","Female","163","164"
"2021","4-Tyler","65 and Older","African American","Male","153","157"
"2021","4-Tyler","65 and Older","African American","Unknown","1","1"
"2021","4-Tyler","65 and Older","Anglo","Female","619","638"
"2021","4-Tyler","65 and Older","Anglo","Male","473","484"
"2021","4-Tyler","65 and Older","Anglo","Unknown","8","8"
"2021","4-Tyler","65 and Older","Asian","Female","1","1"
"2021","4-Tyler","65 and Older","Asian","Male","1","1"
"2021","4-Tyler","65 and Older","Asian","Unknown","1","1"
"2021","4-Tyler","65 and Older","Hispanic","Female","19","19"
"2021","4-Tyler","65 and Older","Hispanic","Male","19","20"
"2021","4-Tyler","65 and Older","Native American","Female","2","3"
"2021","4-Tyler","65 and Older","Other","Female","35","35"
"2021","4-Tyler","65 and Older","Other","Male","33","33"
"2021","4-Tyler","65 and Older","Other","Unknown","3","3"
"2021","4-Tyler","Unknown",,"Unknown","2","2"
"2021","5-Beaumont","18-64 with Disability","African American","Female","90","92"
"2021","5-Beaumont","18-64 with Disability","African American","Male","83","83"
"2021","5-Beaumont","18-64 with Disability","Anglo","Female","121","122"
"2021","5-Beaumont","18-64 with Disability","Anglo","Male","102","102"
"2021","5-Beaumont","18-64 with Disability","Anglo","Unknown","2","2"
"2021","5-Beaumont","18-64 with Disability","Hispanic","Female","7","7"
"2021","5-Beaumont","18-64 with Disability","Hispanic","Male","8","8"
"2021","5-Beaumont","18-64 with Disability","Other","Female","15","16"
"2021","5-Beaumont","18-64 with Disability","Other","Male","10","10"
"2021","5-Beaumont","18-64 with Disability","Other","Unknown","1","1"
"2021","5-Beaumont","65 and Older","African American","Female","185","188"
"2021","5-Beaumont","65 and Older","African American","Male","135","137"
"2021","5-Beaumont","65 and Older","African American","Unknown","2","2"
"2021","5-Beaumont","65 and Older","Anglo","Female","310","315"
"2021","5-Beaumont","65 and Older","Anglo","Male","292","295"
"2021","5-Beaumont","65 and Older","Anglo","Unknown","3","3"
"2021","5-Beaumont","65 and Older","Hispanic","Female","12","12"
"2021","5-Beaumont","65 and Older","Hispanic","Male","11","11"
"2021","5-Beaumont","65 and Older","Other","Female","36","36"
"2021","5-Beaumont","65 and Older","Other","Male","29","29"
"2021","5-Beaumont","Unknown","African American","Female","1","1"
"2021","6-Houston","18-64 with Disability","African American","Female","428","439"
"2021","6-Houston","18-64 with Disability","African American","Male","372","377"
"2021","6-Houston","18-64 with Disability","African American","Unknown","2","2"
"2021","6-Houston","18-64 with Disability","Anglo","Female","443","447"
