"fiscal_year","region_code","region","confirmed_victims","gender","race_ethnicity","age","victims"
"2021","1","1-Lubbock","Not Confirmed","Female","African American","0","49"
"2021","1","1-Lubbock","Not Confirmed","Female","African American","1","30"
"2021","1","1-Lubbock","Not Confirmed","Female","African American","10","26"
"2021","1","1-Lubbock","Not Confirmed","Female","African American","11","22"
"2021","1","1-Lubbock","Not Confirmed","Female","African American","12","18"
"2021","1","1-Lubbock","Not Confirmed","Female","African American","13","20"
"2021","1","1-Lubbock","Not Confirmed","Female","African American","14","22"
"2021","1","1-Lubbock","Not Confirmed","Female","African American","15","21"
"2021","1","1-Lubbock","Not Confirmed","Female","African American","16","23"
"2021","1","1-Lubbock","Not Confirmed","Female","African American","17","15"
"2021","1","1-Lubbock","Not Confirmed","Female","African American","2","30"
"2021","1","1-Lubbock","Not Confirmed","Female","African American","3","30"
"2021","1","1-Lubbock","Not Confirmed","Female","African American","4","33"
"2021","1","1-Lubbock","Not Confirmed","Female","African American","5","30"
"2021","1","1-Lubbock","Not Confirmed","Female","African American","6","34"
"2021","1","1-Lubbock","Not Confirmed","Female","African American","7","27"
"2021","1","1-Lubbock","Not Confirmed","Female","African American","8","23"
"2021","1","1-Lubbock","Not Confirmed","Female","African American","9","23"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","0","91"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","1","58"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","10","54"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","11","71"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","12","63"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","13","62"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","14","73"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","15","68"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","16","71"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","17","32"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","18","2"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","2","89"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","3","79"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","4","103"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","5","114"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","6","72"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","7","73"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","8","64"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","9","63"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","Over 18","2"
"2021","1","1-Lubbock","Not Confirmed","Female","Anglo","Unknown","1"
"2021","1","1-Lubbock","Not Confirmed","Female","Asian","0","1"
"2021","1","1-Lubbock","Not Confirmed","Female","Asian","1","1"
"2021","1","1-Lubbock","Not Confirmed","Female","Asian","10","3"
"2021","1","1-Lubbock","Not Confirmed","Female","Asian","11","2"
"2021","1","1-Lubbock","Not Confirmed","Female","Asian","12","3"
"2021","1","1-Lubbock","Not Confirmed","Female","Asian","13","5"
"2021","1","1-Lubbock","Not Confirmed","Female","Asian","14","1"
"2021","1","1-Lubbock","Not Confirmed","Female","Asian","16","2"
"2021","1","1-Lubbock","Not Confirmed","Female","Asian","17","2"
"2021","1","1-Lubbock","Not Confirmed","Female","Asian","2","3"
"2021","1","1-Lubbock","Not Confirmed","Female","Asian","3","3"
"2021","1","1-Lubbock","Not Confirmed","Female","Asian","4","4"
"2021","1","1-Lubbock","Not Confirmed","Female","Asian","5","2"
"2021","1","1-Lubbock","Not Confirmed","Female","Asian","6","2"
"2021","1","1-Lubbock","Not Confirmed","Female","Asian","7","4"
"2021","1","1-Lubbock","Not Confirmed","Female","Asian","8","3"
"2021","1","1-Lubbock","Not Confirmed","Female","Hispanic","0","176"
"2021","1","1-Lubbock","Not Confirmed","Female","Hispanic","1","142"
