"org_id","company_name","naic_id","col1","col2","col3","year","type_cd"
"75","GHS INSURANCE COMPANY","29718","0","4274","0","2019","Accident and Health"
"75","GHS INSURANCE COMPANY","29718","0","5631","0","2020","Accident and Health"
"1686","RLI INSURANCE COMPANY","13056","0","664","0","2019","Automobile"
"1959","NATIONAL INDEMNITY COMPANY","20087","0","1","0","2019","Automobile"
"1959","NATIONAL INDEMNITY COMPANY","20087","0","1","0","2020","Automobile"
"3168","SPARTAN INSURANCE COMPANY","13595","0","3840","0","2020","Automobile"
"3168","SPARTAN INSURANCE COMPANY","13595","0","4859","0","2019","Automobile"
"76","STERLING NATIONAL LIFE INSURANCE COMPANY, INC.","91785","0","864","0","2020","Accident and Health"
"76","STERLING NATIONAL LIFE INSURANCE COMPANY, INC.","91785","0","1108","0","2019","Accident and Health"
"79","AMERICAN NATIONAL LIFE INSURANCE COMPANY OF TEXAS","71773","0","8779","0","2019","Accident and Health"
"79","AMERICAN NATIONAL LIFE INSURANCE COMPANY OF TEXAS","71773","0","8900","0","2020","Accident and Health"
"87","AMERICAN PUBLIC LIFE INSURANCE COMPANY","60801","0","7062","0","2020","Accident and Health"
"87","AMERICAN PUBLIC LIFE INSURANCE COMPANY","60801","1","7111","3.31","2019","Accident and Health"
"91","AMERICAN REPUBLIC INSURANCE COMPANY","60836","0","460","0","2020","Accident and Health"
"91","AMERICAN REPUBLIC INSURANCE COMPANY","60836","0","538","0","2019","Accident and Health"
"93","CELTIC INSURANCE COMPANY","80799","77","299224","6.06","2019","Accident and Health"
"93","CELTIC INSURANCE COMPANY","80799","83","357419","7.78","2020","Accident and Health"
"97","CHRISTIAN FIDELITY LIFE INSURANCE COMPANY","61859","0","3069","0","2020","Accident and Health"
"97","CHRISTIAN FIDELITY LIFE INSURANCE COMPANY","61859","1","3715","6.34","2019","Accident and Health"
"98","COVENTRY HEALTH AND LIFE INSURANCE COMPANY","81973","0","6","0","2020","Accident and Health"
"98","COVENTRY HEALTH AND LIFE INSURANCE COMPANY","81973","0","7","0","2019","Accident and Health"
"105","STANDARD LIFE AND CASUALTY INSURANCE COMPANY","71706","0","564","0","2019","Accident and Health"
"105","STANDARD LIFE AND CASUALTY INSURANCE COMPANY","71706","0","1672","0","2020","Accident and Health"
"109","AMERICAN INCOME LIFE INSURANCE COMPANY","60577","1","328344","0.07","2019","Accident and Health"
"110","CATLIN INSURANCE COMPANY, INC.","19518","0","101","0","2020","Accident and Health"
"110","CATLIN INSURANCE COMPANY, INC.","19518","0","121","0","2019","Accident and Health"
"121","WILTON REASSURANCE LIFE COMPANY OF NEW YORK","60704","0","3","0","2019","Accident and Health"
"121","WILTON REASSURANCE LIFE COMPANY OF NEW YORK","60704","0","3","0","2020","Accident and Health"
"135","AMERICAN NATIONAL INSURANCE COMPANY","60739","0","28354","0","2020","Accident and Health"
"135","AMERICAN NATIONAL INSURANCE COMPANY","60739","0","30117","0","2019","Accident and Health"
"138","AMERICAN FIDELITY ASSURANCE COMPANY","60410","0","83498","0","2020","Accident and Health"
"138","AMERICAN FIDELITY ASSURANCE COMPANY","60410","1","82737","0.28","2019","Accident and Health"
"147","SAGICOR LIFE INSURANCE COMPANY","60445","0","1","0","2019","Accident and Health"
"147","SAGICOR LIFE INSURANCE COMPANY","60445","0","1","0","2020","Accident and Health"
"152","AMERICAN GENERAL LIFE INSURANCE COMPANY","60488","0","30780","0","2020","Accident and Health"
"152","AMERICAN GENERAL LIFE INSURANCE COMPANY","60488","1","33836","0.7","2019","Accident and Health"
"161","AMERICAN HEALTH AND LIFE INSURANCE COMPANY","60518","0","71221","0","2020","Accident and Health"
"161","AMERICAN HEALTH AND LIFE INSURANCE COMPANY","60518","0","77141","0","2019","Accident and Health"
"162","AMERICAN HERITAGE LIFE INSURANCE COMPANY","60534","0","405614","0","2019","Accident and Health"
"162","AMERICAN HERITAGE LIFE INSURANCE COMPANY","60534","1","386694","0.09","2020","Accident and Health"
"163","AMERICAN HOME ASSURANCE COMPANY","19380","0","126","0","2019","Accident and Health"
"163","AMERICAN HOME ASSURANCE COMPANY","19380","0","135","0","2020","Accident and Health"
"164","AMERICAN HOME LIFE INSURANCE COMPANY, THE","60542","0","8","0","2019","Accident and Health"
"169","ALLSTATE LIFE INSURANCE COMPANY","60186","0","9730","0","2020","Accident and Health"
"169","ALLSTATE LIFE INSURANCE COMPANY","60186","0","10646","0","2019","Accident and Health"
"177","AMERICAN BANKERS LIFE ASSURANCE COMPANY OF FLORIDA","60275","0","19813","0","2020","Accident and Health"
"177","AMERICAN BANKERS LIFE ASSURANCE COMPANY OF FLORIDA","60275","1","6521","3.61","2019","Accident and Health"
"195","AETNA HEALTH AND LIFE INSURANCE COMPANY","78700","0","18749","0","2020","Accident and Health"
"195","AETNA HEALTH AND LIFE INSURANCE COMPANY","78700","0","21785","0","2019","Accident and Health"
"202","THRIVENT FINANCIAL FOR LUTHERANS","56014","0","9314","0","2020","Accident and Health"
"202","THRIVENT FINANCIAL FOR LUTHERANS","56014","0","9615","0","2019","Accident and Health"
"226","AAA LIFE INSURANCE COMPANY","71854","0","26656","0","2020","Accident and Health"
"226","AAA LIFE INSURANCE COMPANY","71854","0","27008","0","2019","Accident and Health"
"243","ACE FIRE UNDERWRITERS INSURANCE COMPANY","20702","0","5","0","2019","Accident and Health"
"243","ACE FIRE UNDERWRITERS INSURANCE COMPANY","20702","0","6","0","2020","Accident and Health"
"244","ACE PROPERTY AND CASUALTY INSURANCE COMPANY","20699","0","18","0","2019","Accident and Health"
"244","ACE PROPERTY AND CASUALTY INSURANCE COMPANY","20699","0","23","0","2020","Accident and Health"
"245","AETNA LIFE INSURANCE COMPANY","60054","41","369695","3.71","2020","Accident and Health"
"245","AETNA LIFE INSURANCE COMPANY","60054","191","570833","7.88","2019","Accident and Health"
"582","STANDARD INSURANCE COMPANY","69019","1","437144","0.08","2020","Accident and Health"
"582","STANDARD INSURANCE COMPANY","69019","1","453869","0.05","2019","Accident and Health"
"617","NASSAU LIFE AND ANNUITY COMPANY","93734","0","3032","0","2020","Accident and Health"
"625","ARCH INSURANCE COMPANY","11150","0","113","0","2019","Accident and Health"
"625","ARCH INSURANCE COMPANY","11150","0","126","0","2020","Accident and Health"
"632","JOHN HANCOCK LIFE & HEALTH INSURANCE COMPANY","93610","0","3299","0","2020","Accident and Health"
"632","JOHN HANCOCK LIFE & HEALTH INSURANCE COMPANY","93610","0","3325","0","2019","Accident and Health"
"657","BANNER LIFE INSURANCE COMPANY","94250","0","2435","0","2019","Accident and Health"
"657","BANNER LIFE INSURANCE COMPANY","94250","0","3180","0","2020","Accident and Health"
"660","MARKEL INSURANCE COMPANY","38970","0","623","0","2020","Accident and Health"
"660","MARKEL INSURANCE COMPANY","38970","0","686","0","2019","Accident and Health"
"672","HCC LIFE INSURANCE COMPANY","92711","0","28","0","2020","Accident and Health"
"672","HCC LIFE INSURANCE COMPANY","92711","0","30","0","2019","Accident and Health"
"689","HM LIFE INSURANCE COMPANY","93440","0","255","0","2020","Accident and Health"
"689","HM LIFE INSURANCE COMPANY","93440","0","384867","0","2019","Accident and Health"
"697","KILPATRICK LIFE INSURANCE COMPANY","74918","0","497","0","2020","Accident and Health"
"702","HUMANA HEALTH PLAN OF TEXAS, INC.","95024","48","62271","25.81","2020","Accident and Health"
"702","HUMANA HEALTH PLAN OF TEXAS, INC.","95024","262","75933","81.24","2019","Accident and Health"
"704","UNIMERICA INSURANCE COMPANY","91529","0","35","0","2020","Accident and Health"
"704","UNIMERICA INSURANCE COMPANY","91529","0","46","0","2019","Accident and Health"
