"fiscal_year","region","gender","race_ethnicity","age_group","children_in_adoption_placements"
"2021","1-Lubbock","Female","African American","Birth to Five Years Old","16"
"2021","1-Lubbock","Female","African American","Six to Twelve Years Old","12"
"2021","1-Lubbock","Female","African American","Thirteen to Seventeen Years Old","2"
"2021","1-Lubbock","Female","Anglo","Birth to Five Years Old","23"
"2021","1-Lubbock","Female","Anglo","Six to Twelve Years Old","18"
"2021","1-Lubbock","Female","Anglo","Thirteen to Seventeen Years Old","5"
"2021","3-Arlington","Female","Anglo","Thirteen to Seventeen Years Old","1"
"2021","1-Lubbock","Female","Hispanic","Birth to Five Years Old","44"
"2021","1-Lubbock","Female","Hispanic","Six to Twelve Years Old","36"
"2021","1-Lubbock","Female","Hispanic","Thirteen to Seventeen Years Old","17"
"2021","1-Lubbock","Female","Native American","Six to Twelve Years Old","1"
"2021","1-Lubbock","Female","Other","Birth to Five Years Old","6"
"2021","1-Lubbock","Female","Other","Six to Twelve Years Old","3"
"2021","1-Lubbock","Female","Unknown","Birth to Five Years Old","3"
"2021","1-Lubbock","Female","Unknown","Six to Twelve Years Old","3"
"2021","1-Lubbock","Male","African American","Birth to Five Years Old","5"
"2021","1-Lubbock","Male","African American","Six to Twelve Years Old","3"
"2021","1-Lubbock","Male","African American","Thirteen to Seventeen Years Old","2"
"2021","1-Lubbock","Male","Anglo","Birth to Five Years Old","37"
"2021","1-Lubbock","Male","Anglo","Six to Twelve Years Old","15"
"2021","1-Lubbock","Male","Anglo","Thirteen to Seventeen Years Old","3"
"2021","1-Lubbock","Male","Hispanic","Birth to Five Years Old","38"
"2021","1-Lubbock","Male","Hispanic","Six to Twelve Years Old","34"
"2021","1-Lubbock","Male","Hispanic","Thirteen to Seventeen Years Old","17"
"2021","1-Lubbock","Male","Native American","Six to Twelve Years Old","1"
"2021","1-Lubbock","Male","Other","Birth to Five Years Old","5"
"2021","1-Lubbock","Male","Other","Six to Twelve Years Old","1"
"2021","1-Lubbock","Male","Unknown","Birth to Five Years Old","3"
"2021","1-Lubbock","Male","Unknown","Six to Twelve Years Old","1"
"2021","1-Lubbock","Unknown","Anglo","Birth to Five Years Old","1"
"2021","2-Abilene","Female","African American","Birth to Five Years Old","6"
"2021","2-Abilene","Female","African American","Six to Twelve Years Old","3"
"2021","2-Abilene","Female","African American","Thirteen to Seventeen Years Old","1"
"2021","2-Abilene","Female","Anglo","Birth to Five Years Old","31"
"2021","2-Abilene","Female","Anglo","Six to Twelve Years Old","15"
"2021","2-Abilene","Female","Anglo","Thirteen to Seventeen Years Old","6"
"2021","2-Abilene","Female","Hispanic","Birth to Five Years Old","11"
"2021","2-Abilene","Female","Hispanic","Six to Twelve Years Old","5"
"2021","2-Abilene","Female","Hispanic","Thirteen to Seventeen Years Old","5"
"2021","2-Abilene","Female","Hispanic",,"1"
"2021","2-Abilene","Female","Other","Birth to Five Years Old","7"
"2021","2-Abilene","Female","Other",,"1"
"2021","2-Abilene","Male","African American","Birth to Five Years Old","7"
"2021","2-Abilene","Male","African American","Six to Twelve Years Old","1"
"2021","2-Abilene","Male","Anglo","Birth to Five Years Old","26"
"2021","2-Abilene","Male","Anglo","Six to Twelve Years Old","11"
"2021","2-Abilene","Male","Anglo","Thirteen to Seventeen Years Old","4"
"2021","2-Abilene","Male","Hispanic","Birth to Five Years Old","24"
"2021","2-Abilene","Male","Hispanic","Six to Twelve Years Old","2"
"2021","2-Abilene","Male","Hispanic","Thirteen to Seventeen Years Old","1"
"2021","2-Abilene","Male","Other","Birth to Five Years Old","2"
"2021","3-Arlington","Female","African American","Birth to Five Years Old","55"
"2021","3-Arlington","Female","African American","Six to Twelve Years Old","20"
"2021","3-Arlington","Female","African American","Thirteen to Seventeen Years Old","8"
"2021","3-Arlington","Female","Anglo","Birth to Five Years Old","90"
"2021","3-Arlington","Female","Anglo","Six to Twelve Years Old","47"
"2021","3-Arlington","Female","Anglo","Thirteen to Seventeen Years Old","17"
"2021","3-Arlington","Female","Anglo",,"1"
"2021","3-Arlington","Female","Asian","Birth to Five Years Old","1"
"2021","3-Arlington","Female","Hispanic","Birth to Five Years Old","64"
"2021","3-Arlington","Female","Hispanic","Six to Twelve Years Old","31"
"2021","3-Arlington","Female","Hispanic","Thirteen to Seventeen Years Old","9"
"2021","3-Arlington","Female","Native American","Birth to Five Years Old","1"
"2021","3-Arlington","Female","Native American","Six to Twelve Years Old","1"
"2021","3-Arlington","Female","Other","Birth to Five Years Old","19"
"2021","3-Arlington","Female","Other","Six to Twelve Years Old","11"
"2021","3-Arlington","Female","Other","Thirteen to Seventeen Years Old","1"
"2021","3-Arlington","Female","Unknown","Birth to Five Years Old","4"
"2021","3-Arlington","Female","Unknown","Six to Twelve Years Old","2"
"2021","3-Arlington","Male","African American","Birth to Five Years Old","70"
"2021","3-Arlington","Male","African American","Six to Twelve Years Old","37"
"2021","3-Arlington","Male","African American","Thirteen to Seventeen Years Old","11"
"2021","3-Arlington","Male","Anglo","Birth to Five Years Old","89"
"2021","3-Arlington","Male","Anglo","Six to Twelve Years Old","33"
"2021","3-Arlington","Male","Anglo","Thirteen to Seventeen Years Old","13"
"2021","3-Arlington","Male","Asian","Birth to Five Years Old","3"
"2021","3-Arlington","Male","Hispanic","Birth to Five Years Old","82"
"2021","3-Arlington","Male","Hispanic","Six to Twelve Years Old","38"
"2021","3-Arlington","Male","Hispanic","Thirteen to Seventeen Years Old","17"
"2021","3-Arlington","Male","Native American","Birth to Five Years Old","1"
"2021","3-Arlington","Male","Native American","Six to Twelve Years Old","1"
"2021","3-Arlington","Male","Other","Birth to Five Years Old","24"
"2021","3-Arlington","Male","Other","Six to Twelve Years Old","7"
"2021","3-Arlington","Male","Other","Thirteen to Seventeen Years Old","3"
"2021","3-Arlington","Male","Unknown","Birth to Five Years Old","6"
"2021","4-Tyler","Female","African American","Birth to Five Years Old","14"
"2021","4-Tyler","Female","African American","Six to Twelve Years Old","10"
"2021","4-Tyler","Female","African American","Thirteen to Seventeen Years Old","4"
"2021","4-Tyler","Female","Anglo","Birth to Five Years Old","47"
"2021","4-Tyler","Female","Anglo","Six to Twelve Years Old","23"
"2021","4-Tyler","Female","Anglo","Thirteen to Seventeen Years Old","11"
"2021","4-Tyler","Female","Asian","Thirteen to Seventeen Years Old","1"
"2021","4-Tyler","Female","Hispanic","Birth to Five Years Old","12"
"2021","4-Tyler","Female","Hispanic","Six to Twelve Years Old","4"
"2021","4-Tyler","Female","Hispanic","Thirteen to Seventeen Years Old","2"
"2021","4-Tyler","Female","Other","Birth to Five Years Old","8"
"2021","4-Tyler","Female","Other","Six to Twelve Years Old","3"
"2021","4-Tyler","Female","Unknown","Birth to Five Years Old","1"
"2021","4-Tyler","Female","Unknown","Thirteen to Seventeen Years Old","1"
"2021","4-Tyler","Male","African American","Birth to Five Years Old","30"
"2021","4-Tyler","Male","African American","Six to Twelve Years Old","15"
"2021","4-Tyler","Male","African American","Thirteen to Seventeen Years Old","3"
"2021","4-Tyler","Male","Anglo","Birth to Five Years Old","50"
"2021","4-Tyler","Male","Anglo","Six to Twelve Years Old","24"
"2021","4-Tyler","Male","Anglo","Thirteen to Seventeen Years Old","7"
"2021","4-Tyler","Male","Anglo",,"1"
"2021","4-Tyler","Male","Asian","Six to Twelve Years Old","3"
