"bh","trip","w_year","bh_type","formation","date","month","day","year","temp","spc","do","ph","orp","lab_id","lab_ec","alk_caco3","cl","so4","no3n","doc","fs_nh3n","na","k","ca","mg","xas","fe","mn","bal","pka","mole_fraction","nh3n","nh4n","as","fcol","real_ec","no3_no3","alk_ueql","note"
"287","1","2016","M","dolomite","2016-10-18T00:00:00.000","10","18","2016","24.21","0.588","5.23","8.79","NA","21041","NA","448","73","41","23","0.5","0.001","34","7.1","85","75","<0.010","0.054","0","99.1","9.270704026","0.248456385","0.0002","0.0008","0","0","588","101.86","4482","collected on Tuesday before rain, AKA ""287-1"""
"4337","1","2016","P","dolomite","2016-10-18T00:00:00.000","10","18","2016","24.55","0.644","3.3","6.5","NA","21036","NA","520","21","17","6.9","1.4","0.001","15","0.9","83","76","<0.010","0.01","0","96.7","9.26021905","0.001733913","0","0.001","0","0","644","30.56","5202",
"4340","1","2016","P","shale","2016-10-18T00:00:00.000","10","18","2016","23.94","0.507","3.99","7.49","NA","21040","NA","312","109","98","0.1","0.5","0.001","37","1.2","89","54","<0.010","1.69","1.68","96.2","9.279047427","0.015993755","0","0.001","0","0","507","0.44","3121",
"4358","1","2016","P","shale","2016-10-18T00:00:00.000","10","18","2016","24.73","0.473","8.34","6.88","NA","21039","NA","304","30","56","0.2","0.5","0.001","41","1.1","50","37","<0.010","0.01","0.582","95.1","9.25467787","0.00420236","0","0.001","0","0","473","0.89","3041",
"4373","1","2016","P","shale","2016-10-18T00:00:00.000","10","18","2016","23.89","0.454","7","7.26","NA","21038","NA","284","15","24","0.3","0.5","0.001","16","1.8","35","42","<0.010","0.51","0.827","95.1","9.280594166","0.009446777","0","0.001","0","0","454","1.33","2841",
"4400","1","2016","P","dolomite","2016-10-18T00:00:00.000","10","18","2016","24.22","0.604","4.8","6.37","NA","21035","NA","416","55","39","17","1.8","0.001","32","2.2","64","77","<0.010","0.01","0","96","9.270395302","0.0012562","0","0.001","0","0","604","75.29","4162",
"4422","1","2016","P","dolomite","2016-10-18T00:00:00.000","10","18","2016","24.24","0.589","3.54","6.49","NA","21037","NA","372","45","43","29","1.8","0.001","26","9.7","69","74","<0.010","0.01","0","96.6","9.269777917","0.001657683","0","0.001","0","0","589","128.43","3721",
"4348","1","2016","M","dolomite","2016-10-19T00:00:00.000","10","19","2016","23.69","0.581","0.33","7.22","15","21043","NA","560","7","25","3.9","1.1","0.001","51","1.5","41","78","<0.010","0.01","0.079","95","9.286786331","0.008501697","0","0.001","0","0","581","17.27","5602",
"4371","1","2016","M","dolomite","2016-10-19T00:00:00.000","10","19","2016","24.67","0.568","0.62","6.83","55","21044","NA","484","40","35","22","1.3","0.001","24","1.6","85","80","<0.010","0.01","0","98.4","9.256524186","0.003731233","0","0.001","0","200","568","97.43","4842","The fcol result is actually 200+"
"Z6424","1","2016","M","dolomite","2016-10-19T00:00:00.000","10","19","2016","24.61","0.53","1.45","7.93","-179","21042","NA","308","26","1","0.7","0.5","0.7","15","4.5","47","39","<0.010","14","0.16","95.7","9.258371246","0.044843874","0.0314","0.6686","0","0","530","3.1","3081",
