"country","pbs_id","idcode","urbrur","weai_wt","stratum","survey","zoi","g104","g105_m","g105_y","g106","g107","g108","g109","g110","g111","g201_a","g201_b","g201_c","g201_d","g201_e","g201_f","g202_a","g202_b","g202_c","g202_d","g202_e","g202_f","g203_a","g203_b","g203_c","g203_d","g203_e","g203_f","g301a_a","g301a_b","g301a_c","g301a_d","g301a_e","g301a_f","g301a_g","g301a_h","g301a_i","g301a_j","g301a_k","g301a_l","g301a_m","g301a_n","g301b_a","g301b_b","g301b_c","g301b_d","g301b_e","g301b_f","g301b_g","g301b_h","g301b_i","g301b_j","g301b_k","g301b_l","g301b_m","g301b_n","g302_a","g302_b","g302_c","g302_d","g302_e","g302_f","g302_g","g302_h","g302_i","g302_j","g302_k","g302_l","g302_m","g302_n","g303_a","g303_b","g303_c","g303_d","g303_e","g303_f","g303_g","g304_a","g304_b","g304_c","g304_d","g304_e","g304_f","g304_g","g305_a","g305_b","g305_c","g305_d","g305_e","g305_f","g305_g","g306_a","g306_b","g306_c","g306_d","g306_e","g306_f","g306_g","g307_a","g307_b","g307_c","g307_d","g307_e","g308_a","g308_b","g308_c","g308_d","g308_e","g309_a","g309_b","g309_c","g309_d","g309_e","g401","g402","g403","g404_a","g404_b","g404_c","g404_d","g404_e","g404_f","g404_g","g404_h","g404_i","g404_j","g404_k","g405_a","g405_b","g405_c","g405_d","g405_e","g405_f","g405_g","g405_h","g405_i","g405_j","g405_k","g501_a","g501_b","g501_c","g501_d","g501_e","g501_f","g501_g","g502_a","g502_b","g502_c","g502_d","g502_e","g502_f","g502_g","g601b","g602","today","cluster"
"Zambia","2","2","rural","640.4459511077","3072","Interim ZOI Survey 2015","data collected by westat","[a] alone","1","1985","30","true","true","yes, currently married",,,"true","true","true","true","true","false","input into some decisions","input into some decisions","input into some decisions","input into some decisions","input into most or all decisions",,"input into some decisions","input into some decisions","input into some decisions","input into some decisions","input into most or all decisions",,"true","yes","true","true","false","true","no","false","no","true","true","true","true","true","2","1 to 4","1 to 4","8.0",,"5.0",,,,"8.0","33.0","2.0","1+","1.0","[ab] self and partner/spouse","[ab] self and partner/spouse","[b] partner/spouse only","[a] self only",,"[abc] self, partner/spouse, and other hh member",,,,"[b] partner/spouse only","[a] self only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[z] not applicable","[b] partner/spouse only","[b] partner/spouse only","[ab] self and partner/spouse",,"[b] partner/spouse only",,"[z] not applicable","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only",,"[z] not applicable",,"[z] not applicable","[z] not applicable","[z] not applicable","[z] not applicable",,"[z] not applicable",,"[ab] self and partner/spouse","[b] partner/spouse only","[ab] self and partner/spouse","[ab] self and partner/spouse",,"[ab] self and partner/spouse",,"no","no","no","no","no",,,,,,,,,,,"yes, but with difficulty","yes, but with difficulty","yes, but with difficulty","no","no","no","yes","no","no","yes","no","no","no","yes",,,,"false",,,"no",,,,"false","[ab] self and partner/spouse","[ab] self and partner/spouse","[b] partner/spouse only","[ab] self and partner/spouse","[ab] self and partner/spouse","[b] partner/spouse only","[a] self only","medium extent","medium extent","medium extent","to a high extent","to a high extent","to a high extent",,"less than usual","neutral, neither satisfied nor dissatisfied","2015-12-03T00:00:00.000","29"
"Zambia","3","2","rural","82.1843700159","3022","Interim ZOI Survey 2015","data collected by westat","[a] alone","1","1977","38","true","true","yes, currently married",,,"true","true","true","false","false","false","input into some decisions","input into some decisions","input into some decisions",,,,"input into some decisions","input into some decisions","input into some decisions",,,,"true","yes","true","true","false","true","no","false","yes","true","true","true","false","true","1","10 to 19","20+","17.0",,"12.0",,,"1","5.0","45.0","4.0",,"3.0","[ab] self and partner/spouse","[b] partner/spouse only","[a] self only","[a] self only",,"[b] partner/spouse only",,,"[ab] self and partner/spouse","[a] self only","[a] self only","[abc] self, partner/spouse, and other hh member",,"[bc] parter/spouse and other hh member","[ab] self and partner/spouse","[b] partner/spouse only","[ab] self and partner/spouse","[a] self only",,"[b] partner/spouse only",,"[ab] self and partner/spouse","[b] partner/spouse only","[ab] self and partner/spouse","[a] self only",,"[b] partner/spouse only",,"[ab] self and partner/spouse","[b] partner/spouse only","[a] self only","[a] self only",,"[ab] self and partner/spouse",,"[ab] self and partner/spouse","[b] partner/spouse only","[a] self only","[a] self only",,"[b] partner/spouse only",,"no","no","no","yes, in-kind","yes, cash",,,,"[a] self only","[b] partner/spouse only",,,,"[a] self only","[b] partner/spouse only","yes, comfortably","yes, comfortably","yes, comfortably","yes","yes","no","yes","no","yes","no","yes","yes","no","no","true","false",,"true",,"false",,"false","true",,,"[b] partner/spouse only","[b] partner/spouse only","[ab] self and partner/spouse","[ab] self and partner/spouse","[a] self only","[b] partner/spouse only","[abd] self, partner/spouse, other non-hh member","to a high extent","to a high extent","to a high extent","to a high extent",,"to a high extent","to a high extent","more than usual","very satisfied","2015-11-26T00:00:00.000","74"
"Zambia","5","2","rural","57.205916752700006","3042","Interim ZOI Survey 2015","data collected by westat","[a] alone","don't know","1959","56","true","true","no, not in a union","yes, lived with a man","widowed","true","false","true","true","false","false","input into most or all decisions",,"input into most or all decisions","input into most or all decisions",,,"input into most or all decisions",,"input into most or all decisions","input into most or all decisions",,,"true","no","true","true","false","true","no","false","no","false","true","true","false","true","3+",,"5 to 9","7.0",,"5.0",,,,,"21.0","1.0",,"1.0","[a] self only",,"[a] self only","[a] self only",,"[a] self only",,,,,"[a] self only","[c] other hh member only",,"[a] self only","[a] self only",,"[a] self only","[a] self only",,"[a] self only",,"[a] self only",,"[a] self only","[a] self only",,"[a] self only",,"[a] self only",,"[a] self only","[a] self only",,"[a] self only",,"[a] self only",,"[a] self only","[a] self only",,"[a] self only",,"no","no","no","no","yes, in-kind",,,,,"[a] self only",,,,,"[a] self only","yes, comfortably","yes, comfortably","no, not at all comfortable","no","no","no","yes","no","no","no","yes","yes","no","no",,,,"true",,,,"false","true",,,"[a] self only","[a] self only","[a] self only","[a] self only","[z] not applicable","[z] not applicable","[a] self only",,,,,,,,"about the same as usual","8","2015-12-08T00:00:00.000","35"
"Zambia","6","2","rural","574.549474848","3042","Interim ZOI Survey 2015","data collected by westat","[a] alone","don't know","1981","33","true","true","yes, currently married",,,"true","false","false","false","false","false","input into some decisions",,,,,,"no decisions made",,,,,,"true","no","false","true","false","true","no","false","yes","false","true","false","true","false","2",,,"4.0",,"2.0",,,"1",,"25.0",,"1+",,"[ab] self and partner/spouse",,,"[b] partner/spouse only",,"[ab] self and partner/spouse",,,"[ab] self and partner/spouse",,"[a] self only",,"[b] partner/spouse only",,"[b] partner/spouse only",,,"[b] partner/spouse only",,"[b] partner/spouse only",,"[b] partner/spouse only",,,"[b] partner/spouse only",,"[ab] self and partner/spouse",,"[b] partner/spouse only",,,"[b] partner/spouse only",,"[ab] self and partner/spouse",,"[b] partner/spouse only",,,"[b] partner/spouse only",,"[b] partner/spouse only",,"no","no","yes, in-kind","yes, cash","no",,,"[b] partner/spouse only","[b] partner/spouse only",,,,"[b] partner/spouse only","[b] partner/spouse only",,"yes, comfortably","yes, comfortably","yes, comfortably","no","yes","no","yes","no","no","no","no","no","yes","no",,"false",,"true",,,,,,"true",,"[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[a] self only","[b] partner/spouse only","[a] self only","to a high extent","to a high extent","to a high extent","to a high extent",,"small extent",,"less than usual","7","2015-12-07T00:00:00.000","24"
"Zambia","7","2","rural","640.4459511077","3072","Interim ZOI Survey 2015","data collected by westat","[a] alone","6","1968","47","true","true","yes, currently married",,,"true","false","false","false","false","false","input into most or all decisions",,,,,,"no decisions made",,,,,,"true","yes","false","false","false","true","no","false","no","true","true","true","false","true","1","1 to 4",,,,"4.0",,,,"2.0","1.0","1.0",,"1.0","[b] partner/spouse only","[abc] self, partner/spouse, and other hh member",,,,"[abc] self, partner/spouse, and other hh member",,,,"[abc] self, partner/spouse, and other hh member","[b] partner/spouse only","[b] partner/spouse only",,"[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only",,,,"[b] partner/spouse only",,"[b] partner/spouse only","[ab] self and partner/spouse",,,,"[b] partner/spouse only",,"[b] partner/spouse only","[b] partner/spouse only",,,,"[ab] self and partner/spouse",,"[ab] self and partner/spouse","[a] self only",,,,"[ab] self and partner/spouse",,"no","no","no","no","no",,,,,,,,,,,"yes, but with difficulty","not applicable","yes, comfortably","yes","yes","no","no","yes","no","yes","no","don't know","don't know","no","false","true",,,"false",,"no",,,,,"[ab] self and partner/spouse","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[z] not applicable","[b] partner/spouse only","[b] partner/spouse only","to a high extent","to a high extent","medium extent","small extent",,"small extent","small extent","more than usual","very satisfied","2015-12-02T00:00:00.000","29"
"Zambia","8","2","rural","213.12008201970002","3042","Interim ZOI Survey 2015","data collected by westat","[a] alone","don't know","1988","26","true","true","yes, currently married",,,"true","true","true","false","false","false","input into most or all decisions","input into most or all decisions","input into most or all decisions",,,,"input into most or all decisions","input into most or all decisions","no decisions made",,,,"true","yes","false","false","false","true","no","false","yes","true","true","true","false","true","3+","1 to 4",,,,"7.0",,,"1","1.0","51.0","1.0",,"2.0","[ac] self and other hh member","[a] self only",,,,"[a] self only",,,"[a] self only","[a] self only","[a] self only","[b] partner/spouse only",,"[ab] self and partner/spouse","[ac] self and other hh member","[a] self only",,,,"[a] self only",,"[ac] self and other hh member","[a] self only",,,,"[a] self only",,"[ac] self and other hh member","[a] self only",,,,"[a] self only",,"[a] self only","[a] self only",,,,"[a] self only",,"no","no","no","no","no",,,,,,,,,,,"no, not at all comfortable","no, not at all comfortable","no, not at all comfortable","no","no","no","yes","no","no","no","yes","yes","yes","no",,,,"false",,,,"true","true","false",,"[b] partner/spouse only","[b] partner/spouse only","[a] self only","[b] partner/spouse only","[z] not applicable","[b] partner/spouse only","[b] partner/spouse only","to a high extent","to a high extent",,"to a high extent",,"small extent","to a high extent","less than usual","very satisfied","2015-12-09T00:00:00.000","79"
"Zambia","10","2","rural","743.4371786506","3032","Interim ZOI Survey 2015","data collected by westat","[a] alone","6","1953","62","true","true","no, not in a union","yes, formerly married","widowed","true","true","true","false","false","false","input into most or all decisions","no input or input into very few decisions","input into some decisions",,,,"input into most or all decisions","no input or input into very few decisions","no decisions made",,,,"true","no","false","false","false","true","no","false","no","false","true","false","false","true","1",,,,,"3.0",,,,,"48.0",,,"1.0","[a] self only",,,,,"[c] other hh member only",,,,,"[c] other hh member only",,,"[c] other hh member only","[a] self only",,,,,"[c] other hh member only",,"[a] self only",,,,,"[c] other hh member only",,"[a] self only",,,,,"[c] other hh member only",,"[a] self only",,,,,"[c] other hh member only",,"no","no","no","no","yes, in-kind",,,,,"[c] other hh member only",,,,,"[c] other hh member only","yes, comfortably","yes, but with difficulty","no, not at all comfortable","no","yes","no","no","no","no","no","no","yes","yes","no",,"false",,,,,,,"true","false",,"[ac] self and other hh member","[ac] self and other hh member","[a] self only","[c] other hh member only","[c] other hh member only","[c] other hh member only","[c] other hh member only","small extent","medium extent",,"small extent","small extent","small extent","small extent","about the same as usual","very satisfied","2015-12-06T00:00:00.000","50"
"Zambia","11","2","rural","347.3994424532","3042","Interim ZOI Survey 2015","data collected by westat","[a] alone","don't know","1961","54","true","true","no, not in a union","yes, formerly married","widowed","true","true","true","false","false","false","input into most or all decisions","input into most or all decisions","input into most or all decisions",,,,"no decisions made","input into most or all decisions","input into most or all decisions",,,,"true","yes","false","false","false","true","no","false","no","false","true","true","false","true","1","1 to 4",,,,"4.0",,,,,"16.0","1.0",,"1.0","[a] self only","[a] self only",,,,"[a] self only",,,,,"[a] self only","[c] other hh member only",,"[c] other hh member only","[a] self only","[a] self only",,,,"[a] self only",,"[a] self only","[a] self only",,,,"[a] self only",,"[a] self only","[a] self only",,,,"[a] self only",,"[a] self only","[a] self only",,,,"[a] self only",,"no","no","no","yes, cash","no",,,,"[a] self only",,,,,"[a] self only",,"yes, comfortably","yes, comfortably","yes, comfortably","no","no","no","no","no","no","no","yes","yes","no","no",,,,,,,,"false","true",,,"[a] self only","[a] self only","[a] self only","[a] self only","[z] not applicable","[z] not applicable","[a] self only",,,,,,,,"about the same as usual","9","2015-12-12T00:00:00.000","13"
"Zambia","12","2","rural","256.1941434011","3072","Interim ZOI Survey 2015","data collected by westat","[a] alone","9","1984","31","true","true","yes, currently married",,,"true","true","true","true","true","false","input into most or all decisions","input into some decisions","input into some decisions","input into some decisions","input into some decisions",,"input into most or all decisions","input into some decisions","input into some decisions","input into some decisions","input into some decisions",,"true","yes","true","true","false","true","yes","true","yes","true","true","true","true","true","3+","5 to 9","1 to 4","40.0",,"7.0","1+","1.0","2+","3.0","37.0","3.0","1+","2.0","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[a] self only",,"[ab] self and partner/spouse","[ab] self and partner/spouse","[a] self only","[ab] self and partner/spouse","[ab] self and partner/spouse","[a] self only","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[a] self only",,"[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[a] self only",,"[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[a] self only",,"[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[a] self only",,"[b] partner/spouse only","[b] partner/spouse only","no","no","no","no","no",,,,,,,,,,,"yes, comfortably","yes, comfortably","yes, comfortably","no","don't know","no","yes","no","no","no","yes","no","no","no",,,,"false",,,,"false",,,,"[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","small extent","small extent","small extent","small extent","small extent","small extent","medium extent","less than usual","9","2015-12-14T00:00:00.000","55"
"Zambia","13","2","rural","260.9466014592","3032","Interim ZOI Survey 2015","data collected by westat","[a] alone","12","1983","32","true","true","yes, currently married",,,"true","true","true","false","true","false","input into some decisions","input into some decisions","no input or input into very few decisions",,"input into most or all decisions",,"no input or input into very few decisions","no input or input into very few decisions","no decisions made",,"input into most or all decisions",,"true","no","false","true","false","true","no","false","yes","false","true","false","false","true","1",,,"2.0",,"5.0",,,"1",,"46.0",,,"1.0","[b] partner/spouse only",,,"[ab] self and partner/spouse",,"[ab] self and partner/spouse",,,"[ab] self and partner/spouse",,"[ab] self and partner/spouse",,,"[b] partner/spouse only","[b] partner/spouse only",,,"[b] partner/spouse only",,"[b] partner/spouse only",,"[b] partner/spouse only",,,"[b] partner/spouse only",,"[b] partner/spouse only",,"[b] partner/spouse only",,,"[b] partner/spouse only",,"[b] partner/spouse only",,"[b] partner/spouse only",,,"[b] partner/spouse only",,"[b] partner/spouse only",,"no","no","no","no","no",,,,,,,,,,,"yes, comfortably","yes, comfortably","yes, comfortably","no","yes","no","no","yes","no","no","yes","yes","don't know","don't know",,"false",,,"false",,,"false","true",,,"[b] partner/spouse only","[ab] self and partner/spouse","[a] self only","[ab] self and partner/spouse","[a] self only","[ab] self and partner/spouse","[a] self only","to a high extent","to a high extent",,"to a high extent",,"to a high extent",,"more than usual","7","2015-12-15T00:00:00.000","44"
