"country","survey","stratum","urbrur","zoi","pbs_id","weai_wt","g104","g105_m","g105_y","g106","g107","g108","g109","g110","g111","g201_a","g202_a","g203_a","g201_b","g202_b","g203_b","g201_c","g202_c","g203_c","g201_d","g202_d","g203_d","g201_e","g202_e","g203_e","g201_f","g202_f","g203_f","g301a_a","g301b_a","g302_a","g303_a","g304_a","g305_a","g306_a","g301a_b","g301b_b","g302_b","g303_b","g304_b","g305_b","g306_b","g301a_c","g301b_c","g302_c","g303_c","g304_c","g305_c","g306_c","g301a_d","g301b_d","g302_d","g303_d","g304_d","g305_d","g306_d","g301a_e","g301b_e","g302_e","g303_e","g304_e","g305_e","g306_e","g301a_f","g301b_f","g302_f","g303_f","g304_f","g305_f","g306_f","g301a_g","g301b_g","g302_g","g303_g","g304_g","g305_g","g306_g","g301a_h","g301b_h","g302_h","g301a_i","g301b_i","g302_i","g301a_j","g301b_j","g302_j","g301a_k","g301b_k","g302_k","g301a_l","g301b_l","g302_l","g301a_m","g301b_m","g302_m","g301a_n","g301b_n","g302_n","g307_a","g308_a","g309_a","g307_b","g308_b","g309_b","g307_c","g308_c","g309_c","g307_d","g308_d","g309_d","g307_e","g308_e","g309_e","g401","g402","g403","g404_a","g405_a","g404_b","g405_b","g404_c","g405_c","g404_d","g405_d","g404_e","g405_e","g404_f","g405_f","g404_g","g405_g","g404_h","g405_h","g404_i","g405_i","g404_j","g405_j","g404_k","g405_k","g404_l","g405_l","g404_m","g405_m","g501_a","g502_a","g501_b","g502_b","g501_c","g502_c","g501_d","g502_d","g501_e","g502_e","g501_f","g502_f","g501_g","g502_g","g601b","g602","today","idcode","cluster"
"Kenya","Interim ZOI Survey 2015","5","rural","in zoi","1","647.5696465696","[a] alone","10","1970","44","true","true","yes, currently married",,,"false",,,"false",,,"true","input into some decisions","input into some decisions","true","no input or input into very few decisions","no input or input into very few decisions","false",,,"false",,,"no",,,,,,,"no",,,,,,,"yes","5 to 9","[a] self only","[a] self only","[a] self only","[a] self only","[a] self only","true","1.0","[a] self only","[a] self only","[a] self only","[a] self only","[a] self only","no",,,,,,,"no",,,,,,,"no",,,,,,,"no",,,"no",,,"true","6.0","[a] self only","no",,,"yes","5.0","[c] other hh member only","true","1+","[a] self only","yes","1.0","[a] self only","no",,,"no",,,"no",,,"no",,,"yes, cash","[a] self only","[a] self only","yes, comfortably","yes, comfortably","yes, comfortably","yes","true","yes","true","yes","true","yes","yes","yes","true","yes","true","yes","true","yes","yes","yes","yes","yes","no","yes","false","yes","yes","yes","true","[a] self only",,"[a] self only",,"[a] self only",,"[a] self only",,"[a] self only",,"[a] self only",,"[a] self only",,"more than usual","2","2015-05-25T00:00:00.000","2","30"
"Kenya","Interim ZOI Survey 2015","2","rural","in comparison area","2","235.1061884669","[a] alone","7","1990","24","true","true","yes, currently married",,,"true","input into some decisions","input into some decisions","false",,,"false",,,"false",,,"false",,,"false",,,"yes","1+","[b] partner/spouse only","[a] self only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","yes","5 to 9","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","no",,,,,,,"false",,,,,,,"no",,,,,,,"no",,,,,,,"no",,,,,,,"no",,,"no",,,"false",,,"no",,,"yes","1.0","[a] self only","false",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"yes, but with difficulty","yes, but with difficulty","yes, comfortably","no",,"no",,"no",,"no",,"no",,"don't know",,"don't know",,"don't know",,"don't know",,"don't know",,"don't know",,"don't know",,"don't know",,"[b] partner/spouse only","to a high extent","[b] partner/spouse only","to a high extent","[b] partner/spouse only","to a high extent","[b] partner/spouse only","to a high extent","[z] not applicable",,"[z] not applicable",,"[z] not applicable",,"more than usual","very satisfied","2015-05-22T00:00:00.000","2","68"
"Kenya","Interim ZOI Survey 2015","3","rural","in zoi","3","735.2865612648","[a] alone","don't know","1976","38","true","true","no, not in a union","yes, formerly married","separated","false",,,"false",,,"true","input into some decisions","input into some decisions","false",,,"false",,,"false",,,"no",,,,,,,"no",,,,,,,"yes","10 to 19","[b] partner/spouse only","[a] self only","[a] self only","[a] self only","[c] other hh member only","false",,,,,,,"no",,,,,,,"no",,,,,,,"no",,,,,,,"no",,,"no",,,"false",,,"no",,,"no",,,"false",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no, not at all comfortable","no, not at all comfortable","yes, but with difficulty","no",,"no",,"don't know",,"don't know",,"no",,"yes","false","don't know",,"yes","no","don't know",,"don't know",,"don't know",,"don't know",,"no",,"[z] not applicable",,"[z] not applicable",,"[z] not applicable",,"[c] other hh member only","small extent","[z] not applicable",,"[z] not applicable",,"[a] self only",,"about the same as usual","neutral, neither satisfied nor dissatisfied","2015-06-02T00:00:00.000","2","48"
"Kenya","Interim ZOI Survey 2015","9","rural","in comparison area","4","141.5199026346",,"don't know","1930","85","true","true","no, not in a union","yes, formerly married","widowed","false",,,"false",,,"true","input into most or all decisions","input into most or all decisions","false",,,"false",,,"false",,,"no",,,,,,,"no",,,,,,,"yes","30+","[ad] self and other non-hh member","[ad] self and other non-hh member","[ad] self and other non-hh member","[ad] self and other non-hh member","[ad] self and other non-hh member","true","3.0","[a] self only","[a] self only","[a] self only","[a] self only","[a] self only","no",,,,,,,"no",,,,,,,"no",,,,,,,"no",,,"no",,,"false",,,"no",,,"yes","1.0","[c] other hh member only","false",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"yes, but with difficulty","yes, but with difficulty","yes, but with difficulty","no",,"no",,"no",,"no",,"no",,"no",,"no",,"no",,"no",,"no",,"no",,"no",,"no",,"[z] not applicable",,"[z] not applicable",,"[z] not applicable",,"[a] self only",,"[z] not applicable",,"[z] not applicable",,"[a] self only",,"about the same as usual","8","2015-05-29T00:00:00.000","2","93"
"Kenya","Interim ZOI Survey 2015","3","rural","in zoi","7","735.2865612648","[a] alone","don't know","don't know","33","true","true","yes, currently married",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"no",,,,,,,"no",,,,,,,"no",,,,,,,"false",,,,,,,"no",,,,,,,"no",,,,,,,"no",,,,,,,"no",,,"no",,,"false",,,"no",,,"no",,,"false",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no, not at all comfortable","no, not at all comfortable","no, not at all comfortable","no",,"don't know",,"don't know",,"don't know",,"don't know",,"yes","false","no",,"yes","no","yes","no","don't know",,"don't know",,"don't know",,"no",,"[z] not applicable",,"[z] not applicable",,"[z] not applicable",,"[z] not applicable",,"[a] self only",,"[z] not applicable",,"[a] self only",,"about the same as usual","neutral, neither satisfied nor dissatisfied","2015-06-03T00:00:00.000","2","48"
"Kenya","Interim ZOI Survey 2015","6","rural","in comparison area","8","2024.6957070707","[a] alone","8","1987","27","true","true","yes, currently married",,,"true","input into some decisions","input into some decisions","true","input into some decisions","input into some decisions","true","input into some decisions","input into some decisions","false",,,"false",,,"false",,,"yes","1+","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","no",,,,,,,"yes","1 to 4","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","[b] partner/spouse only","true","3.0","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","no",,,,,,,"yes","3.0","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","no",,,,,,,"no",,,"yes","1+","[b] partner/spouse only","false",,,"yes","4.0","[ab] self and partner/spouse","yes","2.0","[ab] self and partner/spouse","false",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no, not at all comfortable","no, not at all comfortable","no, not at all comfortable","yes","false","no",,"no",,"no",,"yes","false","yes","false","no",,"no",,"no",,"no",,"no",,"no",,"no",,"[ab] self and partner/spouse","medium extent","[b] partner/spouse only","medium extent","[z] not applicable",,"[b] partner/spouse only","small extent","[z] not applicable",,"[z] not applicable",,"[ab] self and partner/spouse","medium extent","about the same as usual","4","2015-05-28T00:00:00.000","2","13"
"Kenya","Interim ZOI Survey 2015","3","rural","in zoi","9","372.2820012203","[a] alone","2","1965","50","true","true","yes, currently married",,,"false",,,"false",,,"true","input into some decisions","input into some decisions","false",,,"false",,,"false",,,"no",,,,,,,"yes","10 to 19","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","yes","10 to 19","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","[ab] self and partner/spouse","false",,,,,,,"no",,,,,,,"no",,,,,,,"no",,,,,,,"no",,,"no",,,"false",,,"no",,,"no",,,"false",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"yes, but with difficulty","yes, but with difficulty","no, not at all comfortable","no",,"no",,"no",,"no",,"no",,"no",,"no",,"yes","no","no",,"yes","no","no",,"yes","no","no",,"[z] not applicable",,"[z] not applicable",,"[z] not applicable",,"[ab] self and partner/spouse","small extent","[z] not applicable",,"[z] not applicable",,"[z] not applicable",,"more than usual","6","2015-05-29T00:00:00.000","2","121"
"Kenya","Interim ZOI Survey 2015","12","urban","in zoi","39","663.8446601942","[a] alone","4","1972","43","true","true","yes, currently married",,,"false",,,"false",,,"false",,,"false",,,"false",,,"false",,,"no",,,,,,,"no",,,,,,,"no",,,,,,,"false",,,,,,,"no",,,,,,,"no",,,,,,,"no",,,,,,,"no",,,"no",,,"true","2.0","[ab] self and partner/spouse","no",,,"yes","2.0","[ab] self and partner/spouse","false",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"yes, comfortably","yes, comfortably","yes, comfortably","no",,"yes","false","no",,"no",,"no",,"no",,"no",,"yes","no","yes","no","no",,"yes","true","no",,"no",,"[z] not applicable",,"[z] not applicable",,"[z] not applicable",,"[z] not applicable",,"[ab] self and partner/spouse","medium extent","[ab] self and partner/spouse","medium extent","[ab] self and partner/spouse","to a high extent","about the same as usual","6","2015-05-28T00:00:00.000","2","114"
"Kenya","Interim ZOI Survey 2015","14","urban","in comparison area","80","150.5942454492","[a] alone","don't know","1962","52","true","true","no, not in a union","yes, formerly married","widowed","false",,,"false",,,"true","no decisions made","no decisions made","false",,,"false",,,"false",,,"no",,,,,,,"no",,,,,,,"no",,,,,,,"false",,,,,,,"no",,,,,,,"no",,,,,,,"no",,,,,,,"no",,,"no",,,"false",,,"no",,,"no",,,"false",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"not applicable","not applicable","refused","no",,"no",,"no",,"no",,"no",,"no",,"no",,"no",,"no",,"no",,"no",,"no",,"no",,"[z] not applicable",,"[z] not applicable",,"[z] not applicable",,"[z] not applicable",,"[z] not applicable",,"[z] not applicable",,"[z] not applicable",,"more than usual","8","2015-05-24T00:00:00.000","2","118"
"Kenya","Interim ZOI Survey 2015","1","rural","in zoi","10","48.985673203999994","[a] alone","don't know","1954","61","true","true","no, not in a union","yes, formerly married","widowed","false",,,"false",,,"true","input into some decisions","input into some decisions","false",,,"false",,,"false",,,"yes","1+","[c] other hh member only","[c] other hh member only","[c] other hh member only","[c] other hh member only","[c] other hh member only","yes","10 to 19","[c] other hh member only","[c] other hh member only","[c] other hh member only","[c] other hh member only","[c] other hh member only","yes","30+","[c] other hh member only","[c] other hh member only","[c] other hh member only","[c] other hh member only","[c] other hh member only","false",,,,,,,"no",,,,,,,"no",,,,,,,"no",,,,,,,"no",,,"yes","1+","[a] self only","false",,,"no",,,"yes","1.0","[c] other hh member only","true","1+","[c] other hh member only","no",,,"no",,,"no",,,"no",,,"no",,,"no",,,"no, not at all comfortable","no, not at all comfortable","no, not at all comfortable","no",,"no",,"no",,"no",,"no",,"no",,"no",,"yes","yes","no",,"yes","no","no",,"no",,"no",,"[z] not applicable",,"[z] not applicable",,"[z] not applicable",,"[c] other hh member only","small extent","[z] not applicable",,"[z] not applicable",,"[a] self only",,"about the same as usual","3","2015-06-05T00:00:00.000","2","113"
