"name","gender","count","year","year_rank"
"Harry","M","2152","1880-01-01T00:00:00.000","12"
"Harry","M","2002","1881-01-01T00:00:00.000","12"
"Harry","M","2232","1882-01-01T00:00:00.000","12"
"Harry","M","2110","1883-01-01T00:00:00.000","12"
"Harry","M","2323","1884-01-01T00:00:00.000","12"
"Harry","M","2198","1885-01-01T00:00:00.000","12"
"Harry","M","2257","1886-01-01T00:00:00.000","12"
"Harry","M","2057","1887-01-01T00:00:00.000","12"
"Harry","M","2759","1888-01-01T00:00:00.000","9"
"Harry","M","2559","1889-01-01T00:00:00.000","8"
"Harry","M","2345","1890-01-01T00:00:00.000","10"
"Harry","M","2132","1891-01-01T00:00:00.000","9"
"Harry","M","2460","1892-01-01T00:00:00.000","9"
"Harry","M","2245","1893-01-01T00:00:00.000","10"
"Harry","M","2189","1894-01-01T00:00:00.000","10"
"Harry","M","2128","1895-01-01T00:00:00.000","12"
"Harry","M","2091","1896-01-01T00:00:00.000","11"
"Harry","M","1879","1897-01-01T00:00:00.000","13"
"Harry","M","2129","1898-01-01T00:00:00.000","12"
"Harry","M","1732","1899-01-01T00:00:00.000","13"
"Harry","M","2272","1900-01-01T00:00:00.000","13"
"Harry","M","1594","1901-01-01T00:00:00.000","13"
"Harry","M","1750","1902-01-01T00:00:00.000","13"
"Harry","M","1647","1903-01-01T00:00:00.000","13"
"Harry","M","1722","1904-01-01T00:00:00.000","13"
"Harry","M","1619","1905-01-01T00:00:00.000","14"
"Harry","M","1631","1906-01-01T00:00:00.000","14"
"Harry","M","1813","1907-01-01T00:00:00.000","14"
"Harry","M","1934","1908-01-01T00:00:00.000","14"
"Harry","M","1924","1909-01-01T00:00:00.000","14"
"Harry","M","1978","1910-01-01T00:00:00.000","16"
"Harry","M","2538","1911-01-01T00:00:00.000","13"
"Harry","M","4624","1912-01-01T00:00:00.000","16"
"Harry","M","5458","1913-01-01T00:00:00.000","15"
"Harry","M","6588","1914-01-01T00:00:00.000","19"
"Harry","M","8470","1915-01-01T00:00:00.000","19"
"Harry","M","8476","1916-01-01T00:00:00.000","19"
"Harry","M","8856","1917-01-01T00:00:00.000","19"
"Harry","M","9897","1918-01-01T00:00:00.000","20"
"Harry","M","8989","1919-01-01T00:00:00.000","20"
"Harry","M","9409","1920-01-01T00:00:00.000","21"
"Harry","M","9731","1921-01-01T00:00:00.000","21"
"Harry","M","9080","1922-01-01T00:00:00.000","22"
"Harry","M","9262","1923-01-01T00:00:00.000","22"
"Harry","M","9111","1924-01-01T00:00:00.000","22"
"Harry","M","8613","1925-01-01T00:00:00.000","23"
"Harry","M","8208","1926-01-01T00:00:00.000","25"
"Harry","M","8016","1927-01-01T00:00:00.000","25"
"Harry","M","7609","1928-01-01T00:00:00.000","26"
"Harry","M","7136","1929-01-01T00:00:00.000","27"
"Harry","M","6845","1930-01-01T00:00:00.000","28"
"Harry","M","6039","1931-01-01T00:00:00.000","30"
"Harry","M","5703","1932-01-01T00:00:00.000","32"
"Harry","M","5138","1933-01-01T00:00:00.000","35"
"Harry","M","5094","1934-01-01T00:00:00.000","36"
"Harry","M","5053","1935-01-01T00:00:00.000","37"
"Harry","M","4929","1936-01-01T00:00:00.000","39"
"Harry","M","4812","1937-01-01T00:00:00.000","41"
"Harry","M","4822","1938-01-01T00:00:00.000","44"
"Harry","M","4662","1939-01-01T00:00:00.000","45"
"Harry","M","4677","1940-01-01T00:00:00.000","47"
"Harry","M","5054","1941-01-01T00:00:00.000","48"
"Harry","M","5626","1942-01-01T00:00:00.000","48"
"Harry","M","5719","1943-01-01T00:00:00.000","50"
"Harry","M","5477","1944-01-01T00:00:00.000","49"
"Harry","M","5652","1945-01-01T00:00:00.000","47"
"Harry","M","6028","1946-01-01T00:00:00.000","50"
"Harry","M","6512","1947-01-01T00:00:00.000","54"
"Harry","M","5945","1948-01-01T00:00:00.000","57"
"Harry","M","5542","1949-01-01T00:00:00.000","59"
"Harry","M","5374","1950-01-01T00:00:00.000","61"
"Harry","M","5303","1951-01-01T00:00:00.000","70"
"Harry","M","4991","1952-01-01T00:00:00.000","75"
"Harry","M","4569","1953-01-01T00:00:00.000","83"
"Harry","M","4358","1954-01-01T00:00:00.000","86"
"Harry","M","4132","1955-01-01T00:00:00.000","89"
"Harry","M","3922","1956-01-01T00:00:00.000","95"
"Harry","M","3795","1957-01-01T00:00:00.000","100"
"Harry","M","3589","1958-01-01T00:00:00.000","111"
"Harry","M","3278","1959-01-01T00:00:00.000","120"
"Harry","M","3016","1960-01-01T00:00:00.000","124"
"Harry","M","2741","1961-01-01T00:00:00.000","131"
"Harry","M","2628","1962-01-01T00:00:00.000","7716"
"Harry","M","2495","1963-01-01T00:00:00.000","137"
"Harry","M","2401","1964-01-01T00:00:00.000","135"
"Harry","M","2113","1965-01-01T00:00:00.000","146"
"Harry","M","1994","1966-01-01T00:00:00.000","144"
"Harry","M","1876","1967-01-01T00:00:00.000","148"
"Harry","M","1778","1968-01-01T00:00:00.000","152"
"Harry","M","1627","1969-01-01T00:00:00.000","171"
"Harry","M","1698","1970-01-01T00:00:00.000","169"
"Harry","M","1529","1971-01-01T00:00:00.000","175"
"Harry","M","1332","1972-01-01T00:00:00.000","183"
"Harry","M","1203","1973-01-01T00:00:00.000","189"
"Harry","M","1080","1974-01-01T00:00:00.000","206"
"Harry","M","1072","1975-01-01T00:00:00.000","204"
"Harry","M","967","1976-01-01T00:00:00.000","216"
"Harry","M","949","1977-01-01T00:00:00.000","11549"
"Harry","M","912","1978-01-01T00:00:00.000","231"
"Harry","M","914","1979-01-01T00:00:00.000","239"
"Harry","M","858","1980-01-01T00:00:00.000","258"
"Harry","M","836","1981-01-01T00:00:00.000","258"
"Harry","M","768","1982-01-01T00:00:00.000","272"
"Harry","M","753","1983-01-01T00:00:00.000","275"
"Harry","M","727","1984-01-01T00:00:00.000","286"
"Harry","M","780","1985-01-01T00:00:00.000","268"
"Harry","M","677","1986-01-01T00:00:00.000","302"
"Harry","M","709","1987-01-01T00:00:00.000","303"
"Harry","M","670","1988-01-01T00:00:00.000","322"
"Harry","M","746","1989-01-01T00:00:00.000","322"
"Harry","M","626","1990-01-01T00:00:00.000","371"
"Harry","M","633","1991-01-01T00:00:00.000","368"
"Harry","M","644","1992-01-01T00:00:00.000","366"
"Harry","M","567","1993-01-01T00:00:00.000","408"
"Harry","M","550","1994-01-01T00:00:00.000","417"
"Harry","M","507","1995-01-01T00:00:00.000","449"
"Harry","M","482","1996-01-01T00:00:00.000","456"
"Harry","M","449","1997-01-01T00:00:00.000","480"
"Harry","M","479","1998-01-01T00:00:00.000","468"
"Harry","M","460","1999-01-01T00:00:00.000","482"
"Harry","M","438","2000-01-01T00:00:00.000","513"
"Harry","M","454","2001-01-01T00:00:00.000","501"
"Harry","M","437","2002-01-01T00:00:00.000","519"
"Harry","M","446","2003-01-01T00:00:00.000","525"
"Harry","M","446","2004-01-01T00:00:00.000","531"
"Harry","M","459","2005-01-01T00:00:00.000","528"
"Harry","M","414","2006-01-01T00:00:00.000","595"
"Harry","M","445","2007-01-01T00:00:00.000","577"
"Harry","M","379","2008-01-01T00:00:00.000","645"
"Harry","M","384","2009-01-01T00:00:00.000","645"
"Harry","M","364","2010-01-01T00:00:00.000","658"
"Harry","M","324","2011-01-01T00:00:00.000","705"
"Harry","M","324","2012-01-01T00:00:00.000","720"
"Harry","M","328","2013-01-01T00:00:00.000","713"
"Harry","M","335","2014-01-01T00:00:00.000","714"
