"year","fips","locality","health_district","health_region","age_group","sex","race_and_ethnicity","population_estimate"
"2019","51001","Accomack","Eastern Shore","Eastern","20-29","Female","Asian or Pacific Islander","24"
"2019","51001","Accomack","Eastern Shore","Eastern","50-59","Female","Asian or Pacific Islander","18"
"2019","51001","Accomack","Eastern Shore","Eastern","70-79","Female","Asian or Pacific Islander","14"
"2019","51001","Accomack","Eastern Shore","Eastern","60-69","Female","Asian or Pacific Islander","17"
"2019","51001","Accomack","Eastern Shore","Eastern","30-39","Female","Asian or Pacific Islander","23"
"2019","51001","Accomack","Eastern Shore","Eastern","10-19","Female","Asian or Pacific Islander","27"
"2019","51001","Accomack","Eastern Shore","Eastern","0-9","Female","Asian or Pacific Islander","12"
"2019","51001","Accomack","Eastern Shore","Eastern","80+","Female","Asian or Pacific Islander","3"
"2019","51001","Accomack","Eastern Shore","Eastern","40-49","Female","Asian or Pacific Islander","24"
"2019","51001","Accomack","Eastern Shore","Eastern","80+","Female","Black","230"
"2019","51001","Accomack","Eastern Shore","Eastern","0-9","Female","Black","602"
"2019","51001","Accomack","Eastern Shore","Eastern","30-39","Female","Black","583"
"2019","51001","Accomack","Eastern Shore","Eastern","40-49","Female","Black","520"
"2019","51001","Accomack","Eastern Shore","Eastern","20-29","Female","Black","530"
"2019","51001","Accomack","Eastern Shore","Eastern","70-79","Female","Black","352"
"2019","51001","Accomack","Eastern Shore","Eastern","50-59","Female","Black","711"
"2019","51001","Accomack","Eastern Shore","Eastern","10-19","Female","Black","603"
"2019","51001","Accomack","Eastern Shore","Eastern","60-69","Female","Black","737"
"2019","51001","Accomack","Eastern Shore","Eastern","0-9","Female","Latino","361"
"2019","51001","Accomack","Eastern Shore","Eastern","80+","Female","Latino","8"
"2019","51001","Accomack","Eastern Shore","Eastern","40-49","Female","Latino","165"
"2019","51001","Accomack","Eastern Shore","Eastern","20-29","Female","Latino","179"
"2019","51001","Accomack","Eastern Shore","Eastern","50-59","Female","Latino","91"
"2019","51001","Accomack","Eastern Shore","Eastern","70-79","Female","Latino","18"
"2019","51001","Accomack","Eastern Shore","Eastern","10-19","Female","Latino","291"
"2019","51001","Accomack","Eastern Shore","Eastern","30-39","Female","Latino","208"
"2019","51001","Accomack","Eastern Shore","Eastern","60-69","Female","Latino","29"
"2019","51001","Accomack","Eastern Shore","Eastern","0-9","Female","Native American","4"
"2019","51001","Accomack","Eastern Shore","Eastern","40-49","Female","Native American","5"
"2019","51001","Accomack","Eastern Shore","Eastern","80+","Female","Native American","7"
"2019","51001","Accomack","Eastern Shore","Eastern","70-79","Female","Native American","11"
"2019","51001","Accomack","Eastern Shore","Eastern","60-69","Female","Native American","8"
"2019","51001","Accomack","Eastern Shore","Eastern","10-19","Female","Native American","3"
"2019","51001","Accomack","Eastern Shore","Eastern","50-59","Female","Native American","7"
"2019","51001","Accomack","Eastern Shore","Eastern","30-39","Female","Native American","8"
"2019","51001","Accomack","Eastern Shore","Eastern","20-29","Female","Native American","5"
"2019","51001","Accomack","Eastern Shore","Eastern","0-9","Female","White","788"
"2019","51001","Accomack","Eastern Shore","Eastern","30-39","Female","White","881"
"2019","51001","Accomack","Eastern Shore","Eastern","70-79","Female","White","1539"
"2019","51001","Accomack","Eastern Shore","Eastern","40-49","Female","White","1023"
"2019","51001","Accomack","Eastern Shore","Eastern","80+","Female","White","795"
"2019","51001","Accomack","Eastern Shore","Eastern","50-59","Female","White","1477"
"2019","51001","Accomack","Eastern Shore","Eastern","10-19","Female","White","822"
"2019","51001","Accomack","Eastern Shore","Eastern","20-29","Female","White","820"
