"market_name","address","location","landmarks","market_season","days_open","hours_open","snap_match","wic_farmers_market_nutrition","senior_farmers_market","website","notes_for_updates","pa_snap_ed_agents_2017","market_manager","market_phone","market_email"
"4-Mile Run Farmers & Artisans Market","4109 Mt Vernon Avenue Alexandria, VA 22305","Alexandria","Located near the Four Mile Run on Mt Vernon Avenue in the Arlandria neighborhood of Alexandria near the border with Arlington.","Year Round; Indoors from December to April 22nd, Outdoors from April 23rd to November","Sunday","9AM - 1PM","Yes (Up to $20)","No","Yes","http://www.4mrmarket.org/","https://www.facebook.com/4MRMarket/",,"Travis Hester, Kevin Beekman, Jen Sheridan, and Nick Partee","(804) 4Mi-Run1 OR (804) 464-7861","4MRMarket@arlandria.org"
"Abingdon FM","Physical Address: 100 Remsburg Drive Abingdon, VA 24210
Mailing Address: PO Box 526, Abingdon, VA 24212","Abingdon","Corner of Cummings street and Remsburg drive","Year Round","Tuesday, Saturday","Tuesday 3PM - 6PM; Saturday 8AM - 1PM","Yes (Up to $25)","No","Yes","http://www.abingdonfarmersmarket.com/","https://www.facebook.com/abingdonfarmersmarket/",,"David McLeish","(276)698-1434","Abingdonmarket@gmail.com"
"Big Stone Gap Farmers Market","306 Wood Avenue E, Big Stone Gap VA 24219","Big Stone Gap","Located at the Big Stone Gap Visitor Center","May - October","Thursday","4PM - 7PM","Yes (Up to $25)","Yes","Yes","https://www.facebook.com/bsgfarmersmarket/info/?tab=overview","Other website: https://bigstonegap.com/event/bsg-farmers-market-2021-05-13/2021-06-10/",,"Princess Fleenor","(276) 523-2303","tourismdirector@bigstonegap.org"
"Birdhouse Farmers Market","1507 Grayland Avenue Richmond, VA 23220","Richmond","next to the Randolph Community Center basketball courts and pool","May - November in person, online year round","Tuesday","3PM - 6:30PM","Yes","No","No","http://www.birdhousefarmersmarket.org/","Kate Ruby","804-261-0841","birdhousefarmersmarket@gmail.com",,
"Blacksburg Farmers Market","108 West Roanoke Street Blacksburg, VA 24060","Blacksburg","Corner of Roanoke Street and Draper Road","January - November","January - March: Saturdays only                                                                           April - November: Wednesdays and Saturdays December: Saturdays only, Holiday Market","January - March: Saturday 10AM - 2PM.                                     April - October: Wednesday 2PM - 6PM, Saturday 8AM - 2PM.           November: Wednesday 2PM - 6PM, Saturday 9AM - 2PM December: Saturdays 9AM - 2PM","Yes (Up to $50)","No","No","http://www.blacksburgfarmersmarket.com/","-Facebook: https://www.facebook.com/blacksburgfarmersmarket
-Instagram:@blacksburgfarmersmkt",,"Ian Littlejohn","(540) 239-8290","bbfarmersmarket@gmail.com"
"Bowling Greens Farmers Market","211 N Main St, Bowling Green, VA 22427","Bowling Green","on the Lawn next to Atlantic Union Bank on North Main Street","March 27th - October 16th","Saturday","9AM - 1 PM","Yes (Up to $40)",,,"https://bgcfmarket.godaddysites.com/","https://www.facebook.com/Bowling-Green-Farmers-Market-1557573447844772/",,"Karen Tignor and Cheryl English","(804) 994-1745 and (804) 925-5926","edacoordinator@townofbowlinggreen.com OR kstignor@gmail.com OR maggie390@verizon.net"
"Broadway Farmers Market","161 South Main Street Broadway, VA 22815","Broadway","Veteran's Memorial Wall","Spring/Summer Season: May - September        Fall Season: September-October","Saturday","8AM - 1PM (May-Sept), 9AM-1PM (Sept-Oct)","Yes (Up to $20)","No","No","http://www.town.broadway.va.us/farmers-market.html","https://www.facebook.com/BroadwayFarmMkt/",,,"(540) 315-1165","info@town.broadway.va.us OR farmersmarket@town.broadway.va.us"
"Buckroe Beach Farmers Market","100 N First St, Hampton, VA 23664 - 1216","Hampton","grassy area surrounding the Buckroe Beach gazebo","May-October","Saturday","9AM-1PM","Yes (unlimited for fruits and veggies)","No","No","https://www.villageevents.org/","Updated June 2021",,"Mark Meadford","(757)-877-2933","mark@villageevents.org"
"Cape Charles Farmers Market-                               NO LONGER IN OPERATION","814 Randolph Ave, Cape Charles, VA 23310","Cape Charles","Cape Charles Museum and Welcome Center","May - October","Tuesday","3PM - 6PM","Yes (Up to $10)","No","Yes","http://www.capecharlesfarmersmarket.org/","This market is no longer in operation.",,"Kimberly Leake Denny","757-331-1008 or 757-607-6483","capecharlesmarket@gmail.com"
"Cascades Farmers Market","21060 Whitfield Drive, Sterling, VA 22075","Sterling","parking lot of senior center","May-December","Sunday","9AM - 1PM","Yes (No limit)","No","No","http://loudounfarmersmarkets.org/markets/cascades/","Updated July 2020",,"Brook Robison","540-454-8089","info@loudounfarmersmarkets.org"
"Catawba Valley Farmers' Market (LEAP, Inc.)","4965 Catawba Creek Road Catawba, VA 24070","Catawba",,"May - October","Thursday","3:30 PM - 6:30PM","No","No","No","https://www.catawbafarmersmarket.com/","https://www.facebook.com/Catawba-Valley-Farmers-Market-129469157077509/info/?tab=page_info",,"Pam Hall is the Market Secretary. No Market Manager; vendors volunteer for certain managerial duties.","(540) 580-1533","pscatawba@gmail.com OR catawbafarmersmarket@outlook.com"
"Charlottesville City Farmers Market","100 East Water Street Charlottesville, VA 22902","Charlottesville","Located in downtown Charlottesville at the corner of Water Street and 2nd Street SE.","May 15th - November 20th","Saturday","8AM-12PM","Yes (Up to $10)","No","No","https://www.charlottesvillecitymarket.com/","https://www.facebook.com/CharlottesvilleCityMarket/",,"Justin McKenzie","434-970-3371","citymarket@charlottesville.org"
