"schoolyear","esd","countynumber","county","countydistrictnumber","district","performance_indicator_number","performance_indicator_name","number_of_students_in_the","number_of_students_in_the_1","state_adjusted_level_of","district_negotiated_target","actual_level_of_performance","met_90_of_adjusted_level"
"2009-10","Capital Region ESD 113","14","Grays Harbor","14005","Aberdeen School District","1S1","Academic Attainment - Reading/Language Arts","95","121","74.30","61.50","78.51","Y"
"2009-10","Capital Region ESD 113","14","Grays Harbor","14005","Aberdeen School District","1S2","Academic Attainment - Mathematics","42","116","62.40","39.49","36.21","Y"
"2009-10","Capital Region ESD 113","14","Grays Harbor","14005","Aberdeen School District","2S1","Technical Skill Attainment","0","21","38.62","4.88","0.00","N"
"2009-10","Capital Region ESD 113","14","Grays Harbor","14005","Aberdeen School District","3S1","Secondary School Completion","117","135","87.25","84.78","86.67","Y"
"2009-10","Capital Region ESD 113","14","Grays Harbor","14005","Aberdeen School District","4S1","Student Graduation Rates","117","206","73.00","69.00","56.80","N"
"2009-10","Capital Region ESD 113","14","Grays Harbor","14005","Aberdeen School District","5S1","Secondary Placement","94","176","74.86","74.36","53.41","N"
"2009-10","Capital Region ESD 113","14","Grays Harbor","14005","Aberdeen School District","6S1","Nontraditional Participation","662","906","26.25","26.00","73.07","Y"
"2009-10","Capital Region ESD 113","14","Grays Harbor","14005","Aberdeen School District","6S2","Nontraditional Completion","84","110","34.25","34.00","76.36","Y"
"2009-10","Capital Region ESD 113","21","Lewis","21226","Adna School District","1S1","Academic Attainment - Reading/Language Arts","NR","NR","NR","NR","NR","NR"
"2009-10","Capital Region ESD 113","21","Lewis","21226","Adna School District","1S2","Academic Attainment - Mathematics","NR","NR","NR","NR","NR","NR"
"2009-10","Capital Region ESD 113","21","Lewis","21226","Adna School District","2S1","Technical Skill Attainment","NR","NR","NR","NR","NR","NR"
"2009-10","Capital Region ESD 113","21","Lewis","21226","Adna School District","3S1","Secondary School Completion","10","10","87.25","NR","100.00","NR"
"2009-10","Capital Region ESD 113","21","Lewis","21226","Adna School District","4S1","Student Graduation Rates","10","11","73.00","NR","90.91","NR"
"2009-10","Capital Region ESD 113","21","Lewis","21226","Adna School District","5S1","Secondary Placement","NR","NR","NR","NR","NR","NR"
"2009-10","Capital Region ESD 113","21","Lewis","21226","Adna School District","6S1","Nontraditional Participation","126","161","26.25","26.00","78.26","Y"
"2009-10","Capital Region ESD 113","21","Lewis","21226","Adna School District","6S2","Nontraditional Completion","NR","NR","NR","NR","NR","NR"
"2009-10","Educational Service District 101","22","Lincoln","22017","Almira School District","1S1","Academic Attainment - Reading/Language Arts","NR","NR","NR","NR","NR","NR"
"2009-10","Educational Service District 101","22","Lincoln","22017","Almira School District","1S2","Academic Attainment - Mathematics","NR","NR","NR","NR","NR","NR"
"2009-10","Educational Service District 101","22","Lincoln","22017","Almira School District","2S1","Technical Skill Attainment","NR","NR","NR","NR","NR","NR"
"2009-10","Educational Service District 101","22","Lincoln","22017","Almira School District","3S1","Secondary School Completion","NR","NR","NR","NR","NR","NR"
"2009-10","Educational Service District 101","22","Lincoln","22017","Almira School District","4S1","Student Graduation Rates","NR","NR","NR","NR","NR","NR"
"2009-10","Educational Service District 101","22","Lincoln","22017","Almira School District","5S1","Secondary Placement","NR","NR","NR","NR","NR","NR"
"2009-10","Educational Service District 101","22","Lincoln","22017","Almira School District","6S1","Nontraditional Participation","NR","NR","NR","NR","NR","NR"
"2009-10","Educational Service District 101","22","Lincoln","22017","Almira School District","6S2","Nontraditional Completion","NR","NR","NR","NR","NR","NR"
"2009-10","Northwest Educational Service District 189","29","Skagit","29103","Anacortes School District","1S1","Academic Attainment - Reading/Language Arts","59","70","74.30",,"84.29","Y"
"2009-10","Northwest Educational Service District 189","29","Skagit","29103","Anacortes School District","1S2","Academic Attainment - Mathematics","41","70","62.40",,"58.57","Y"
"2009-10","Northwest Educational Service District 189","29","Skagit","29103","Anacortes School District","2S1","Technical Skill Attainment","NR","NR","NR","NR","NR","NR"
"2009-10","Northwest Educational Service District 189","29","Skagit","29103","Anacortes School District","3S1","Secondary School Completion","67","78","87.25",,"85.90","Y"
"2009-10","Northwest Educational Service District 189","29","Skagit","29103","Anacortes School District","4S1","Student Graduation Rates","67","76","73.00",,"88.16","Y"
"2009-10","Northwest Educational Service District 189","29","Skagit","29103","Anacortes School District","5S1","Secondary Placement","57","114","74.86",,"50.00","N"
"2009-10","Northwest Educational Service District 189","29","Skagit","29103","Anacortes School District","6S1","Nontraditional Participation","230","600","26.25",,"38.33","Y"
"2009-10","Northwest Educational Service District 189","29","Skagit","29103","Anacortes School District","6S2","Nontraditional Completion","9","47","34.25",,"19.15","N"
"2009-10","Northwest Educational Service District 189","31","Snohomish","31016","Arlington School District","1S1","Academic Attainment - Reading/Language Arts","81","89","74.30","61.50","91.01","Y"
"2009-10","Northwest Educational Service District 189","31","Snohomish","31016","Arlington School District","1S2","Academic Attainment - Mathematics","50","90","62.40","43.60","55.56","Y"
"2009-10","Northwest Educational Service District 189","31","Snohomish","31016","Arlington School District","2S1","Technical Skill Attainment","NR","NR","NR","NR","NR","NR"
"2009-10","Northwest Educational Service District 189","31","Snohomish","31016","Arlington School District","3S1","Secondary School Completion","97","104","87.25","86.00","93.27","Y"
"2009-10","Northwest Educational Service District 189","31","Snohomish","31016","Arlington School District","4S1","Student Graduation Rates","96","96","73.00","70.00","100.00","Y"
"2009-10","Northwest Educational Service District 189","31","Snohomish","31016","Arlington School District","5S1","Secondary Placement","79","143","74.86","74.36","55.24","N"
"2009-10","Northwest Educational Service District 189","31","Snohomish","31016","Arlington School District","6S1","Nontraditional Participation","927","1650","26.25","26.00","56.18","Y"
"2009-10","Northwest Educational Service District 189","31","Snohomish","31016","Arlington School District","6S2","Nontraditional Completion","49","79","34.25","34.00","62.03","Y"
"2009-10","Educational Service District 123","2","Asotin","2420","Asotin-Anatone School District","1S1","Academic Attainment - Reading/Language Arts","9","11","74.30","NR","81.82","NR"
"2009-10","Educational Service District 123","2","Asotin","2420","Asotin-Anatone School District","1S2","Academic Attainment - Mathematics","8","11","62.40","NR","72.73","NR"
"2009-10","Educational Service District 123","2","Asotin","2420","Asotin-Anatone School District","2S1","Technical Skill Attainment","NR","NR","NR","NR","NR","NR"
"2009-10","Educational Service District 123","2","Asotin","2420","Asotin-Anatone School District","3S1","Secondary School Completion","11","11","87.25","NR","100.00","NR"
"2009-10","Educational Service District 123","2","Asotin","2420","Asotin-Anatone School District","4S1","Student Graduation Rates","11","10","73.00","NR","110.00","NR"
"2009-10","Educational Service District 123","2","Asotin","2420","Asotin-Anatone School District","5S1","Secondary Placement","NR","NR","NR","NR","NR","NR"
"2009-10","Educational Service District 123","2","Asotin","2420","Asotin-Anatone School District","6S1","Nontraditional Participation","64","123","26.25",,"52.03","Y"
"2009-10","Educational Service District 123","2","Asotin","2420","Asotin-Anatone School District","6S2","Nontraditional Completion","4","12","34.25","NR","33.33","NR"
"2009-10","Puget Sound Educational Service District 121","17","King","17408","Auburn School District","1S1","Academic Attainment - Reading/Language Arts","464","560","74.30",,"82.86","Y"
"2009-10","Puget Sound Educational Service District 121","17","King","17408","Auburn School District","1S2","Academic Attainment - Mathematics","245","548","62.40",,"44.71","N"
"2009-10","Puget Sound Educational Service District 121","17","King","17408","Auburn School District","2S1","Technical Skill Attainment","0","33","38.62",,"0.00","N"
"2009-10","Puget Sound Educational Service District 121","17","King","17408","Auburn School District","3S1","Secondary School Completion","581","638","87.25",,"91.07","Y"
"2009-10","Puget Sound Educational Service District 121","17","King","17408","Auburn School District","4S1","Student Graduation Rates","575","695","73.00",,"82.73","Y"
"2009-10","Puget Sound Educational Service District 121","17","King","17408","Auburn School District","5S1","Secondary Placement","376","697","74.86",,"53.95","N"
"2009-10","Puget Sound Educational Service District 121","17","King","17408","Auburn School District","6S1","Nontraditional Participation","1497","2937","26.25",,"50.97","Y"
"2009-10","Puget Sound Educational Service District 121","17","King","17408","Auburn School District","6S2","Nontraditional Completion","294","588","34.25",,"50.00","Y"
"2009-10","Puget Sound Educational Service District 121","18","Kitsap","18303","Bainbridge Island School District","1S1","Academic Attainment - Reading/Language Arts","93","94","74.30",,"98.94","Y"
"2009-10","Puget Sound Educational Service District 121","18","Kitsap","18303","Bainbridge Island School District","1S2","Academic Attainment - Mathematics","88","94","62.40",,"93.62","Y"
"2009-10","Puget Sound Educational Service District 121","18","Kitsap","18303","Bainbridge Island School District","2S1","Technical Skill Attainment","NR","NR","NR","NR","NR","NR"
"2009-10","Puget Sound Educational Service District 121","18","Kitsap","18303","Bainbridge Island School District","3S1","Secondary School Completion","99","99","87.25",,"100.00","Y"
"2009-10","Puget Sound Educational Service District 121","18","Kitsap","18303","Bainbridge Island School District","4S1","Student Graduation Rates","99","97","73.00",,"102.06","Y"
"2009-10","Puget Sound Educational Service District 121","18","Kitsap","18303","Bainbridge Island School District","5S1","Secondary Placement","78","112","74.86",,"69.64","Y"
"2009-10","Puget Sound Educational Service District 121","18","Kitsap","18303","Bainbridge Island School District","6S1","Nontraditional Participation","262","565","26.25",,"46.37","Y"
"2009-10","Puget Sound Educational Service District 121","18","Kitsap","18303","Bainbridge Island School District","6S2","Nontraditional Completion","8","20","34.25",,"40.00","Y"
"2009-10","Educational Service District 112","6","Clark","6119","Battle Ground School District","1S1","Academic Attainment - Reading/Language Arts","425","484","74.30","61.50","87.81","Y"
"2009-10","Educational Service District 112","6","Clark","6119","Battle Ground School District","1S2","Academic Attainment - Mathematics","263","479","62.40","43.70","54.91","Y"
"2009-10","Educational Service District 112","6","Clark","6119","Battle Ground School District","2S1","Technical Skill Attainment","0","76","38.62","4.88","0.00","N"
"2009-10","Educational Service District 112","6","Clark","6119","Battle Ground School District","3S1","Secondary School Completion","507","551","87.25","84.78","92.01","Y"
"2009-10","Educational Service District 112","6","Clark","6119","Battle Ground School District","4S1","Student Graduation Rates","503","591","73.00","69.00","85.11","Y"
"2009-10","Educational Service District 112","6","Clark","6119","Battle Ground School District","5S1","Secondary Placement","333","579","74.86","75.33","57.51","N"
"2009-10","Educational Service District 112","6","Clark","6119","Battle Ground School District","6S1","Nontraditional Participation","2285","3334","26.25","28.00","68.54","Y"
"2009-10","Educational Service District 112","6","Clark","6119","Battle Ground School District","6S2","Nontraditional Completion","461","624","34.25","38.90","73.88","Y"
"2009-10","Puget Sound Educational Service District 121","17","King","17405","Bellevue School District","1S1","Academic Attainment - Reading/Language Arts","415","433","74.30",,"95.84","Y"
"2009-10","Puget Sound Educational Service District 121","17","King","17405","Bellevue School District","1S2","Academic Attainment - Mathematics","337","432","62.40",,"78.01","Y"
"2009-10","Puget Sound Educational Service District 121","17","King","17405","Bellevue School District","2S1","Technical Skill Attainment","NR","NR","NR","NR","NR","NR"
"2009-10","Puget Sound Educational Service District 121","17","King","17405","Bellevue School District","3S1","Secondary School Completion","447","453","87.25",,"98.68","Y"
"2009-10","Puget Sound Educational Service District 121","17","King","17405","Bellevue School District","4S1","Student Graduation Rates","446","475","73.00",,"93.89","Y"
"2009-10","Puget Sound Educational Service District 121","17","King","17405","Bellevue School District","5S1","Secondary Placement","341","432","74.86",,"78.94","Y"
"2009-10","Puget Sound Educational Service District 121","17","King","17405","Bellevue School District","6S1","Nontraditional Participation","1643","3398","26.25",,"48.35","Y"
"2009-10","Puget Sound Educational Service District 121","17","King","17405","Bellevue School District","6S2","Nontraditional Completion","100","246","34.25",,"40.65","Y"
"2009-10","Northwest Educational Service District 189","37","Whatcom","37501","Bellingham School District","1S1","Academic Attainment - Reading/Language Arts","88","96","74.30",,"91.67","Y"
"2009-10","Northwest Educational Service District 189","37","Whatcom","37501","Bellingham School District","1S2","Academic Attainment - Mathematics","70","95","62.40",,"73.68","Y"
"2009-10","Northwest Educational Service District 189","37","Whatcom","37501","Bellingham School District","2S1","Technical Skill Attainment","NR","NR","NR","NR","NR","NR"
"2009-10","Northwest Educational Service District 189","37","Whatcom","37501","Bellingham School District","3S1","Secondary School Completion","86","106","87.25",,"81.13","Y"
"2009-10","Northwest Educational Service District 189","37","Whatcom","37501","Bellingham School District","4S1","Student Graduation Rates","85","295","73.00",,"28.81","N"
"2009-10","Northwest Educational Service District 189","37","Whatcom","37501","Bellingham School District","5S1","Secondary Placement","109","180","74.86",,"60.56","N"
"2009-10","Northwest Educational Service District 189","37","Whatcom","37501","Bellingham School District","6S1","Nontraditional Participation","741","1716","26.25",,"43.18","Y"
"2009-10","Northwest Educational Service District 189","37","Whatcom","37501","Bellingham School District","6S2","Nontraditional Completion","7","19","34.25","NR","36.84","NR"
"2009-10","Educational Service District 101","1","Adams","1122","Benge School District","1S1","Academic Attainment - Reading/Language Arts",,,,,,
