"schoolyear","district","countynumber","county","buildingnumber","school","gradetested","subgroup","readingtotaltestednottested","readingtotalmsp_hspetested","readingmetstandardinclud","readingpercentmetstandar","readingmetstandardwithou","readingpercentmetstandar_1","readingpercentmetstandar_2","readinglevel1","readingpercentlevel1","readinglevel2","readingpercentlevel2","readinglevelbasic","readingpercentlevelbasic","readinglevel3","readingpercentlevel3","readinglevel4","readingpercentlevel4","readingnoscore","readingpercentnoscore","readingnotmet","readingpercentnotmet","readingexcusedabsence","readingexempted","readingwaasport","readingwaasdape","mathtotaltestednottested","mathtotalmsp_hspetested","mathmetstandardincluding","mathpercentmetstandardin","mathmetstandardwithoutprevpass","mathpercentmetstandardwi","mathpercentmetstandardex","mathlevel1","mathpercentlevel1","mathlevel2","mathpercentlevel2","mathlevelbasic","mathpercentlevelbasic","mathlevel3","mathpercentlevel3","mathlevel4","mathpercentlevel4","mathnoscore","mathpercentnoscore","mathnotmet","mathpercentnotmet","mathexcusedabsence","mathexempted","mathwaasport","mathwaasdape","writingtotaltestednottested","writingtotalmsp_hspetested","writingmetstandardinclud","writingpercentmetstandar","writingmetstandardwithou","writingpercentmetstandar_1","writingpercentmetstandar_2","writinglevel1","writingpercentlevel1","writinglevel2","writingpercentlevel2","writinglevelbasic","writingpercentlevelbasic","writinglevel3","writingpercentlevel3","writinglevel4","writingpercentlevel4","writingnoscore","writingpercentnoscore","writingnotmet","writingpercentnotmet","writingexcusedabsence","writingexempted","writingwaasport","writingwaasdape","sciencetotaltestednottested","sciencetotalmsp_hspetested","sciencemetstandardinclud","sciencepercentmetstandar","sciencemetstandardwithou","sciencepercentmetstandar_1","sciencepercentmetstandar_2","sciencelevel1","sciencepercentlevel1","sciencelevel2","sciencepercentlevel2","sciencelevelbasic","sciencepercentlevelbasic","sciencelevel3","sciencepercentlevel3","sciencelevel4","sciencepercentlevel4","sciencenoscore","sciencepercentnoscore","sciencenotmet","sciencepercentnotmet","scienceexcusedabsence","scienceexempted","sciencewaasport","sciencewaasdape","readinglevelindex","mathlevelindex"
"2013-14","Washtucna School District","1","Adams","3075","Washtucna Elementary/High School","5","Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Washtucna School District","1","Adams","3075","Washtucna Elementary/High School","8","Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Washtucna School District","1","Adams","3075","Washtucna Elementary/High School","10","Male","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Washtucna School District","1","Adams","3075","Washtucna Elementary/High School","5","Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Washtucna School District","1","Adams","3075","Washtucna Elementary/High School","8","Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Washtucna School District","1","Adams","3075","Washtucna Elementary/High School","10","Female","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Washtucna School District","1","Adams","3075","Washtucna Elementary/High School","5","Hispanic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Washtucna School District","1","Adams","3075","Washtucna Elementary/High School","8","Hispanic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Washtucna School District","1","Adams","3075","Washtucna Elementary/High School","10","Hispanic","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Washtucna School District","1","Adams","3075","Washtucna Elementary/High School","5","White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Washtucna School District","1","Adams","3075","Washtucna Elementary/High School","8","White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Washtucna School District","1","Adams","3075","Washtucna Elementary/High School","10","White","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Benge School District","1","Adams","3142","Benge Elementary","3","Male","1",,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Benge School District","1","Adams","3142","Benge Elementary","6","Male","3",,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Benge School District","1","Adams","3142","Benge Elementary","5","Female","5",,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Benge School District","1","Adams","3142","Benge Elementary","6","Female","1",,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Benge School District","1","Adams","3142","Benge Elementary","5","Asian/Pacific Islander","2",,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Benge School District","1","Adams","3142","Benge Elementary","3","White","1",,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Benge School District","1","Adams","3142","Benge Elementary","6","White","4",,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Benge School District","1","Adams","3142","Benge Elementary","5","Asian","2",,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Othello School District","1","Adams","2902","Lutacaga Elementary","5","Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45","45","20","44.39","20","44.39","44.4","14","31.1","11","24.39","0","0","12","26.6","8","17.69","0","0","25","55.5","0","0","2",,,
"2013-14","Othello School District","1","Adams","2902","Lutacaga Elementary","5","Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30","30","12","40","12","40","40","7","23.3","11","36.6","0","0","5","16.6","7","23.3","0","0","18","60","0","0",,,,
"2013-14","Othello School District","1","Adams","2902","Lutacaga Elementary","5","Hispanic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Othello School District","1","Adams","2902","Lutacaga Elementary","5","White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,
"2013-14","Othello School District","1","Adams","2961","Hiawatha Elementary School","5","Male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38","38","19","50","19","50","50","11","28.89","8","21","0","0","13","34.2","6","15.69","0","0","19","50","0","0",,,,
"2013-14","Othello School District","1","Adams","2961","Hiawatha Elementary School","5","Female",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37","37","21","56.7","21","56.7","56.8","10","27","6","16.19","0","0","19","51.29","2","5.4","0","0","16","43.2","1","0",,,,
"2013-14","Othello School District","1","Adams","2961","Hiawatha Elementary School","5","Asian/Pacific Islander",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,
