"schoolyear","organizationlevel","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","gradelevel","all_students","female","gender_x","male","american_indian_alaskan_native","asian","black_african_american","hispanic_latino_of_any_race","native_hawaiian_other_pacific","two_or_more_races","white","english_language_learners","highly_capable","homeless","low_income","migrant","military_parent","mobile","section_504","students_with_disabilities","non_english_language_learners","non_highly_capable","non_homeless","non_low_income","non_migrant","non_military_parent","non_mobile","non_section_504","students_without_disabilities","dataasof","foster_care","non_foster_care"
"2015-16","State","Multiple","State Total",,,"State Total",,,"State Total",,,"10th Grade","82183","40002","7","42174","1158","6190","3708","16383","877","5745","48113","4384","3860","2063","36504","1653","0","1381","4078","9703","77799","78323","80120","45679","80530","82183","80802","78105","72480","2022-04-22T00:00:00.000","427","81756"
"2015-16","State","Multiple","State Total",,,"State Total",,,"State Total",,,"11th Grade","82957","40191","10","42756","1202","6061","3777","16170","756","5745","49241","3626","3534","2385","35796","1515","0","1899","4047","9868","79331","79423","80572","47161","81442","82957","81058","78910","73089","2022-04-22T00:00:00.000","411","82546"
"2015-16","State","Multiple","State Total",,,"State Total",,,"State Total",,,"12th Grade","87941","42549","7","45385","1337","6567","4320","16812","799","5577","52522","3233","3291","3428","36788","1619","0","5295","3758","10676","84708","84650","84513","51153","86322","87941","82646","84183","77265","2022-04-22T00:00:00.000","388","87553"
"2015-16","State","Multiple","State Total",,,"State Total",,,"State Total",,,"1st Grade","83424","40711","10","42703","1064","5694","3484","20360","861","7577","44379","16830","585","2653","43684","1775","0","1167","1279","10363","66594","82839","80771","39740","81649","83424","82257","82145","73061","2022-04-22T00:00:00.000","205","83219"
"2015-16","State","Multiple","State Total",,,"State Total",,,"State Total",,,"2nd Grade","85193","41729","11","43453","1146","6097","3482","20657","863","7747","45197","15582","1545","2737","44854","1788","0","1093","1796","11604","69611","83648","82456","40339","83405","85193","84100","83397","73589","2022-04-22T00:00:00.000","228","84965"
"2015-16","State","Multiple","State Total",,,"State Total",,,"State Total",,,"3rd Grade","84924","41186","9","43729","1064","6008","3647","20518","894","7470","45317","13555","2898","2731","44241","1844","0","1043","2329","12403","71369","82026","82193","40683","83080","84924","83881","82595","72521","2022-04-22T00:00:00.000","218","84706"
"2015-16","State","Multiple","State Total",,,"State Total",,,"State Total",,,"4th Grade","82258","39922","4","42332","1091","5814","3586","19575","849","6920","44419","11608","3373","2534","42279","1806","0","932","2506","12315","70650","78885","79724","39979","80452","82258","81326","79752","69943","2022-04-22T00:00:00.000","240","82018"
"2015-16","State","Multiple","State Total",,,"State Total",,,"State Total",,,"5th Grade","80586","39155","6","41425","1078","6047","3427","18752","893","6353","44032","9483","3829","2490","40991","1750","0","872","2858","12053","71103","76757","78096","39595","78836","80586","79714","77728","68533","2022-04-22T00:00:00.000","604","79982"
"2015-16","State","Multiple","State Total",,,"State Total",,,"State Total",,,"6th Grade","80018","38929","8","41081","1168","6195","3403","18036","853","6064","44297","7411","4937","2189","39702","1793","0","831","3104","11117","72607","75081","77829","40316","78225","80018","79187","76914","68901","2022-04-22T00:00:00.000","534","79484"
"2015-16","State","Multiple","State Total",,,"State Total",,,"State Total",,,"7th Grade","79709","38958","10","40741","1214","6154","3405","17461","824","5897","44750","5520","4667","2118","38594","1621","0","837","3255","10740","74189","75042","77591","41115","78088","79709","78872","76454","68969","2022-04-22T00:00:00.000","516","79193"
