"name_english","current_council","name_french","ward_id","year","web_name","person","position_english","position_french","email_link","email_link_french","phone","fax","website","portrait","legal_description_english","legal_description_french","legal_description_english_url","legal_description_french_url","neighbourhoods","label_position","ward_url","point"
"Transcona","false","Transcona","13","2014","transcona","Russ Wyatt","Councillor","Conseiller","https://winnipeg.ca/shared/mailforms/clerks/council/contact.asp?Recipient=rwyatt&Title=Contact%20City%20of%20Winnipeg%20Councillor%20Russ%C2%A0Wyatt","https://winnipeg.ca/shared/mailforms/francais/clerks/council/contact.asp?Recipient=rwyatt&Title=Communiquer%20avec%20le%20conseiller%20municipal%20de%20Winnipeg%20Russ%C2%A0Wyatt","204-986-8087","204-986-8549",,"https://winnipeg.ca/Council/images/wyatt2.png",,,"https://winnipeg.ca/clerks/pdfs/elections/election2014/councilWardMaps/legal_descriptions/TransconaWard2014.pdf",,"Melrose, Victoria West, Kern Park, Radisson, Kildare-Redonda, Canterbury Park, Meadows, Mission Gardens, Peguis, Grassie, Transcona South, Griffin, North Transcona Yards, Transcona Yards, Regent, Transcona North","
,  
(49.89559, -97.01179)","https://winnipeg.ca/council/wards/#/ward/2014/transcona","POINT (-97.01179 49.89559)"
"Fort Rouge - East Fort Garry","true","Fort Rouge-Fort Garry-Est","9","2018","fort-rouge-east-fort-garry","Sherri Rollins","Councillor","Conseill&#232;re","https://winnipeg.ca/shared/mailforms/clerks/council/contact.asp?Recipient=SRollins&Title=Contact%20City%20of%20Winnipeg%20Councillor%20Sherri%C2%A0Rollins","https://winnipeg.ca/shared/mailforms/francais/clerks/council/contact.asp?Recipient=srollins&Title=Communiquer%20avec%20la%20conseillère%20municipale%20de%20Winnipeg%20Sherri%C2%A0Rollins","204-986-5878","204-986-3725",,"https://winnipeg.ca/Council/images/rollins.png","Commence at Portage Ave. and Memorial Blvd.E. on Portage Ave. to Fort St.S. on Fort St. to Graham Ave.E. on Graham Ave. to Main St.N. on Main St. to William Stephenson WayE. on William Stephenson Way to CNR Main LineN. on CNR Main Line to the Red RiverS. on Red River to N. limit Lot 3 Plan 25109W. on N. limit Lot 3 Plan 25109 to Pembina Hwy.N. on Pembina Hwy to Stafford St.N. on Stafford St. to Grosvenor Ave.E. on Grosvenor Ave. to Wellington Cres.N. on Wellington Cres. to W. limit Lot A Plan 19453N. on W. limit Lot A Plan 19453 to Assiniboine RiverN. on Assiniboine River to Maryland St.N. on Maryland St. to Portage Ave.E. on Portage Ave. to St. Mary Ave.E. on St. Mary Ave. to Memorial Blvd.N. on Memorial Blvd. to point of commencement.","Commence &#224; l&#8217;intersection de l&#8217;av. Portage et du boul. Memorial,de l&#224;, vers l&#8217;est sur l&#8217;av. Portage jusqu&#8217;&#224; la rue Fort,de l&#224;, vers le sud sur la rue Fort jusqu&#8217;&#224; l&#8217;av. Graham,de l&#224;, vers l&#8217;est sur l&#8217;av. Graham jusqu&#8217;&#224; la rue Main,de l&#224;, vers le nord sur la rue Main jusqu&#8217;au ch. William Stephenson,de l&#224;, vers l&#8217;est sur le ch. William Stephenson jusqu&#8217;&#224; la ligne principale du C.N.,de l&#224;, vers le nord sur la ligne principale du C.N. jusqu&#8217;&#224; la rivi&#232;re Rouge,de l&#224;, vers le sud sur la rivi&#232;re Rouge jusqu&#8217;&#224; la limite nord du lot 3, plan 25109,de l&#224;, vers l&#8217;ouest sur la limite nord du lot 3, plan 25109, jusqu&#8217;au ch. Pembina,de l&#224;, vers le nord sur le ch. Pembina jusqu&#8217;&#224; la rue Stafford,de l&#224;, vers le nord sur la rue Stafford jusqu&#8217;&#224; l&#8217;av. Grosvenor,de l&#224;, vers l&#8217;est sur l&#8217;av. Grosvenor jusqu&#8217;au crois. Wellington,de l&#224;, vers le nord sur le crois. Wellington jusqu&#8217;&#224; la limite ouest du lot A, plan 19453,de l&#224;, vers le nord sur la limite ouest du lot A, plan 19453, jusqu&#8217;&#224; la rivi&#232;re Assiniboine,de l&#224;, vers le nord sur la rivi&#232;re Assiniboine jusqu&#8217;&#224; la rue Maryland,de l&#224;, vers le nord sur la rue Maryland jusqu&#8217;&#224; l&#8217;av. Portage,de l&#224;, vers l&#8217;est sur l&#8217;av. Portage jusqu&#8217;&#224; l&#8217;av. St. Mary,de l&#224;, vers l&#8217;est sur l&#8217;av. St. Mary jusqu&#8217;au boul. Memorial,de l&#224;, vers le nord sur le boul. Memorial jusqu&#8217;au point de commencement.","https://winnipeg.ca/clerks/election/election2018/pdfs/legal_descriptions/FortRougeEastFortGarry2018.pdf","https://winnipeg.ca/francais/clerks/election/election2018/pdfs/legal_descriptions/FortRougeEastFortGarry2018.pdf","West Broadway, Earl Grey, Ebby-Wentworth, Mcmillan, River-Osborne, Roslyn, Armstrong Point, South Portage, The Forks, Broadway-Assiniboine, Legislature, Point Road, Wildwood, Crescent Park, Lord Roberts, Riverview","
,  
(49.86318, -97.13938)","https://winnipeg.ca/council/wards/#/ward/2018/fort-rouge-east-fort-garry","POINT (-97.13938 49.86318)"
"Winnipeg","false","Winnipeg","0","2014","winnipeg","Brian Bowman","Mayor","maire de","https://winnipeg.ca/shared/mailforms/clerks/council/contact.asp?Recipient=CLK-MayorWebMail&Title=Contact%20City%20of%20Winnipeg%20Mayor's%C2%A0Office&Message=If%20you%20need%20to%20reach%20us%20by%20telephone,%20please%20call%20204-986-5665%20and%20explain%20the%20nature%20of%20your%20inquiry","https://winnipeg.ca/shared/mailforms/francais/clerks/council/contact.asp?Recipient=CLK-MayorWebMail&Title=Communiquer%20avec%20le%20Bureau%20du%20maire%20de%20Winnipeg&Message=Si%20vous%20devez%20nous%20joindre%20par%20tÃ©lÃ©phone,%20veuillez%20composer%20le%20204-986-5665%20et%20expliquer%20la%20nature%20de%20votre%20demande.","204-986-5665","204-949-0566","https://www.mayorbowman.ca/","https://winnipeg.ca/council/photos/bowman2.jpg",,,,,,,"https://wwwdev.winnipeg.ca/interhom/mayor/default.asp",
"South Winnipeg - St. Norbert","false","Winnipeg-Sud-Saint-Norbert","10","2014","south-winnipeg-st-norbert","Janice Lukes","Councillor","Conseill&#232;re","https://winnipeg.ca/shared/mailforms/clerks/council/contactLukes.asp?Recipient=Jlukes&Title=Contact%20City%20of%20Winnipeg%20Councillor%20Janice%C2%A0Lukes","https://winnipeg.ca/shared/mailforms/francais/clerks/council/contactLukes.asp?Recipient=Jlukes&Title=Communiquer%20avec%20la%20conseillère%20municipale%20de%20Winnipeg%20Janice%C2%A0Lukes","204-986-6824","204-986-3725","http://janicelukes.ca/","https://winnipeg.ca/Council/images/lukes2.png",,,"https://winnipeg.ca/clerks/pdfs/elections/election2014/councilWardMaps/legal_descriptions/StNorbertWard2014.pdf","https://winnipeg.ca/clerks/pdfs/elections/election2014/councilWardMaps/legal_descriptions/StNorbertWard2014_fr.pdf","Normand Park, River Park South, Agassiz, Fort Richmond, St. Norbert, Cloutier Drive, Fairfield Park, Richmond West, Montcalm, Richmond Lakes, Waverley Heights, University, Parc La Salle, Turnbull Drive, Perrault, Trappistes, La Barriere, Bridgwater Forest, Waverley West B, South Pointe, South Pointe West, Bridgwater Trails, Bridgwater Lakes, Bridgwater Centre","
,  
(49.78414, -97.18225)","https://winnipeg.ca/council/wards/#/ward/2014/south-winnipeg-st-norbert","POINT (-97.18225 49.78414)"
"Winnipeg","true","Winnipeg","0","2018","winnipeg","Brian Bowman","Mayor","maire de","https://winnipeg.ca/shared/mailforms/clerks/council/contact.asp?Recipient=CLK-MayorWebMail&Title=Contact%20City%20of%20Winnipeg%20Mayor's%C2%A0Office&Message=If%20you%20need%20to%20reach%20us%20by%20telephone,%20please%20call%20204-986-5665%20and%20explain%20the%20nature%20of%20your%20inquiry","https://winnipeg.ca/shared/mailforms/francais/clerks/council/contact.asp?Recipient=CLK-MayorWebMail&Title=Communiquer%20avec%20le%20Bureau%20du%20maire%20de%20Winnipeg&Message=Si%20vous%20devez%20nous%20joindre%20par%20tÃ©lÃ©phone,%20veuillez%20composer%20le%20204-986-5665%20et%20expliquer%20la%20nature%20de%20votre%20demande.","204-986-5665","204-949-0566","https://www.mayorbowman.ca/","https://winnipeg.ca/council/photos/bowman2.jpg",,,,,,,"https://winnipeg.ca/interhom/mayor/default.asp",
"North Kildonan","true","Kildonan-Nord","15","2018","north-kildonan","Jeff Browaty","Councillor","Conseiller","https://winnipeg.ca/shared/mailforms/clerks/council/contact.asp?Recipient=jbrowaty&Title=Contact%20City%20of%20Winnipeg%20Councillor%20Jeff%C2%A0Browaty","https://winnipeg.ca/shared/mailforms/francais/clerks/council/contact.asp?Recipient=jbrowaty&Title=Communiquer%20avec%20le%20conseiller%20municipal%20de%20Winnipeg%20Jeff%C2%A0Browaty","204-986-5196","204-986-3725",,"https://winnipeg.ca/Council/images/browaty3.png","Commence at Red River and City limit (Glenway Ave.)E. on City limit to Springfield Rd.W. on Springfield Rd. to Lagimodiere Blvd.S. on Lagimodiere Blvd. and Molson St. to McLeod Ave.W. on McLeod Ave. to former CPR Railway lands between Gateway Rd and Raleigh St.S. CPR Railway lands between Gateway Rd and Raleigh St. to rear lot line N. of Roberta Ave.W. on rear lot line N. of Roberta Ave. to Watt St.N. on Watt St. to lane N. of Leighton Ave.W. on lane N. of Leighton Ave. to Roch St.S. on Roch St. to Leighton Ave.W. on Leighton Ave. to Henderson Hwy.S. on Henderson Hwy. to S. limit Lot 9 Plan 4606 (S. of Bredin Dr.)W. on S. limit Lot 9 Plan 4606 to Red RiverN. on Red River to Chief Peguis TrailW. on Chief Peguis Trail to Main St.S. on Main St to S. Limit of Lot 48 Block 4 Plan 1270W. on S. Limit of Lot 48 Block 4 Plan 1270 and its Westerly extension to CPR Winnipeg Beach.N. on CPR Winnipeg Beach to the City Limit.E. on the City Limit (N. of Glencairn Rd.) to the Red River.N. on the Red River to the point of commencement.","Commence &#224; l&#8217;intersection de la rivi&#232;re Rouge et de la limite de la ville (av. Glenway),de l&#224;, vers l&#8217;est sur la limite de la ville jusqu&#8217;au ch. Springfield,de l&#224;, vers l&#8217;ouest sur le ch. Springfield jusqu&#8217;au boul. Lagimodi&#232;re,de l&#224;, vers le sud sur le boul. Lagimodi&#232;re et la rue Molson jusqu&#8217;&#224; l&#8217;av. McLeod,de l&#224;, vers l&#8217;ouest sur l&#8217;av. McLeod jusqu&#8217;aux anciens terrains du C.P. entre le ch. Gateway et la rue Raleigh,de l&#224;, vers le sud sur les terrains du C.P. entre le ch. Gateway et la rue Raleigh jusqu&#8217;&#224; la limite de lot arri&#232;re au nord de l&#8217;av. Roberta,de l&#224;, vers l&#8217;ouest sur la limite de lot arri&#232;re au nord de l&#8217;av. Roberta jusqu&#8217;&#224; la rue Watt,de l&#224;, vers le nord sur la rue Watt jusqu&#8217;&#224; la ruelle au nord de l&#8217;av. Leighton,de l&#224;, vers l&#8217;ouest sur la ruelle au nord de l&#8217;av. Leighton jusqu&#8217;&#224; la rue Roch,de l&#224;, vers le sud sur la rue Roch jusqu&#8217;&#224; l&#8217;av. Leighton,de l&#224;, vers l&#8217;ouest sur l&#8217;av. Leighton jusqu&#8217;au ch. Henderson,de l&#224;, vers le sud sur le ch. Henderson jusqu&#8217;&#224; la limite sud du lot 9, plan 4606 (au sud de la prom. Bredin), de l&#224;, vers l&#8217;ouest sur la limite sud du lot 9, plan 4606, jusqu&#8217;&#224; la rivi&#232;re Rouge,de l&#224;, vers le nord sur la rivi&#232;re Rouge jusqu&#8217;&#224; la route Chief Peguis,de l&#224;, vers l&#8217;ouest sur la route Chief Peguis jusqu&#8217;&#224; la rue Main,de l&#224;, vers le sud sur la rue Main jusqu&#8217;&#224; la limite sud du lot 48, bloc 4, plan 1270,de l&#224;, vers l&#8217;ouest sur la limite sud du lot 48, bloc 4, plan 1270, et son prolongement vers l&#8217;ouest jusqu&#8217;&#224; l&#8217;embranchement Winnipeg Beach du C.P.,de l&#224;, vers le nord sur l&#8217;embranchement Winnipeg Beach du C.P. jusqu&#8217;&#224; la limite de la ville,de l&#224;, vers l&#8217;est sur la limite de la ville (au nord du ch. Glencairn) jusqu&#8217;&#224; la rivi&#232;re Rouge,de l&#224;, vers le nord sur la rivi&#232;re Rouge jusqu&#8217;au point de commencement.","https://winnipeg.ca/clerks/election/election2018/pdfs/legal_descriptions/NorthKildonanWard2018.pdf","https://winnipeg.ca/francais/clerks/election/election2018/pdfs/legal_descriptions/NorthKildonanWard2018.pdf","Rivergrove, Riverbend, Kildonan Drive, Rossmere-A, River East, Springfield North, Springfield South, Valhalla, Kil-Cona Park, Mcleod Industrial","
,  
(49.94326, -97.06385)","https://winnipeg.ca/council/wards/#/ward/2018/north-kildonan","POINT (-97.06385 49.94326)"
"Fort Rouge - East Fort Garry","false","Fort Rouge-Fort Garry-Est","9","2014","fort-rouge-east-fort-garry","Jenny Gerbasi","Councillor","Conseill&#232;re","https://winnipeg.ca/shared/mailforms/clerks/council/contact.asp?Recipient=jgerbasi&Title=Contact%20City%20of%20Winnipeg%20Councillor%20Jenny%C2%A0Gerbasi","https://winnipeg.ca/shared/mailforms/francais/clerks/council/contact.asp?Recipient=jgerbasi&Title=Communiquer%20avec%20la%20conseillère%20municipale%20de%20Winnipeg%20Jenny%C2%A0Gerbasi","204-986-5878","204-986-5636","http://www.jennygerbasi.ca/","https://winnipeg.ca/Council/images/gerbasi2.png",,,"https://winnipeg.ca/clerks/pdfs/elections/election2014/councilWardMaps/legal_descriptions/FortRougeEastFortGarryWard2014.pdf",,"West Broadway, Earl Grey, Ebby-Wentworth, Mcmillan, River-Osborne, Roslyn, Armstrong Point, South Portage, The Forks, Broadway-Assiniboine, Legislature, Point Road, Wildwood, Crescent Park, Lord Roberts, Riverview","
,  
(49.86458, -97.14076)","https://winnipeg.ca/council/wards/#/ward/2014/fort-rouge-east-fort-garry","POINT (-97.14076 49.86458)"
"Mynarski","false","Mynarski","2","2014","mynarski","Ross Eadie","Councillor","Conseiller","https://winnipeg.ca/shared/mailforms/clerks/council/contact.asp?Recipient=readie&Title=Contact%20City%20of%20Winnipeg%20Councillor%20Ross%C2%A0Eadie","https://winnipeg.ca/shared/mailforms/francais/clerks/council/contact.asp?Recipient=readie&Title=Communiquer%20avec%20le%20conseiller%20municipal%20de%20Winnipeg%20Ross%C2%A0Eadie","204-986-5188","204-986-3726",,"https://winnipeg.ca/Council/images/eadie2.png",,,"https://winnipeg.ca/clerks/pdfs/elections/election2014/councilWardMaps/legal_descriptions/MynarskiWard2014.pdf",,"Dufferin, William Whyte, Luxton, St. John's, Inkster-Faraday, Jefferson, North Point Douglas, St. John's Park, Seven Oaks, Margaret Park, Dufferin Industrial, Kildonan Park, Lord Selkirk Park","
,  
(49.92348, -97.13257)","https://winnipeg.ca/council/wards/#/ward/2014/mynarski","POINT (-97.13257 49.92348)"
"River Heights - Fort Garry","true","River Heights-Fort Garry","8","2018","river-heights-fort-garry","John Orlikow","Councillor","Conseiller","https://winnipeg.ca/shared/mailforms/clerks/council/contact.asp?Recipient=jorlikow&Title=Contact%20City%20of%20Winnipeg%20Councillor%20John%C2%A0Orlikow","https://winnipeg.ca/shared/mailforms/francais/clerks/council/contact.asp?Recipient=jorlikow&Title=Communiquer%20avec%20le%20conseiller%20municipal%20de%20Winnipeg%20John%C2%A0Orlikow","204-986-5236","204-986-3725","http://www.orlikow.ca/","https://winnipeg.ca/Council/images/orlikow3.jpg","Commence at Assiniboine River and Kenaston Blvd.E. on Assiniboine River to W. limit Parcel A Plan 19453S. on W. limit Parcel A Plan 19453 to Wellington Cres.S. on Wellington Cres. to Grosvenor Ave.W. on Grosvenor Ave. to Stafford St.S. on Stafford St. to Pembina Hwy.S. on Pembina Hwy. to S. limit of Lot 1 Plan 35795E. on S. limit of Lots 1 & 2 Plan 35795 to the Red RiverS. on Red River to Bishop Grandin Blvd.W. on Bishop Grandin Blvd. to Waverley St.N. on Waverley St. to McGillivray Blvd.W. on McGillivray Blvd. to Kenaston Blvd.N. on Kenaston Blvd. to the CPR LariviereN. on the CPR Lariviere to the CNR MainlineW. the CNR Mainline to Kenaston Blvd.N. on Kenaston Blvd. to the point of commencement.","Commence &#224; l&#8217;intersection de la rivi&#232;re Assiniboine et du boul. Kenaston,de l&#224;, vers l&#8217;est sur la rivi&#232;re Assiniboine jusqu&#8217;&#224; la limite ouest de la parcelle A, plan 19453,de l&#224;, vers le sud sur la limite ouest de la parcelle A, plan 19453, jusqu&#8217;au crois. Wellington,de l&#224;, vers le sud sur le crois. Wellington jusqu&#8217;&#224; l&#8217;av. Grosvenor,de l&#224;, vers l&#8217;ouest sur l&#8217;av. Grosvenor jusqu&#8217;&#224; la rue Stafford,de l&#224;, vers le sud sur la rue Stafford jusqu&#8217;au ch. Pembina,de l&#224;, vers le sud sur le ch. Pembina jusqu&#8217;&#224; la limite sud du lot 1, plan 35795,de l&#224;, vers l&#8217;est sur la limite sud des lots 1 et 2, plan 35795, jusqu&#8217;&#224; la rivi&#232;re Rouge,de l&#224;, vers le sud sur la rivi&#232;re Rouge jusqu&#8217;au boul. Bishop Grandin,de l&#224;, vers l&#8217;ouest sur le boul. Bishop Grandin jusqu&#8217;&#224; la rue Waverley,de l&#224;, vers le nord sur la rue Waverley jusqu&#8217;au boul. McGillivray,de l&#224;, vers l&#8217;ouest sur le boul. McGillivray jusqu&#8217;au boul. Kenaston,de l&#224;, vers le nord sur le boul. Kenaston jusqu&#8217;&#224; l&#8217;embranchement La Rivi&#232;re du C.P., 49de l&#224;, vers le nord sur l&#8217;embranchement La Rivi&#232;re du C.P. jusqu&#8217;&#224; la ligne principale du C.N.,de l&#224;, vers l&#8217;ouest sur la ligne principale du C.N. jusqu&#8217;au boul. Kenaston,de l&#224;, vers le nord sur le boul. Kenaston jusqu&#8217;au point de commencement.","https://winnipeg.ca/clerks/election/election2018/pdfs/legal_descriptions/RiverHeightsFortGarry2018.pdf","https://winnipeg.ca/francais/clerks/election/election2018/pdfs/legal_descriptions/RiverHeightsFortGarry2018.pdf","Crescentwood, Beaumont, Grant Park, Maybank, Rockwood, Central River Heights, J. B. Mitchell, Mathers, North River Heights, Sir John Franklin, South River Heights, Wellington Crescent, Linden Woods, Pembina Strip, Buffalo, Chevrier, Parker, Brockville","
,  
(49.84368, -97.17583)","https://winnipeg.ca/council/wards/#/ward/2018/river-heights-fort-garry","POINT (-97.17583 49.84368)"
"Elmwood - East Kildonan","true","Elmwood-Kildonan-Est","14","2018","elmwood-east-kildonan","Jason Schreyer","Councillor","Conseiller","https://winnipeg.ca/shared/mailforms/clerks/council/contact.asp?Recipient=jschreyer&Title=Contact%20City%20of%20Winnipeg%20Councillor%20Jason%C2%A0Schreyer","https://winnipeg.ca/shared/mailforms/francais/clerks/council/contact.asp?Recipient=jschreyer&Title=Communiquer%20avec%20le%20conseiller%20municipal%20de%20Winnipeg%20Jason%C2%A0Schreyer","204-986-5195","204-986-3725","http://jasonschreyer.ca/","https://winnipeg.ca/Council/images/schreyer2.png","Elmwood - East Kildonan WardCommence at Red River and S. limit Lot 9 Plan 4606 (S. of Bredin Dr.)E. on S. limit Lot 9 Plan 4606 and its Easterly extension to Henderson Hwy.N. on Henderson Hwy. to Leighton Ave.E. on Leighton Ave. to Roch St.N. on Roch St. to lane N. of Leighton Ave.E. on lane N. of Leighton Ave. to Watt St.S. on Watt St. to rear lot line N. of Roberta Ave.E. on rear lot line N. of Roberta Ave. to former CPR Plan 78N. on former CPR Plan 78 to McLeod Ave.E. on McLeod Ave. to Molson St.N. on Molson St. to Lagimodiere Blvd. (at Cordite Rd.)S. on Lagimodiere Blvd. to CNR RedditW. on CNR Mainline to Archibald St.N. on Archibald St. to CPR KeewatinW. on CPR Keewatin to Red RiverN. on Red River to point of commencement.","Commence &#224; l&#8217;intersection de la rivi&#232;re Rouge et de la limite sud du lot 9, plan 4606 (au sud de la prom. Bredin),de l&#224;, vers l&#8217;est sur la limite sud du lot 9, plan 4606, et son prolongement vers l&#8217;est jusqu&#8217;au ch. Henderson,de l&#224;, vers le nord sur le ch. Henderson jusqu&#8217;&#224; l&#8217;av. Leighton,de l&#224;, vers l&#8217;est sur l&#8217;av. Leighton jusqu&#8217;&#224; la rue Roch,de l&#224;, vers le nord sur la rue Roch jusqu&#8217;&#224; la ruelle au nord de l&#8217;av. Leighton,de l&#224;, vers l&#8217;est sur la ruelle au nord de l&#8217;av. Leighton jusqu&#8217;&#224; la rue Watt,de l&#224;, vers le sud sur la rue Watt jusqu&#8217;&#224; la limite de lot arri&#232;re au nord de l&#8217;av. Roberta,de l&#224;, vers l&#8217;est sur la limite de lot arri&#232;re au nord de l&#8217;av. Roberta jusqu&#8217;&#224; l&#8217;ancien plan 78 du C.P.,de l&#224;, vers le nord sur l&#8217;ancien plan 78 du C.P. jusqu&#8217;&#224; l&#8217;av. McLeod,de l&#224;, vers l&#8217;est sur l&#8217;av. McLeod jusqu&#8217;&#224; la rue Molson,de l&#224;, vers le nord sur la rue Molson jusqu&#8217;au boul. Lagimodi&#232;re (ch. Cordite),de l&#224;, vers le sud sur le boul. Lagimodi&#232;re jusqu&#8217;&#224; l&#8217;embranchement Reddit du C.N.,de l&#224;, vers l&#8217;ouest sur la ligne principale du C.N. jusqu&#8217;&#224; la rue Archibald,de l&#224;, vers le nord sur la rue Archibald jusqu&#8217;&#224; l&#8217;embranchement Keewatin du C.P.,de l&#224;, vers l&#8217;ouest sur l&#8217;embranchement Keewatin du C.P. jusqu&#8217;&#224; la rivi&#232;re Rouge,de l&#224;, vers le nord sur la rivi&#232;re Rouge jusqu&#8217;au point de commencement.","https://winnipeg.ca/clerks/election/election2018/pdfs/legal_descriptions/ElmwoodEastKildonan2018.pdf","https://winnipeg.ca/francais/clerks/election/election2018/pdfs/legal_descriptions/ElmwoodEastKildonan2018.pdf","Chalmers, Talbot-Grey, East Elmwood, Munroe West, Glenelm, Munroe East, Valley Gardens, Eaglemere, Kildonan Crossing, Tyne-Tees, Rossmere-B","
,  
(49.91261, -97.08674)","https://winnipeg.ca/council/wards/#/ward/2018/elmwood-east-kildonan","POINT (-97.08674 49.91261)"
