"bid_opening_date","procurement_type","contract_number","project_name","department_name","procurement_contact","no_responses","company_name","city","state","bid_amount","notes","location_1"
"2022-09-07T00:00:00.000","Bid-Formal > $25K","2245-03101","WATTS PLUMBING SUPPLIES","FACILITIES MANAGEMENT","DAN GIZZI","false","COLUMBIA PIPE","ROCKDALE","IL","145000",,"
ROCKDALE, IL 
(41.50703, -88.114578)"
"2022-08-31T00:00:00.000","RFP/RFQ/RFI","2045-18246R","INTERACTIVE TOUCHSCREEN DIRECTORY AT VARIOUS COUNTY LOCATIONS","DEPARTMENT OF FACILITIES MANAGEMENT","YANETH LOPEZ","true",,,,,,
"2022-08-31T00:00:00.000","Bid-Formal > $25K","2223-01072","FURNISH AND INSTALL CABLE TV AND VIDEO PRODUCTION EQUIPMENT","OFFICE OF THE CHIEF ADMINISTRATIVE OFFICER","ED RENDON","false","AVI SYSTEMS","ARLINGTON HEIGHTS","IL","177478",,"
ARLINGTON HEIGHTS, IL 
(42.08296, -87.98051)"
"2022-08-24T00:00:00.000","Bid-Formal > $25K","2238-05310","ELECTRICAL AND MECHANICAL MAINTENANCE","TRANPORTATION AND HIGHWAYS","MICHAEL SCHIEVE","false","MEADE, INC.","WILLOWBROOK","IL","17675007.96","BID BOND RECEIVED","
WILLOWBROOK, IL 
(41.750312, -87.941265)"
"2022-08-17T00:00:00.000","Bid-Formal > $25K","2250-04111","MEAT PRODUCTS","JUVENILE TEMPORARY DETENTION CENTER","HALYNA SHURUK","false","BLACK DOG FOODS LLC","LYONS","IL","2170112.5",,"
LYONS, IL 
(41.813373, -87.816296)"
"2022-08-17T00:00:00.000","Bid-Formal > $25K","2250-04111","MEAT PRODUCTS","JUVENILE TEMPORARY DETENTION CENTER","HALYNA SHURUK","false","CRISTINA FOODS, INC.","CHICAGO","IL","1790849.5",,"
CHICAGO, IL 
(41.883229, -87.632398)"
"2022-08-17T00:00:00.000","Bid-Formal > $25K","2250-04111","MEAT PRODUCTS","JUVENILE TEMPORARY DETENTION CENTER","HALYNA SHURUK","false","KINGDOM FARMS WHOLESALE MEAT, INC.","CHICAGO","IL","1461723.5",,"
CHICAGO, IL 
(41.883229, -87.632398)"
"2022-08-10T00:00:00.000","Bid-Formal > $25K","2245-02084","POWER TOOLS & ACCESSORIES","FACILITIES MANAGEMENT","DAN GIZZI","false","HILTI, INC.","TULSA","OK","12000",,"
TULSA, OK 
(36.155327, -95.992083)"
"2022-08-10T00:00:00.000","Bid-Formal > $25K","2245-02084","POWER TOOLS & ACCESSORIES","FACILITIES MANAGEMENT","DAN GIZZI","false","JP SIMONS AND COMPANY","GLENDALE HEIGHTS","IL","56000",,"
GLENDALE HEIGHTS, IL 
(41.917518, -88.081411)"
"2022-08-10T00:00:00.000","Bid-Formal > $25K","2245-02084","POWER TOOLS & ACCESSORIES","FACILITIES MANAGEMENT","DAN GIZZI","false","MSC INDUSTRIAL SUPPLY CO.","DAVIDSON","NC","28500",,"
DAVIDSON, NC 
(35.49925, -80.848485)"
"2022-08-03T00:00:00.000","Bid-Formal > $25K","2202-03232","ROCK SALT AND DEICING SALT","COUNTYWIDE","ANGELIQUE RANDLE","false","ATLAS & ASSOCIATES, INC.","COUNTRY CLUB HILLS","IL","7856750",,"
COUNTRY CLUB HILLS, IL 
(41.568172, -87.713766)"
"2022-08-03T00:00:00.000","Bid-Formal > $25K","2202-03232","ROCK SALT AND DEICING SALT","COUNTYWIDE","ANGELIQUE RANDLE","false","RUSSO POWER EQUIPMENT","SCHILLER PARK","IL","69670",,"
SCHILLER PARK, IL 
(41.954562, -87.863936)"
"2022-08-03T00:00:00.000","Bid-Formal > $25K","2202-03232","ROCK SALT AND DEICING SALT","COUNTYWIDE","ANGELIQUE RANDLE","false","VALDES, LLC","WHEELING","IL","77975",,"
WHEELING, IL 
(42.139356, -87.925736)"
"2022-08-03T00:00:00.000","Bid-Formal > $25K","2217-04081","LINENS","OFFICE OF THE SHERIFF","COLLEEN CHAMBERS","false","BOB BARKER COMPANY, INC.","FUQUAY VARINA","NC","1071300",,"
FUQUAY VARINA, NC 
(35.584354, -78.800849)"
"2022-08-03T00:00:00.000","Bid-Formal > $25K","2217-04081","LINENS","OFFICE OF THE SHERIFF","COLLEEN CHAMBERS","false","TABB TEXTILES CO., INC.","OPELIKA","AL","603660",,"
OPELIKA, AL 
(32.650881, -85.37797)"
"2022-08-03T00:00:00.000","Bid-Formal > $25K","2217-05260","INSTITUTIONAL GRADE LAUNDY CHEMICALS","OFFICE OF THE SHERIFF","COLLEEN CHAMBERS","false","ATLAS & ASSOCIATES, INC.","COUNTRY CLUB HILLS","IL","1909500",,"
COUNTRY CLUB HILLS, IL 
(41.568172, -87.713766)"
"2022-08-03T00:00:00.000","Bid-Formal > $25K","2217-05260","INSTITUTIONAL GRADE LAUNDY CHEMICALS","OFFICE OF THE SHERIFF","COLLEEN CHAMBERS","false","ECONOMY COMPOUNDS, INC.","CRESTWOOD","IL","407199.9",,"
CRESTWOOD, IL 
(41.641264, -87.737934)"
"2022-07-27T00:00:00.000","Bid-Formal > $25K","2211-05133","LEASING OF LARGE FORMAT PRINTERS","COOK COUNTY TRANSPORTATION AND HIGHWAYS","KIMBERLEI AARON","false","CANON SOLUTIONS AMERICA","ITASCA","IL","49997.88",,"
ITASCA, IL 
(41.971487, -88.014589)"
"2022-07-27T00:00:00.000","Bid-Formal > $25K","2211-05133","LEASING OF LARGE FORMAT PRINTERS","COOK COUNTY TRANSPORTATION AND HIGHWAYS","KIMBERLEI AARON","false","EASTER ENGINEERING SUPPLY, INC.","CHAMPAIGN","IL","65052",,"
CHAMPAIGN, IL 
(40.116328, -88.243522)"
"2022-07-27T00:00:00.000","Bid-Formal > $25K","2211-05133","LEASING OF LARGE FORMAT PRINTERS","COOK COUNTY TRANSPORTATION AND HIGHWAYS","KIMBERLEI AARON","false","EASTERN ENGINEERING SUPPLY, INC.","CHAMPAIGN","IL","40860",,"
CHAMPAIGN, IL 
(40.116328, -88.243522)"
