"site","hours","address","city","state","zip"
"Alsip Village Hall","Monday-Saturday: 9 a.m.–5 p.m.","4500 W. 123rd St","Alsip","IL","60803"
"Arlington Heights Village Hall","Monday-Saturday: 9 a.m.–5 p.m.; Sunday: 9 a.m. – 3 p.m.","33 S. Arlington Heights Road","Arlington Heights","IL","60005"
"Barrington Township Hall","Monday-Saturday: 9 a.m.–5 p.m.","602 S. Hough St","Barrington","IL","60010"
"Bellwood Village Hall","Monday-Saturday: 9 a.m.–5 p.m.","3200 Washington Blvd","Bellwood","IL","60104 "
"Berwyn City Hall","Monday-Saturday: 9 a.m.–5 p.m.","6700 W. 26th St.","Berwyn","IL","60402"
"Calumet City Public Library--NEW","Monday-Saturday: 9 a.m.–5 p.m.; Sunday: 9 a.m. – 3 p.m.","660 Manistee Ave.","Calumet City","IL","60409"
"Calumet Township Community Center","Monday-Saturday: 9 a.m.–5 p.m.","12633 S. Ashland Ave.","Calumet Park","IL","60827"
"Chicago Heights City Hall","Monday-Saturday: 9 a.m.–5 p.m.","1601 Chicago Road","Chicago Heights","IL","60411 "
"Cicero Community Center--NEW","Monday-Saturday: 9 a.m.–5 p.m.; Sunday: 9 a.m. – 3 p.m.","2250 S. 49th Ave","Cicero","IL","60804"
"Cicero PSO Building","Monday-Saturday: 9 a.m.–5 p.m.; Sunday: 9 a.m. – 3 p.m.","5410 W. 34th St","Cicero","IL","60804"
"Wilmette Community Recreation Center--NEW","Monday-Saturday: 9 a.m.–5 p.m.","3000 Glenview Road","Wilmette","IL","60091"
"Des Plaines City Hall","Monday-Saturday: 9 a.m.–5 p.m.","1420 Miner St","Des Plaines","IL","60016"
"Elk Grove Village Hall","Monday-Saturday: 9 a.m.–5 p.m.","901 Wellington Ave","Elk Grove Village","IL","60007"
"Elmwood Park Village Hall","Monday-Saturday: 9 a.m.–5 p.m.","11 W. Conti Parkway","Elmwood Park","IL","60707"
"Evanston Civic Center","Monday-Saturday: 9 a.m.–5 p.m.; Sunday: 9 a.m. – 3 p.m.","2100 Ridge Ave, Evanston","Evanston","IL","60201"
"Faith Family Future Center","Monday-Saturday: 9 a.m.–5 p.m.","16931 South Park Ave","South Holland","IL","60473"
"Glenview Village Hall","Monday-Saturday: 9 a.m.–5 p.m.","1225 Waukegan Road","Glenview","IL","60025"
"Hodgkins Village Hall","Monday-Saturday: 9 a.m.–5 p.m.","8990 Lyons St","Hodgkins","IL","60525"
"Hoffman Estates Village Hall","Monday-Saturday: 9 a.m.–5 p.m.","1900 Hassell Road","Hoffman Estates","IL","60169"
"Lemont Library District","Monday-Saturday: 9 a.m.–5 p.m.","50 East Wend St","Lemont","IL","60439"
"Matteson Village Hall","Monday-Saturday: 9 a.m.–5 p.m.","4900 Village Commons","Matteson","IL","60443"
"Melrose Park Village Hall","Monday-Saturday: 9 a.m.–5 p.m.","1000 North 25th Ave","Melrose Park","IL","60160"
"Niles Village Hall","Monday-Saturday: 9 a.m.–5 p.m.","1000 Civic Center Drive","Niles","IL","60714"
"Norridge Village Hall","Monday-Saturday: 9 a.m.–5 p.m.","4000 N. Olcott Ave","Norridge","IL","60706"
"Northbrook Village Hall","Monday-Saturday: 9 a.m.–5 p.m.","1225 Cedar Lane","Northbrook","IL","60062"
"Oak Forest City Hall","Monday-Saturday: 9 a.m.–5 p.m.","15440 S. Central Ave","Oak Forest","IL","60452"
"Oak Lawn Village Hall","Monday-Saturday: 9 a.m.–5 p.m.; Sunday: 9 a.m. – 3 p.m.","9446 S. Raymond Ave","Oak Lawn","IL","60453"
"Oak Park Village Hall","Monday-Saturday: 9 a.m.–5 p.m.","123 Madison St","Oak Park","IL","60302"
"Orland Township Hall--NEW","Monday-Saturday: 9 a.m.–5 p.m.","14807 Ravinia Ave","Orland Park","IL","60462"
"Palatine Village Hall","Monday-Saturday: 9 a.m.–5 p.m.","200 East Wood St","Palatine","IL","60067"
"Palos Heights Administration Building","Monday-Saturday: 9 a.m.–5 p.m.","7607 W. College Dr","Palos Heights","IL","60463"
"Park Forest Village Hall","Monday-Saturday: 9 a.m.–5 p.m.","350 Victory Blvd","Park Forest","IL","60466"
"Park Ridge City Hall","Monday-Saturday: 9 a.m.–5 p.m.","505 Butler Place","Park Ridge","IL","60068"
"Schaumburg Public Library","Monday-Saturday: 9 a.m.–5 p.m.","130 S. Roselle Road","Schaumburg","IL","60193"
"Skokie Village Hall","Monday-Saturday: 9 a.m.–5 p.m.","5127 Oakton St","Skokie","IL","60077"
"Stickney-Forest View Public Library","Monday-Saturday: 9 a.m.–5 p.m.","6800 W. 43rd St","Stickney","IL","60402"
"Streamwood Village Hall","Monday-Saturday: 9 a.m.–5 p.m.","301 E. Irving Park Road","Streamwood","IL","60107"
"*Bridgeview Courthouse","Monday-Friday: 9 a.m.–5 p.m.","10220 S. 76th Ave","Bridgeview","IL","60455"
"*Markham Courthouse","Monday-Friday: 9 a.m.–5 p.m.","16501 S. Kedzie Ave","Markham","IL","60428"
"*Whitcomb Building , Room 104 (Near Maywood Courthouse)","Monday-Friday: 9 a.m.–5 p.m.","1311 Maybrook Square","Maywood","IL","60153"
"*Rolling Meadows Courthouse","Monday-Friday: 9 a.m.–5 p.m.","2121 Euclid Ave","Rolling Meadows","IL","60008"
"*Skokie Courthouse","Monday-Friday: 9 a.m.–5 p.m.","5600 W. Old Orchard Road","Skokie","IL","60077"
"County Clerk’s Main Office--Pedway Office","Monday-Saturday: 9 a.m.–5 p.m.; Sunday: 9:00 a.m. – 3 p.m. ","69 West Washington St","Chicago","IL","60602"
