"job_class_code","title","hourly_a","hourly_b","hourly_c","hourly_d","hourly_e","hourly_f","biweekly_a","biweekly_b","biweekly_c","biweekly_d","biweekly_e","biweekly_f","monthly_a","monthly_b","monthly_c","monthly_d","monthly_e","monthly_f","representation_status_bargaining_unit","pre_employment_physical","security_clearance","probation_period_hours","work_group","dmv_a_and_d_testing","dmv_a_and_d_testing_some_positions_in_class","tuberculosis_exam","respiratory_exam","exit_exam","hepatitis_b_immunization","auditory_exam","mmr"
"B142","Director Of Child And Family Services - Unclassified","80.42","85.04","89.92","95.09","100.56",,"6433.60","6803.20","7193.60","7607.20","8044.80",,"13939.20","14739.98","15585.83","16481.95","17430.06",,"Management: Department Heads(M50A)","1 - Light Physical Demands (Physical Exam Codes)",,"0","Work Group 4: Not FLSA - Only Comp Time/Max 260",,,,,,,,
"B163","C/CAG Program Director - Unclassified","71.14","75.22","79.54","84.11","88.93",,"5691.20","6017.60","6363.20","6728.80","7114.40",,"12330.70","13037.88","13786.67","14578.79","15414.24",,"Management: General(M50B)","1 - Light Physical Demands (Physical Exam Codes)",,"0","Work Group 4: Not FLSA - Only Comp Time/Max 260",,,,,,,,
"B179","Assistant Public Health Laboratory Director - Unclassified","51.87","54.83","57.98","61.31","64.83",,"4149.60","4386.40","4638.40","4904.80","5186.40",,"8990.63","9503.68","10049.67","10626.86","11236.98",,"Management: General(M50B)","2 - Moderate Physical Demands; requires pre-employment exam (Physical Exam Codes)",,"0","Work Group 4: Not FLSA - Only Comp Time/Max 260",,,"Yes","Yes",,"Yes",,"Yes"
"B210","Director Of Human Resources - Unclassified","97.76","103.36","109.29","115.58","122.20",,"7820.80","8268.80","8743.20","9246.40","9776.00",,"16944.74","17915.39","18943.24","20033.48","21180.93",,"Management: Department Heads(M50A)","1 - Light Physical Demands (Physical Exam Codes)",,"0","Work Group 4: Not FLSA - Only Comp Time/Max 260",,,,,,,,
"B214","Director Of Probation Services - Unclassified","102.66","108.52","114.76","121.35","128.31",,"8212.80","8681.60","9180.80","9708.00","10264.80",,"17794.06","18809.77","19891.35","21033.60","22239.97",,"Management: Probation(M50E)","1 - Light Physical Demands (Physical Exam Codes)",,"0","Work Group 4: Not FLSA - Only Comp Time/Max 260",,,,,,,,
"B216","Deputy Director Of C/CAG - Unclassified","80.27","84.86","89.73","94.88","100.33",,"6421.60","6788.80","7178.40","7590.40","8026.40",,"13913.20","14708.78","15552.90","16445.55","17390.20",,"Management: General(M50B)","1 - Light Physical Demands (Physical Exam Codes)",,"0","Work Group 4: Not FLSA - Only Comp Time/Max 260",,,,,,,,
"B222","First 5 SMC Deputy Director - Unclassified","63.04","66.64","70.49","74.52","78.81",,"5043.20","5331.20","5639.20","5961.60","6304.80",,"10926.72","11550.71","12218.03","12916.55","13660.14",,"Management: General(M50B)","1 - Light Physical Demands (Physical Exam Codes)",,"0","Work Group 4: Not FLSA - Only Comp Time/Max 260",,,,,,,,
"B224","Director Of Human Services Agency - Unclassified","107.80","113.96","120.51","127.41","134.72",,"8624.00","9116.80","9640.80","10192.80","10777.60",,"18684.97","19752.69","20888.00","22083.98","23351.02",,"Management: Department Heads(M50A)","1 - Light Physical Demands (Physical Exam Codes)",,"0","Work Group 4: Not FLSA - Only Comp Time/Max 260",,,,,,,,
"B225","First 5 Deputy Executive Director - Unclassified","54.44","57.59","60.88","64.35","68.06",,"4355.20","4607.20","4870.40","5148.00","5444.80",,"9436.09","9982.07","10552.33","11153.79","11796.84",,"Management: General(M50B)","1 - Light Physical Demands (Physical Exam Codes)",,"0","Work Group 4: Not FLSA - Only Comp Time/Max 260",,,,,,,,
"B226","Director Of The Health Department","117.61","124.34","131.48","139.02","147.00",,"9408.80","9947.20","10518.40","11121.60","11760.00",,"20385.34","21551.85","22789.43","24096.34","25479.51",,"Management: Department Heads(M50A)","1 - Light Physical Demands (Physical Exam Codes)",,"0","Work Group 4: Not FLSA - Only Comp Time/Max 260",,,,,,,,
