"city","contact_name","contact_organization","contact_phone","contact_email_address","project_website","project_name","project_address","project_address_2","project_address_city","project_address_state","project_address_zip_code","building_type","number_of_units","number_of_affordable_units","studio","group_home","licensed_care_facility","shared","one_bedroom","two_bedrooms","three_bedrooms","four_bedrooms","five_bedrooms","resident_eligibility","under_construction","near_transit","description","location","location_address","location_city","location_state","location_zip"
"San Carlos","Teri Berwick","BT Properties","(650) 279-3780",,,"Laurel Theatre Apts","1500 Laurel St",,"San Carlos","CA","94070","Apartment","42","4","1",,,,"1","1",,,,"All","0","0",,"POINT (-122.248293 37.495809)","1500 Laurel St",,"CA","94070"
"San Mateo",,"Rotary Floritas","(650) 286-1146",,,"Rotary Floritas","99 27th Avenue",,"San Mateo","CA","94402","Apartment","50","49",,,,,"1","1",,,,"Seniors Accepts Section 8","0","1","Sponsored by Rotary Club and developed by Mid-Pen Housing. Large central courtyard, community room, computer lab, and secure parking. Close to shops & bus lines. Managed by HIP Housing Affordable Ventures.","POINT (-122.305503 37.541882)","99 27th Avenue",,"CA","94402"
"Daly City","Ramona Garcia","Mercy Housing","(650) 997-0670",,,"Vista Grande Apts","6730 Mission Street",,"Daly City","CA","94014","Apartment","24","24",,,,,"1","1","1","1",,"All","0","0","Available to households at 50% and 60% AMI.","POINT (-122.463725 37.700509)","6730 Mission Street",,"CA","94014"
"Burlingame",,"Neighborhood Housing Services Silicon Valley","(408) 279-2600",,,,"1226 El Camino Real",,"Burlingame","CA","94010","Condo rental","9","1",,,,,,"1",,,,"All","0","1","Moderate income","POINT (-122.367415 37.584843)","1226 El Camino Real",,"CA","94010"
"Redwood City",,"Kainos","(650) 363-2423",,"http://www.kainosusa.org","Kainos A & B House","3631 Jefferson Avenue",,"Redwood City","CA","94062","Group Home","1",,,,"1",,,,,,,"People with Disabilities","0","0","10 beds; For developmentally disabled individuals. Residents receive training in practical living skills; staff is on-site 24 hours a day.","POINT (-122.252111 37.464438)","3631 Jefferson Avenue",,"CA","94062"
"East Palo Alto",,,"(650) 324-2525","Woodlands@midpen-housing.org",,"Woodlands/Newell","44-48 Newell Ave",,"East Palo Alto","CA","94303","Apartment","26","26","1",,,,,"1","1","1",,"All, Resident eligibility criteria must be met","0","0","Family property with community center offering services for all",,"44-48 Newell Ave",,"CA","94303"
"South San Francisco",,"BRIDGE Housing Corporation","(415) 989-1111",,,"Grand Oak Apartments","99 Oak Avenue","Suite 21","South San Francisco","CA","94080","Apartment","43","43",,,,,"1","1","1",,,"Family","0","1","This elevator-served development has 43 one-, two- and three-bedroom family rental apartments.
Located one mile from downtown, with easy access to shopping & transit.","POINT (-122.432436 37.658941)","99 Oak Avenue",,"CA","94080"
"Belmont","Hermie Yema","Family Homes, Inc.","(650) 595-1398",,,"Crestview Group Home","503 Crestview Avenue",,"Belmont","CA","94002","Group Home","6","6",,,,"1",,,,,,"People with Disabilities","0","0","For developmentally disabled and physically handicapped children.",,"503 Crestview Avenue",,"CA","94002"
"East Palo Alto",,"MidPen Housing","(650) 323-1106","Runnymede@midpen-housing.org",,"Runnymede Gardens","2301 Cooley Avenue",,"East Palo Alto","CA","94303","Apartment","78","78",,,,,"1",,,,,"Seniors","0","0","For seniors aged 62 and over.","POINT (-122.139424 37.468935)","2301 Cooley Avenue",,"CA","94303"
"Foster City",,"HIP Housing","(650) 348-6820",,,,"Gull Avenue",,"Foster City","CA","94404","Single detached house","1","1",,,,,,,,,"1","All","0","1","This is a 5-bedroom house owned by Foster City and managed by HIP Housing Affordable Ventures.",,"Gull Avenue",,"CA","94404"
"South San Francisco",,"BRIDGE Housing Corporation","(415) 989-1111",,,"Chestnut Creek Senior Apartments","65 Chestnut Avenue",,"South San Francisco","CA","94080","Apartment","40","40",,,,,"1",,,,,"Seniors","0","1","Within walking distance of shopping, health care, social services, and recreation areas, and near the BART station. Features a community room that opens onto a central courtyard. For persons aged 65+.","POINT (-122.431744 37.656848)","65 Chestnut Avenue",,"CA","94080"
"Half Moon Bay",,"Lesley Senior Communities","(650) 726-5863",,"http://www.lesleyseniorcommunities.org","Ocean View Plaza","1001 Main Street",,"Half Moon Bay","CA","94019","Apartment","50","50","1",,,,"1",,,,,"Seniors","0","1","Ocean View Plaza has 42 studio apartments and 8 one-bedroom apartments. Tenants pay 30% of adjusted monthly income; income restrictions apply. Check website for Wait List status.","POINT (-122.42989 37.455161)","1001 Main Street",,"CA","94019"
"San Mateo",,"HIP Housing","(650) 348-6820",,,,"200 South Delaware",,"San Mateo","CA","94401","Apartment","16","16","1",,,,"1","1",,,,"All","0","1","Must be on County's Project Based Waiting List. This is a 2-story building just outside of downtown San Mateo. There are 4 studios, 4 – 1 bedroom apartments and 8 – 2 bedroom apartments. Waiting list is closed.","POINT (-122.320772 37.567772)","200 South Delaware",,"CA","94401"
"Half Moon Bay",,"Lesley Senior Communities","(650) 726-2741",,"http://www.lesleyseniorcommunities.org","Lesley Gardens","701 Arnold Way",,"Half Moon Bay","CA","94019","Apartment","64","64",,,,,"1",,,,,"Seniors","0","1","Lesley Gardens has 63 one-bedroom apartments. Tenants pay 30% of adjusted monthly income; income restrictions apply. Check website for Wait List status","POINT (-122.42883 37.456077)","701 Arnold Way",,"CA","94019"
