"age","gender","hispanic","race","language","city","age_category"
"52",,,,,,"50-59"
,,,,,"Daly City",
"26",,,,,"Redwood City","18-29"
"53","M",,,,"San Mateo","50-59"
,,,,,"San Francisco",
,,,,,"Daly City",
"36",,,,,,"30-39"
,"F",,,,"Menlo Park",
,"M","N","Native American or Hawaiian/Alaskan Native",,"Burlingame",
"64",,,,,,"60-69"
"23",,,,,,"18-29"
"29","F",,,,"Daly City","18-29"
,"M","N","White",,"Redwood City",
,"F",,,,"Daly City",
,,,,,"San Mateo",
"72",,,,,,"70-79"
"51","M",,,,"South San Francisco","50-59"
,,,,,"Burlingame",
,,,,,"Menlo Park",
"55","M",,"Other",,"Half Moon Bay","50-59"
,"M",,,,"Hayward",
,,,,,"San Mateo",
,"F",,,,"Colma",
"86",,,,,,"80-89"
"52",,,,,,"50-59"
"44",,,,,"San Carlos","40-49"
"84","F",,,,"Redwood City","80-89"
,,,,,"San Bruno",
,"F",,,,"Daly City",
"87",,,,,,"80-89"
"69",,,,,,"60-69"
,,,,,"Fremont",
"60",,,,,,"60-69"
,,,,,"South San Francisco",
"29",,,,,"Redwood City","18-29"
"24",,,,,,"18-29"
"31",,,,,,"30-39"
"30",,,,,,"30-39"
,,,,,"Daly City",
,,,,,"Vallejo",
"62",,"N","White",,"Belmont","60-69"
"45",,,,,"Daly City","40-49"
,,"N","White",,"San Bruno",
"64",,,,,,"60-69"
"80",,,,,,"80-89"
"66",,,,,,"60-69"
"34","M",,,,"San Mateo","30-39"
"70","M","N","Other","Arabic","Pacifica","70-79"
"58","M","N","Other","Arabic","San Mateo","50-59"
"42","F","N","Other","Arabic","Burlingame","40-49"
,"M","N","Asian","Arabic",,
,"F","N","White","Arabic","Reseda",
"24","M","N","White","Arabic",,"18-29"
,,"N","White","Armenian","Atherton",
,"M","N","Black","English","Redwood City",
"68","F","N","Asian","Cantonese","San Bruno","60-69"
"70","F","N","Asian","Cantonese","Millbrae","70-79"
"76","F","N","White","English","Daly City","70-79"
,"M","N","Asian","Chinese","South San Francisco",
,"M","N","Asian","Chinese","San Mateo",
"24","F","N","Asian","Chinese","Daly City","18-29"
,"M","N","Asian","Chinese","Daly City",
"82","F","N","Asian","Chinese","San Mateo","80-89"
,"F","N","Asian","Chinese","San Mateo",
,"F","N","Asian","Chinese","Burlingame",
,"M","N","Asian","Chinese","San Mateo",
"92","F","N","Other","Chinese","San Mateo","90-99"
,"F","N","Asian","Chinese","San Mateo",
"69","M","N","Asian","Chinese","Daly City","60-69"
"66","F","N","Asian","Chinese","San Mateo","60-69"
"51","F","N","White","English","South San Francisco","50-59"
"54","F","N","White","English","Sacramento","50-59"
"63","F","N","White","English","Pacifica","60-69"
"69","M","N","White","English","San Mateo","60-69"
"58","M","N","Black","English","Belmont","50-59"
"65","F","N","White","English","San Mateo","60-69"
"27","F","N","White","English","Redwood City","18-29"
"57","F","N","Black","English","Daly City","50-59"
"58","F","N","Native American or Hawaiian/Alaskan Native","English","San Mateo","50-59"
,"M","N","White","English",,
"77","M","N","White","English","Burlingame","70-79"
"70","F","N","White","English","Brisbane","70-79"
,"M","N","White","English",,
,"M","Y","White","English","San Mateo",
"19","F","N","White","English","Burlingame","18-29"
"74","F","N","White","English","San Mateo","70-79"
"27","M","N","White","English","San Mateo","18-29"
"53","F","N","White","English","Redwood City","50-59"
"49","M","N","Other Asian or Pacific Islander","English","Redwood City","40-49"
,"F","N","White","English","Sacramento",
"49","M","Y","White","English","San Mateo","40-49"
,"F","N","White","English",,
,"M","Y","Other","English","Redding",
"56","M","N","Black","English","Redwood City","50-59"
"69","M","N","White","English","Redwood City","60-69"
"44","M","N","Other","English","Daly City","40-49"
"53","F","N","White","English","Redwood City","50-59"
"22","F","N","White","English","San Carlos","18-29"
"55","M","Y","White","English","East Palo Alto","50-59"
"53","M","N","White","English","Daly City","50-59"
,"F","N","White","English","Daly City",
"67","M","N","White","English","East Palo Alto","60-69"
"68","F","N","Asian","English","San Mateo","60-69"
"45","M","Y","White","English",,"40-49"
"57","M","N","Black","English","Belmont","50-59"
"60","F","Y","White","English","San Mateo","60-69"
,"M","N","White","English","San Francisco",
,"M","Y","Other","English","Redwood City",
"38","M","N","White","English","Belmont","30-39"
,"F","N","White","English","La Mesa",
"68","M","N","White","English","Redwood City","60-69"
"64","M","N","Black","English","San Mateo","60-69"
"33","M","N","White","English","Moss Beach","30-39"
"46","M","N","White","English","Daly City","40-49"
,"F","N","White","English",,
,"M","N","White","English","South San Francisco",
"44","M","N","Other","English","Millbrae","40-49"
"58","F","N","White","English","Redwood City","50-59"
"33","M","N","White","English","Redwood City","30-39"
,"M","Y","Other","English","Hayward",
"51","F","N","White","English","San Bruno","50-59"
"28","M","N","White","English","San Mateo","18-29"
,"M","N","White","English","Millbrae",
"49","M","N","White","English","Redwood City","40-49"
"65","M","Y","White","English","Las Vegas","60-69"
,"M","N","White","English",,
,"F","Y","Other","English",,
"65",,"N","White","English","Half Moon Bay","60-69"
"34","F","Y","Other","English","Redwood City","30-39"
"33","F","N","White","English","South San Francisco","30-39"
"58","F","N","White","English","Belmont","50-59"
"52","M","Y","Other","English","Daly City","50-59"
"74","M","N","Black","English","San Mateo","70-79"
"30",,"N","White","English","San Mateo","30-39"
,"M","N","Other","English","San Mateo",
"57","F","N","White","English","San Mateo","50-59"
"52","M","Y","White","English","Belmont","50-59"
"71","M","N","White","English","South San Francisco","70-79"
,"M","N","White","English","San Mateo",
,"M","N","White","English",,
"57","M","N","White","English","San Mateo","50-59"
"64","M","N","White","English","Redwood City","60-69"
,"F","N","White","English",,
"52","M","N","White","English","Redwood City","50-59"
"39","F","N","White","English","South San Francisco","30-39"
"57","M","N","Other","English","Burlingame","50-59"
"29","F","N","Other Asian or Pacific Islander","English",,"18-29"
"53","F","N","Other","English","San Bruno","50-59"
,"F","Y","White","English",,
"51","M","N","White","English","Woodside","50-59"
"53","F","N","White","English","Daly City","50-59"
"61","M","Y","White","English","Belmont","60-69"
"47","M","Y","Other","English","Daly City","40-49"
"28","M","Y","Other","English","Belmont","18-29"
"52","M","N","Other","English","Foster City","50-59"
"64","F","N","White","English","San Bruno","60-69"
,"F","N","Asian","English","Foster City",
"52","M","N","White","English","Sunnyvale","50-59"
"59","M","N","Black","English","San Mateo","50-59"
"56","M","N","White","English","East Palo Alto","50-59"
,"F","N","Asian","English",,
"58","F","N","White","English","San Carlos","50-59"
"72","M","N","White","English","Redwood City","70-79"
"54","M","N","White","English",,"50-59"
"56","M","N","Black","English","South San Francisco","50-59"
"76","F","N","Asian","English","Pacifica","70-79"
"57","M","N","White","English","Palo Alto","50-59"
,"M","N","Black","English",,
"58","F","Y","White","English","South San Francisco","50-59"
"61","F","Y","White","English","Burlingame","60-69"
"60","F","N","Black","English","Belmont","60-69"
"64","F","Y","Other","English","San Bruno","60-69"
,"M","N","Native American or Hawaiian/Alaskan Native","English","Redwood City",
,"M","Y","Black","English","South San Francisco",
"28","M","Y","White","English","Redwood City","18-29"
,"M","N","White","English","South San Francisco",
"62","F","N","White","English","Belmont","60-69"
"55","M","Y","Other","English","San Mateo","50-59"
"82","F","N","White","English","Belmont","80-89"
"33",,"N","White","English","San Bruno","30-39"
"85","F","N","Asian","English","South San Francisco","80-89"
"34","F","N","White","English","Menlo Park","30-39"
"59","M","N","White","English","San Bruno","50-59"
,"M","N","Black","English",,
,"M","N","White","English",,
,"M","N","Black","English",,
"49","M","N","Black","English","East Palo Alto","40-49"
,"M","N","White","English","Redwood City",
"33","M","N","White","English","San Mateo","30-39"
"74","F","N","Asian","English","San Mateo","70-79"
"57","M","N","White","English","San Mateo","50-59"
"27","M","N","Asian","English","East Palo Alto","18-29"
"20","F","N","White","English","San Carlos","18-29"
"61","M","N","White","English","South San Francisco","60-69"
"31","F","N","White","English","Menlo Park","30-39"
,"M","N","Other","English","San Mateo",
,"M","N","White","English",,
,"F","Y","Other","English",,
,"M","N","Black","English","Daly City",
,"F","N","White","English",,
"26","F","N","White","English","Redwood City","18-29"
"55","M","N","White","English","San Mateo","50-59"
,"M","N","Black","English",,
"60","F","N","White","English",,"60-69"
"63","M","N","White","English","Half Moon Bay","60-69"
"61","M","N","White","English","Foster City","60-69"
"61","F","N","White","English","Redwood City","60-69"
,"F","Y","Other","English","Redwood City",
"39","M","N","Black","English","South San Francisco","30-39"
"47","F","N","White","English","San Carlos","40-49"
,"M","N","White","English",,
"70","F","N","White","English","San Mateo","70-79"
,"M","N","White","English",,
,"F","N","White","English",,
"36","F","N","White","English","Daly City","30-39"
,"M","N","Native American or Hawaiian/Alaskan Native","English","South San Francisco",
"61","M","N","Asian","English","Daly City","60-69"
"55","F","N","White","English","Belmont","50-59"
"68","F","N","Other","English","South San Francisco","60-69"
,"F","N","Asian","English",,
"33","F","N","White","English","San Mateo","30-39"
"60","M","N","Other","English","Daly City","60-69"
"36","M","N","Other","English","South San Francisco","30-39"
,"F","N","White","English","Kenwood",
,"M","Y","Other","English",,
"49","M","N","White","English","Redwood City","40-49"
"69","M","N","White","English","San Mateo","60-69"
"42","F","N","Black","English","San Mateo","40-49"
,"F","N","White","English",,
"32","F","N","Other","English","San Bruno","30-39"
"58","F","N","White","English","San Mateo","50-59"
"91","M","Y","White","English","Redwood City","90-99"
"49","F","N","White","English","San Mateo","40-49"
,"F","N","White","English","South San Francisco",
,"M","N","Asian","English",,
"58","M","N","Asian","English","San Mateo","50-59"
"69","F","N","White","English","East Palo Alto","60-69"
