"type","timestamp","msgid","msgcnt","tempid","secmark","elev","speed","heading","source","latitude","longitude","location","location_address","location_city","location_state","location_zip"
"BSM","1425321060","2","2c","1229","0","508.8","0.0612","0","OBE_Vehicle1237","33.843339","-112.135584","POINT (-112.135584 33.843339)",,,,
"BSM","1425321120","2","6e","1229","0","508.1","0.0288","0","OBE_Vehicle1237","33.843325","-112.135566","POINT (-112.135566 33.843325)",,,,
"BSM","1425321360","2","75","1229","0","510.5","0.0432","0","OBE_Vehicle1237","33.843325","-112.135544","POINT (-112.135544 33.843325)",,,,
"BSM","1425322500","2","61","1229","0","509.4","0.0144","0","OBE_Vehicle1237","33.843332","-112.135575","POINT (-112.135575 33.843332)",,,,
"BSM","1425322740","2","69","1229","0","510.7","0.0252","0","OBE_Vehicle1237","33.843323","-112.135553","POINT (-112.135553 33.843323)",,,,
"BSM","1425322860","2","6e","1229","0","508.5","0.0828","0","OBE_Vehicle1237","33.843326","-112.135584","POINT (-112.135584 33.843326)",,,,
"BSM","1425322920","2","30","1229","0","508.7","0.0432","0","OBE_Vehicle1237","33.843355","-112.135577","POINT (-112.135577 33.843355)",,,,
"BSM","1425322980","2","72","1229","0","510.6","0.0576","0","OBE_Vehicle1237","33.843342","-112.135565","POINT (-112.135565 33.843342)",,,,
"BSM","1425327000","2","2e","1229","0","517.9","0.0684","0","OBE_Vehicle1237","33.843348","-112.135574","POINT (-112.135574 33.843348)",,,,
"BSM","1425327060","2","71","1229","0","519.1","0.0792","0","OBE_Vehicle1237","33.843346","-112.135566","POINT (-112.135566 33.843346)",,,,
"BSM","1425327120","2","33","1229","0","522","0.0504","0","OBE_Vehicle1237","33.843354","-112.135558","POINT (-112.135558 33.843354)",,,,
"BSM","1425327180","2","76","1229","0","523.9","0.0144","0","OBE_Vehicle1237","33.84335","-112.135563","POINT (-112.135563 33.84335)",,,,
"BSM","1425327240","2","38","1229","0","523.3","0.054","0","OBE_Vehicle1237","33.843342","-112.135564","POINT (-112.135564 33.843342)",,,,
"BSM","1425327300","2","7b","1229","0","523.2","0.0864","0","OBE_Vehicle1237","33.843343","-112.135564","POINT (-112.135564 33.843343)",,,,
"BSM","1425327360","2","3d","1229","0","510.9","0.0576","0","OBE_Vehicle1237","33.843336","-112.135568","POINT (-112.135568 33.843336)",,,,
