"entity_name","entity_number","entity_type","parent_entity_name","parent_entity_number","parent_entity_type","fcc_registration_number","status","fcc_form_498_form_number","fcc_form_498_status_date_time","form498_status","physical_address","physical_address_2","physical_city","physical_county","physical_state","physical_zipcode","physical_zipcode_ext","mailing_address","mailing_address_2","mailing_city","mailing_county","mailing_state","mailing_zipcode","mailing_zipcode_ext","phone_number","email","website_url","account_administrator_name","general_contact_name","latitude","longitude","user_entered_urban_rural_status","urban_rural_status","is_school_library_independent","private_school_district","public_school_district","esa_school_district","charter_school_district","c2_student_count_reporting_type","c2_district_student_count","c2_school_student_count","main_library_branch_school_district_name","main_library_branch_school_district_number","private_library_system","public_library_system","esa_consortium","non_profit_purchasing_group","state_wide","state_education_agency","state_library_agency_consortium","other_state_agency","fscs_key","fscs_seq","locale_code","square_footage","academic","bookmobile","kiosk","main_branch","new_construction_library","private_library","public_library","research","state_library_agency_library","tribal_library","state_school_code","state_lea_code","nces_public_state_code","nces_public_district_code","nces_public_building_code","nces_private_school_id","number_of_full_time_students","total_number_of_part_time_students","peak_number_of_part_time_students","number_of_nslp_students","community_eligibility_program_cep","cep_percentage","alternative_discount_method","does_this_organization_have_an_endowment","bie","charter_school","dormitory","esa_school","esa_school_district_with_no_schools","head_start","juvenile_justice","new_construction_school","pre_k","private_school","public_school","tribal_school","adult_education","swing_space","detention_center","general_use_school","entity_last_modified_by","last_updated_date"
"Royal Isd Administration","89498","Non-Instructional Facility (Nif)","Royal Indep School District","141293","School District",,"Active",,,,"3714 Fm 359",,"Pattison","Waller","TX","77466",,"Po Box 390",,"Pattison","Waller County","TX","77466",,"281-934-3147",,,"Mike Nicholas",,"29.825064","-95.993938",,,"No","No","No","No","No",,,,,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,"No",,,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","pstanford@esc12.net","2020-11-19T16:05:00.000"
"Duquesne Ed Center Elect","16067402","Non-Instructional Facility (Nif)",,,,,"Closed",,,,"300 Kennedy Avenue, Room 3035",,"Duquesne","Allegheny","PA","15110",,"475 East Waterfront Drive",,"Homestead","Allegheny","PA","15120","1144","412-466-5300",,,,,"40.372041","-79.847935",,,"No","No","No","No","No",,,,,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,"No",,,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","lisa.reyes@usac.org","2021-01-14T09:20:00.000"
"Percy Neblett Elementary School","16046007","School","Sherman Indep School District","140482","School District",,"Active",,,,"1505 Gallagher Road",,"Sherman","Grayson","TX","75090",,"1505 Gallagher Road",,"Sherman","Grayson","TX","75090",,"903-891-6670",,,"Susan Whitenack",,"33.674472","-96.600431","Urban",,"No","No","No","No","No","One number for my whole district",,,,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,"464","0","0","347","No",,"None",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","mplyler@shermanisd.net","2021-08-20T17:55:00.000"
"Spindale Elementary School","29136","School","Rutherford Co School District","126967","School District",,"Active",,,,"201 N Oak St",,"Spindale","Rutherford","NC","28160","1210","201 N Oak St",,"Spindale","Rutherford","NC","28160","1210","704-286-2861",,,"Kim Carpenter",,"35.36002","-81.93155","Urban",,"No","No","No","No","No","One number for my whole district",,,,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No","396","810",,,,,"420","0","0","420","Yes","0.7589",,,"No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","EPC System","2021-06-20T10:25:00.000"
"Morgan County School District","128921","School District","Kentucky State Dept Of Educ","128821","Consortium","0011947314","Active","443016230","2019-10-22T02:00:00.000","Approved","155 University Dr",,"West Liberty","Morgan","KY","41472",,"155 University Dr.",,"West Liberty","Morgan","KY","41472","0489","606-743-8002","jason.vanhoose@morgan.kyschools.us","www.morgan.kyschools.us","Jason Vanhoose","Jason Vanhoose","37.941947","-83.225581",,,"No","No","Yes","No","No","A number for each school in the district",,,,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,"No",,,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","lisa.reyes@usac.org","2021-08-20T09:06:00.000"
"Sope Creek Elementary School","32282","School","Cobb County School District","127276","School District","0013053954","Active",,,,"3320 Paper Mill Rd Se",,"Marietta","Cobb","GA","30067","4956","3320 Paper Mill Rd Se",,"Marietta","Cobb","GA","30067","4956","770-916-7085","soapcreek@cobbk12.org",,"Sinneshia Byrdsong",,"33.935724","-84.45289","Urban",,"No","No","No","No","No","One number for my whole district",,,,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No","0478","633",,,,,"1136","0","0","58","No",,"None",,"No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","julie.aronson@cobbk12.org","2022-08-25T12:38:00.000"
"Swasey Elementary School","3681","School","School Administrative Unit 16","121250","School District",,"Active",,,,"355 Middle Rd",,"Brentwood","Rockingham","NH","03833","6012","355 Middle Rd",,"Brentwood","Rockingham","NH","03833","6012","603-642-3487",,,"Esther Asbell",,"42.984536","-71.065059","Rural",,"No","No","No","No","No","A number for each school in the district",,"283",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,"283","0","0","6","No",,"None",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","amiguel@erateportal.com","2020-11-19T16:43:00.000"
"Forest City Dunbar Elementary School","28926","School","Rutherford Co School District","126967","School District",,"Active",,,,"421 Hardin Road",,"Forest City","Rutherford","NC","28043",,"421 Hardin Road",,"Forest City","Rutherford","NC","28043",,"828-245-4978",,,"Kim Carpenter",,"35.331198","-81.881045","Rural",,"No","No","No","No","No","One number for my whole district",,,,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,"499","0","0","499","Yes","0.7589",,,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Commitment Batch Update","2021-06-20T10:14:00.000"
"Frankston Elementary School","86869","School","Frankston Indep Sch District","140725","School District","0012809190","Active",,,,"100 Perry St",,"Frankston","Anderson","TX","75763",,"Po Box 428",,"Frankston","Anderson County","TX","75763","0428","903-876-2214",,"www.frankstonisd.net","Rachel Menjivar",,"32.06123","-95.503045","Rural",,"No","No","No","No","No","A number for each school in the district",,"386",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No","001904102",,,,,,"386","0","0","241","No",,"None",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","edprater@frankstonisd.net","2021-12-07T14:35:00.000"
"Bennett Elementary School","27822","School","Chatham County Schools","126837","School District",,"Active",,,,"61 Randolph St",,"Bennett","Chatham","NC","27208",,"Po Box 107",,"Bennett","Chatham","NC","27208","0107","910-581-3586","erate@chatham.k12.nc.us",,"Emma Braaten",,"35.563099","-79.545568","Rural",,"No","No","No","No","No","A number for each school in the district",,"205",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,"205","0","0","91","No",,"None",,"No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","Commitment Batch Update 2020","2021-02-11T18:10:00.000"
"Chase Elementary School","14107","School","Monticello Central Sd","124263","School District","0012792867","Active",,,,"Po Box 489",,"Wurtsboro","Sullivan County","NY","12790",,"Pennsylvania Ave",,"Wurtsboro","Sullivan","NY","12790",,"914-888-2471",,,"Kimberly Gordon",,"41.592411","-74.511541","Rural",,"No","No","No","No","No","A number for each school in the district",,"231",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No","591401","060002",,,,,"231","0","0","211","Yes","0.5703",,,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","julann.troiano@dcboces.org","2021-12-07T10:45:00.000"
"Allen County Education Network Consortium","16062155","Consortium",,,,"0007798945","Active","443006695","2019-09-21T02:00:00.000","Approved","2101 E Coliseum Blvd",,"Fort Wayne","Allen","IN","46805",,"2101 E Coliseum Blvd",,"Fort Wayne","Allen","IN","46805",,"260-481-0747",,,"Brittany Igusky","Brittany Igusky","41.11418","-85.11406",,,"No","No","No","No","No",,,,,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,"No",,,,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","clarte02@pfw.edu","2021-01-14T12:05:00.000"
"Reach","16043446","School","Rutherford Co School District","126967","School District",,"Active",,,,"286 Icc Loop Rd, Building 10",,"Spindale","Rutherford","NC","28160",,"286 Icc Loop Rd, Building 10",,"Spindale","Rutherford","NC","28160",,"828-286-3636",,,"Kim Carpenter",,"35.341","-81.91259","Urban",,"No","No","No","No","No","One number for my whole district",,,,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,"206","0","0","206","Yes","0.7589",,,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Commitment Batch Update","2021-06-20T10:15:00.000"
"Jefferson Junior High School","46974","School","Washington Local School Dist","129311","School District","0014649719","Active",,,,"5530 Whitmer Dr",,"Toledo","Lucas","OH","43613","2029","5530 Whitmer Dr",,"Toledo","Lucas","OH","43613","2029","419-473-8452",,,"Bob Gulick",,"41.716713","-83.613067","Urban",,"No","No","No","No","No","A number for each school in the district",,"551",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No","18127","048231",,,,,"551","0","0","183","No",,"None",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","Commitment Batch Update 2019","2021-12-07T11:08:00.000"
"Penn Hills Lincoln Park Hs","16041764","Non-Instructional Facility (Nif)",,,,,"Closed",,,,"Lincoln Park Family Center","7300 Ridgeview Avenue","Pittsburgh","Allegheny","PA","15235",,"475 East Waterfront Drive",,"Homestead","Allegheny","PA","15120","1144","412-592-3159",,,,,"40.42627","-79.81338",,,"No","No","No","No","No",,,,,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No",,,,,,,,,,,"No",,,,"No","No","No","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","lisa.reyes@usac.org","2021-01-14T16:24:00.000"
"Lindbergh Elementary School","65384","School","Little Falls School Dist 482","133926","School District",,"Active",,,,"101 9th St Se",,"Little Falls","Morrison","MN","56345","3359","101 9th St Se",,"Little Falls","Morrison","MN","56345","3359","320-616-3200","cschmitz@lfalls.k12.mn.us",,"David Skogen",,"45.97424","-94.350251","Rural","Rural","No","No","No","No","No","A number for each school in the district",,"669",,,"No","No","No","No","No","No","No","No",,,,,"No","No","No","No","No","No","No","No","No","No","010482120","010482",,,,,"669","0","0","316","No",,"None",,"No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","EPC System","2021-01-13T22:00:00.000"
