"loan_number","country","project_id","original_principal_amount","cancelled_amount","undisbursed_amount","disbursed_amount","repaid_to_ibrd","borrower_s_obligation"
"7","Albania","7","425000000.00","0.00","305899475.83","89168410.05","0.00","84310544.17"
"12","Angola","12","2215000000.00","0.00","1724333515.30","471178227.10","0.00","468730134.71"
"1","Antigua and Barbuda","1","2000000.00","0.00","168277.00","1831723.00","0.00","1831723.00"
"29","Argentina","29","7451760000.00","428646987.00","3169041706.64","3854071306.36","0.00","3854071306.36"
"14","Armenia","14","443400000.00","33412896.63","109357534.15","299244330.68","0.00","297690159.22"
"3","Azerbaijan","3","215000000.00","0.00","163615315.09","51384684.91","0.00","51384684.91"
"6","Belarus","6","571000000.00","60000.00","324454640.08","226036874.35","0.00","200784349.83"
"3","Bolivia","3","617950000.00","0.00","298805214.56","319144785.44","0.00","319144785.44"
"8","Bosnia and Herzegovina","8","369498000.00","0.00","116766874.37","242487102.06","0.00","216824065.48"
"2","Botswana","2","492661341.00","17838748.35","224822592.65","250000000.00","0.00","250000000.00"
"14","Brazil","14","2575066000.00","0.00","1051461027.35","1523604972.65","0.00","1523604972.65"
"2","Cabo Verde","2","8500000.00","0.00","3491250.00","5008750.00","0.00","5008750.00"
"4","Cameroon","4","517000000.00","0.00","583872893.19","168495583.76","0.00","154135256.81"
"1","Chile","1","50126000.00","0.00","10100000.00","40026000.00","0.00","40026000.00"
"32","China","32","6488000000.00","186256487.84","2776668365.37","3412534014.58","0.00","3336088778.53"
"14","Colombia","14","3778600000.00","0.00","918035024.99","2861044266.89","0.00","2813948832.88"
"4","Congo, Republic of","4","175000000.00","10000000.00","18606884.48","141117946.78","0.00","137774835.54"
"4","Costa Rica","4","951740500.00","0.00","256199998.75","695540501.25","0.00","695540501.25"
"4","Croatia","4","581300000.00","0.00","482304667.82","40815760.25","0.00","38961602.18"
"4","Dominican Republic","4","293500000.00","0.00","152775894.59","140724105.41","0.00","140724105.41"
"12","Ecuador","12","2537100000.00","106100000.00","573283541.46","1857716458.54","0.00","1857716458.54"
"11","Egypt, Arab Republic of","11","3980000000.00","0.00","1813928645.32","2104021258.33","0.00","2097789824.68"
"5","El Salvador","5","770000000.00","0.00","719962458.62","50037541.38","0.00","50037541.38"
"7","Eswatini","7","231000000.00","0.00","86509255.29","142216247.25","0.00","141058254.72"
"2","Fiji","2","75000000.00","0.00","0.00","75000000.00","0.00","75000000.00"
"2","Gabon","2","59000000.00","0.00","12377356.98","48137857.55","0.00","42934843.04"
"17","Georgia","17","1390800000.00","16500000.00","877191630.80","419085090.08","0.00","401148839.24"
"2","Grenada","2","7800000.00","0.00","5740736.12","2059263.88","0.00","2059263.88"
"3","Guatemala","3","800000000.00","0.00","87169249.00","712830751.00","0.00","712830751.00"
"70","India","70","14445080000.00","478100000.00","7883966480.33","6083013519.67","0.00","6083013519.67"
"25","Indonesia","25","5809580000.00","80769000.00","3263310266.75","2465500733.25","311000.00","2465189733.25"
"1","Iran, Islamic Republic of","1","90000000.00","0.00","1023675.60","85166623.97","0.00","76925554.41"
"5","Iraq","5","1208000000.00","0.00","930190493.86","277809506.14","0.00","277809506.14"
"4","Jamaica","4","95000000.00","0.00","59525021.98","35474978.02","0.00","35474978.02"
"14","Jordan","14","4089300000.00","536012540.94","1225233024.47","2328054434.59","0.00","2328054434.59"
"1","Kazakhstan","1","67000000.00","49467000.00","14125000.00","3408000.00","0.00","3408000.00"
"2","Kenya","2","480000000.00","0.00","137364723.97","324536534.41","0.00","316956976.03"
"5","Lebanon","5","776600000.00","216470232.41","295291096.40","264838671.19","0.00","264838671.19"
"5","Mexico","5","436000000.00","100000000.00","267711361.82","68288638.18","0.00","68288638.18"
"2","Moldova","2","105000000.00","0.00","98125419.75","708673.56","0.00","629084.39"
"2","Mongolia","2","113800000.00","0.00","99000000.00","14800000.00","0.00","14800000.00"
"7","Montenegro","7","262480000.00","0.00","214923604.72","22985086.73","0.00","20460535.28"
"15","Morocco","15","4280000000.00","37000000.00","1724662377.88","2256369150.80","0.00","2053315005.75"
"2","Nigeria","2","245000000","60336561","184663439","0.00","0.00","0.00"
"9","North Macedonia","9","448917000.00","10957469.88","217333283.40","211646592.61","0.00","186445776.62"
"14","Pakistan","14","4021000000.00","0.00","3319159783.41","701840216.59","0.00","701840216.59"
"2","Panama","2","100000000.00","0.00","73346910.66","26653089.34","0.00","26653089.34"
"5","Paraguay","5","535000000.00","0.00","220962851.84","314037148.16","0.00","314037148.16"
"12","Peru","12","1077324000.00","0.00","559761499.78","517562500.22","0.00","517562500.22"
"16","Philippines","16","4772583205.00","53108250.00","2377839188.21","2341635766.79","0.00","2341635766.79"
"1","Poland","1","504040000.00","0.00","99684429.41","411865099.22","0.00","371493570.59"
"9","Romania","9","1666240000.00","0.00","1035164500.23","447630520.11","0.00","398855499.77"
"12","Serbia","12","770100000.00","0.00","406164127.41","308490097.32","0.00","277863412.60"
"4","Seychelles","4","75000000.00","0.00","28398002.79","46601997.21","0.00","46601997.21"
"3","South Africa","3","1323000000.00","66124638.88","465441920.00","776824977.90","0.00","773649405.00"
"8","Sri Lanka","8","1306000000.00","218000000.00","576161142.89","511838857.11","0.00","511838857.11"
"2","Suriname","2","58000000.00","0.00","52330352.58","5669647.42","0.00","5669647.42"
"1","Trinidad and Tobago","1","20000000.00","0.00","19950000.00","50000.00","0.00","50000.00"
"13","Tunisia","13","1726000000.00","108036120.91","792629415.43","708631256.45","0.00","643264327.09"
"26","Turkiye","26","6335290000.00","0.00","4462215045.16","1802439563.18","0.00","1751500891.35"
"1","Turkmenistan","1","20000000.00","0.00","4994518.81","15005481.19","0.00","15005481.19"
"18","Ukraine","18","2534891740.00","0.00","1339317606.51","1859550031.82","0.00","1812845210.38"
"4","Uruguay","4","109500000.00","27000000.00","32905247.18","49594752.82","0.00","49594752.82"
"10","Uzbekistan","10","1708100000.00","0.00","521059957.10","1187040042.90","0.00","1187040042.90"
"5","Vietnam","5","671000000.00","47039238.92","452116145.95","171844615.13","0.00","171844615.13"
