"end_of_period","country","original_principal_amount","cancelled_amount","undisbursed_amount","disbursed_amount","borrower_s_obligation"
"2022-07-31T00:00:00.000","Afghanistan","1913600000.00","195335137.91","781319364.84","894669729.66","0.00"
"2022-07-31T00:00:00.000","Bangladesh","15812057627.00","195688288.20","8341797521.38","6631003253.81","6052793274.42"
"2022-07-31T00:00:00.000","Benin","2446114732.00","66901681.61","1595028454.28","617819632.60","289241558.16"
"2022-07-31T00:00:00.000","Bhutan","137300000.00","0.00","21893089.20","114123175.07","110069830.80"
"2022-07-31T00:00:00.000","Bolivia","118000000.00","0.00","111255000.00","6745000.00","6745000.00"
"2022-07-31T00:00:00.000","Burkina Faso","3591636189.00","9200949.98","2180593913.67","1169493565.55","546570857.19"
"2022-07-31T00:00:00.000","Burundi","982000000.00","1713412.71","651063081.39","297247477.89","0.00"
"2022-07-31T00:00:00.000","Cabo Verde","261500000.00","0.00","115515295.98","139290134.56","131865544.03"
"2022-07-31T00:00:00.000","Cambodia","1163900000.00","0.00","813966807.40","295980647.02","280719212.61"
"2022-07-31T00:00:00.000","Cameroon","2788500000.00","10068215.16","2155336947.53","402012558.33","319636668.35"
"2022-07-31T00:00:00.000","Caribbean","17600000.00","0.00","11968974.49","5380990.40","0.00"
"2022-07-31T00:00:00.000","Central Africa","35000000.00","0.00","16213182.47","16776924.85","10150929.65"
"2022-07-31T00:00:00.000","Central African Republic","879000000.00","25387015.24","504957786.15","320277325.35","0.00"
"2022-07-31T00:00:00.000","Central Asia","18500000.00","0.00","2746485.82","15594965.29","0.00"
"2022-07-31T00:00:00.000","Chad","1775850000.00","0.00","1348260584.77","356851883.99","0.00"
"2022-07-31T00:00:00.000","Comoros","270000000.00","0.00","183620109.02","76499540.90","19716887.24"
"2022-07-31T00:00:00.000","Congo, Democratic Republic of","6909200000.00","176762962.08","4656415723.33","1940540233.07","964574475.98"
"2022-07-31T00:00:00.000","Congo, Republic of","437980000.00","0.00","256740841.81","164432713.15","147887920.92"
"2022-07-31T00:00:00.000","Cote d'Ivoire","3981400000.00","84695752.01","2430371642.75","1190409987.76","1069870284.07"
"2022-07-31T00:00:00.000","Djibouti","416300000.00","0.00","307579486.02","93493928.80","73361054.28"
"2022-07-31T00:00:00.000","Dominica","232600000.00","0.00","109107939.47","116476772.96","76358093.63"
"2022-07-31T00:00:00.000","Eastern and Southern Africa","746000000.00","0.00","642133736.02","96244077.17","27201000.00"
"2022-07-31T00:00:00.000","Ethiopia","12370200000.00","184616194.20","5850828697.92","5902304591.82","3655731614.67"
"2022-07-31T00:00:00.000","Fiji","275300000.00","0.00","27517073.67","242875879.50","231326142.33"
"2022-07-31T00:00:00.000","Gambia, The","500000000.00","152108.42","309216012.52","174272052.24","4601567.13"
"2022-07-31T00:00:00.000","Ghana","3540600000.00","23056412.56","2462356667.82","1026977083.61","993831999.12"
"2022-07-31T00:00:00.000","Grenada","135700000.00","0.00","100912561.16","34787438.84","34787438.84"
"2022-07-31T00:00:00.000","Guinea","1066730000.00","4980745.34","599871069.69","425417865.11","163217440.32"
"2022-07-31T00:00:00.000","Guinea-Bissau","316056502.00","0.00","177562973.17","131550748.99","87700184.19"
"2022-07-31T00:00:00.000","Guyana","116000000.00","0.00","91571600.23","19092574.96","18287199.77"
"2022-07-31T00:00:00.000","Haiti","1245150000.00","0.00","812715220.06","392202928.99","0.00"
"2022-07-31T00:00:00.000","Honduras","949000000.00","0.00","738192541.91","210807458.09","210807458.09"
"2022-07-31T00:00:00.000","India","720500000.00","1000000.00","130541308.91","591440455.09","580953251.09"
"2022-07-31T00:00:00.000","Jordan","200000000.00","0.00","41934377.51","158065622.49","158065622.49"
"2022-07-31T00:00:00.000","Kenya","7214000000.00","89671667.43","3147210159.71","3637410662.47","3502148473.13"
"2022-07-31T00:00:00.000","Kiribati","154490000.00","0.00","144527012.57","4771080.18","0.00"
"2022-07-31T00:00:00.000","Kosovo","311700000.00","0.00","186289419.71","112517813.40","96827100.29"
"2022-07-31T00:00:00.000","Kyrgyz Republic","901700000.00","5109586.41","705837807.72","153570641.30","61555521.55"
"2022-07-31T00:00:00.000","Lao People's Democratic Republic","719900000.00","1461330.79","509393403.73","180994248.82","171638909.11"
"2022-07-31T00:00:00.000","Lebanon","100000000.00","0.00","9503448.04","90148797.04","85531031.96"
"2022-07-31T00:00:00.000","Lesotho","376800000.00","0.00","258906527.03","103658655.11","98551752.97"
"2022-07-31T00:00:00.000","Liberia","915410000.00","0.00","472387281.59","422825580.23","215423350.84"
"2022-07-31T00:00:00.000","Madagascar","3169100000.00","5035211.27","2177624343.31","868406829.08","442942457.81"
"2022-07-31T00:00:00.000","Malawi","2354582000.00","0.00","1559391750.84","728690853.96","385205996.70"
"2022-07-31T00:00:00.000","Maldives","182100000.00","2500000.00","91550253.13","85429753.35","16140608.29"
"2022-07-31T00:00:00.000","Mali","1684950000.00","0.00","924769774.45","646865974.15","328464944.38"
"2022-07-31T00:00:00.000","Marshall Islands","223618000.00","9957446.81","177465082.95","26639969.48","0.00"
"2022-07-31T00:00:00.000","Mauritania","880750000.00","3402224.61","491375696.79","353622240.62","57916803.79"
"2022-07-31T00:00:00.000","Micronesia, Federated States of","274440000.00","0.00","194268554.58","66680039.20","0.00"
"2022-07-31T00:00:00.000","Middle East and North Africa","3850000.00","0.00","3706080.00","0.00","0.00"
"2022-07-31T00:00:00.000","Moldova","460700000.00","7498937.91","351074358.46","78237757.59","68899402.14"
"2022-07-31T00:00:00.000","Mongolia","296500000.00","0.00","152174347.42","140232050.42","132002572.58"
"2022-07-31T00:00:00.000","Mozambique","5142000000.00","17624768.21","3641158639.30","1274352488.03","90129463.06"
"2022-07-31T00:00:00.000","Myanmar","1657500000.00","200000000.00","1181908654.93","217568428.29","203768185.07"
"2022-07-31T00:00:00.000","Nepal","3251000000.00","89548674.11","1754719891.96","1324420718.24","1260848850.77"
"2022-07-31T00:00:00.000","Nicaragua","411000000.00","0.00","189552122.56","221447877.44","221447877.44"
"2022-07-31T00:00:00.000","Niger","4364898356.00","2480938.42","2972984260.29","1088127941.45","546529936.46"
"2022-07-31T00:00:00.000","Nigeria","12325400000.00","162521448.37","7188499245.34","4458161634.75","4258630247.88"
