"credit_number","country","service_charge_rate","borrower_s_obligation","first_repayment_date","last_repayment_date","board_approval_date"
"IDA41390","Ghana","0.75","26628389.79","2016-03-15T00:00:00.000","2045-09-15T00:00:00.000","2006-01-05T00:00:00.000"
"IDA41460","Kenya","0.75","7892625.28","2016-05-15T00:00:00.000","2045-11-15T00:00:00.000","2006-01-24T00:00:00.000"
"IDA41480","Kenya","0.75","95862616.78","2016-05-15T00:00:00.000","2045-11-15T00:00:00.000","2006-01-24T00:00:00.000"
"IDAB0100","Kenya",,"0.00","2006-06-01T00:00:00.000","2033-06-01T00:00:00.000","2006-01-24T00:00:00.000"
"IDA41860","Ghana","0.75","113448403.20","2016-11-01T00:00:00.000","2046-05-01T00:00:00.000","2006-06-15T00:00:00.000"
"IDA42130","Ghana","0.75","34097484.44","2016-09-15T00:00:00.000","2046-03-15T00:00:00.000","2006-06-29T00:00:00.000"
"IDA42260","Ghana","0.75","31276864.66","2016-11-15T00:00:00.000","2046-05-15T00:00:00.000","2006-08-01T00:00:00.000"
"IDA37951","Kenya","0.75","36305414.73","2016-11-15T00:00:00.000","2046-05-15T00:00:00.000","2006-08-03T00:00:00.000"
"IDA42420","Kenya","0.75","41662263.64","2017-05-01T00:00:00.000","2046-11-01T00:00:00.000","2006-11-07T00:00:00.000"
"IDA42760","Kenya","0.75","9679493.21","2017-05-01T00:00:00.000","2046-11-01T00:00:00.000","2007-03-20T00:00:00.000"
"IDA42770","Kenya","0.75","44196986.26","2017-05-15T00:00:00.000","2046-11-15T00:00:00.000","2007-03-27T00:00:00.000"
"IDA42780","Kenya","0.75","56918976.56","2017-05-15T00:00:00.000","2046-11-15T00:00:00.000","2007-03-27T00:00:00.000"
"IDA42860","Ghana","0.75","11872555.31","2017-04-15T00:00:00.000","2046-10-15T00:00:00.000","2007-03-29T00:00:00.000"
"IDA42840","Kenya","0.75","88761629.01","2017-08-15T00:00:00.000","2047-02-15T00:00:00.000","2007-03-29T00:00:00.000"
"IDA43100","Angola","4.75","41794428.71","2017-10-15T00:00:00.000","2042-04-15T00:00:00.000","2007-05-22T00:00:00.000"
"IDA43090","Ghana","0.75","86603148.00","2017-11-15T00:00:00.000","2047-05-15T00:00:00.000","2007-05-24T00:00:00.000"
"IDA39711","Ghana","0.75","7862184.00","2017-12-15T00:00:00.000","2047-06-15T00:00:00.000","2007-06-21T00:00:00.000"
"IDA43340","Ghana","0.75","35360933.60","2017-12-15T00:00:00.000","2047-06-15T00:00:00.000","2007-06-21T00:00:00.000"
"IDA43360","Kenya","0.75","61300288.84","2017-11-15T00:00:00.000","2047-05-15T00:00:00.000","2007-06-26T00:00:00.000"
"IDA43450","Ghana","0.75","11878955.81","2017-07-15T00:00:00.000","2047-01-15T00:00:00.000","2007-07-03T00:00:00.000"
"IDA43460","Ghana","0.75","19138156.16","2017-07-15T00:00:00.000","2047-01-15T00:00:00.000","2007-07-03T00:00:00.000"
"IDA43560","Ghana","0.75","70859575.48","2018-01-15T00:00:00.000","2047-07-15T00:00:00.000","2007-07-26T00:00:00.000"
"IDA41241","Ghana","0.75","7404551.00","2018-06-01T00:00:00.000","2047-12-01T00:00:00.000","2007-12-18T00:00:00.000"
"IDA43760","Kenya","0.75","115845649.45","2018-04-15T00:00:00.000","2047-10-15T00:00:00.000","2007-12-20T00:00:00.000"
"IDA44250","Ghana","0.75","19239849.60","2018-12-01T00:00:00.000","2048-06-01T00:00:00.000","2008-06-03T00:00:00.000"
"IDA44260","Ghana","0.75","15221400.00","2018-12-01T00:00:00.000","2048-06-01T00:00:00.000","2008-06-03T00:00:00.000"
"IDA44300","Ghana","0.75","74036889.60","2018-12-01T00:00:00.000","2048-06-01T00:00:00.000","2008-06-03T00:00:00.000"
"IDA44390","Ghana","0.75","59099876.56","2018-08-15T00:00:00.000","2048-02-15T00:00:00.000","2008-06-19T00:00:00.000"
