"as_of_date","fiscal_year","region","borrower_country","borrower_country_code","project_id","project_name","procurement_category","procurement_method","major_sector","wb_contract_number","contract_description","contract_signing_date","supplier","supplier_country","supplier_country_code","supplier_contract_amount_usd","borrower_contract_reference_number"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Nepal","NP","P143036","NP Rural Water Supply and Sanitation Improvement Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management","1581797","Individual consultant (Training Coordinator) for ""Accountant Training of SOs Accountants for Batch X Schemes","2016-12-09T00:00:00.000","Individual Consultant","Nepal","NP","508.0","NP-NA-64-CI-IND"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Nepal","NP","P095977","Road Sector Development Project","Civil Works","Request for Bids","Transportation;Public Administration","1544575","Road Safety Works on Tallodhungeswor-Dahikhola Road","2017-01-08T00:00:00.000","LAMA CONSTRUCTION COMPANY PVT. LTD.","Nepal","NP","497663.0","RSDPAF-W-RS-NCB-TD-06"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Nepal","NP","P143036","NP Rural Water Supply and Sanitation Improvement Project","Consultant Services","Quality And Cost-Based Selection","Water, Sanitation and Waste Management","1580418","Immediate Impact Study of Community Development including Health Hygiene and Sanitation Activities (CDA) under Batch-IX Schemes of RWSSFDB","2016-12-20T00:00:00.000","BRIGHT FUTURE INTERNATIONAL (P) LTD","Nepal","NP","11977.0","NP-RWSSFDB-40094-CS-QCBS"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Nepal","NP","P087140","Project for Agriculture Commercialization and Trade (PACT)","Goods","Request for Bids","Agriculture, Fishing and Forestry;Industry, Trade and Services","1545902","Procurement of IT equipment","2017-01-01T00:00:00.000","ENVIRONMENT AND RESOURCE MANAGEMENT CONSULTANT P LTD","Nepal","NP","1922498.0","PACT-85-NCB-B-PACT-AF/G/NCB/49/2"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Nepal","NP","P146344","Nepal: Grid Solar and Energy Efficiency","Civil Works","Request for Bids","Energy and Extractives","1546109","Design, Supply, Delivery, Installation, Testing and Commissioning of 33/11kV Substations and 33kV Lines","2017-03-21T00:00:00.000","A2Z INFRA ENGINEERING LTD.","Republic of India","IN","7828232.0","GSEEP/W/ICB-02"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Nepal","NP","P146344","Nepal: Grid Solar and Energy Efficiency","Civil Works","Request for Bids","Energy and Extractives","1546113","GSEEP/W/ICB-03  : Design, Supply, Installation/Erection, Testing and Commissioning of 11/0.4 kV Distribution System","2017-04-25T00:00:00.000","PINGGAO GROUP CO. LTD.","People's Republic of China","CN","11081487.0","GSEEP/W/ICB-03"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Nepal","NP","P143036","NP Rural Water Supply and Sanitation Improvement Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management","1579875","WashEngineer(RWSSIP/S/Ind-067)","2016-09-09T00:00:00.000","Individual Consultant","Nepal","NP","6875.0","NP-NA-178-CI-IND"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Nepal","NP","P143036","NP Rural Water Supply and Sanitation Improvement Project","Consultant Services","Quality And Cost-Based Selection","Water, Sanitation and Waste Management","1580454","CDA Baseline Study including Audio Visual Survey in sample basis of Batch-X Schemes","2016-12-19T00:00:00.000","ENVIRONNENT & RESSOURCE MANAGEMENT CONSULTANT (ERMC) (P).LTD","Nepal","NP","33961.0","NP-NA-61-CF-SBCC"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Nepal","NP","P143036","NP Rural Water Supply and Sanitation Improvement Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management","1580456","Piloting of solar technology and preparation of design, cost estimate for the adaptation of solar system to lift scheme","2016-07-31T00:00:00.000","Individual Consultant","Nepal","NP","3375.0","NP-NA-172-CI-IND"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Nepal","NP","P155096","Integrated Platform for Gender Based Violence Prevention and Response in Nepal","Goods","Request for Quotations","Information and Communications Technologies;Social Protection;Public Administration","1575821","Supply of Laptops, Multimedia Projector and DSLR Cameras","2017-06-26T00:00:00.000","IMPACT OFFICE SOLUTION","Nepal","NP","11923.0","NP-NWC-68006-GO-RFQ"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Nepal","NP","P143036","NP Rural Water Supply and Sanitation Improvement Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management","1579877","WashEngineer(RWSSIP/S/Ind-067)","2016-09-08T00:00:00.000","Individual Consultant","Nepal","NP","6875.0","NP-NA-178-CI-IND"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Nepal","NP","P146344","Nepal: Grid Solar and Energy Efficiency","Civil Works","Request for Bids","Energy and Extractives","1546131","GSEEP/W/ICB-04: Design, Supply, Installation/Erection, Testing and Commissioning of 11/0.4 kV Distribution System","2017-04-19T00:00:00.000","CHONGQING TAISHAN CABLE CO. LTD","People's Republic of China","CN","10293389.0","GSEEP/W/ICB-04"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Nepal","NP","P143036","NP Rural Water Supply and Sanitation Improvement Project","Civil Works","Community Driven Development","Water, Sanitation and Waste Management","1582240","Adaptation of Solar System in the Patal Dhara WSS (Lift Scheme)","2017-06-27T00:00:00.000","WATER SUPPLY USER COMMITTEE (WSUC) OF PATAL DHARA WSS GORKHA","Nepal","NP","14805.0","NP-NA-176-O-PCOM"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Nepal","NP","P143036","NP Rural Water Supply and Sanitation Improvement Project","Consultant Services","Quality And Cost-Based Selection","Water, Sanitation and Waste Management","1580471","PREPARING A IMPLEMENTATION GUIDELINE & MANUAL OF JAGARAN KARYAKRAM (SOCIAL ACCOUNTABILITY PROGRAMME) OF THE RWSSFDB","2016-12-20T00:00:00.000","BRIGHT FUTURE INTERNATIONAL (P) LTD","Nepal","NP","13505.0","NP-NA-58-CF-SBCC"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Nepal","NP","P143036","NP Rural Water Supply and Sanitation Improvement Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management","1580479","Prepare structural design, drawing and cost estimate for different sizes of over head tanks (OHT) and Staging of Zinc Tank""","2016-07-29T00:00:00.000","Individual Consultant","Nepal","NP","3436.0","NP-NA-191-CI-IND"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Nepal","NP","P146344","Nepal: Grid Solar and Energy Efficiency","Consultant Services","Individual Consultant Selection","Energy and Extractives","1546381","Consultant Services for the Independent Evaluation of Bids received under GSEEP/W/ICB-03 and GSEEP/W/ICB-04","2017-03-05T00:00:00.000","Individual Consultant","World","1W","47672.0","GSEEP /CS/IND-03/01"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Nepal","NP","P146344","Nepal: Grid Solar and Energy Efficiency","Consultant Services","Individual Consultant Selection","Energy and Extractives","1546382","Consultant Services for the Independent Evaluation of documents for GSEEP/W/ICB-03 and GSEEP/W/ICB-04","2017-03-05T00:00:00.000","Individual Consultant","World","1W","41572.0","GSEEP /CS/IND-03/02"
"2022-09-12T00:00:00.000","2017","SOUTH ASIA","Nepal","NP","P127508","Building Resilience to Climate Related Hazards","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","1553274","For overall survey, design, cost estimate and construction related works of the DHM BRCH project activities, DHM requires consulting service from individual consultant with the capacity of Civil Engin","2017-01-30T00:00:00.000","Individual Consultant","Nepal","NP","37051.0","PPCR/DHM/S/IND-45"
