"as_of_date","fiscal_year","region","borrower_country","borrower_country_code","project_id","project_name","procurement_category","procurement_method","major_sector","wb_contract_number","contract_description","contract_signing_date","supplier","supplier_country","supplier_country_code","supplier_contract_amount_usd","borrower_contract_reference_number"
"2022-09-12T00:00:00.000","2017","Western and Central Africa","Nigeria","NG","P124905","Nigeria Erosion  and Watershed Management Project","Civil Works","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1693730","Construction of Remediation Works at Ikot Nkebre Gully Erosion Site, Calabar, Cross River State","2017-05-02T00:00:00.000","AKPAVEN INTEGRATED SERVICES LTD","Federal Republic of Nigeria","NG","2358481.0","CRS/NEWMAP/WKS/NCB/16/02"
"2022-09-12T00:00:00.000","2017","Western and Central Africa","Nigeria","NG","P123112","Transforming Irrigation Management in Nigeria","Civil Works","Request for Bids","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","1650010","CONTRACT FOR REHABILITATION OF 4 NOS HOUSES FOR USE BY THE TRIMING PROJECT AT BUNKURE UNDER KANO RIVER IRRIGATION SCHEME, BUNKURE, KANO STATE","2017-01-18T00:00:00.000","HERIPROM ENGINEERING LIMITED","Federal Republic of Nigeria","NG","177676.0","NG-TRIMING NCO-19039-CW-RFB"
"2022-09-12T00:00:00.000","2017","Western and Central Africa","Nigeria","NG","P123112","Transforming Irrigation Management in Nigeria","Consultant Services","Direct Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry","1647390","Contract for Consultancy Services for Supervision and Quality Control Assurance of the Aerial Topographic and Lidar Survey of Dadin-kowa and Guyuk in Upper Benue River Basin.","2017-06-20T00:00:00.000","MR. MIROSLAW GUZIK","Republic of Poland","PL","75000.0","FMWR/TRIMING/SUP/2017/01/01"
"2022-09-12T00:00:00.000","2017","Western and Central Africa","Nigeria","NG","P124905","Nigeria Erosion  and Watershed Management Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1644500","CONSULTANCY FOR THE CONDUCT OF MONITORING AND EVALUATION (M&E) BASELINE DATA COLLECTION FOR AKWA IBOM STATE NEWMAP","2017-03-30T00:00:00.000","Individual Consultant","Federal Republic of Nigeria","NG","51995.0","AKS/PMU/INDV/17/02"
"2022-09-12T00:00:00.000","2017","Western and Central Africa","Nigeria","NG","P124905","Nigeria Erosion  and Watershed Management Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1644361","CONSULTANCY FOR PREPARATION OF ESMP FOR ST. LUKE'S HOSPITAL, ANUA, ETIM UMANA GULLY EROSION SITES AND IBB FLOOD CONTROL SITE, ALL IN UYO","2017-03-30T00:00:00.000","Individual Consultant","Federal Republic of Nigeria","NG","52740.0","AKS/PMU/INDV/17/03"
"2022-09-12T00:00:00.000","2017","Western and Central Africa","Nigeria","NG","P124905","Nigeria Erosion  and Watershed Management Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1644197","Engagement of Consultant to Conduct M&E Baseline Studies in 4 Erosion Sites: Enugwu-Ukwu, Ikenga-Ogidi, Ugamuma-Obosi and Abidi-Umuoji","2016-08-22T00:00:00.000","Individual Consultant","Federal Republic of Nigeria","NG","35394.0","ANS/NEWMAP/CS/IC/2016/08"
"2022-09-12T00:00:00.000","2017","Western and Central Africa","Nigeria","NG","P124905","Nigeria Erosion  and Watershed Management Project","Non-consulting Services","Direct Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1643658","Renewal of Microsoft Windows, Microsoft Office and Antivirus Licenses for One Year","2017-03-22T00:00:00.000","EAGLE STRENGTH COMPUTERS","Federal Republic of Nigeria","NG","14233.0","NG-ANAMBRA SPMU-17277-NC-DIR"
"2022-09-12T00:00:00.000","2017","Western and Central Africa","Nigeria","NG","P124905","Nigeria Erosion  and Watershed Management Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1643272","CONSULTANCY FOR LIVELIHOOD NEEDS ASSESSMENT FOR AKWA IBOM STATE NEWMAP","2017-03-30T00:00:00.000","Individual Consultant","Federal Republic of Nigeria","NG","30779.0","AKS/PMU/INDV/17/01"
"2022-09-12T00:00:00.000","2017","Western and Central Africa","Nigeria","NG","P124905","Nigeria Erosion  and Watershed Management Project","Consultant Services","Direct Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1643094","Supplementary Resettlement Action Plan (RAP) for New Heritage Omagba Phase 2 Erosion Site to address legacy issues","2017-02-27T00:00:00.000","DR. JERRY NWANKWO","Federal Republic of Nigeria","NG","12489.0","ANS/NEWMAP/CS/INDV/17-09"
"2022-09-12T00:00:00.000","2017","Western and Central Africa","Nigeria","NG","P124905","Nigeria Erosion  and Watershed Management Project","Consultant Services","Individual Consultant Selection","Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1641883","Engagement of Individual Consultancy Services to Conduct Livelihood Needs Assessment for four Gully Erosion Site(Enugukwu, Umuorji, Obosi and Ogidi)","2016-08-22T00:00:00.000","Individual Consultant","Federal Republic of Nigeria","NG","27866.0","ANS/NEWMAP/CS/CQS/2016/05"
