"date_disclosed","project_name","document_type","project_number","product_line","company_name","country","ifc_country_code","industry","environmental_category","department","status","project_board_date","ifc_investment_for_risk_management_million_usd","ifc_investment_for_guarantee_million_usd","ifc_investment_for_loan_million_usd","ifc_investment_for_equity_million_usd","total_ifc_investment_as_approved_by_board_million_usd","country_code","as_of_date"
"2022-05-09T00:00:00.000","Arrawaj S. Loan","Summary of Investment Information (AIP Policy 2012)","46144","Loan","FONDATION ARRAWAJ DE LA FINANCE INCLUSIVE","Morocco","MYC","Financial Institutions","FI-3","Regional Industry - FIG Africa","Hold","2022-06-10T00:00:00.000",,,"15.0",,"15.0","MA","2022-08-30T03:05:00.000"
"2022-02-09T00:00:00.000","BOP Al Amana Microcredit Morocco","Summary of Investment Information (AIP Policy 2012)","45575","Loan","AL AMANA MICROFINANCE","Morocco","MYC","Financial Institutions","FI-3","Regional Industry - FIG Africa","Pending","2022-03-21T00:00:00.000",,,"8.0",,"8.0","MA","2022-08-30T03:05:00.000"
"2021-07-26T00:00:00.000","Project SIMBA Equity - Insurance Sector","Summary of Investment Information (AIP Policy 2012)","42810","Equity","HOLMARCOM INSURANCE ACTIVITIES SA","Morocco","MYC","Financial Institutions","FI-2","Regional Industry - FIG Africa","Active","2021-05-21T00:00:00.000",,,,"50.44","50.44","MA","2022-08-30T03:05:00.000"
"2021-05-20T00:00:00.000","Dolidol","Summary of Investment Information (AIP Policy 2012)","43869","Loan","UNI CONFORT MAROC DOLIDOL","Morocco","MYC","Manufacturing","B","Regional Industry - MAS Africa","Active","2021-06-25T00:00:00.000",,,"30.48",,"30.48","MA","2022-08-30T03:05:00.000"
"2020-06-26T00:00:00.000","R. Fes Meknes ","Summary of Investment Information (AIP Policy 2012)","42982","Loan","REGION FES MEKNES","Morocco","MYC","Infrastructure","B","Regional Industry - INF Africa","Active","2020-08-07T00:00:00.000",,,"35.0",,"35.0","MA","2022-08-30T03:05:00.000"
"2019-11-08T00:00:00.000","Zalar Agri","Summary of Investment Information (AIP Policy 2012)","42268","Loan","ZALAR AGRI","Morocco","MYC","Agribusiness and Forestry","B","Regional Industry - MAS Africa","Active","2019-12-09T00:00:00.000",,,"12.0",,"12.0","MA","2022-08-30T03:05:00.000"
"2019-09-09T00:00:00.000","Casa Tramway ","Summary of Investment Information (AIP Policy 2012)","41818","Loan","REGION OF CASABLANCA - SETTAT","Morocco","MYC","Infrastructure","B","Regional Industry - INF Africa","Active","2019-10-10T00:00:00.000",,,"58.0",,"58.0","MA","2022-08-30T03:05:00.000"
"2018-12-26T00:00:00.000","UPM Maroc","Summary of Investment Information (AIP Policy 2012)","40754","Loan","UPM PEDAGOGIQUE","Morocco","MYC","Health and Education","B","Regional Industry - MAS ME & Africa","Pending","2019-02-07T00:00:00.000",,,"15.71",,"15.71","MA","2022-08-30T03:05:00.000"
"2017-01-09T00:00:00.000","DCM BCP Green Financing","Summary of Investment Information (AIP Policy 2012)","38717","Loan","BANQUE CENTRALE POPULAIRE SA","Morocco","MYC","Financial Institutions","FI-1","Global Industry, Financial Markets","Completed","2017-01-31T00:00:00.000",,,"112.13",,"112.13","MA","2022-08-30T03:05:00.000"
"2015-11-09T00:00:00.000","Al Amana IS II","Summary of Investment Information (AIP Policy 2012)","37152","Loan","AL AMANA MICROFINANCE","Morocco","MYC","Financial Institutions","FI-3","Regional Industry - FIG ME & Africa","Completed","2015-12-09T00:00:00.000",,,"6.55",,"6.55","MA","2022-08-30T03:05:00.000"
