"date","week","month","year","railroad","commodity","mph"
"2022-08-24T00:00:00.000","34","8","2022","KCS","Automotive","22.3"
"2022-08-24T00:00:00.000","34","8","2022","NS","Grain","16.4"
"2022-08-24T00:00:00.000","34","8","2022","UP","Grain","22.2"
"2022-08-24T00:00:00.000","34","8","2022","BNSF","Intermodal","32.1"
"2022-08-24T00:00:00.000","34","8","2022","KCS","Coal","25.6"
"2022-08-24T00:00:00.000","34","8","2022","NS","Ethanol","14.2"
"2022-08-24T00:00:00.000","34","8","2022","KCS","Manifest","26.3"
"2022-08-24T00:00:00.000","34","8","2022","KCS","Intermodal","32.7"
"2022-08-24T00:00:00.000","34","8","2022","CSX","Grain","20.2"
"2022-08-24T00:00:00.000","34","8","2022","CP","Grain","26.1"
"2022-08-24T00:00:00.000","34","8","2022","CSX","Manifest","21.1"
"2022-08-24T00:00:00.000","34","8","2022","NS","Crude Oil","19.8"
"2022-08-24T00:00:00.000","34","8","2022","UP","Coal","24.1"
"2022-08-24T00:00:00.000","34","8","2022","NS","Manifest","15"
"2022-08-24T00:00:00.000","34","8","2022","BNSF","System","26"
"2022-08-24T00:00:00.000","34","8","2022","BNSF","Crude Oil","27.2"
"2022-08-24T00:00:00.000","34","8","2022","CN","Coal","21.9"
"2022-08-24T00:00:00.000","34","8","2022","CSX","Ethanol","23.7"
"2022-08-24T00:00:00.000","34","8","2022","NS","Intermodal","24.2"
"2022-08-24T00:00:00.000","34","8","2022","CP","Crude Oil","23.2"
"2022-08-24T00:00:00.000","34","8","2022","UP","Automotive","25.3"
"2022-08-24T00:00:00.000","34","8","2022","BNSF","Grain","24.1"
"2022-08-24T00:00:00.000","34","8","2022","UP","Manifest","21"
"2022-08-24T00:00:00.000","34","8","2022","CSX","Coal","22"
"2022-08-24T00:00:00.000","34","8","2022","CN","Other","22.4"
"2022-08-24T00:00:00.000","34","8","2022","CN","Intermodal","27.5"
"2022-08-24T00:00:00.000","34","8","2022","CP","Coal","26"
"2022-08-24T00:00:00.000","34","8","2022","CN","Crude Oil","25"
"2022-08-24T00:00:00.000","34","8","2022","CSX","Intermodal","29.5"
"2022-08-24T00:00:00.000","34","8","2022","CP","Manifest","24.6"
"2022-08-24T00:00:00.000","34","8","2022","BNSF","Ethanol","24.2"
"2022-08-24T00:00:00.000","34","8","2022","CP","Ethanol","25.3"
"2022-08-24T00:00:00.000","34","8","2022","CSX","System","23.4"
"2022-08-24T00:00:00.000","34","8","2022","CSX","Automotive",
"2022-08-24T00:00:00.000","34","8","2022","UP","System","23.4"
"2022-08-24T00:00:00.000","34","8","2022","UP","Intermodal","28.8"
"2022-08-24T00:00:00.000","34","8","2022","CN","Ethanol","25.3"
"2022-08-24T00:00:00.000","34","8","2022","BNSF","Automotive","25.8"
"2022-08-24T00:00:00.000","34","8","2022","KCS","Grain","25.6"
"2022-08-24T00:00:00.000","34","8","2022","CP","System","25.1"
"2022-08-24T00:00:00.000","34","8","2022","CSX","Crude Oil","25.5"
"2022-08-24T00:00:00.000","34","8","2022","NS","Automotive","15.9"
"2022-08-24T00:00:00.000","34","8","2022","KCS","Ethanol",
"2022-08-24T00:00:00.000","34","8","2022","CP","Automotive","23.9"
"2022-08-24T00:00:00.000","34","8","2022","KCS","Crude Oil","30"
"2022-08-24T00:00:00.000","34","8","2022","NS","Coal","17.7"
"2022-08-24T00:00:00.000","34","8","2022","UP","Crude Oil","20.8"
"2022-08-24T00:00:00.000","34","8","2022","CN","Manifest","23.1"
"2022-08-24T00:00:00.000","34","8","2022","KCS","System","26.8"
"2022-08-24T00:00:00.000","34","8","2022","CP","Intermodal","29.5"
"2022-08-24T00:00:00.000","34","8","2022","UP","Ethanol","19.5"
"2022-08-24T00:00:00.000","34","8","2022","NS","System","18.4"
"2022-08-24T00:00:00.000","34","8","2022","BNSF","Manifest","22.6"
"2022-08-24T00:00:00.000","34","8","2022","BNSF","Coal","24.5"
"2022-08-24T00:00:00.000","34","8","2022","CN","Grain","21.6"
"2022-08-24T00:00:00.000","34","8","2022","CN","System","23.8"
"2022-08-17T00:00:00.000","33","8","2022","CSX","Intermodal","29.5"
"2022-08-17T00:00:00.000","33","8","2022","UP","Ethanol","21.3"
"2022-08-17T00:00:00.000","33","8","2022","CN","System","23.7"
"2022-08-17T00:00:00.000","33","8","2022","CSX","System","23.3"
"2022-08-17T00:00:00.000","33","8","2022","KCS","Automotive","21.7"
"2022-08-17T00:00:00.000","33","8","2022","CN","Ethanol","20.8"
"2022-08-17T00:00:00.000","33","8","2022","KCS","Ethanol",
"2022-08-17T00:00:00.000","33","8","2022","CP","Automotive","26.2"
"2022-08-17T00:00:00.000","33","8","2022","NS","Grain","15.6"
"2022-08-17T00:00:00.000","33","8","2022","CSX","Manifest","21"
"2022-08-17T00:00:00.000","33","8","2022","KCS","Intermodal","33.4"
"2022-08-17T00:00:00.000","33","8","2022","KCS","Grain","25.6"
"2022-08-17T00:00:00.000","33","8","2022","NS","Intermodal","24.7"
"2022-08-17T00:00:00.000","33","8","2022","CP","Crude Oil","22.3"
"2022-08-17T00:00:00.000","33","8","2022","UP","System","23.3"
"2022-08-17T00:00:00.000","33","8","2022","CP","Ethanol","27.8"
"2022-08-17T00:00:00.000","33","8","2022","NS","Coal","17.7"
