"record_id","offender_number","admission_date","fiscal_year_admitted","judicial_district","sex","race_ethnicity","age_at_admission","offense_code","offense_class","offense_description","offense_type","offense_subtype"
"2","18129914","2015-06-30T00:00:00.000","2015","5JD","Male","White","27.61943874","708.2(3)","Simple Misdemeanor","SIMPLE ASSAULT","Violent","Assault"
"3","19949438","2022-01-26T00:00:00.000","2022","3JD","Male","American Indian or Alaska Native","26.19575633","726.6(7)","Aggravated Misdemeanor","Child Endangerment/No Injury","Violent","Other Violent"
"5","19716167","2021-11-15T00:00:00.000","2022","8JD","Female","White","30.35728953","714.2(3)","Aggravated Misdemeanor","THEFT 3RD DEGREE","Property","Theft"
"6","18677555","2016-01-20T00:00:00.000","2016","4JD","Male","Black","18.74332649","724.4","Aggravated Misdemeanor","CARRYING WEAPONS","Public Order","Weapons"
"8","18448628","2017-05-22T00:00:00.000","2017","6JD","Female","Black","19.40314853","124.401(5)(d)","Serious Misdemeanor","Possession of a Controlled Substance - Marijuana - 1st Offense","Drug","Drug Possession"
"9","20373695","2017-05-02T00:00:00.000","2017","5JD","Male","White","48.47091034","321J.2(A)","Serious Misdemeanor","OPER VEH WH INT (OWI) / SER MISD / 1ST OFF -","Public Order","OWI"
"10","128279","2020-10-30T00:00:00.000","2021","5JD","Male","Black","52.8843258","321.277","Simple Misdemeanor","RECKLESS DRIVING","Public Order","Traffic"
"11","19993964","2016-10-26T00:00:00.000","2017","2JD","Male","White","18.4312115","708.3A(3)","Aggravated Misdemeanor","ASSAULT CAUSING INJURY--PEACE OFFICERS/OTHERS","Violent","Assault"
"12","620330","2013-07-08T00:00:00.000","2014","1JD","Male","White","56.82135524","714.2(3)","Aggravated Misdemeanor","THEFT 3RD DEGREE","Property","Theft"
"13","19050986","2017-03-10T00:00:00.000","2017","7JD","Male","White","36.41615332","708.2(2)","Serious Misdemeanor","Assault with bodily injury or mental illness","Violent","Assault"
"15","18224441","2018-09-28T00:00:00.000","2019","2JD","Male","White","20.58863792","321J.2(A)","Serious Misdemeanor","OPER VEH WH INT (OWI) / SER MISD / 1ST OFF -","Public Order","OWI"
"16","18019952","2020-02-18T00:00:00.000","2020","5JD","Male","White","29.03216975","321J.2(2)(a)","Serious Misdemeanor","OPERATING WHILE UNDER THE INFLUENCE 1ST OFFENSE","Public Order","OWI"
"18","19828823","2015-05-04T00:00:00.000","2015","4JD","Female","White","29.86173854","124.401(1)(c)(6)","C Felony","Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm","Drug","Trafficking"
"21","20787059","2013-07-03T00:00:00.000","2014","5JD","Male","White","55.92060233","321J.2(A)","Serious Misdemeanor","OPER VEH WH INT (OWI) / SER MISD / 1ST OFF -","Public Order","OWI"
"22","18617492","2020-02-24T00:00:00.000","2020","1JD","Male","White","37.67282683","709.21(1)","Aggravated Misdemeanor","Invasion of Privacy-Nudity-10 Year Special Sentence","Violent","Sex"
"24","18959426","2020-01-30T00:00:00.000","2020","5JD","Male","White","39.4825462","715A.6(2)(C)","Aggravated Misdemeanor","UNAUTH. USE OF CREDIT CARD $1K","Property","Forgery/Fraud"
"25","19351940","2016-04-26T00:00:00.000","2016","5JD","Male","White","18.16837782","124.401(5)(d)","Serious Misdemeanor","Possession of a Controlled Substance - Marijuana - 1st Offense","Drug","Drug Possession"
