"budget_line_code","fiscal_year","function","dept_name","fund","appropriation","budget_unit_code","budget_unit","object_class","gov_recommendation","dept_request","adopted_budget"
"2010-0001-0R40-5834100-05A","2010","Justice System","Homeland Security and Emergency Management","0001 - General Fund","0R40 - Homeland Security & Emergency Mgmt. Division","5834100","Administration","05A - Appropriation","71652","152244","165160"
"2010-0001-0R40-5834201-05A","2010","Justice System","Homeland Security and Emergency Management","0001 - General Fund","0R40 - Homeland Security & Emergency Mgmt. Division","5834201","Title III Personnel Costs","05A - Appropriation","46165","46165","37464"
"2010-0001-0R40-5834300-05A","2010","Justice System","Homeland Security and Emergency Management","0001 - General Fund","0R40 - Homeland Security & Emergency Mgmt. Division","5834300","State Administrative Funds","05A - Appropriation","94999","94999","77050"
"2010-0001-0R40-5834350-05A","2010","Justice System","Homeland Security and Emergency Management","0001 - General Fund","0R40 - Homeland Security & Emergency Mgmt. Division","5834350","Empg Personnel Costs","05A - Appropriation","1","1","1"
"2010-0001-0R40-5834360-05A","2010","Justice System","Homeland Security and Emergency Management","0001 - General Fund","0R40 - Homeland Security & Emergency Mgmt. Division","5834360","EMPG State Match","05A - Appropriation","1400325","1400325","1350000"
"2010-0001-0R40-5834400-05A","2010","Justice System","Homeland Security and Emergency Management","0001 - General Fund","0R40 - Homeland Security & Emergency Mgmt. Division","5834400","Fusion Center","05A - Appropriation","313743","313743","279687"
"2010-0001-0R40-5835600-05A","2010","Justice System","Homeland Security and Emergency Management","0001 - General Fund","0R40 - Homeland Security & Emergency Mgmt. Division","5835600","HMGP Disaster 1688 - GF","05A - Appropriation","55254","55254","8975"
"2010-0001-0R40-5835601-05A","2010","Justice System","Homeland Security and Emergency Management","0001 - General Fund","0R40 - Homeland Security & Emergency Mgmt. Division","5835601","HMGP Disaster 1705 - GF","05A - Appropriation","9918","9918","3211"
"2010-0001-0R40-5835602-05A","2010","Justice System","Homeland Security and Emergency Management","0001 - General Fund","0R40 - Homeland Security & Emergency Mgmt. Division","5835602","HMGP DR 1727 non-federal match funds","05A - Appropriation","5551","5551","1567"
"2010-0001-0R40-5835603-05A","2010","Justice System","Homeland Security and Emergency Management","0001 - General Fund","0R40 - Homeland Security & Emergency Mgmt. Division","5835603","HMGP DR 1737 non-federal match funds","05A - Appropriation","55523","55523","0"
"2010-0001-0R40-5835604-05A","2010","Justice System","Homeland Security and Emergency Management","0001 - General Fund","0R40 - Homeland Security & Emergency Mgmt. Division","5835604","HMGP DR 1763 non-federal match funds","05A - Appropriation","0","0","29600"
