"recno","sex","veteransstatus","releasestatus","countyofadmission","currentage","war"
"18489","Male","Veteran","Present","CLARKE","75-84 years old","Peace Time"
"18501","Male","Veteran","Present","JOHNSON","85+ years old","WWII"
"17558","Male","Veteran","Present","CLAY","75-84 years old","Peace Time"
"18118","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18238","Male","Veteran","Present","WAPELLO","75-84 years old","Vietnam"
"18356","Male","Veteran","Present","JOHNSON","75-84 years old","Korean"
"18622","Male","Veteran","Present","JEFFERSON","65-74 years old","Vietnam"
"18603","Male","Veteran","Present","WARREN","65-74 years old","Vietnam"
"18698","Male","Veteran","Present","KEOKUK","85+ years old","WWII"
"18505","Male","Veteran","Present","TAMA","75-84 years old","Korean"
"18611","Male","Veteran","Present","MONROE","75-84 years old","Korean"
"17750","Male","Veteran","Present","MARSHALL","85+ years old","WWII"
"18609","Male","Veteran","Present","JOHNSON","55-64 years old","Vietnam"
"14019","Male","Veteran","Present","WARREN","65-74 years old","Vietnam"
"14232","Male","Veteran","Present","GREENE","55-64 years old","Vietnam"
"18385","Male","Veteran","Present","BREMER","75-84 years old","Korean"
"18596","Male","Veteran","Present","POLK","55-64 years old","Vietnam"
"18625","Male","Veteran","Present","WEBSTER","65-74 years old","Vietnam"
"18549","Male","Veteran","Present","LINN","65-74 years old","Vietnam"
"18643","Male","Veteran","Present","LINN","65-74 years old","Vietnam"
"12765","Male","Veteran","Present","MARION","55-64 years old","Vietnam"
"18507","Male","Veteran","Present","LINN","85+ years old","WWII"
"18227","Male","Veteran","Present","POLK","75-84 years old","Korean"
"18016","Male","Veteran","Present","POWESHIEK","75-84 years old","Korean"
"18508","Male","Veteran","Present","MARION","75-84 years old","Peace Time"
"18427","Male","Veteran","Present","DES MOINES","85+ years old","Korean"
"18401","Male","Veteran","Present","POLK","85+ years old","WWII"
"18140","Male","Veteran","Present","HOWARD","65-74 years old","Vietnam"
"13651","Male","Veteran","Present","DUBUQUE","65-74 years old","Vietnam"
"18189","Male","Veteran","Present","WASHINGTON","75-84 years old","Peace Time"
"18109","Male","Veteran","Present","MARSHALL","55-64 years old","Vietnam"
"17876","Male","Veteran","Present","KEOKUK","85+ years old","WWII"
"18598","Male","Veteran","Present","STORY","85+ years old","Korean"
"18542","Male","Veteran","Present","DUBUQUE","75-84 years old","Korean"
"17753","Male","Veteran","Present","BLACK HAWK","65-74 years old","Vietnam"
"17691","Male","Veteran","Present","MARION","65-74 years old","Vietnam"
"3033","Female","Veteran","Present","POLK","55-64 years old","Vietnam"
"17755","Male","Veteran","Present","FRANKLIN","85+ years old","Korean"
"18685","Male","Veteran","Present","LINN","85+ years old","WWII"
"17808","Male","Veteran","Present","JACKSON","65-74 years old","Vietnam"
"18267","Male","Veteran","Present","BLACK HAWK","85+ years old","WWII"
"18660","Male","Veteran","Present","WARREN","75-84 years old","Korean"
"18700","Male","Veteran","Present","POLK","85+ years old","WWII"
"18172","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18466","Male","Veteran","Present","WARREN","65-74 years old","Vietnam"
"18523","Male","Veteran","Present","POLK","85+ years old","Vietnam"
"18431","Male","Veteran","Present","BLACK HAWK","75-84 years old","Peace Time"
"17624","Male","Veteran","Present","CERRO GORDO","75-84 years old","Peace Time"
"18248","Male","Veteran","Present","POLK","85+ years old","WWII"
"13622","Male","Veteran","Present","POLK","55-64 years old","Vietnam"
"13168","Male","Veteran","Present","POLK","65-74 years old","Peace Time"
"18584","Male","Veteran","Present","TAMA","75-84 years old","Korean"
"10679","Male","Veteran","Present","TAMA","55-64 years old","Vietnam"
"18636","Male","Veteran","Present","CERRO GORDO","65-74 years old","Vietnam"
"18693","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18352","Female","Veteran","Present","LINN","85+ years old","Korean"
"18045","Male","Veteran","Present","LINN","75-84 years old","Korean"
"18456","Male","Veteran","Present","STORY","75-84 years old","Korean"
"18296","Male","Veteran","Present","TAMA","75-84 years old","Korean"
"18646","Male","Veteran","Present","POLK","55-64 years old","Vietnam"
"18629","Male","Veteran","Present","WOODBURY","55-64 years old","Vietnam"
"18595","Male","Veteran","Present","OSCEOLA","85+ years old","Korean"
"12599","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18564","Male","Veteran","Present","MARION","65-74 years old","Vietnam"
"18669","Male","Veteran","Present","STORY","85+ years old","Korean"
"18130","Male","Veteran","Present","STORY","55-64 years old","Vietnam"
"17854","Male","Veteran","Present","HARDIN","85+ years old","WWII"
"18183","Male","Veteran","Present","POLK","75-84 years old","Korean"
"13387","Male","Veteran","Present","SCOTT","65-74 years old","Vietnam"
"18349","Male","Veteran","Present","STORY","65-74 years old","Vietnam"
"18545","Male","Veteran","Present","POLK","55-64 years old","Vietnam"
"18518","Male","Veteran","Present","LINN","85+ years old","WWII"
"17623","Male","Veteran","Present","DUBUQUE","65-74 years old","Vietnam"
"13567","Male","Veteran","Present","BUCHANAN","85+ years old","Korean"
"18695","Male","Veteran","Present","POLK","85+ years old","Korean"
"18617","Male","Veteran","Present","TAMA","65-74 years old","Vietnam"
"18308","Male","Veteran","Present","POLK","75-84 years old","Vietnam"
"14172","Male","Veteran","Present","POLK","85+ years old","Korean"
"14135","Male","Veteran","Present","BUCHANAN","65-74 years old","Vietnam"
"18462","Male","Veteran","Present","WEBSTER","55-64 years old","Peace Time"
"18580","Male","Veteran","Present","MARSHALL","85+ years old","WWII"
"13265","Male","Veteran","Present","JOHNSON","65-74 years old","Vietnam"
"18571","Male","Veteran","Present","MARSHALL","75-84 years old","Korean"
"18672","Male","Veteran","Present","JOHNSON","55-64 years old","Peace Time"
"18591","Male","Veteran","Present","HARDIN","55-64 years old","Vietnam"
"18553","Male","Veteran","Present","JEFFERSON","85+ years old","WWII"
"12357","Male","Veteran","Present","JOHNSON","85+ years old","WWII"
"13118","Male","Veteran","Present","CRAWFORD","55-64 years old","Peace Time"
"13725","Male","Veteran","Present","POLK","25-54 years old","Peace Time"
"13576","Male","Veteran","Present","POLK","85+ years old","Korean"
"14278","Male","Veteran","Present","POLK","55-64 years old","Peace Time"
"18680","Male","Veteran","Present","WAPELLO","75-84 years old","Korean"
"18203","Male","Veteran","Present","DUBUQUE","65-74 years old","Vietnam"
"17914","Male","Veteran","Present","LINN","75-84 years old","Korean"
"13855","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
"18214","Male","Veteran","Present","SAC","65-74 years old","Vietnam"
"11686","Male","Veteran","Present","EMMET","75-84 years old","Peace Time"
"18541","Male","Veteran","Present","SCOTT","75-84 years old","Peace Time"
"18645","Female","Veteran","Present","WARREN","55-64 years old","Peace Time"
"18215","Male","Veteran","Present","LINN","65-74 years old","Vietnam"
"18113","Male","Veteran","Present","WARREN","85+ years old","WWII"
"18422","Male","Veteran","Present","WEBSTER","75-84 years old","Peace Time"
"18309","Male","Veteran","Present","POLK","75-84 years old","Peace Time"
"18223","Male","Veteran","Present","BLACK HAWK","75-84 years old","Peace Time"
"18273","Male","Veteran","Present","JOHNSON","65-74 years old","Vietnam"
"18136","Male","Veteran","Present","DUBUQUE","55-64 years old","Vietnam"
"18115","Male","Veteran","Present","LINN","75-84 years old","Korean"
"18378","Male","Veteran","Present","POLK","65-74 years old","Peace Time"
"18384","Female","Veteran","Present","LINN","75-84 years old","Korean"
"13872","Male","Veteran","Present","POLK","75-84 years old","Korean"
"18696","Male","Veteran","Present","MARSHALL","65-74 years old","Vietnam"
"18525","Male","Veteran","Present","TAMA","75-84 years old","Korean"
"18551","Male","Veteran","Present","BREMER","65-74 years old","Vietnam"
"18015","Male","Veteran","Present","BLACK HAWK","85+ years old","WWII"
"18376","Male","Veteran","Present","LINN","85+ years old","WWII"
"18152","Male","Veteran","Present","HARDIN","85+ years old","WWII"
"17541","Male","Veteran","Present","MARSHALL","25-54 years old","Gulf"
"18675","Male","Veteran","Present","POTTAWATTAMIE","75-84 years old","Korean"
"11448","Male","Veteran","Present","POLK","85+ years old","Korean"
"17563","Male","Veteran","Present","POLK","85+ years old","Korean"
"18687","Male","Veteran","Present","MARION","65-74 years old","Peace Time"
"12117","Male","Veteran","Present",,"65-74 years old","Vietnam"
"14229","Male","Veteran","Present","LINN","65-74 years old","Vietnam"
"18317","Male","Veteran","Present","POLK","65-74 years old","Vietnam"
