"row_id","table_code","table_name","variable_code","variable","industry","value","variable_unit","period_type","date"
"19000_2015Q2_SQGDP2-1_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-1","Gross domestic product (GDP) by state: All industry total","All industry total","179884.6","Millions of current dollars","quarter","2015-06-30T00:00:00.000"
"19000_2015Q3_SQGDP2-1_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-1","Gross domestic product (GDP) by state: All industry total","All industry total","181466.0","Millions of current dollars","quarter","2015-09-30T00:00:00.000"
"19000_2015Q4_SQGDP2-1_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-1","Gross domestic product (GDP) by state: All industry total","All industry total","181381.0","Millions of current dollars","quarter","2015-12-31T00:00:00.000"
"19000_2016Q1_SQGDP2-1_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-1","Gross domestic product (GDP) by state: All industry total","All industry total","180317.9","Millions of current dollars","quarter","2016-03-31T00:00:00.000"
"19000_2016Q2_SQGDP2-1_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-1","Gross domestic product (GDP) by state: All industry total","All industry total","179815.2","Millions of current dollars","quarter","2016-06-30T00:00:00.000"
"19000_2016Q3_SQGDP2-1_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-1","Gross domestic product (GDP) by state: All industry total","All industry total","181913.0","Millions of current dollars","quarter","2016-09-30T00:00:00.000"
"19000_2016Q4_SQGDP2-1_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-1","Gross domestic product (GDP) by state: All industry total","All industry total","181999.4","Millions of current dollars","quarter","2016-12-31T00:00:00.000"
"19000_2017Q1_SQGDP2-1_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-1","Gross domestic product (GDP) by state: All industry total","All industry total","183212.8","Millions of current dollars","quarter","2017-03-31T00:00:00.000"
"19000_2017Q2_SQGDP2-1_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-1","Gross domestic product (GDP) by state: All industry total","All industry total","183084.7","Millions of current dollars","quarter","2017-06-30T00:00:00.000"
"19000_2017Q3_SQGDP2-1_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-1","Gross domestic product (GDP) by state: All industry total","All industry total","182532.5","Millions of current dollars","quarter","2017-09-30T00:00:00.000"
"19000_2017Q4_SQGDP2-1_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-1","Gross domestic product (GDP) by state: All industry total","All industry total","185369.0","Millions of current dollars","quarter","2017-12-31T00:00:00.000"
"19000_2018Q1_SQGDP2-1_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-1","Gross domestic product (GDP) by state: All industry total","All industry total","187805.0","Millions of current dollars","quarter","2018-03-31T00:00:00.000"
"19000_2018Q2_SQGDP2-1_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-1","Gross domestic product (GDP) by state: All industry total","All industry total","190612.8","Millions of current dollars","quarter","2018-06-30T00:00:00.000"
"19000_2018Q3_SQGDP2-1_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-1","Gross domestic product (GDP) by state: All industry total","All industry total","190932.2","Millions of current dollars","quarter","2018-09-30T00:00:00.000"
"19000_2018Q4_SQGDP2-1_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-1","Gross domestic product (GDP) by state: All industry total","All industry total","192262.3","Millions of current dollars","quarter","2018-12-31T00:00:00.000"
"19000_2019Q1_SQGDP2-1_quarter","SQGDP2","Quarterly GDP by State","SQGDP2-1","Gross domestic product (GDP) by state: All industry total","All industry total","189896.3","Millions of current dollars","quarter","2019-03-31T00:00:00.000"
