"date","month","fiscal_year","percentages_of_cases_in_the_state_child_support_caseload_with_support_orders"
"2021-08-31T00:00:00.000","aug","2021","8638.00"
"2021-07-31T00:00:00.000","jul","2021","8636.00"
"2021-06-30T00:00:00.000","jun","2021","8641.00"
"2021-05-31T00:00:00.000","may","2021","8593.00"
"2021-04-30T00:00:00.000","apr","2021","8549.00"
"2021-02-28T00:00:00.000","mar","2021","8516.00"
"2021-03-31T00:00:00.000","feb","2021","8520.0"
"2021-01-31T00:00:00.000","jan","2021","8544.00"
"2020-12-31T00:00:00.000","dec","2020","8538.00"
"2020-11-30T00:00:00.000","nov","2020","8555.00"
"2020-10-31T00:00:00.000","oct","2020","8556.00"
"2020-09-30T00:00:00.000","sep","2020","8591.00"
"2020-08-31T00:00:00.000","aug","2020","8583.00"
"2020-07-31T00:00:00.000","jul","2020","8606.00"
"2020-06-30T00:00:00.000","jun","2020","8648.00"
"2020-05-31T00:00:00.000","may","2020","8655.00"
"2020-04-30T00:00:00.000","apr","2020","8624.00"
"2020-03-31T00:00:00.000","mar","2020","8642.00"
"2020-02-28T00:00:00.000","feb","2020","8646.00"
"2020-01-31T00:00:00.000","jan","2020","8650.0"
"2019-12-31T00:00:00.000","dec","2019","8650.0"
"2019-11-30T00:00:00.000","nov","2019","8635.00"
"2019-10-31T00:00:00.000","oct","2019","8653.00"
"2019-09-30T00:00:00.000","sep","2019","8676.00"
"2019-08-31T00:00:00.000","aug","2019","8605.00"
"2019-07-31T00:00:00.000","jul","2019","8514.00"
"2019-06-30T00:00:00.000","jun","2019","8402.00"
"2019-05-31T00:00:00.000","may","2019","8319.00"
"2019-04-30T00:00:00.000","apr","2019","8302.00"
"2019-03-31T00:00:00.000","mar","2019","8281.00"
"2019-02-28T00:00:00.000","feb","2019","8312.00"
"2019-01-31T00:00:00.000","jan","2019","8324.00"
"2018-12-31T00:00:00.000","dec","2018","8339.00"
"2018-11-30T00:00:00.000","nov","2018","8333.00"
"2018-10-31T00:00:00.000","oct","2018","8342.00"
"2018-09-30T00:00:00.000","sep","2018","8362.00"
"2018-08-31T00:00:00.000","aug","2018","8355.00"
"2018-07-31T00:00:00.000","jul","2018","8462.00"
"2018-06-30T00:00:00.000","jun","2018","8509.00"
"2018-05-31T00:00:00.000","May","2018","8536.00"
"2018-04-30T00:00:00.000","apr","2018","8539.00"
"2018-03-31T00:00:00.000","mar","2018","8513.00"
"2018-02-28T00:00:00.000","feb","2018","8499.00"
"2018-01-31T00:00:00.000","jan","2018","8503.00"
"2017-12-31T00:00:00.000","dec","2017","8530.0"
"2017-11-30T00:00:00.000","nov","2017","8554.00"
"2017-10-31T00:00:00.000","oct","2017","8571.00"
"2017-09-30T00:00:00.000","sep","2017","8603.00"
"2017-08-31T00:00:00.000","aug","2017","8568.00"
"2017-07-31T00:00:00.000","jul","2017","8586.00"
"2017-06-30T00:00:00.000","jun","2017","8585.00"
"2017-05-31T00:00:00.000","may","2017","8605.00"
"2017-04-30T00:00:00.000","apr","2017","8607.00"
"2017-03-31T00:00:00.000","mar","2017","8609.00"
"2017-02-28T00:00:00.000","feb","2017","8613.00"
"2017-01-31T00:00:00.000","jan","2017","8555.00"
"2016-12-31T00:00:00.000","dec","2016","8474.00"
"2016-11-30T00:00:00.000","nov","2016","8469.00"
"2016-10-31T00:00:00.000","oct","2016","8778.00"
"2016-09-30T00:00:00.000","sep","2016","8485.00"
"2016-08-31T00:00:00.000","aug","2016","8466.00"
"2016-07-31T00:00:00.000","jul","2016","8480.0"
"2016-06-30T00:00:00.000","jun","2016","8458.00"
"2016-05-31T00:00:00.000","may","2016","8443.00"
"2016-04-30T00:00:00.000","apr","2016","8418.00"
"2016-03-31T00:00:00.000","mar","2016","8409.00"
"2016-02-29T00:00:00.000","feb","2016","8409.00"
"2016-01-31T00:00:00.000","jan","2016","8401.00"
"2015-12-31T00:00:00.000","dec","2015","8379.00"
"2015-11-30T00:00:00.000","nov","2015","8404.00"
"2015-10-31T00:00:00.000","oct","2015","8430.0"
"2015-09-30T00:00:00.000","sep","2015","8455.00"
"2015-08-31T00:00:00.000","aug","2015","8433.00"
"2015-07-31T00:00:00.000","jul","2015","8449.00"
"2015-06-30T00:00:00.000","jun","2015","8427.00"
"2015-05-31T00:00:00.000","may","2015","8446.00"
"2015-04-30T00:00:00.000","apr","2015","8450.0"
"2015-03-31T00:00:00.000","mar","2015","8470.0"
"2015-02-28T00:00:00.000","feb","2015","8468.00"
"2015-01-31T00:00:00.000","jan","2015","8477.00"
"2014-12-31T00:00:00.000","dec","2014","8487.00"
"2014-11-30T00:00:00.000","nov","2014","8481.00"
"2014-10-31T00:00:00.000","oct","2014","8489.00"
"2014-09-30T00:00:00.000","sep","2014","8521.00"
"2014-08-31T00:00:00.000","aug","2014","8455.00"
"2014-07-31T00:00:00.000","jul","2014","8463.00"
