"county","search","training","equipment"
"BEAVER","2540","3150","33097"
"BOX ELDER","35040","11560","1651"
"CACHE","76751","121203","173159"
"CARBON","27729","40143","90110"
"DAGGETT","6659","42079","6789"
"DAVIS","6289","15064","98966"
"DUCHESNE","3144","533","38417"
"EMERY","51803","2168","76270"
"GARFIELD","13201","1128","44850"
"GRAND","78106","20553","199004"
"IRON","8073","6287","137060"
"JUAB","0","1869","3865"
"KANE","43021","19628","40131"
"MILLARD","7405","0","23939"
"MORGAN","4077","98","20320"
"PIUTE","4467","0","6380"
"RICH","210","0","0"
"SALT LAKE","120756","88461","154643"
"SAN JUAN","53141","300","628"
"SANPETE","9615","18643","87417"
"SEVIER","18176","35721","72343"
"SUMMIT","154434","34204","84717"
"TOOELE","22132","11789","24031"
"UINTAH","1805","0","5425"
"UTAH","119543","71500","141561"
"WASATCH","81395","15455","158916"
"WASHINGTON","113546","43552","103066"
"WAYNE","21048","7366","10732"
"WEBER","19751","76427","171151"
