Location 1,County,geoid,unemployment_rate,Median household income,Gini Index,below poverty level,below poverty level - Male,below poverty level - Male - Under 5 years,below poverty level - Male - 5 years,below poverty level - Male - 6 to 11 years,below poverty level - Male - 12 to 14 years,below poverty level - Male - 15 years,below poverty level - Male - 16 and 17 years,below poverty level - Male - 18 to 24 years,below poverty level - Male - 25 to 34 years,below poverty level - Male - 35 to 44 years,below poverty level - Male - 45 to 54 years,below poverty level - Male - 55 to 64 years,below poverty level - Male - 65 to 74 years,below poverty level - Male - 75 years and over,below poverty level - Female,below poverty level - Female - Under 5 years,below poverty level - Female - 5 years,below poverty level - Female - 6 to 11 years,below poverty level - Female - 12 to 14 years,below poverty level - Female - 15 years,below poverty level - Female - 16 and 17 years,below poverty level - Female - 18 to 24 years,below poverty level - Female - 25 to 34 years,below poverty level - Female - 35 to 44 years,below poverty level - Female - 45 to 54 years,below poverty level - Female - 55 to 64 years,below poverty level - Female - 65 to 74 years,below poverty level - Female - 75 years and over,at or above poverty level,at or above poverty level - Male,at or above poverty level - Male - Under 5 years,at or above poverty level - Male - 5 years,at or above poverty level - Male - 6 to 11 years,at or above poverty level - Male - 12 to 14 years,at or above poverty level - Male - 15 years,at or above poverty level - Male - 16 and 17 years,at or above poverty level - Male - 18 to 24 years,at or above poverty level - Male - 25 to 34 years,at or above poverty level - Male - 35 to 44 years,at or above poverty level - Male - 45 to 54 years,at or above poverty level - Male - 55 to 64 years,at or above poverty level - Male - 65 to 74 years,at or above poverty level - Male - 75 years and over,at or above poverty level - Female,at or above poverty level - Female - Under 5 years,at or above poverty level - Female - 5 years,at or above poverty level - Female - 6 to 11 years,at or above poverty level - Female - 12 to 14 years,at or above poverty level - Female - 15 years,at or above poverty level - Female - 16 and 17 years,at or above poverty level - Female - 18 to 24 years,at or above poverty level - Female - 25 to 34 years,at or above poverty level - Female - 35 to 44 years,at or above poverty level - Female - 45 to 54 years,at or above poverty level - Female - 55 to 64 years,at or above poverty level - Female - 65 to 74 years,at or above poverty level - Female - 75 years and over,Utah Senate Districts,Utah House Districts,School Districts,Municipalities,Counties (New),Census Tract Boundaries
"Garland, Utah
(41.74002, -112.162571)",Box Elder,16000US4928150,,48906,0.3204,503,257,20,8,65,30,7,0,6,55,37,10,2,5,12,246,34,13,54,16,0,8,9,70,14,9,4,11,4,1945,1034,94,39,124,70,14,42,77,145,130,98,100,69,32,911,78,20,110,56,20,37,62,133,107,103,57,78,50,9,1,2,17,14,2
"Snowville, Utah
(41.971735, -112.710448)",Box Elder,16000US4969970,,51875,0.3414,9,4,0,0,1,0,0,0,0,0,1,2,0,0,0,5,0,0,2,0,0,0,0,0,1,0,2,0,0,119,52,4,0,4,0,0,0,8,1,0,12,13,9,1,67,2,0,5,5,2,4,13,0,10,11,7,5,3,9,1,2,3,14,151
"Perry, Utah
(41.465116, -112.033386)",Box Elder,16000US4959390,,85625,0.2835,94,49,0,0,27,9,0,0,0,0,7,0,0,0,6,45,0,0,0,0,0,8,0,0,17,0,13,7,0,4372,2194,220,70,255,128,20,120,160,223,280,228,201,193,96,2178,118,54,330,224,34,83,58,264,366,197,186,141,123,9,22,2,15,14,
"Willard, Utah
(41.408824, -112.036241)",Box Elder,16000US4984710,,58917,0.3621,119,32,0,0,0,0,5,0,6,13,0,0,3,3,2,87,22,0,37,0,0,0,5,16,0,0,0,2,5,1675,849,67,15,115,41,7,37,59,65,102,152,95,57,37,826,56,7,71,59,19,38,59,74,159,107,88,52,37,9,22,2,11,14,
"Thatcher, Utah
(41.679741, -112.296831)",Box Elder,16000US4975800,,69432,0.278,20,14,7,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,640,346,23,15,42,22,0,5,36,9,38,84,36,6,30,294,18,18,26,8,0,31,6,48,14,49,27,23,26,9,1,2,,14,152
"Mantua, Utah
(41.497046, -111.943838)",Box Elder,16000US4947840,,79338,0.283,25,15,1,0,0,0,0,0,2,0,2,6,0,0,4,10,0,0,2,0,0,0,0,2,0,0,0,0,6,723,387,33,15,25,17,9,8,23,37,38,65,75,26,16,336,13,13,29,23,2,4,31,25,30,84,51,22,9,9,1,2,13,14,
"Brigham City, Utah
(41.510372, -112.015716)",Box Elder,16000US4908460,,52025,0.3646,1380,726,17,0,74,35,17,23,100,59,216,92,49,29,15,654,19,25,77,18,2,22,48,149,82,43,89,44,36,16330,7970,745,139,898,383,242,286,716,1071,1012,873,614,555,436,8360,759,230,768,351,103,206,776,1218,917,1009,831,653,539,9,22,2,16,14,
"Portage, Utah
(41.975652, -112.239641)",Box Elder,16000US4961590,,51458,0.3183,33,18,2,3,2,0,0,3,0,1,0,7,0,0,0,15,3,0,0,2,0,0,4,0,2,2,0,0,2,225,103,2,1,5,3,7,2,10,11,5,14,29,7,7,122,4,2,9,3,0,9,10,9,9,18,30,9,10,9,1,2,8,14,151
"Elwood, Utah
(41.681733, -112.141238)",Box Elder,16000US4922760,,75417,0.3592,21,12,0,0,2,0,2,0,4,0,4,0,0,0,0,9,0,0,2,0,0,0,3,0,4,0,0,0,0,1224,670,65,6,68,30,32,24,91,63,72,91,51,30,47,554,44,8,48,24,19,20,43,52,61,93,71,13,58,9,1,2,237,14,
"Bear River City, Utah
(41.614499, -112.127043)",Box Elder,16000US4903950,,63125,0.3175,85,28,6,6,4,0,0,7,0,0,0,0,5,0,0,57,19,0,0,5,0,2,0,4,12,6,0,9,0,770,428,34,2,39,25,6,9,52,45,46,58,52,35,25,342,20,8,35,7,4,4,30,27,52,45,49,25,36,9,1,2,4,14,152
