"county","food_sales_cy_2015_qtr_1","taxable_sales_cy_2015_qtr_1","food_sales_cy_2015_qtr_2","taxable_sales_cy_2015_qtr_2","food_sales_cy_2015_qtr_3","taxable_sales_cy_2015_qtr_3","food_sales_cy_2015_qtr_4","taxable_sales_cy_2015_qtr_4","location_1"
"Utah","14337189","200182333","16340525","207488700","16498122","231418727","18086585","240201338","
American Fork,  
(40.376761, -111.795867)"
"Salt Lake City","54853074","269391790","54784258","292104021","62501781","381449547","59846159","341781986","
South Jordan,  
(40.562242, -111.938666)"
"Salt Lake City","27449370","288538198","28208902","328056020","29650858","327813958","31125572","313678461","
Draper,  
(40.52505, -111.864203)"
"Beaver","1988666","11792215","2518193","16612823","2804845","12041855","2354215","13254505","
Beaver City,  
(40.138462, -99.827006)"
"Weber","17316951","174189028","18689934","190978447","19063708","194492541","20533079","209060506","
Riverdale,  
(41.539386, -90.464346)"
"Davis","37278826","321318508","39329029","364155320","39052646","366562543","40674193","371755203","
Layton,  
(41.060161, -111.966274)"
"Washington","512746","11683968","1300845","28033876","1465101","29731419","648364","16526764","
Springdale,  
(36.185104, -94.138521)"
"Davis","643354","59169586","722602","71004322","738870","76990638","681661","67802004","
Woods Cross,  
(40.874763, -111.901994)"
"Salt Lake City","20520554","112016024","20898067","120226814","21804797","127928074","24439393","134008838","
Cottonwood Heights,  
(40.616306, -111.810524)"
"Tooele","17377083","101954070","18415069","114100052","18525146","133287404","19004468","110457945","
Tooele City,  
(37.949267, -86.76455)"
"Davis","5282506","63021020","5803695","59502254","5851544","61508110","5892986","61291413","
Clearfield,  
(41.022072, -78.438063)"
"Davis","15384933","70813436","18380647","70545950","18828626","74158523","21476755","70465377","
Roy,  
(41.167379, -112.033827)"
"Salt Lake City","55800188","547048796","55685672","584616737","64166148","609865644","63180043","607834046","
Sandy,  
(40.569705, -111.897282)"
"Utah","13348527","55720172","13707068","61709450","13347181","60507475","15328521","64398358","
Payson,  
(34.260372, -111.356382)"
"Utah","16158669","88193377","17136137","87218855","14692335","90095985","15303206","92030379","
Springville,  
(40.165232, -111.610625)"
