"unnamed_column","loc_code","street_address","city","state_cd","latitude","longitude","lease_num","lease_effective_date","lease_expiration_date","bld_vacant_rsf","building_rsf","congressional_district_code","zipcode5","geocoded_column"
,"UT1412","389 INDUSTRIAL RD","ST GEORGE","UT","37.1142400","-113.5610710","LUT13562","2000-04-03T00:00:00.000","2010-06-30T00:00:00.000","0.00","5020.00","4902","84770","POINT (-113.561071 37.11424)"
,"UT1492","1223 N AIRPORT RD","CEDAR CITY","UT","37.6994381","-113.0872966","LUT14617","2011-12-01T00:00:00.000","2031-11-30T00:00:00.000","0.00","11388.00","4902","84721","POINT (-113.0872966 37.6994381)"
,"UT1439","94 W. AVIATION WAY","MOAB","UT","38.5903836","-109.5630517","LUT14589","2011-11-01T00:00:00.000","2021-10-31T00:00:00.000","0.00","300.00","4903","84532","POINT (-109.5630517 38.5903836)"
,"UT1248","32 S 100 E","MONTICELLO","UT","37.8721400","-109.3411610","LUT13173","1993-08-01T00:00:00.000","2006-09-30T00:00:00.000","0.00","4233.02","4903","84535","POINT (-109.341161 37.87214)"
,"UT1431","2484 WASHINGTON BLVD","OGDEN","UT","41.2208700","-111.9702510","LUT14823","2014-07-01T00:00:00.000","2019-06-30T00:00:00.000","0.00","71502.00","4901","84401","POINT (-111.970251 41.22087)"
,"UT1542","324 S STATE ST","SALT LAKE CITY","UT","40.7622600","-111.8887910","LUT13281","1994-11-09T00:00:00.000","2014-04-20T00:00:00.000","0.00","3206.00","4902","84111","POINT (-111.888791 40.76226)"
,"UT1458","2560 AVIATION WAY, CEDAR CITY REGIO","CEDAR CITY","UT","37.6957150","-113.0965620","LUT14080","2005-11-01T00:00:00.000","2010-10-31T00:00:00.000","0.00","703.00","4902","84720","POINT (-113.096562 37.695715)"
,"UT1328","6964 E 1000 SOUTH, UTE TRIBE OFFICE","FORT DUCHESNE","UT","40.2967546","-109.8402454","LUT14670","2012-10-14T00:00:00.000","2022-10-13T00:00:00.000","0.00","8444.00","4901","84026","POINT (-109.8402454 40.2967546)"
,"UT1465","150 AIRPORT WAY","WENDOVER","UT","40.7290320","-114.0327360","LUT14243","2008-06-01T00:00:00.000","2018-05-31T00:00:00.000","0.00","410.00","4902","84083","POINT (-114.032736 40.729032)"
,"UT1349","46 W BROADWAY","SALT LAKE CITY","UT","40.7629620","-111.8924739","LUT13707","2002-02-01T00:00:00.000","2012-01-31T00:00:00.000","0.00","29961.25","4902","84101","POINT (-111.8924739 40.762962)"
,"UT1395","2390 W UT-56","CEDAR CITY","UT","37.6848900","-113.0959910","LUT14669","2014-02-01T00:00:00.000","2024-01-31T00:00:00.000","0.00","8036.74","4902","84720","POINT (-113.095991 37.68489)"
,"UT1496","641 E 300 S","VERNAL","UT","40.4521190","-109.5189760","LUT14445","2011-12-01T00:00:00.000","2026-11-30T00:00:00.000","0.00","1680.00","4901","84078","POINT (-109.518976 40.452119)"
,"UT1511","702 AIR TERMINAL WAY #18","RICHFIELD","UT","38.7057868","-111.7212089","LUT14816","2014-07-02T00:00:00.000","2024-07-01T00:00:00.000","0.00","3600.00","4902","84701","POINT (-111.7212089 38.7057868)"
,"UT1550","257 E 200 S","SALT LAKE CITY","UT","40.7652000","-111.8837810","LUT13079","1993-06-01T00:00:00.000","2012-11-30T00:00:00.000","0.00","11434.00","4902","84111","POINT (-111.883781 40.7652)"
,"UT1374","245N JIMMY DOOLITTLE RD","SALT LAKE CITY","UT","40.7737212","-112.0215510","LUT13083","1992-12-01T00:00:00.000","2010-09-30T00:00:00.000","0.00","10768.00","4902","84116","POINT (-112.021551 40.7737212)"
,"UT1363","57 W 200 S","SALT LAKE CITY","UT","40.7647200","-111.8931810","LUT13741","2002-09-01T00:00:00.000","2014-08-31T00:00:00.000","0.00","5918.00","4902","84101","POINT (-111.893181 40.76472)"
,"UT1370","180N 200 E","ST GEORGE","UT","37.2081818","-113.8626364","LUT14762","2013-07-01T00:00:00.000","2015-06-30T00:00:00.000","0.00","3364.00","4902","84770","POINT (-113.8626364 37.2081818)"
,"UT1363","57 W 200 S","SALT LAKE CITY","UT","40.7647200","-111.8931810","LUT14717","2014-09-01T00:00:00.000","2024-08-31T00:00:00.000","0.00","5918.00","4902","84101","POINT (-111.893181 40.76472)"
,"UT1393","317 S MAIN ST","MONTICELLO","UT","37.8678700","-109.3427910","LUT13339","1996-03-11T00:00:00.000","2006-03-10T00:00:00.000","0.00","1955.00","4903","84535","POINT (-109.342791 37.86787)"
,"UT1353","2520 W 4700 SOUTH, STE 9A","TAYLORSVILLE","UT","40.6677851","-111.9534277","LUT12948","1990-06-13T00:00:00.000","2000-06-12T00:00:00.000","0.00","5377.00","4904","84118","POINT (-111.9534277 40.6677851)"
,"UT1456","440 W 200 S","SALT LAKE CITY","UT","40.7652400","-111.9034010","LUT14935","2015-06-01T00:00:00.000","2025-05-31T00:00:00.000","0.00","18715.00","4902","84101","POINT (-111.903401 40.76524)"
,"UT1472","20 N MAIN ST","ST GEORGE","UT","37.1086400","-113.5829910","LUT14520","2010-06-04T00:00:00.000","2010-12-03T00:00:00.000","0.00","8136.00","4902","84770","POINT (-113.582991 37.10864)"
,"UT1518","111 S MAIN ST","SALT LAKE CITY","UT","40.7668500","-111.8907810","LUT14899","2016-11-01T00:00:00.000","2026-10-31T00:00:00.000","0.00","62035.00","4902","84111","POINT (-111.890781 40.76685)"
,"UT1360","1870 W ALEXANDER ST.","WEST VALLEY CITY","UT","40.7186573","-111.9412941","LUT13016","1991-12-02T00:00:00.000","2002-10-31T00:00:00.000","0.00","10497.00","4904","84119","POINT (-111.9412941 40.7186573)"
