"unnamed_column","address_1","case_number","city","clearance_type","country","created_at","day_of_week","hour_of_day","incident_datetime","incident_description","incident_id","incident_type_primary","latitude","location","longitude","parent_incident_type","state","updated_at","zip"
"0","400 Block N MAIN ST","16NE00202","NEPHI",,,"2016-02-04T06:41:46.000","Monday","2","2016-02-01T02:02:27.000","Description: Citizen Assist","748950361","CITIZEN ASSIST","39.71553","{'type': 'Point', 'coordinates': [-111.835627, 39.71553]}","-111.835627","Community Policing","UT","2016-02-12T09:01:21.000","84648"
"1","1500 Block S MAIN ST","16NE00205","NEPHI",,,"2016-02-04T06:41:46.000","Monday","12","2016-02-01T12:02:28.000","Description: Traffic Accident-Hit & Run","748950363","TRAFFIC ACCIDENT-HIT & RUN","39.6857669","{'type': 'Point', 'coordinates': [-111.83627, 39.6857669]}","-111.83627","Traffic","UT","2016-02-12T09:01:22.000","84648"
"2","700 Block E 700 NORTH ST","16NE00209","NEPHI",,,"2016-02-05T06:44:12.000","Tuesday","9","2016-02-02T09:02:33.000","Description: Citizen Assist","749025903","CITIZEN ASSIST","39.719552","{'type': 'Point', 'coordinates': [-111.8544094, 39.719552]}","-111.8544094","Community Policing","UT","2016-02-12T09:01:22.000","84648"
"3","800 Block S 400 EAST ST","16NE00211","NEPHI",,,"2016-02-05T06:44:12.000","Tuesday","12","2016-02-02T12:02:35.000","Description: Citizen Assist","749025902","CITIZEN ASSIST","39.696124","{'type': 'Point', 'coordinates': [-111.82809, 39.696124]}","-111.82809","Community Policing","UT","2016-02-12T09:01:23.000","84648"
"4","300 Block S MAIN ST","16NE00212","NEPHI",,,"2016-02-05T06:44:12.000","Tuesday","14","2016-02-02T14:02:25.000","Description: Citizen Assist","749025900","CITIZEN ASSIST","39.7030747","{'type': 'Point', 'coordinates': [-111.836534, 39.7030747]}","-111.836534","Community Policing","UT","2016-02-12T09:01:23.000","84648"
"5","1500 Block S MAIN ST","16NE00359","NEPHI",,,"2016-02-23T06:34:03.000","Friday","5","2016-02-19T05:02:19.000","Description: Assault-Simple","750597847","ASSAULT-SIMPLE","39.6857669","{'type': 'Point', 'coordinates': [-111.83627, 39.6857669]}","-111.83627","Assault","UT","2016-03-03T08:55:00.000","84648"
"6","2000 Block S MAIN ST","16NE00377","NEPHI",,,"2016-02-27T06:33:27.000","Saturday","18","2016-02-20T18:02:02.000","Description: Disorderly Conduct","750958497","DISORDERLY CONDUCT","39.6784836","{'type': 'Point', 'coordinates': [-111.8409569, 39.6784836]}","-111.8409569","Disorder","UT","2016-03-04T08:54:55.000","84648"
"7","1 Block E 100 SOUTH ST","16NE00380","NEPHI",,,"2016-02-27T06:33:27.000","Sunday","6","2016-02-21T06:02:58.000","Description: Burglary-Non-Res-Forced Entry","750958494","BURGLARY-NON-RES-FORCED ENTRY","39.707541","{'type': 'Point', 'coordinates': [-111.834978, 39.707541]}","-111.834978","Breaking & Entering","UT","2016-03-05T08:54:58.000","84648"
"8","100 Block E 300 SOUTH ST","16NE00386","NEPHI",,,"2016-02-27T06:33:27.000","Monday","18","2016-02-22T18:02:35.000","Description: Theft-Property-Other","750958495","THEFT-PROPERTY-OTHER","39.70369","{'type': 'Point', 'coordinates': [-111.833148, 39.70369]}","-111.833148","Theft","UT","2016-03-06T09:06:01.000","84648"
"9","1400 Block N 325 EAST ST","16NE00390","NEPHI",,,"2016-03-03T06:28:24.000","Tuesday","9","2016-02-23T09:02:46.000","Description: Animal Problem","751375186","ANIMAL PROBLEM","39.729918","{'type': 'Point', 'coordinates': [-111.830001, 39.729918]}","-111.830001","Community Policing","UT","2016-03-06T09:06:02.000","84648"
"10","300 Block W 100 NORTH ST","16NE00392","NEPHI",,,"2016-03-03T06:28:24.000","Tuesday","11","2016-02-23T11:02:42.000","Description: Animal Problem","751375183","ANIMAL PROBLEM","39.7100162","{'type': 'Point', 'coordinates': [-111.8429359, 39.7100162]}","-111.8429359","Community Policing","UT","2016-03-06T09:06:02.000","84648"
"11","400 Block N 600 EAST ST","16NE01441","NEPHI",,,"2016-07-11T13:29:09.000","Wednesday","16","2016-06-29T16:06:12.000","Description: Citizen Assist","764634960","CITIZEN ASSIST","39.71492","{'type': 'Point', 'coordinates': [-111.824224, 39.71492]}","-111.824224","Community Policing","UT","2016-07-12T10:10:16.000","84648"
"12","1500 Block S MAIN ST","16NE01442","NEPHI",,,"2016-07-11T13:29:09.000","Wednesday","17","2016-06-29T17:06:41.000","Description: Citizen Assist","764634963","CITIZEN ASSIST","39.685639","{'type': 'Point', 'coordinates': [-111.8364249, 39.685639]}","-111.8364249","Community Policing","UT","2016-07-12T10:10:17.000","84648"
"13","200 Block E 800 NORTH ST","16NE00394","NEPHI",,,"2016-03-03T06:28:24.000","Tuesday","15","2016-02-23T15:02:29.000","Description: Animal Problem","751375187","ANIMAL PROBLEM","39.720599","{'type': 'Point', 'coordinates': [-111.830923, 39.720599]}","-111.830923","Community Policing","UT","2016-03-06T09:06:02.000","84648"
"14","400 Block E 300 SOUTH ST","16NE00395","NEPHI",,,"2016-02-27T06:33:27.000","Tuesday","20","2016-02-23T20:02:08.000","Description: Disorderly Conduct","750958487","DISORDERLY CONDUCT","39.704412","{'type': 'Point', 'coordinates': [-111.827036, 39.704412]}","-111.827036","Disorder","UT","2016-03-06T09:06:03.000","84648"
"15","800 Block S MAIN ST","16NE00399","NEPHI",,,"2016-03-01T06:33:50.000","Wednesday","16","2016-02-24T16:02:04.000","Description: Fraud","751212098","FRAUD","39.6950133","{'type': 'Point', 'coordinates': [-111.8350711, 39.6950133]}","-111.8350711","Theft","UT","2016-03-06T09:06:03.000","84648"
"16","100 Block E 400 NORTH ST","16NE00400","NEPHI",,,"2016-02-27T06:33:27.000","Wednesday","18","2016-02-24T18:02:39.000","Description: Citizen Assist","750958496","CITIZEN ASSIST","39.714011","{'type': 'Point', 'coordinates': [-111.832862, 39.714011]}","-111.832862","Community Policing","UT","2016-03-06T09:06:03.000","84648"
"17","200 Block E 300 SOUTH ST","16NE00403","NEPHI",,,"2016-03-01T06:33:50.000","Thursday","9","2016-02-25T09:02:40.000","Description: Citizen Assist","751212096","CITIZEN ASSIST","39.703561","{'type': 'Point', 'coordinates': [-111.831165, 39.703561]}","-111.831165","Community Policing","UT","2016-03-06T09:06:04.000","84648"
"18","300 Block E 700 NORTH ST","16NE00402","NEPHI",,,"2016-03-04T06:28:28.000","Thursday","9","2016-02-25T09:02:52.000","Description: Animal Problem","751460257","ANIMAL PROBLEM","39.718751","{'type': 'Point', 'coordinates': [-111.830201, 39.718751]}","-111.830201","Community Policing","UT","2016-03-06T09:06:04.000","84648"
"19","500 Block S 400 EAST ST","16NE00404","NEPHI",,,"2016-03-01T06:33:50.000","Thursday","10","2016-02-25T10:02:46.000","Description: Citizen Assist","751212094","CITIZEN ASSIST","39.700319","{'type': 'Point', 'coordinates': [-111.828203, 39.700319]}","-111.828203","Community Policing","UT","2016-03-06T09:06:04.000","84648"
