"incident_id","case_number","incident_datetime","incident_type_primary","incident_description","clearance_type","address_1","address_2","city","state","zip","country","latitude","longitude","created_at","updated_at","location","hour_of_day","day_of_week","parent_incident_type"
"102746857","12OR08042","2012-03-01T22:03:33.000","ALARM","Description: Alarm",,"1400 Block W 800 SOUTH",,"OREM","UT","null","null","442.9994607484","-1228.8214167","2012-03-12T21:25:48.000","2012-03-21T08:02:50.000","POINT (-1228.821417 442.999461)","22","Thursday","Alarm"
"104206387","12OR09480","2012-03-12T11:03:10.000","FRAUD","Description: Fraud",,"400 Block N 150 EAST",,"OREM","UT","null","null","443.2292707484","-1228.4474967","2012-03-23T08:00:42.000","2012-04-01T08:00:55.000","POINT (-1228.447497 443.229271)","11","Monday","Theft"
"104582829","12OR10220","2012-03-16T21:03:01.000","ALARM","Description: Alarm",,"700 Block UNIVERSITY PKWY",,"OREM","UT","null","null","442.9043407484","-1228.2921467","2012-03-27T08:00:40.000","2012-04-05T08:00:45.000","POINT (-1228.292147 442.904341)","21","Friday","Alarm"
"107153324","12OR12624","2012-04-03T03:04:11.000","ALARM","Description: Alarm",,"600 Block STATE ST",,"OREM","UT","null","null","443.0329807484","-1228.4267367","2012-04-14T07:59:50.000","2012-04-23T08:00:43.000","POINT (-1228.426737 443.032981)","3","Tuesday","Alarm"
"3568196","08OR36906","2008-09-02T00:00:00.000","Theft","Description: FRAUD",,,,"SAN DIEGO","UT","null","US","0","0","2008-09-12T03:13:40.000","2008-09-13T03:20:10.000",,"0","Tuesday","Theft"
"3724428","08OR39074","2008-09-15T00:00:00.000","Alarm","Description: ALARM",,"0 BLOCK STATE ST",,"OREM","UT",,"US","40.31565","-111.70312","2008-09-23T03:08:00.000","2008-09-26T03:15:02.000","POINT (-111.70312 40.31565)","0","Monday","Other"
"377570799","14OR07623","2014-03-01T07:03:56.000","ALARM","Description: Alarm",,"600 Block STATE ST",,"OREM","UT","null","null","0.040309","-0.1117","2014-03-04T09:02:20.000","2014-03-13T08:02:00.000","POINT (-0.1117 0.040309)","7","Saturday","Alarm"
"425773814","14OR15787","2014-04-25T17:04:38.000","ALARM","Description: Alarm",,"200 Block OREM BLVD",,"OREM","UT","null","null","0.125904","-0.169316","2014-04-29T08:03:46.000","2014-05-07T08:02:58.000","POINT (-0.169316 0.125904)","17","Friday","Alarm"
"5070066","08OR46172","2008-11-03T00:00:00.000","Theft","Description: FRAUD",,"0 BLOCK E University Pkwy; Legacy Mazda",,"OREM","UT",,"US","0","0","2008-11-10T03:08:36.000","2008-11-17T15:16:26.000","POINT (0 0)","0","Monday","Theft"
"5122530","08OR46682","2008-11-06T00:00:00.000","Traffic","Description: TRAFFIC OFFENSE",,"100 BLOCK STATE ST",,"OREM","UT",,"US","0","0","2008-11-14T03:07:09.000","2008-11-18T03:07:07.000","POINT (0 0)","0","Thursday","Traffic"
"710443287","15OR11046","2015-03-17T07:03:18.000","ALARM","Description: Alarm",,"500 Block W 800 NORTH",,"OREM","UT",,,"-2147.48","-2147.48","2015-03-20T21:04:49.000","2015-03-30T09:09:25.000","POINT (-2147.48 -2147.48)","7","Tuesday","Alarm"
